username,created_at,text
putriyuniardi,2021-03-27 16:31:19,Imbasnya semakin delay dan shortage container😔 https://t.co/JH1jxgIu2S
putriyuniardi,2021-03-27 06:37:37,🤪🤪🤪 https://t.co/Lc9d9WiCjI
putriyuniardi,2021-03-27 05:35:04,gumuuyyy😍 https://t.co/AUNK9rGGzj
putriyuniardi,2021-03-26 15:09:36,indah beudh liatnya😍 https://t.co/bGMud9nRRl
putriyuniardi,2021-03-26 14:59:36,still wondering..... anginnya sekencang apa sampe bisa nutup jalur gitu 😣😭 https://t.co/fqKSSwz9Qx
putriyuniardi,2021-03-26 09:27:43,gapapa harus tetep bersyukur walaupun kecewa banget Alhamdulillah masih bisa kerja masih bisa punya pendapatan tiap bulan :( huhu kenapasih.....
putriyuniardi,2021-03-26 04:37:32,has been sailed kannnnn? makin delay ajaaaa😣😣😣 https://t.co/50Xw7dQzg9
putriyuniardi,2021-03-25 18:21:08,one person followed me and one person unfollowed me // automatically checked by https://t.co/feb72ihXv7
putriyuniardi,2021-03-25 16:56:19,my gift🥺💜🥺💜🥺💜 https://t.co/718RgJcDZG
putriyuniardi,2021-03-25 03:35:58,"apa yang diharapkan lagi? ahaha udah gak ada, he even no longer care with you :”)"
putriyuniardi,2021-03-24 09:55:30,terus ujung2nya gak bisa tidur sampe menjelang subuh hahaha gilagila parah bgt aseli gue kenapadah😅
putriyuniardi,2021-03-24 09:16:35,"hampir seminggu isinya cuma marah kesel kecewa sedih nangis hampir tiap malem, buka sosmed cuma cari yg bisa bikin ketawa2 buat hibur diri sendiri pas mau tidur ovethinking lagi nangis lagi wkwk miris🤣🤣🤣"
putriyuniardi,2021-03-24 09:14:59,susah banget ya wujudin impian sendiri... pas udah niat udah ada eh... harus ngalah lagi demi kepentingan yg lain haha kapansih bisa bahagia yg bener2 bahagia:”)
putriyuniardi,2021-03-24 07:18:26,terlalu gemey kamu Jeykeyyyyyy😭😭😭💜💜💜 https://t.co/ZVaHNstpr9
putriyuniardi,2021-03-24 05:00:28,"It's my #Twitterversary! I have been on Twitter for 11 years, since 5 Jan 2010 (via @twi_age)."
putriyuniardi,2021-03-24 03:45:09,ini kok kayak mengulang tahun2 kemarin ya.... :”)
putriyuniardi,2021-03-22 15:59:50,"on repeat 🎶 Seesaw - Min Suga 🥺 semacam lagu healing, padahal ngerap tapi ada vocalnya juga sih tapi ya ngademin aja gitu lagunya, liriknya plus pas di stage yawlaaaa abanggg asdfghjkl keren beudddhhhh apalagi pas senyuuuummm😩 gak kuat gueee😻😻😻 https://t.co/Pi3vya74JZ"
putriyuniardi,2021-03-22 12:44:32,that’s why...... gue walaupun ketiduran jam 7an malem abis absen pulang wfh dan pas kebangun jam berapapun diusahain buka laptop cek kerjaan🤣😭🤣😭 kalo kebangunnya pas pagi..... dhuardhuardhuar panik sendiri wkwkwk https://t.co/Fo1HZPfX1W
putriyuniardi,2021-03-22 11:32:44,tapi yasudahlah mungkin ini karma
putriyuniardi,2021-03-22 11:29:18,kangen dan marah at the same time...
putriyuniardi,2021-03-22 07:35:23,🤣😭🤣😭 https://t.co/YK82RUXIJd
putriyuniardi,2021-03-22 07:10:19,masih belum menemukan jawaban kenapa
putriyuniardi,2021-03-21 16:57:03,"mau tidur malah dibikin bad mood, malah dibikin sedih dibikin kecewa dibikin marah haha kapansih bisa tidur tanpa ovethinking"
putriyuniardi,2021-03-21 13:49:25,pengeeen😩🤤🤤🤤 https://t.co/Gh9eLZGLq7
putriyuniardi,2021-03-21 13:47:08,🤣🤣🤣 https://t.co/mVaybXuvZ6
putriyuniardi,2021-03-21 13:39:31,kayaknya masalah trust issue gue tentang uang kepada siapapun udah parah bgt 😔 tapi itu wajar sih kan tentang uang
putriyuniardi,2021-03-21 07:52:00,🤣🤣🤣 https://t.co/wPIXr42tLu
putriyuniardi,2021-03-20 09:57:50,one person followed me // automatically checked by https://t.co/feb72ihXv7
putriyuniardi,2021-03-20 09:33:15,Yeontan(?) https://t.co/3U7pkuT9m0
putriyuniardi,2021-03-19 11:31:39,🤣😭 https://t.co/Bn1whvHzIb
putriyuniardi,2021-03-19 05:34:27,lucu bangettttttt🥺😻 https://t.co/AjlIMqbqjY
putriyuniardi,2021-03-17 12:11:29,yg punya kewajiban siapa yg nanggung bebannya siapa 💩💩💩
putriyuniardi,2021-03-17 12:04:07,when will the happiness...
putriyuniardi,2021-03-17 05:51:39,ngakak🤣🤣🤣🤣🤣🤣🤣 https://t.co/mZjg1pKxIk
putriyuniardi,2021-03-17 05:42:54,plis bgt replies ini bikin ngakak https://t.co/oyxgmd18er
putriyuniardi,2021-03-17 05:34:48,kata kuncinya IKHLAS dan SABAR
putriyuniardi,2021-03-17 03:55:55,udah pasrah emang harus diganti ni hape 😭 bersiap menguras ATM
putriyuniardi,2021-03-17 03:39:39,🤣😭🤣😭 https://t.co/OaPm8AN9tm
putriyuniardi,2021-03-17 02:42:35,bingung bgt sama style yg kemarin wkwkwkwkwk kayak apa yaaaa 🤔 pingoo? 🐧 https://t.co/NuLibFw9oM
putriyuniardi,2021-03-16 16:46:28,mood https://t.co/birDrLoR9Z
putriyuniardi,2021-03-16 13:53:00,"iya, masih ada hari esok bwaaangggg 🙄 https://t.co/q9ZRfskr2u"
putriyuniardi,2021-03-16 05:16:07,😂😂😂 https://t.co/a4eNhurSrL
putriyuniardi,2021-03-15 12:14:39,berflower-flower abis disiram🌸🌸🌸 https://t.co/sFwhFUx6YD
putriyuniardi,2021-03-15 11:51:12,seru bacain repliesnya🤣 https://t.co/IxIoxgPw4b
putriyuniardi,2021-03-15 10:20:30,🤣🤣🤣 https://t.co/y5VZFL6xNV
putriyuniardi,2021-03-15 08:39:01,congratulation!!!💞 https://t.co/xaxhVkz2Kn
putriyuniardi,2021-03-15 05:23:23,yaampuuuun si abang💜💜💜💜💜 big Amen!!!🥺🙏🏻 https://t.co/DddRKLVY1O
putriyuniardi,2021-03-15 05:01:48,isokeyyyy :”) https://t.co/cAC4z2A6Rz
putriyuniardi,2021-03-15 03:31:26,🥺😭💜🥺😭💜🥺😭💜🥺😭💜 https://t.co/0hpY6dJBga
putriyuniardi,2021-03-15 02:37:39,🤣🥲🙃 https://t.co/sc4K5CV6kw
putriyuniardi,2021-03-14 05:57:24,"baru awal tahun, rencana semua buyar berantakan HAHAHA beneran trauma mending let it flow aja deh dalam hal apapun:))"
putriyuniardi,2021-03-12 08:16:15,semalem telponan sama bang bassist yg abis dari Dufan eh random bgt tiba2 minta temenin ke Sea World.... :)) jujur kayak bukan doi banget sih... 😐
putriyuniardi,2021-03-11 18:13:44,wow terpesona dengan cara main bass-nya😮👍🏻 https://t.co/H75VkkA3yT
putriyuniardi,2021-03-09 17:51:31,@drhaltekehalte @azireed bubur depan kantor🥺 yaampun kangen banget makan bubur sore2 anget2 saking udah kelamaan WFH...
putriyuniardi,2021-03-09 16:57:07,ngakak🤣🤣🤣 berarti beban idup w berat🥲 https://t.co/3jnygkIASK
putriyuniardi,2021-03-09 08:17:15,🤣🤣🤣 https://t.co/GOICtHXRfd
putriyuniardi,2021-03-09 07:50:59,Happiest birthday abang Min Suga yg gummy smilenya manis banget bikin meleleh🥺 sehat selalu supaya bisa terus berkarya ciptain lagu yg keren2 🥳💜 #HappyBirthdayYoongi #HAPPYSUGADAY @BTS_twt https://t.co/rFGM9Q6lkl
putriyuniardi,2021-03-07 23:22:54,"what Yoongi wants, Yoongi gets🥺 birthday gift to Min-Ga perform with their own song🙌🏻 https://t.co/9yCb8TE3JL"
putriyuniardi,2021-03-07 21:42:16,🙌🏻💃🏻🙌🏻💃🏻 https://t.co/8dkRTlHhV0
putriyuniardi,2021-03-07 15:26:29,terima kasih utk repliesnya udah bikin ngakak2🤣🤣🤣 https://t.co/YNTlOoryj9
putriyuniardi,2021-03-07 11:10:48,fanboynya rapline😆 outfit dah sangar pas ngerap tetep gemes🥲 https://t.co/w0hBjKiV4x
putriyuniardi,2021-03-07 10:16:52,"seneng banget liat JK mulai aktif kembali, hari ini live terus nyanyi2 lagi sambil joget2 :”) mood banget!!!🥺💜🥺💜🥺💜 https://t.co/6TVdI7jYBN"
putriyuniardi,2021-03-06 16:21:53,ternyata ini rasanya gak bisa bantu adek sendiri secara langsung😭💔
putriyuniardi,2021-03-06 15:21:12,"aseli baru tau, padahal gak suka ikan tapi tiap ke kang pecel lele ada sotonya udah pasti dibeli tapi kenapa gak ada rasa ikan2 gitu ya🤔 https://t.co/f4j0w9YP3p"
putriyuniardi,2021-03-06 14:54:46,😹😹😹 https://t.co/w8oe5UqCL9
putriyuniardi,2021-03-06 13:10:03,wooowww😮 https://t.co/iuMVjdySbJ
putriyuniardi,2021-03-05 19:39:11,OMG JEON JUNG KOOK!!!😮😮😮 https://t.co/1H213Af4i8
putriyuniardi,2021-03-05 16:26:58,"dari kemarin malem gak bisa tidur bawaannya melow parah, overthinking yg super gajelas dan puncaknya hari ini😭"
putriyuniardi,2021-03-05 16:16:33,beneran berasa banget gak punya “power” sekarang2 ini.... 😭
putriyuniardi,2021-03-05 15:43:46,🤣🤣🤣 https://t.co/TTqaZUY76x
putriyuniardi,2021-03-05 06:17:51,beneran dah aslinya udah afirmasi diri sendiri jangan ngarep jangan ngarep tapi aslinya ngarep banget...... 😢 salah sendiri salah...
putriyuniardi,2021-03-05 06:16:54,@alviagfr makasih Viaaa🤎
putriyuniardi,2021-03-05 02:49:28,that should be me... tapi Allah berkehandak lain😔
putriyuniardi,2021-03-04 15:40:05,playlist WFH https://t.co/aIzuchBYfV
putriyuniardi,2021-03-04 15:39:03,😍😍😍 https://t.co/7AvqtRpx9t
putriyuniardi,2021-03-04 15:38:44,😭💜😭💜 https://t.co/REId9Ogxmi
putriyuniardi,2021-03-04 14:22:56,yq gak salah juga sih pak....😭 https://t.co/WefEcFD23k
putriyuniardi,2021-03-04 11:30:03,"bestfriend and soulmate, they really mean it!💜 https://t.co/cHtGqbYsvo"
putriyuniardi,2021-03-02 08:28:05,🤣🤣🤣 https://t.co/l5zCkPTnwO
putriyuniardi,2021-03-02 06:46:05,🤣🤣🤣 https://t.co/Mup4ryu8OK
putriyuniardi,2021-03-01 09:40:56,🤣😭🤣😭 https://t.co/RZW9leZdxW
putriyuniardi,2021-02-28 18:01:14,😭😭😭 https://t.co/fqmQXtDLA4
putriyuniardi,2021-02-27 16:47:43,"abis ketemu sama temen yg belum lama kenal tapi emang dekeeeet karna suatu hal yg bikin jadi deket, terus dia cerita ttg hal yg hal itu udah pernah dilakuin dan ketauan terus sekarang begitu lagi..... aseli bebaaaannnn:("
