username,created_at,text
rizkaaulia,2021-03-19 09:19:04,@kurnain_r Yakaaaliiii wkwkwk
rizkaaulia,2021-03-19 09:14:07,@kurnain_r Tapi dia langsung watsap dan gak penting dan bisa banget lewat watsap😫
rizkaaulia,2021-03-19 08:07:36,"Kok bisa yaa org main telpon aja gitu padahal gak penting2 amat, gak chat dulu “bs ditelpon atau ngga” kalau gak dibls dalam jangka waktu yg lumayan lama barudeh ditelpon. Kecuali klrg atau emang bener2 urgent bgt Gak semua orang suka komunikasi via tlp, dan gua salah satunya😖"
rizkaaulia,2021-03-17 06:28:05,@hrdbacot Masih! di konsultan IT pun masih banyak yg pake kayak gitu. padahal konsultan IT loh wkwk
rizkaaulia,2021-03-10 05:08:06,"@hrdbacot Pernah, gajinya jauh dibawah gaji yg sekarang"
rizkaaulia,2021-03-04 15:07:02,"Perasaan kemaren2 udah bisa lupa deh, tiba2 kepikiran lagi cuma gara2 postingan yg blm tentu buat gua. Hadeh~"
rizkaaulia,2021-03-04 13:03:34,"Ayolah Riz, belajar untuk gak mikirin apa kata orang"
rizkaaulia,2021-02-24 04:12:43,"@miftirizkiana Mana gua ngambil barang udah kayak diusir dari rumah lagi dah, buru2 bgt🥲"
rizkaaulia,2021-02-23 21:49:30,@arindawp Yhaaa sedeket2nya kalo gak tidur satu rumah tetep sedih Mbaa🥲
rizkaaulia,2021-02-23 13:20:20,"Sedih bgtt gagal pulang ke rumah, padahal hari ini jadwalnya pulang sampe minggu depan. Kgn bgt sama rumaah padahal baru 2 malem gak tidur di rumah. Maklum dari kecil gak pernah merantau😔"
rizkaaulia,2021-02-19 07:27:42,"Apa2an ini, menuju wiken kerjaan malah padet😕"
rizkaaulia,2021-02-18 04:55:33,@enobchtiar Eh ada sepupuuuuu🙈🙈
rizkaaulia,2021-02-18 02:40:53,@arindawp Gak doyan ngupi Mba😌
rizkaaulia,2021-02-18 01:13:55,Pagi2 udah dibikin pusing 🤕
rizkaaulia,2021-02-15 10:51:38,@arindawp Jangan bilang lu udah mau lahiran Mba....
rizkaaulia,2021-02-14 14:56:36,Yok bisa yokkk Bismillah niatin ibadah
rizkaaulia,2021-02-13 07:03:36,*lagi bongkar2 isi lemari* ini kenapa banyak baju temen2 gua🤣
rizkaaulia,2021-02-12 11:45:38,@hanmula Akuntansi
rizkaaulia,2021-02-07 15:04:06,"Udah lama bgt gak workout, sekalinya workout lagi kepala langsung keliyengan🙃"
rizkaaulia,2021-01-23 00:12:25,@jacindarisfa Iyaa lebih baik kayak gitu juga kann daripada dikit2 cekout shopi 😂
rizkaaulia,2021-01-22 15:57:28,@jacindarisfa Aku juga gini Ciiinnn😂 gatel banget rasanya liat duit nganggur langsung nambah lot atau nambah bibit
rizkaaulia,2021-01-20 22:32:48,Yg bikin males resign itu ngurus perpindahan dan adaptasi di tempat baru. Duhh galau
rizkaaulia,2021-01-19 22:25:37,"Ternyata semalem jam set11 lewat diajakin zoom meeting. Untung gua udah tidur, jadi gak baca chat-nya deh"
rizkaaulia,2021-01-18 16:12:56,Malah makin rumit. Hft
rizkaaulia,2021-01-18 12:51:23,Kapan kelarnya yaa per-drama-an ini
rizkaaulia,2021-01-18 11:24:25,@novitaharani @hrdbacot Mohon maaf nih lewat TL saya Buu wkwkwk
rizkaaulia,2021-01-18 10:49:00,@novitaharani @hrdbacot ((((Kecuali sama doi)))) baikk wkwkwkwk
rizkaaulia,2021-01-13 15:01:22,"Nasehatin orang buat ikhlas dan sabar itu emang gampang, tapi praktek buat diri sendiri itu yg susah banget"
rizkaaulia,2021-01-13 06:19:30,@raamadhaan @TitoAhmadS Gua masih muda Ram wkwkwk Alhamdulillaah baikk
rizkaaulia,2021-01-13 06:12:29,@raamadhaan @TitoAhmadS Astagfirullaaah 😌
rizkaaulia,2021-01-13 06:11:38,@TitoAhmadS Yuk:)))
rizkaaulia,2021-01-13 05:57:57,"Salah emang balik ke rumah, sampe rumah langsung keingetan terus pengen marah cuma gaktau harus marah ke siapa:("
rizkaaulia,2021-01-06 13:26:23,"@hrdbacot Pernah dulu izin buat interview, izin pulang cepet bilangnya ada urusan keluarga pas sampe tempat interview, interviewernya suaminya atasan gua🙃🙃"
rizkaaulia,2021-01-06 11:33:37,@NaufalHujan Duhh liat jadwal yaaa wkwkwk
rizkaaulia,2021-01-06 10:28:59,@jacindarisfa Gakpapaa kok jadi overthink bersama kan(?) wkwk
rizkaaulia,2021-01-06 10:24:06,@jacindarisfa Dan sekarang jadi lewat tl ku...
rizkaaulia,2021-01-04 06:16:48,"Jajan mulu Riz, gimana mau beli rumah wkwk"
rizkaaulia,2021-01-04 02:03:15,@NaufalHujan Bangettt wkwk untung masih wfh
rizkaaulia,2021-01-04 01:33:42,"Semangat kerjaa, setelah libur 11 hari"
rizkaaulia,2021-01-01 09:22:16,@cndrma Galak:(
rizkaaulia,2020-12-31 10:35:57,@arindawp Hahahaha gakpapa Mbaaa demi nyenengin si dedeek
rizkaaulia,2020-12-31 09:55:32,@arindawp Gakpapa Mbaaa yg penting dedek bayi dan ibu nya sehaaaat❤️
rizkaaulia,2020-12-30 12:17:03,@arindawp Hahahaha abisan bingung mau sedih atau seneng liburan tinggal 4 hari lagi😂
rizkaaulia,2020-12-30 03:49:35,Gak berasa yaa liburannya tinggal 4 hari lagi ._.
rizkaaulia,2020-12-29 11:39:09,@adikiting Yaa begitulah emang dunia mau nyari kerja tuh ada ajaaa halangannya🤣
rizkaaulia,2020-12-29 11:38:27,@adikiting Iyaa gua rasa sih ini buat general role yaa dan emang ada beberapa jugaa posisi2 yg make excel pas kerjanyaa
rizkaaulia,2020-12-29 07:14:55,@adikiting IT dibagian data juga butuh excel soalnya wkwk
rizkaaulia,2020-12-29 07:14:34,"@adikiting Ya gak gitu Di maksudnyaaa wkwkwk kan tiap orang gak semuanya punya duit buat nambah skill khusus, dan gak semua lulusan S1. Jadi menurut gua wajar sih kalo mau kerja di kantoran (biasanya yg paling banyak diincer tuh admin) ngerti excel~~"
rizkaaulia,2020-12-28 08:56:51,Liburanku kali ini = rebahan
rizkaaulia,2020-12-26 12:07:17,@deviveb Sama banget Devv😌
rizkaaulia,2020-12-19 15:21:27,@novitaharani @NaufalHujan Sabar Nop. Nopal emang begituuuu wkwkwk
rizkaaulia,2020-12-19 10:03:39,@NaufalHujan Tetep elu yg payaaaah
rizkaaulia,2020-12-19 04:16:28,@NaufalHujan Gak janji yaaaaa wkwk
rizkaaulia,2020-12-19 03:45:01,@NaufalHujan PAYAHHH😌
rizkaaulia,2020-12-19 03:25:09,Kemana luuu katanya mau ikut sepedaan wkwk @NaufalHujan
rizkaaulia,2020-12-06 15:08:43,@NaufalHujan Yaaa begitulahh😌
rizkaaulia,2020-12-05 15:30:13,@NaufalHujan Untungnya gak terus2an sih:”)
rizkaaulia,2020-12-05 15:30:01,@MarioNurullyana Iyaaa Alhamdulillaah. Wkwk
rizkaaulia,2020-12-05 13:08:53,"Alhamdulillaahh malmingku kali ini gak di rumah, tapi di kantor...."
rizkaaulia,2020-12-05 09:19:30,@NaufalHujan Udah sering sih gua sebenernya wkwk
rizkaaulia,2020-12-05 09:13:46,@NaufalHujan Enaknya:”)
rizkaaulia,2020-12-04 12:46:46,"Masuk jam 8, jam segini masih kejebak macet~ https://t.co/hnbmxWDYsz"
rizkaaulia,2020-12-04 06:22:01,"@JeromePolin Gua bgt. Sampe2 udah masukin barang yg gua mau bgt ke keranjang shopee/tokped, terus ada yg bilang “taruhan yuk, yakin deh gak bakalan jadi lu beli tuh barang”😂"
rizkaaulia,2020-12-03 03:32:16,@auulsyifa Sehat2 Syifaaaa
rizkaaulia,2020-12-02 13:57:12,@enobchtiar Ihiiiy Enoooooo. Lancar2 yaaaa🥰
rizkaaulia,2020-11-23 14:20:48,Baru wfo (beneran) sehari aja badan udah sakit semua rasanya-_-
rizkaaulia,2020-11-19 10:02:24,Berusaha banget supaya nih twitter gak update
rizkaaulia,2020-11-16 03:29:19,"@ezash Jarak 25km, kurang lebih 1 jam naik motor"
rizkaaulia,2020-11-06 12:02:05,"Kalau baru ke kantor jam segini tuh serba salah bgt mau naik apaan. Kemungkinan besar baru balik dini hari, naik motor ngeri, naik grab/gocar juga takut😖"
rizkaaulia,2020-11-06 06:57:26,Udah lamaaaaa bgt gak ke kantor dan nanti malem mesti ke kantor tuh gimana yaaa padahal masih disuruh wfh
rizkaaulia,2020-11-01 15:05:31,Seneng banget baca berita hari ini perdana umroh dibuka untuk umum. Dan Indonesia bisa menjadi salah satu negara percontohan yg menjalankan ibadah Umroh dimasa uji coba ini. Alhamdulillaah 🥺
rizkaaulia,2020-10-31 16:31:54,"Gak berasa, besok udah minggu aja. Hari terakhir long weekend. Libur panjang lagi di akhir desember. Walaupun liburan gak kemana2, tapi bisa gak diteror kerjaan 5 hari itu seneeeeng bgt rasanya:”)"
rizkaaulia,2020-10-25 14:56:32,"Emang dasarnya gua bawel kali ya, sekalinya ketemu orang ngomongnya gak pake berhenti:("
rizkaaulia,2020-10-25 02:57:43,@arindawp Bismillah Mbaaa jangan takuuut InsyaAllah gakpapaa semangat bumil💪💪
rizkaaulia,2020-10-25 01:35:41,@arindawp HPL kapan Mbaaa?
rizkaaulia,2020-10-17 03:20:22,@hrdbacot Selama gua kerja gak pernah yg namanya ngerasain bonus😌
rizkaaulia,2020-10-14 02:04:30,"Abis merger, BRIS meroket teruuus nyesel gak beli banyak pas harga 700an😭😭😭"
rizkaaulia,2020-10-11 22:58:15,@gabynadira Sehat2 Gaby dan dedek bayinyaaaaa🥰
rizkaaulia,2020-10-07 08:00:06,@novitaharani Kenapa Nopppp?
rizkaaulia,2020-10-05 14:51:31,"Kemaren ngebahas jogja, jadi pengen ke jogja beneran kan tuh gua🙃"
rizkaaulia,2020-10-03 21:40:35,@ecclyanggr Uwuuuuuuuu🥰🥰
rizkaaulia,2020-09-29 16:01:06,@dnsDinaa Bener bangetttt hhh
rizkaaulia,2020-09-29 12:27:03,"Paling gak suka kalo dikit2 telpon dikit2 telpon. Selagi masih bisa lewat watsap/email kenapa gak lewat itu dulu sih, udah mana telponnya jam segini. Kan udah lewat jam kantor😤"
rizkaaulia,2020-09-28 12:07:43,@MrsEuscha Ini jajanan emang enak bangetttt
rizkaaulia,2020-09-24 02:23:47,@enobchtiar Iyaa balik ke pd ranji lagii😆 waaa jauh amat kerjanyaaaaa
rizkaaulia,2020-09-23 03:17:48,"@enobchtiar Udah enggak, No. udah lama gak di sana, skrg balik lagi ke daerah rumah sblm ke kreo, di pondok ranji ehehe waaa jauh bgt mainnyaa😆"
rizkaaulia,2020-09-23 02:10:18,@nonikhr @collegemenfess Non.. kok sama:”)
