username,created_at,text
salisnurk,2021-06-13 01:37:00,Suka captionnya https://t.co/1KXKbrKv2d
salisnurk,2021-06-11 08:16:17,@faqihaddien Makasih ya Mas ceritanya
salisnurk,2021-06-09 09:08:02,@novemlawalata #BTSMeal dengan kearifan lokal ya mas😂
salisnurk,2021-06-08 15:40:13,@canva 🧶
salisnurk,2021-06-04 23:41:00,"Bahagia yg sama seperti pas aku nyelesaiin proyek. Kadang di tengah proses ada hitungan stitch yg salah, kelopaknya kelebihan, lupa pola. Baru sadar pas kerjaan rampung. Dan ternyata hasilnya gak sebagus yg diharapkan. Gapapa, tetep puas dan bahagia🌻❤️ https://t.co/L1OOvypng6 https://t.co/rkqlkhREtU"
salisnurk,2021-06-04 02:47:09,@canva 😎
salisnurk,2021-06-03 15:32:55,@canva IG story🌻 https://t.co/PoiTGryVa6
salisnurk,2021-06-03 12:14:06,@theyulianto Itu bukan pusing. Tapi ngeleh
salisnurk,2021-06-03 11:00:21,Tam tam tararara tam tam🎶 Teruuuss terngiang ngiang
salisnurk,2021-06-02 14:45:49,@sadness_loop Sugeng dalu
salisnurk,2021-05-31 08:50:02,Loncang ranger👩‍🌾 sekarang aku tau kenapa stok loncang di pasar selalu unlimited https://t.co/OF1vb47MjG
salisnurk,2021-05-31 03:08:56,@KevinOwenSulliv Kamu cuma rindu
salisnurk,2021-05-29 15:35:43,Memasuki waktu malam minggu bagian merindu
salisnurk,2021-05-29 09:54:32,@heyminau Karang hoo e. Skill perjajananku kalah ro bocah umur 5 taon😂
salisnurk,2021-05-29 06:07:17,"@rimueng_aulia7 @KRMTRoySuryo2 Enggak, meteornya ga jatuh ke gunung"
salisnurk,2021-05-29 06:03:23,"@heyminau @ahongpleong Maem neng ngomah everyday. Nek pengen jajan maem palingan mi ayam cerak omah, soto cerak omah, sego angkringan cerak omah, bakso cerak omah, bakmi godhog cerak omah. Wes top 5 kulineran terbaik sak Jogja versiku"
salisnurk,2021-05-29 05:57:28,@sakkarepmula Wajib militer nih pasti
salisnurk,2021-05-28 09:13:20,@merapi_uncover Mada kono sekai wa
salisnurk,2021-05-28 05:12:52,"@fiilutfi37 @merapi_uncover Pakai aplikasi Microsoft Lens, bisa foto dokumen, outputnya PDF atau foto. Tergantung kebutuhan. Pinggirnya juga rapi kayak hasil scan. Ini contoh hasilnya https://t.co/4ssLPX7rXn"
salisnurk,2021-05-28 04:57:00,"@novemlawalata @angga_eighties Yakk betul sekali. Seumur umur maem di Malioboro juga cuma satu kali. Padahal tinggalnya di Jogja. Kalau buat hari-hari mah, makan lebih sering di pasar Cebongan😌"
salisnurk,2021-05-27 12:21:01,@heyminau Opo ra malah dikiro wong kurang gawean?🤣
salisnurk,2021-05-27 12:14:06,@heyminau Ide bagus. Neng yo koplakk🤣
salisnurk,2021-05-27 11:44:57,Aku ketika ingin dolan ❌bingung milih setelan klambi ❌bingung ngejak sopo mergo re duwe konco ❌bingung meh dolan nendi ✅bingung arep nggowo tas sek endi kok ya apik kabeh heii🤩 https://t.co/fr1njfjfPD
salisnurk,2021-05-23 12:34:18,Puas banget bikin tas yang hasilnya cantik. I'm so satisfied🌻😍 https://t.co/jT06qqQ5ag
salisnurk,2021-05-22 12:51:59,@sadness_loop Before - after #KevInEditing https://t.co/1FVMY8UndS
salisnurk,2021-05-21 13:57:14,Biarkan ku berkembang🌻 https://t.co/cqYboAz9YU
salisnurk,2021-05-20 10:40:32,Rindu mi ayam polsek. Sesok cuss
salisnurk,2021-05-19 13:26:53,@theyulianto @Jogja_Uncover Menawi Jogja damel planetarium kadose sae @kratonjogja
salisnurk,2021-05-19 05:03:10,Sungguh melatih sabar
salisnurk,2021-05-19 04:07:47,@KevinOwenSulliv Ampun dah leletnya
salisnurk,2021-05-19 02:58:00,Apa yang membuatmu mangkel hari ini? Me : koneksi internet indihom https://t.co/PB3uGgcH0s
salisnurk,2021-05-16 13:31:02,Please help @UN @UNHumanRights https://t.co/3Ob1mf7JYa
salisnurk,2021-05-16 03:31:18,Please help Palestine @UN @UNHumanRights @UN_Women https://t.co/XEA3zbVkK1
salisnurk,2021-05-12 16:16:32,@sukrimbatt Yo kene mulane tak weruhi😂
salisnurk,2021-05-12 16:12:47,@sukrimbatt Sini ke rumahku. Kemana lagi emang
salisnurk,2021-05-12 13:04:58,@sukrimbatt Ke sini aja bat lebarannya🕌
salisnurk,2021-05-12 03:46:49,@merapi_uncover Mi ayam polsek Mlati
salisnurk,2021-05-11 13:55:42,Jejak parfum bikin rindu
salisnurk,2021-05-10 02:04:42,"@sadness_loop Eh masnya inget. Hai mas, selamat pagi👋🌄"
salisnurk,2021-05-09 15:42:51,Mataharikuuu🌻 https://t.co/nc1x8CxrNa
salisnurk,2021-05-09 15:37:33,Pernah dibales komen sama om dokter @GiaPratamaMD dan mas lingkaran kepiluan suka memotret @sadness_loop Dan aku yakin mereka tidak ingat https://t.co/yWpB35NBlF
salisnurk,2021-05-09 15:28:34,@heyminau tapi ... tapi rasido😂
salisnurk,2021-05-09 11:25:42,"Sebenarnya rindu, tapi"
salisnurk,2021-04-30 10:57:33,@jahatlicious_ *spion e kuwalik
salisnurk,2021-04-27 14:48:02,@sadness_loop Well when you go
salisnurk,2021-04-27 13:34:44,Jadi apa Thanos itu sebenarnya adalah makhluk yang diciptakan berbahan dasar ubi ungu? 🍠 https://t.co/TGmZm88mEg
salisnurk,2021-04-26 13:49:05,"@jokowi, Sangihe pulau yang indah. Kami TOLAK tambang! #SaveSangiheIsland - Tandatangani Petisi! https://t.co/Gcjryybk5Q lewat @ChangeOrg_ID"
salisnurk,2021-04-24 14:35:45,"@zulfafw Otw memunculkan mbak, nunggu mejid e rampung dibangunn"
salisnurk,2021-04-24 14:31:16,@zulfafw Jelas ora to yo mbak😂
salisnurk,2021-04-24 09:23:45,https://t.co/Mki8qkEZnF
salisnurk,2021-04-22 05:47:08,https://t.co/YbeI1qlj6S
salisnurk,2021-04-21 15:22:42,@AchmadIrfandaa Couldn't agree more
salisnurk,2021-04-21 13:19:25,@merapi_uncover Apa ini seberangnya Kali Woro?
salisnurk,2021-04-21 13:17:15,https://t.co/YOi8aNpWfz
salisnurk,2021-04-21 02:50:46,❌Retweet karena pemandangannya bagus ✅Retweet karena lagu https://t.co/sgPEk9dPpU
salisnurk,2021-04-20 08:08:37,🌞⛰️ https://t.co/386frBqchc
salisnurk,2021-04-16 12:51:04,Here's another tiyang sae I know from dunia maya. Sehat selalu❤️ https://t.co/wsdJJbaRBs
salisnurk,2021-04-16 08:54:18,@heyminau Halu ndipek menowo kurir paket kangmas Seonho🤣
