username,created_at,text
salsabilabia,2021-06-12 10:18:08,@farahsoufana Yakannnn 😭😭😭
salsabilabia,2021-06-11 21:11:53,"@jauyarfiari Semangat mba joyaaa, semoga lancar. Aamiin ❤️‍🔥"
salsabilabia,2021-06-11 21:10:33,"Akhir-akhir ini tdr cpt, tapi bangun jam 2an trs gbsa tdr lagi 😩"
salsabilabia,2021-06-11 10:52:11,@farahsoufana https://t.co/w6tJSsQkUE
salsabilabia,2021-06-11 10:38:16,"@farahsoufana Maaf bun, ga baca :("
salsabilabia,2021-06-11 09:11:27,@DayangFeniR Sini pulang jogs
salsabilabia,2021-06-10 17:32:48,@bangopang_ @rezifahlevie
salsabilabia,2021-06-10 17:32:09,@alpokatmentega im sorry
salsabilabia,2021-06-10 17:30:45,@FOODFESS2 🤣🤣🤣😂
salsabilabia,2021-06-10 17:29:35,@SBKCF @rezifahlevie
salsabilabia,2021-06-10 13:18:02,@FOODFESS2 Kucai
salsabilabia,2021-06-09 21:17:48,@GitaaSS Semangat pupun
salsabilabia,2021-06-09 11:28:59,@limuncola numpang nyari spotify yg bisa payment via jenius yaa 🙏🏻
salsabilabia,2021-06-09 10:39:17,McD x PDIP ga sabar deh 🤣 https://t.co/9I4CcphZ8A
salsabilabia,2021-06-07 14:46:49,"@selviayni i feel you, aku minus 5 tp males pake kacamata wkwk bnr2 nd liat 😂"
salsabilabia,2021-06-07 08:56:29,@FTNKHRL 🤣
salsabilabia,2021-06-07 08:52:02,@faizaufi Nangis bgt wkwkwk
salsabilabia,2021-06-06 18:47:11,@winamw Semangat mbawinnnn ❤️
salsabilabia,2021-06-03 18:09:48,@FOODFESS2 Jadi pengen hokben 🥺
salsabilabia,2021-06-02 19:37:41,@rkrynldi https://t.co/rd0GArPMMb
salsabilabia,2021-06-02 19:32:14,"@rkrynldi Halah, ada rokok pun tetap nangis krn overthink"
salsabilabia,2021-06-02 16:57:33,@rezifahlevie @kortugi_ngetwit Takut bgt
salsabilabia,2021-06-02 05:11:50,@FOODFESS2 @rezifahlevie
salsabilabia,2021-06-01 17:34:46,@DayangFeniR ttt
salsabilabia,2021-06-01 16:44:34,@kortugi_ngetwit 😭😭😭
salsabilabia,2021-05-31 20:54:06,Bikini bottom https://t.co/VetO8jgays
salsabilabia,2021-05-31 20:52:49,@twitkocheng Krisis identitas @rezifahlevie
salsabilabia,2021-05-31 20:51:43,@rezifahlevie Jogja yg murah cuma UMR
salsabilabia,2021-05-30 15:56:36,@DayangFeniR @GitaaSS hail nassar oppa kiyowo https://t.co/751WoXeeDj
salsabilabia,2021-05-30 06:22:22,"@dayatpiliang Jepang, negaranya kayak seru bgt 🥺❤️"
salsabilabia,2021-05-30 05:22:38,@fav0ritesin WKWKWKWK
salsabilabia,2021-05-29 18:19:28,@ashillazhrtiara @caaaclrs
salsabilabia,2021-05-29 18:13:41,"@yusufpawit Jadi kangen main downhill, playernya milih t-bag 🤣"
salsabilabia,2021-05-29 17:01:05,@latifawp https://t.co/X5yNSuN1nb
salsabilabia,2021-05-29 17:00:37,@rezifahlevie km bangga gak
salsabilabia,2021-05-29 06:23:37,Tiap mau ujian atau abis ujian selalu merenung knp aku memilih jalan hidup yg ribet ini https://t.co/0q40t75T2i
salsabilabia,2021-05-29 06:19:53,@latifawp aku jg
salsabilabia,2021-05-29 05:00:15,Spesialis penyakit mulut keren bgt bisa inget semua
salsabilabia,2021-05-29 04:59:28,"LCE lesi oral ni, belajar apa keluar apa saking banyaknya kasus 🥲🙏🏻"
salsabilabia,2021-05-28 14:09:26,@windaul How sweet 🥺❤️
salsabilabia,2021-05-28 14:03:13,@sleepparadise Bisa dung
salsabilabia,2021-05-28 14:03:03,@tanpayovie Wkwkw thanks nunooo
salsabilabia,2021-05-28 13:52:39,@kupiarif Kok kita blm 🤣 @GitaaSS @DayangFeniR @caaaclrs @rikkamaulida
salsabilabia,2021-05-28 13:49:55,@sundaykisseu Pennnn @DayangFeniR nikahan @caaaclrs
salsabilabia,2021-05-28 13:45:43,@NurFitriyaanaa Omggg dr kmrn kepikiran apa kbr cimon 🥺
salsabilabia,2021-05-28 13:45:14,@twitkocheng Wkwkw
salsabilabia,2021-05-28 13:45:02,@sdmutiara @pipinpinastikaa 😭😭😭
salsabilabia,2021-05-28 11:41:09,@caaaclrs lalu galau dik @DayangFeniR
salsabilabia,2021-05-28 09:34:01,YAAAAY WKWK 😂 https://t.co/jwjUCQm9KF
salsabilabia,2021-05-28 09:07:24,@FOODFESS2 yoshi
salsabilabia,2021-05-28 09:05:40,@DayangFeniR Rokok elsa merk dji sam soe
salsabilabia,2021-05-27 19:04:40,tiba-tiba bm mcspicy 😭
salsabilabia,2021-05-26 16:01:01,@CenayangFilm Ini div @afradiva96
salsabilabia,2021-05-26 14:52:21,@catsnkittys ✨NONGKRONG✨
salsabilabia,2021-05-26 10:03:31,@sdmutiara @pipinpinastikaa Original tu isinya apa sih ._.
salsabilabia,2021-05-26 08:05:51,"Bye libur lebaran, welcome LCE 🙂🙏🏻"
salsabilabia,2021-05-26 08:03:25,@catsnkittys OMG?
salsabilabia,2021-05-26 08:02:00,@SIntan_ Aww mau coba ah
salsabilabia,2021-05-26 07:56:15,@markcutiess @bertanyarl Naksir cowok molto 🤣🙏🏻
salsabilabia,2021-05-26 06:46:41,"Tim makan mie telornya diceplok dulu sblm direbus, ga bisa bgt makan telor rebus bulet gini kecuali yg di siomay 🙏🏻 https://t.co/WHVlUYrgPT"
salsabilabia,2021-05-26 06:43:59,@caaaclrs https://t.co/mEdAVQxu28
salsabilabia,2021-05-26 06:43:23,"@pipinpinastikaa roti gembong apa pin? kmrn aku nyobain roti gembong golden, tp katanya enakan yg roti gembong gedhe"
salsabilabia,2021-05-26 05:40:25,@txtdrpemerintah gak usah khawatir kepala kau
salsabilabia,2021-05-26 05:37:35,Roti gembong enak bgt
salsabilabia,2021-05-26 03:33:55,@heeburans Tolong bgt penjarain
salsabilabia,2021-05-26 03:05:09,@ovo_id @latifawp Balikin duit tmn saya min
salsabilabia,2021-05-25 14:46:32,@caaaclrs 🙂🙂🙂
salsabilabia,2021-05-25 11:37:05,@DayangFeniR 🤣🤣🤣
salsabilabia,2021-05-25 08:43:58,@DayangFeniR @GitaaSS Dampen jaras
salsabilabia,2021-05-24 16:43:45,@DayangFeniR yuk pen bulan dpn bisa nikah yuk
salsabilabia,2021-05-24 16:43:08,@DayangFeniR @GitaaSS 🤣🤣🤣🤣
salsabilabia,2021-05-24 16:42:35,HOMESICKKKK
salsabilabia,2021-05-24 05:05:05,"Capek bgt test covid, minggu depan test lagi 😡"
salsabilabia,2021-05-23 09:40:44,"@UMYogya Tidak terasa HARI cepat berLALU sampai WAKTU libur pun HILANG begitu saja. Meski CORONA masih ada di sekitar KITA dan TUGAS yg TIADA hentinya, tapi PERCAYALAH selalu ada HIKMAH dibalik semua ini. SELAMAT kembali MASUK kuliah, tetap SEMANGAT semuanya. Dari ADMIN yg lagi ngadmin"
