username,created_at,text
tahtaallfina,2021-06-06 12:52:25,@radenrauf Grabfood 6.6 😁😁 @GrabID
tahtaallfina,2021-06-06 12:50:33,Akhirnya nemu bakso dan rujak cingur yg masuk dilidah. Setelah sekian lama hidup disini.. 😖😖
tahtaallfina,2021-06-06 12:46:29,@Mustofaonly @jek___ Terngakak nih.. 🤣🤣
tahtaallfina,2021-06-06 11:49:49,@andihiyat Mari kita cobaaa...
tahtaallfina,2021-06-06 04:40:21,@RamadhanDitya Mari ngunu mbok ghosting.. 🤭🤭
tahtaallfina,2021-06-03 13:47:07,Hp kentang beraksi.. #LangitMojokerto 💞 https://t.co/V1zkTEkP0n
tahtaallfina,2021-05-30 11:56:44,Bakpia patok rasa mint.. Endul😁😍 https://t.co/Hb0Zkf9S9f
tahtaallfina,2021-05-25 00:52:48,"@RamadhanDitya Eh, sang pengobral janji lewat.. 🤭🤣"
tahtaallfina,2021-05-24 23:38:23,Korban kepo.. 🤭🤭 https://t.co/hbLHeazllK
tahtaallfina,2021-05-21 12:16:45,@infoBMKG Di Mojokerto kerasa banget.. Mana lagi rebahan
tahtaallfina,2021-05-19 02:01:08,"Pernah, aku pernah menyerah.. Memilih utk berhenti menjadi orang baik.. Tapi bukankah Tuhan Maha Adil? Jadi apa yang kamu khawatirkan jika ternyata dunia tidak memberimu sebaliknya? Terima kasih inspirasinya Melanie.. 🙏🙏 https://t.co/lzocVGrdpE"
tahtaallfina,2021-05-17 14:28:45,"Next Level vs IGAB. Type2 lagu yg kudu ndengerin berkali2 atau nonton live pf dlu, baru kemudian ketagihan😅😅"
tahtaallfina,2021-05-17 13:26:42,@uttazt_ Sering..
tahtaallfina,2021-05-16 08:38:15,"Cant wait to see yaa, Lee Uju.. Kayaknya ini drakor yang paling banyak kutonton sepanjang sejarah. Smp 6x 😍😍 https://t.co/myQDv3eurZ"
tahtaallfina,2021-05-16 08:24:11,@heidyanggraini Ga mudik Heid?
tahtaallfina,2021-05-16 08:22:01,@dewahoya Masuk RDN
tahtaallfina,2021-05-14 08:07:53,@mojokdotco Amiiiiinnnnnnnn 😁🙏
tahtaallfina,2021-05-14 06:34:39,@mojokdotco Minimalis banget lebaran tahun ini.. https://t.co/lTFR4KvQ32
tahtaallfina,2021-05-12 03:10:41,Mudik rasa meeting PLP 🤣🤣
tahtaallfina,2021-05-07 15:25:45,Kenapa dunia ini begitu hitam? Atau aku saja yang menganggapnya terlalu putih?
tahtaallfina,2021-05-06 07:33:27,@LianBriliana Ho oh. Iseng. Trus kebablasen😁😁
tahtaallfina,2021-05-06 07:17:07,@LianBriliana Iyess.. gara2 itu dan kepincut sama lagu best friend dan apology. 😍😍
tahtaallfina,2021-05-06 05:24:17,Jadi bucin banget sama iKon🙈🙈🙈
tahtaallfina,2021-05-06 04:39:14,@JeromePolin Twitnya vibes2 nya ust @jek___ 🤦‍♀️🤦‍♀️🤦‍♀️
tahtaallfina,2021-05-04 13:53:56,@BaekBoy__ @radenrauf Ketemu keluarga dan mereka semua dalam keadaan sehat..
tahtaallfina,2021-05-04 13:52:09,@daraprayoga_ Belajar menerima arti kehilangan.. Dan belajar untuk menyederhanakan sikap dalam menghadapi keputusan Tuhan..
tahtaallfina,2021-05-04 13:46:19,@aldysuhanda_ Melompat Lebih Tinggi - Sheila on 7
tahtaallfina,2021-05-04 13:45:30,@aryvolution Trendingku kok isine ikatan cinta karo mas duta to Ar.. wkwkk
tahtaallfina,2021-05-03 13:36:34,Ya Allah sek suweeeee.. 🤦‍♀️🤦‍♀️ https://t.co/bAX1zZXgWk
tahtaallfina,2021-05-03 03:00:39,@jimmonx Iyoo. Pengenku..😁
tahtaallfina,2021-05-03 00:05:48,"@jimmonx View Gn Penanggungan dr tempat kerjaku, monx.."
tahtaallfina,2021-05-03 00:00:26,"Still.. another favourite ""someday"" https://t.co/Tx8xF4IlnZ"
tahtaallfina,2021-05-02 09:32:52,@hermawan_devina Terima kasih resepnya..😍 Enak emang. Pernah nyoba langsung pas di Mekong
tahtaallfina,2021-05-01 04:28:07,@leo_edw Tunggu mendidih
tahtaallfina,2021-04-30 10:16:05,@radenrauf Definisi sahabat itu yg spt apa?
tahtaallfina,2021-04-26 13:07:22,@aryvolution Amiin Ar.. matur nuwun doanya🙏🙏
tahtaallfina,2021-04-26 13:06:57,@AnisUstanti Big hug chuu.. 🤗🤗
tahtaallfina,2021-04-24 15:26:57,"3 days after you left.. Dear Grandma, thanks for everything.. So lucky for having you.. Ilove you, more than you knew.. 🤍🤍 https://t.co/MBGyGWUoPP"
tahtaallfina,2021-04-24 10:21:45,@jimmonx Emsidi..
tahtaallfina,2021-04-22 15:14:22,Another broken heart.. https://t.co/xX8UIR8rPw
tahtaallfina,2021-04-20 15:15:33,"@radenrauf Diberi kesehatan, dikelilingi orang2 baik, atas semua kesibukan yg semoga menjadi berkah, rezeki dan masih banyak lagi.. Alhamdulillah pokoknya.."
tahtaallfina,2021-04-17 10:04:25,"@PerkapRumah Min, request meja riasnya.. Thanks"
tahtaallfina,2021-04-15 12:55:57,🤣😁🥰🤭😏🙏 https://t.co/Kvy7QDzf1P
tahtaallfina,2021-04-14 09:23:28,Salam nyangkut 🤣🤣🤣 https://t.co/EtG4S5yfHL
tahtaallfina,2021-04-10 08:21:13,@jimmonx @AnisUstanti Posisi kalian emang dimana gaess?
tahtaallfina,2021-04-10 07:13:41,"Lagi rebahan.. Me : (mbatin) ""kok enak ya kayak naik ayunan"". Ebes : keluar dr kamar.. ""ada gempa ya?"" Me : 😳😳 *Kadang aku memang tidak peka😭😭"
tahtaallfina,2021-04-10 07:05:08,@chancundra Iyo.. barusan
tahtaallfina,2021-04-07 15:03:12,Mau berangkat tidur loh adaaaa aja yg bikin hemmm.. 🥴🥴
tahtaallfina,2021-04-07 10:13:50,@LianBriliana Rodok bondo sitik. Nggowo tripod..😁😁
tahtaallfina,2021-04-07 10:03:19,"@LianBriliana Iyaa. Bener banget. Aku pengen kesana, aku pengen kesini. Bebass. Repotnya cuma 1, yg motoin ga ada. 🤣🤣"
tahtaallfina,2021-04-07 06:38:54,"@LianBriliana Pertamae karena terpaksa. Soale sambil tugas dinas wkwkk. Tp setelah dijalani, enak2 aja. No dramaa 😁😁"
tahtaallfina,2021-04-06 14:45:49,Punya paketan Disney+ Hotstar.. Hunting film baru❌ Rewatch film2nya MCU ✅ Gabut bener 🤣🤣
tahtaallfina,2021-04-04 12:35:31,Travelling sendiri pernah.. Makan sendiri di resto pernah.. Ngemall sendiri pernah. Apalagi ke Gramed. Kayake mending sendiri. Yang belum pernah adalah nonton sendiri. Pengen nyoba tp keduluan sama corona.🤧🤧 https://t.co/5Iqu5FBPlK
tahtaallfina,2021-04-01 06:57:33,Karena tugas manusia memanglah untuk berusaha. Sebaik-baiknya..
tahtaallfina,2021-03-29 09:59:48,Pengen nonton konsernya YGF https://t.co/Bx39K1xJ84
tahtaallfina,2021-03-27 13:53:59,"@daraprayoga_ 1. Banyakin air putih. 2. Olahraga lari. 2 hari sekali. 3. Rutin sarapan. 4. Perbanyak sayuran. 5. Tidur jam maks jam 22.00 6. Belajar lebih ""bodo amat"". 7. Bersyukur"
tahtaallfina,2021-03-24 02:51:26,"@aryvolution Selamat yo Ar.. sehat selalu buat adek dan ibunya juga. Semoga jadi anak yg sholeh/sholehah dan berbakti pada orang tua. Salam buat Rizk, Ar.."
