username,created_at,text
ursnflwr_,2021-06-06 17:55:09,"Happy, thankyou."
ursnflwr_,2021-06-06 17:41:57,@strawberryn_ He lapo lengg
ursnflwr_,2021-06-01 15:50:57,"@moonranner Pas ada live musicnyaa ajee enaak, tp yg nyanyi harus mba yg gemoy itu:(("
ursnflwr_,2021-06-01 15:48:51,@moonranner Valid no debat no kechot
ursnflwr_,2021-05-27 09:29:04,@13akajin Spill dong kaaaa beli dimanaaaa
ursnflwr_,2021-05-15 16:22:27,"@wheresmylovergo Ehhhhh, es teh masih enak dan seger lohhhh plisssss:((("
ursnflwr_,2021-05-15 16:03:09,@amdyusron Ngakak aku maaf ya:(
ursnflwr_,2021-05-15 15:59:45,@moonranner Maaf aku raguuu mau nyapa🥲
ursnflwr_,2021-05-15 07:22:22,@txtdaridinas Hmmmm unamenya doi:|
ursnflwr_,2021-05-15 07:20:11,@ngalamfess Lesgo
ursnflwr_,2021-05-15 07:18:17,"@ahsuuuu Kaget mas, takkiro gondanglegi desoku😭"
ursnflwr_,2021-05-14 13:12:40,@admzlfkr Lek disangoni gakiro ngersulo aku😭
ursnflwr_,2021-05-14 13:09:56,@admzlfkr Emakku rabian bgst
ursnflwr_,2021-05-14 13:08:28,"Ya ampon salah mulu, gini ya rasanya punya 3 keluarga"
ursnflwr_,2021-05-13 16:21:37,@ripanpan Ngomong apase?:|
ursnflwr_,2021-05-13 02:46:45,Ayahku afk sejak 6 tahun lalu:) https://t.co/Fa53QndbqB
ursnflwr_,2021-05-13 02:46:16,@nggantengpolll Melok nang masjid tok ga sholat tp wkwk
ursnflwr_,2021-05-12 12:37:12,Lebaran ketiga ngga ikut sholat🙃
ursnflwr_,2021-05-11 08:16:51,@aidanuramalia_ Spill eyeliner kakk😭
ursnflwr_,2021-05-11 07:31:02,Asli malem2 nangis liat beginian di tiktok:” https://t.co/69rZb8uZOc
ursnflwr_,2021-05-10 00:16:18,@AnggikPrasetyaa Semoga menang akuuuuuuu:”
ursnflwr_,2021-05-09 02:53:36,@kimhaamjja Ngkok sidooo aaaaaaa
ursnflwr_,2021-05-03 20:16:55,@abcdekki @yourbae Lakaasuut
ursnflwr_,2021-05-03 19:26:16,@yourbae Universitas muhammadiyah malang bang?
ursnflwr_,2021-05-02 08:11:51,🥲
ursnflwr_,2021-05-02 07:31:28,@Larikehutan Anjrit ekkwkw
ursnflwr_,2021-04-29 13:20:15,Cape nanges seh wqwq
ursnflwr_,2021-04-29 13:19:16,Cape bgt overthinking mulu dah:”
ursnflwr_,2021-04-29 06:12:08,"Pantes nde gdl akeh polisi:"" https://t.co/4Ez5JJlMKU"
ursnflwr_,2021-04-27 19:30:13,"@tengscot Twitter ga adil emang:"""
ursnflwr_,2021-04-27 18:44:26,@jjholili Nde endi:(
ursnflwr_,2021-04-27 18:44:03,@tengscot Wkwkwk iya tadi sempet join😂
ursnflwr_,2021-04-27 18:24:53,Sepi amatttttt
ursnflwr_,2021-04-27 13:51:24,@cijeukei @UMMfess Boleh nih kak
ursnflwr_,2021-04-27 11:46:08,@UMMfess Dom mana nder?
ursnflwr_,2021-04-22 08:45:20,By.u error??
ursnflwr_,2021-04-21 19:17:15,@dpfx55 Aaaaa thankyouuu mass
ursnflwr_,2021-04-21 19:10:02,@dpfx55 I miss you so fucking bad wkwkwkwkwkwkkw
ursnflwr_,2021-04-21 19:08:09,Malang adem banget seeeeeeee
ursnflwr_,2021-04-21 06:15:07,@kimhaamjja @admzlfkr Mosok yo mbe aku mat kaaah
ursnflwr_,2021-04-21 06:00:16,@nggantengpolll Heh lambe ya
ursnflwr_,2021-04-20 21:36:48,@xoxocholote_ Nemen:((
ursnflwr_,2021-04-20 21:13:35,@RismanD10 Wkwkwk bisa jadiii😂
ursnflwr_,2021-04-20 21:09:43,@bersuarsuara Laaahhh? Poso sampe sebulan dong?:|
ursnflwr_,2021-04-20 21:09:27,@wydwcy Ongkepp paling yaaaa:)))
ursnflwr_,2021-04-20 21:09:16,"@tengscot Gatau, gerah kali ye😂😂"
ursnflwr_,2021-04-20 21:08:47,@bersuarsuara Mas tara ga pisan a? Wkwk
ursnflwr_,2021-04-20 21:06:56,Terpantau ibuku keramas sebelum imsak(:
ursnflwr_,2021-04-19 08:51:12,@nggantengpolll Turuuu:((
ursnflwr_,2021-04-19 08:50:31,@nggantengpolll Ngunu aku ga ditlfn anjgg😭
ursnflwr_,2021-04-18 14:21:51,@chintaaand @nggantengpolll Hey aku melihat percakapan kalian😂
ursnflwr_,2021-04-14 10:39:00,Wkwkkw tau dah https://t.co/HKBklRdrtM
ursnflwr_,2021-04-14 10:36:54,@luvkentangmcd Aku seng nyayang😡
ursnflwr_,2021-04-14 10:34:51,@luvkentangmcd Cek onok seng ngucapin:”)
ursnflwr_,2021-04-14 10:34:07,Selamat buka puasa sayang
ursnflwr_,2021-04-11 02:37:50,Anjg sedih bgt w
ursnflwr_,2021-04-10 07:07:40,@bimohertianzah_ Waaahhhh parahh
ursnflwr_,2021-04-10 07:07:26,Ibukku mlayu sampe ngompol2😭
ursnflwr_,2021-04-10 07:04:29,OPO FAKKK KENCENG BGT LINDU EEEE
ursnflwr_,2021-04-09 07:27:46,MAK PAR GA SEENAK JARE WONG-WONG. https://t.co/pGsxLogWKm
ursnflwr_,2021-04-09 07:27:17,@C_Basyeiban11 Mak par ga enak maksudku😭
ursnflwr_,2021-04-09 07:15:34,Uakeh bgt sih sebener e wkwk😭
ursnflwr_,2021-04-09 06:58:27,"@GairdoAzhary Lek iku ket bien sih mas ancen, semenjak ebes ganok bosok e dulur2 e keungkap kabeh😂"
ursnflwr_,2021-04-09 06:50:35,@nggantengpolll Takut dibungkus:(
