username,created_at,text
ussiiyy,2021-03-28 14:58:30,2014
ussiiyy,2021-03-27 15:19:55,😊
ussiiyy,2021-03-27 13:12:24,"@ulat_bulu_bulu selalu dtg kalo ada latihan, tapi duduk nya kebalik https://t.co/khxbdmHeGY"
ussiiyy,2021-03-27 09:24:04,tidur siang enak bgtttt
ussiiyy,2021-03-27 05:54:38,sayang nya aku hbd #TheLalisaDay 😘 https://t.co/9Chczciat5
ussiiyy,2021-03-27 03:48:45,"perhatian bgt wali murid , heran🥰"
ussiiyy,2021-03-27 01:36:18,@whynotxy aamin makasih winoy
ussiiyy,2021-03-26 23:17:30,@afifahnat y😡
ussiiyy,2021-03-26 23:17:25,@whynotxy perih not🥲
ussiiyy,2021-03-26 14:53:36,@tyaramdhani17 perih kaki w🥲
ussiiyy,2021-03-26 14:52:40,@afifahnat masih idup peh alhamdulillah wkwkkw
ussiiyy,2021-03-26 10:18:54,"mang ngantuk tu tidur ya bun, kan jd nabrak tiang listrik , tiangnya gapapa motornya gapapa gw nya wallahualam https://t.co/7thtN44S5I"
ussiiyy,2021-03-25 23:41:17,ya Allah ngantuggghhhhhggghggg
ussiiyy,2021-03-25 14:52:11,"“pas lg dizalimin jgn bales do’ain yg jelek2, itu mah namanya imbang, seri, pas dizalimin gunain doa dengan sebaik2 nya”..."
ussiiyy,2021-03-24 14:23:46,coba bedain rasanya air mendidih godokan sama air panas dispenser 🤭
ussiiyy,2021-03-24 14:21:31,quququ https://t.co/eQoDsZXyqV
ussiiyy,2021-03-22 11:32:23,nangis ampe ga mood ngapa2in.bener2 emg hey bye mama👏
ussiiyy,2021-03-21 14:42:06,"pagi2 ketemu di travel, makan nasi uduk🤣🤣🤣 https://t.co/4gubExxVp6"
ussiiyy,2021-03-21 14:29:33,grgr winot nanya ttg miko mall stella di bdg jd teringat akan .-. https://t.co/5GRLEUxeYx
ussiiyy,2021-03-21 04:06:18,kaget masa ada di radio lokal ya mantap #OnTheGround https://t.co/gxz1x6Gyw5
ussiiyy,2021-03-21 01:38:50,marathon drakor be lyke https://t.co/jKrjHmAicG
ussiiyy,2021-03-19 09:57:47,@tyaramdhani17 percis jalan deket kubah emas emang sih ini🥲
ussiiyy,2021-03-18 14:50:10,kenapa https://t.co/4UWwfbxnDU
ussiiyy,2021-03-18 14:48:23,iya https://t.co/FiyplOkzUr
ussiiyy,2021-03-18 14:46:52,"baru sempet nonton, baek banget anak orang ...dr sekian banyak tempat memorable nya dia keliling dunia , yg dimasukin duluan yg ini☺️ https://t.co/edrn3XODgD"
ussiiyy,2021-03-18 14:44:20,ayodong kucing gw tiduran doang ama makan ya Allah abis itu muntah ingusan pergi lagi ya Allah https://t.co/Hxemq0w6h5
ussiiyy,2021-03-18 01:20:13,SAMA MAKE SLING CASE JUGA FIXXXXXXXXXXXXXXXXX https://t.co/VtHXj2Gdan
ussiiyy,2021-03-17 08:37:45,mari kita cobaaaaa
ussiiyy,2021-03-16 11:58:52,y https://t.co/gNIovYe4Uv
ussiiyy,2021-03-16 07:05:40,@nonaaisyaa ending credit eps8 kmrn🤓 https://t.co/z6QfAJ8cTu
ussiiyy,2021-03-16 05:37:27,kiyowo https://t.co/d7QyWDH3Wz
ussiiyy,2021-03-16 05:33:55,w jg kaget ada kopiko muncul disitu🥳 https://t.co/qhwvlTG2PK
ussiiyy,2021-03-16 01:07:34,😔😔😔😔 kasian... inget bebek2 gw😔😔😔😣😣😢😭 https://t.co/v9JstRx1F4
ussiiyy,2021-03-15 12:35:01,"“apa2 yg bukan untuk mu pasti melewatkan mu,dan apa2 yang dikehendaki untuk mu, pasti tidak akan melewatkan mu”"
ussiiyy,2021-03-15 10:58:45,makin aneh aja xixi
ussiiyy,2021-03-15 10:50:26,coba gini https://t.co/X8E0FMSutj
ussiiyy,2021-03-15 10:46:51,ak baru sampe rumah dihari senin https://t.co/TmBXTJA4sQ
ussiiyy,2021-03-15 10:46:17,sling case~~~~~~~~~ https://t.co/hlcthd70UW
ussiiyy,2021-03-14 23:14:56,mau marah tp masi syg: https://t.co/w9M82CYIrz
ussiiyy,2021-03-14 23:13:08,pusing foto pertama mirip jn foto ke-3 mirip js tp card nya lisa🙄 https://t.co/d9XSKALQnj
ussiiyy,2021-03-14 12:40:51,rose literally ros https://t.co/bNXdsDZXAg
ussiiyy,2021-03-14 12:40:31,diumur berapa km tau arti dari cuanki😳👏 https://t.co/2jiiappAy6
ussiiyy,2021-03-14 11:46:56,ini kenapa https://t.co/DtTnpaho9D
ussiiyy,2021-03-14 11:46:20,selamat datang utang puasa yg tinggal 1 lagi https://t.co/qfzuNDiE20
ussiiyy,2021-03-14 11:45:48,gemes bgt anak orang https://t.co/FphkSx4Pay
ussiiyy,2021-03-14 04:55:01,🧕 maaf nama baby nya siapa bu?☺️ 👩‍🦳 asghaogfjfl**ni 🧕 hmm syani? *teringat akan 👩‍🦳 kani mba😂 eala maap😳
ussiiyy,2021-03-14 03:02:08,sebwah pencapayan https://t.co/Js1vrdst5q
ussiiyy,2021-03-13 11:34:43,sore mingguan https://t.co/JDrlhOx4eR
ussiiyy,2021-03-13 00:38:44,we https://t.co/XOAxBkJNGc
ussiiyy,2021-03-12 12:24:10,@vankaaa_a abis upgrade ios ?
ussiiyy,2021-03-12 08:19:11,#ROSÉ #OnTheGround lucu
ussiiyy,2021-03-12 06:34:34,everything i need is on the ground https://t.co/1tz5TAcCal
ussiiyy,2021-03-12 03:17:52,@panir_23 gatau😭😭
ussiiyy,2021-03-11 23:57:37,astghfirullah alhamdulillah masi selamet https://t.co/IMwS3H0S6s
ussiiyy,2021-03-11 11:47:23,buruan ke yutub penerbit mizan ada pak dahlan iskan sama kimbab 🤗🤗🙌🏻🙌🏻 https://t.co/LQUqXznepg
ussiiyy,2021-03-09 15:07:49,4 7 8 🙌🏻
ussiiyy,2021-03-09 02:55:46,sumpa laklakan peri bgt https://t.co/FDhThy5NSr
ussiiyy,2021-03-08 00:30:31,hmm pagi2 ngerasa cantip grgr make alis abu2
ussiiyy,2021-03-07 09:50:27,monmaap lisa kunciran 30rb w yg dapet serawuk mau minggir dulu🙏🙏 https://t.co/evTnJ8TL4D
ussiiyy,2021-03-07 09:43:48,anaknya kayak potong poni kependekan😭😭😭🤣 https://t.co/BWykaqqi9Q
ussiiyy,2021-03-06 10:24:29,"da dr kmrn2 nyari mangga ga dpt2, pas uda lupa taunya ada org yg ngasi mangga ampe 4 plastik gede 😭😭🤣😂👏."
ussiiyy,2021-03-05 12:07:50,syln https://t.co/uFCX41lnIF
ussiiyy,2021-03-05 10:30:28,meng nya pegel😭 https://t.co/4Zi0rRB9Ng
ussiiyy,2021-03-05 10:27:32,WKWKWKWKWKWK uname twiter nya dong 🤣🤣 https://t.co/SctGQGdygc
ussiiyy,2021-03-05 09:17:09,hubungan antar manusia memang merepotkan~ https://t.co/c9oPOR3FOP
ussiiyy,2021-03-03 23:22:29,mang uda bagus puasa aja udah https://t.co/GDSiBfJYzQ
ussiiyy,2021-03-03 22:59:26,@ivanaintants boss nya pak jang😡ayo nonton eps 4👏
