username,created_at,text
wafazahida17,2021-06-12 03:40:38,"@collegemenfess boleh, tapi sumbernya harus dicantumkan. kalau mau gambar yang free bisa di unsplash, freepic, pexels."
wafazahida17,2021-06-11 17:44:18,"@softyyywww @sukasukacihuy Done ya kak, Ini kuisionerku ya kak. Kalau belum ada yg sesuai kriteria, bisa bantu retweetny kak. Terimakasih banyak💕 https://t.co/XvsPnEGd0i"
wafazahida17,2021-06-11 17:41:44,"@sukasukacihuy Done ya. Ini kuisionerku. Kalau belum ada yg sesuai kriteria, mungkin boleh bantu retweetnya kak. Terimakasih 💕 https://t.co/XvsPnEGd0i"
wafazahida17,2021-06-11 17:40:26,"@Siapasayaaa248 @collegemenfess Done ya kak. Ini kuisioner ku ya kak. Kalau belum ada yg sesuai kriteria, mungkin bisa bantu retweetnya kak💕 https://t.co/XvsPnEGd0i"
wafazahida17,2021-06-11 17:37:01,"@cloudfalleyyy @collegemenfess Ini ya kak.. Hehe, kalau nggak ada yg sesuai kriteria mungkin bisa bantu retweetnya aja kak. Terimakasih banyaakk 💕https://t.co/XvsPnEGd0i"
wafazahida17,2021-06-11 13:51:22,@collegemenfess Bn* syariah
wafazahida17,2021-06-11 13:46:24,@collegemenfess Sini nder. Sekalian barter yaaa hehee
wafazahida17,2021-06-11 13:39:25,"@jehianps @JeromePolin Thats the reason why, aku suka ngajak ngobrol semua orang (tukang bakso, tukang gorengan, ibu2 sumur, ibu2 warung). Banyak banget belajar hidup dari mereka. Belajar dari pengalaman, gak melulu harus dari pengalaman pribadi. Pengalaman org lainpun bisa jadi pelajaran berharga"
wafazahida17,2021-06-11 13:36:26,@kochengfess Gausaahh kembaliin!!!
wafazahida17,2021-06-10 11:20:59,"@dottebayoo Belum lagi pengumuman menang nya tu. Ini bukan yg foto kontes. Dari wooku2 tu minta review pemakaian gitu, nanti dapat hampers. Tu mau wafa. Wkwkw.."
