username,created_at,text
wequte,2021-02-27 09:39:05,Siap mas.. https://t.co/w2JJ6J3KhV
wequte,2021-02-27 09:30:52,"Boleh mbak, trims bantuannya https://t.co/slS6eP07Ng"
wequte,2021-02-27 09:17:18,@IndiHome tidak bosakah DM saya direspon? Saya juga konsumen lho
wequte,2020-12-12 16:33:23,@mariashriver 😍
wequte,2020-11-04 15:37:35,"@Lintas_MNCTV Min, adakah komunitas untuk penderita distrofi otot?"
wequte,2020-11-04 15:33:57,@YuliHernani Kelanjutannya gimana kak?
wequte,2020-10-26 03:03:08,@HumasFatmawati Sudah dirawat dari 3 minggu yang lalu min..
wequte,2020-10-13 15:21:39,"@ramdanns @GoodLifeBCA Correct, saya seminggu gak berhasil juga..harus aplot dokumen lagi 😪"
wequte,2020-09-30 08:09:52,@HumasFatmawati ; halo min.. poli anak buka dari jam berapa sampai jam berapa.. apakah tiap hari?
wequte,2020-09-17 06:38:36,"@BANKBRI_ID Okay, tenkiuu min"
wequte,2020-09-17 05:37:08,@BANKBRI_ID Berarti untuk buka rekening harus ke TB Simatupang yaa.. tidak ada yang lain?
wequte,2020-09-17 05:23:13,"@BANKBRI_ID Iya benar min, kalau lokasi terdekat dari saya hanya itu saja ya min.. saya di daerah srengseng sawah jagakarsa"
wequte,2020-09-17 04:09:27,"@BANKBRI_ID ; apakah BRI cabang Politeknik Media Kreatif beroperasi, daerah Srengseng Sawah.. ? Buka tabungan melalui BRImo, dan melanjutkan kecabang terdekat"
wequte,2020-09-14 16:41:28,@edbertgani @patriciarani93 Awesome.. hepi ending always
wequte,2020-09-12 06:01:34,"@soalperut @aniesbaswedan Duh, maaf banget deh.. gak setuju! Udah paling bener kalau take away aja"
wequte,2020-08-15 02:11:41,@NickySyalala #NKRIForever #HUTRI75
wequte,2020-08-15 02:03:41,"@VIVAcoid Astari Jakarta 268,5 juta jiwa #PANJATVIVA #VIVACOIDXDAMN! @VIVAcoid"
wequte,2020-08-14 13:33:26,@kumparan Kemerdekaan kita!
wequte,2020-08-14 13:29:28,"@jek___ Aku tak bisa hidup tanpa OVO, karena mau#BayarAmanPakeOVO buat beli meja belajar, mari budayakan pembayaran cashless #pakeOVOaja"
wequte,2020-08-14 13:08:27,@kumparan Hari senin min #3harilagikarnavalkumparan
wequte,2020-07-30 11:43:20,@kumparan Saterah kamu saja maunya apa #hadiahharikurbankumparan
wequte,2020-07-30 11:38:26,@kumparan Sate sapi #hadiahharikurbankumparan
wequte,2020-07-30 11:37:30,@kumparan Kambing #hadiahharikurbankumparan
wequte,2020-07-23 01:10:17,@viralsocmed_ Selamat Hari anak Nasional #HariAnakNasional2020 #HariAnakNasional
wequte,2020-07-23 01:07:41,@kumparan Main kelereng kalo ini min #SemangatBersama
wequte,2020-07-23 01:03:58,@kumparan Coklat payung ini mah min #SemangatBersama
wequte,2020-07-21 07:21:11,"@PT_Transjakarta Halo min, beli kartu Jak Lingko dimana yaa? Kalau daerah Srengseng Sawah yg terdekat.."
wequte,2020-07-21 06:28:58,"@__aih Hmm.. kek kantong doraemon 😂, keren lah @Xiaomi"
wequte,2020-07-19 14:20:24,@martabakkeju10 @FOOD_FESS Tendang aja pacar mulutnya beracun gitu..
wequte,2020-07-17 05:55:05,Snap Clean series.. 😘
wequte,2020-07-17 05:55:03,https://t.co/Qpq4wVgvXA
wequte,2020-07-16 04:52:45,Mau clean? Yaa snap clean aja!
wequte,2020-07-16 04:52:42,https://t.co/bEBEXTOjps
wequte,2020-07-15 02:34:06,"Hai gaes, rangkaian produk untuk kebersihan ada yang baru nih.. ayo dong sneap clean - in aja! 😘"
wequte,2020-07-15 02:34:01,https://t.co/sh6FbkwqGk
wequte,2020-07-04 02:30:15,@sherpa701 Amiin
wequte,2020-06-30 16:17:55,@kumparan Saldo #kumparan500k
wequte,2020-06-29 07:48:24,Thanks min https://t.co/VemBmmpuhU
wequte,2020-06-29 06:51:48,"@HumasFatmawati halo min, kalau mau tes IQ no telp yg bisa dihubungi yang mana ya.."
wequte,2020-06-26 15:15:37,😅 https://t.co/bpYG7oVd6N
wequte,2020-06-26 15:14:56,😤 https://t.co/lBnPfLjOdy
