username,created_at,text
yuliawafa,2021-03-09 03:21:08,"Jgn percaya sama orang yg keliatannya baikbaik aja, kamu ga pernah tau dalemnya seancur apa."
yuliawafa,2021-03-03 05:29:55,🥺🥺 https://t.co/NTChBwENig
yuliawafa,2021-02-28 05:18:26,@vankaaa_a Taeyeon - fine
yuliawafa,2021-02-28 04:59:18,@RizkyInsanK @yogianan24 Ya biar ga kesodok kena kuku ya idungnya🙄
yuliawafa,2021-02-27 13:47:25,@RizkyInsanK Nebak doang
yuliawafa,2021-02-27 13:44:19,@RizkyInsanK Buat ngupil kali
yuliawafa,2021-02-26 17:47:23,Aku bangga sama aku. Bisa laporan pajak sendiri🥺 walaupun harus gangguin duty2 buat nanya wkwk
yuliawafa,2021-02-26 17:37:09,Iya percaya. https://t.co/pglDQA7m65
yuliawafa,2021-02-25 14:22:23,@yajungpal Hahaha yoi. Seengganya 1x24jam aja belom🥺 napa udah dijatohin bgt dah harapan gue yg tinggal sisa2 doang ini
yuliawafa,2021-02-25 14:17:01,Its okay. At least i tried.
yuliawafa,2021-02-25 14:12:01,😂 https://t.co/JTs0khjMNa
yuliawafa,2021-02-25 14:08:34,"@yajungpal Jadi gini, ada yg bilang ""kalo abis interview, terus dibilangnya nanti dihubungin lagi. Berarti ga ketrima"" gitu😂 ya ada benernya juga si wkwk kan kebanyakan begitu ya"
yuliawafa,2021-02-25 14:04:36,@yajungpal 🤫🤫😂
yuliawafa,2021-02-25 14:03:43,@Rhiriaaani Maaci ririiii😘
yuliawafa,2021-02-25 03:46:31,Deg-degan gaes
yuliawafa,2021-02-23 05:46:58,do the best and let god do the rest.
yuliawafa,2021-02-21 00:37:41,@yajungpal Masih ada gaby
yuliawafa,2021-02-20 16:59:03,Gemessss https://t.co/1bneEBiKT6
yuliawafa,2021-02-20 15:56:38,@abcdenjiii Terbaik bu dospemnya wkwk
yuliawafa,2021-02-20 12:25:50,🤔🤔 https://t.co/zS9G91Qkch
yuliawafa,2021-02-20 12:14:30,"@RizkyInsanK Karena satu kesalahan/keburukan, semua kebaikan jadi ga kelihatan lagi."
yuliawafa,2021-02-20 10:56:34,Ngakak https://t.co/oXc1vnRPzy
yuliawafa,2021-02-20 10:55:42,"Karena nila setitik, rusak susu sebelanga."
yuliawafa,2021-02-19 03:17:55,No hard feelings.
yuliawafa,2021-02-17 17:29:57,🥺🥺 https://t.co/2PnTcPYxmY
yuliawafa,2021-02-17 12:39:28,"@RizkyInsanK Engga lah. Cuma tahu walik, baso bakar, boba. Dikit kan?"
yuliawafa,2021-02-17 12:37:10,@RizkyInsanK Heleh kaya akunya jajan banyak bae
yuliawafa,2021-02-17 12:34:32,@RizkyInsanK Jajan ga ngajak2
yuliawafa,2021-02-08 15:14:33,@RadenWiratha @abcdenjiii Jadi pengen serabi
yuliawafa,2021-02-08 10:59:45,@abcdenjiii Pengennya aja belinya kaga😂
yuliawafa,2021-02-08 07:45:40,Pengen martabak
yuliawafa,2021-02-08 07:24:10,Tiba2 pengen donut
yuliawafa,2021-02-05 16:15:55,@RizkyInsanK @RadenWiratha Gayaan tau snsd
yuliawafa,2021-02-05 14:52:43,@RizkyInsanK @RadenWiratha 50 50
yuliawafa,2021-02-04 10:48:17,@Dianarachmap Semangattt didiiii🤗 speedy recovery!!
yuliawafa,2021-02-03 15:04:25,"Kangen aku, tapi gengsi. https://t.co/taHeFjRA2K"
yuliawafa,2021-01-30 06:00:18,@RizkyInsanK Paan nih?
yuliawafa,2021-01-29 13:07:46,@RizkyInsanK Apae dih
yuliawafa,2021-01-29 13:03:47,@RizkyInsanK Nyot nyot
yuliawafa,2021-01-29 12:59:03,@RizkyInsanK Haha tau bae fansnya joko
yuliawafa,2021-01-29 10:53:08,Merasa jadi ibu2 kalo ntn sinetron sampe kebawa kesel😭 gustiiii sinetron doang wap jgn baper ngapa dah
yuliawafa,2021-01-27 17:08:50,"Wanita hanya ingin dimengerti. Tetapi, pria juga ingin dimengerti. Pada akhirnya saling menuntut agar dimengerti tanpa berusaha untuk mengerti lebih dulu."
yuliawafa,2021-01-26 02:00:47,Tetangga kok kayak setan amat kelakuannya yaAllah
yuliawafa,2021-01-23 17:00:47,@yajungpal Kiyowoooo😍
yuliawafa,2021-01-23 16:54:31,@yajungpal Omoooo baru liattt😍😍😭
yuliawafa,2021-01-22 15:58:15,Ekhem.. https://t.co/KB8CC9Ss4T
yuliawafa,2021-01-22 10:57:33,@RizkyInsanK Blok balik lah
yuliawafa,2021-01-22 08:31:08,@RizkyInsanK Yaudah nanti aku chat lagi apa?
yuliawafa,2021-01-14 09:12:30,@RizkyInsanK Is it true? Wkwk
yuliawafa,2021-01-14 09:11:22,@RizkyInsanK Admin?
yuliawafa,2021-01-14 09:08:21,@RizkyInsanK Aku tugasnya apa?
yuliawafa,2021-01-10 14:17:49,Sensi banget banget banget
yuliawafa,2021-01-05 16:16:16,Banyak maunyaaaaaaaa
yuliawafa,2021-01-04 11:49:52,@kevinlangitan @KuntoAjiW Emg jagonya ayam wkwk
yuliawafa,2021-01-03 17:17:41,Sering kali terjadi. Udah keramas eh keluar lagi😌 https://t.co/2aiUvFqKed
yuliawafa,2021-01-03 17:14:07,@kevinlangitan @KuntoAjiW Kfc keciri bgt dr bentuk ayam sama tepungnya😂
yuliawafa,2020-12-30 14:51:01,@khairinadiar Aamiin😍 https://t.co/J8i48GhbGh
yuliawafa,2020-12-29 15:29:45,@yajungpal Omoooo😍😍
yuliawafa,2020-12-27 05:24:47,@sungdoksun Kaga ada juuum🤣
yuliawafa,2020-12-27 05:23:19,@sungdoksun Lucunyaaa😍😍
yuliawafa,2020-12-26 06:03:16,Manusia-manusia miskin empati.
yuliawafa,2020-12-22 11:48:47,Mau baca paid stories aja mahal amat bayarnyaaaa😭😭
yuliawafa,2020-12-22 05:03:04,Melakukan hal kecil yg bikin org lain seneng ternyata termasuk self healing yaa. Ngeliat mereka seneng jadi ikut seneng. Feel better😊
yuliawafa,2020-12-22 04:52:49,@sungdoksun Lu sering bgt begitu kayanya yaaa
yuliawafa,2020-12-13 16:27:25,@gustianarii @sungdoksun Bisnis ya wkwk
yuliawafa,2020-12-13 06:36:43,Gemesnya anak ganteng😍 https://t.co/hQtCYQbWAF
yuliawafa,2020-12-12 14:50:50,@RizkyInsanK Pengalaman bgt nih
yuliawafa,2020-12-11 14:21:54,@zarryhendrik Kalo tiba-tiba digandeng tangannya
yuliawafa,2020-12-11 14:02:01,@RizkyInsanK Gatau bawaannya emosi bae sm kamu
yuliawafa,2020-12-11 13:59:57,Emang ican jagonya nyebelin sekaligus ngangenin disaat bersamaan.
yuliawafa,2020-12-11 13:58:55,@RizkyInsanK https://t.co/47jShh9HR6
yuliawafa,2020-12-11 13:56:36,@RizkyInsanK Memang suka tdk merasa
yuliawafa,2020-12-11 13:55:31,@RizkyInsanK Yg nanya bae sapa😒
yuliawafa,2020-12-11 13:54:10,@RizkyInsanK Iya kan kamu begitu
yuliawafa,2020-12-11 13:27:43,Emg kebanyakan begitu🙄 kalo biasanya mah cuek2 aja https://t.co/LX85eRGG5W
yuliawafa,2020-12-11 03:57:29,Aamiin https://t.co/3oRcpQk8hh
yuliawafa,2020-12-10 14:44:52,Super cranky.
yuliawafa,2020-12-09 17:23:40,Sensitif sekali.
yuliawafa,2020-12-09 10:39:21,Anak ganteng lucu cekali😍😘 https://t.co/MgwIcrijTf
yuliawafa,2020-12-09 09:27:39,MasyaAllah nikmat sekali🥺
yuliawafa,2020-12-03 08:02:01,Gemessss https://t.co/dD9Ap8xuJg
yuliawafa,2020-11-30 16:30:48,@RizkyInsanK Ga nyadar yaa
yuliawafa,2020-11-30 16:10:33,Sayang aa ican❤️ https://t.co/kXYpeBBCTl
yuliawafa,2020-11-30 10:04:37,The real monster day
yuliawafa,2020-11-29 16:52:25,Tiap mau bobo selalu overthinking. Jaitan baju kapan jadinya YaAllah😭 stress akutuuuu
yuliawafa,2020-11-29 16:46:11,@RizkyInsanK Kapan dih.. kalo nyewot yg bener2 nyewot mah jarang yaaa😒
yuliawafa,2020-11-29 15:00:50,Haha aku banget https://t.co/bjWbFnUIMZ
yuliawafa,2020-11-28 11:48:53,@RizkyInsanK Kuy berendem. Air anget tapi ya.. jangan air panas
yuliawafa,2020-11-28 11:46:05,@RizkyInsanK Telornya mateng
yuliawafa,2020-11-28 10:05:04,@RizkyInsanK Mamang ira.
yuliawafa,2020-11-28 10:04:27,@RizkyInsanK Awas jgn deket2 kalajengking. Beracun bahayaaa😒
yuliawafa,2020-11-28 09:55:29,@RizkyInsanK Capit nih🦀
yuliawafa,2020-11-28 09:51:44,@RizkyInsanK Ogah
yuliawafa,2020-11-28 09:47:34,@RizkyInsanK Cius. Kepiting sama kalajengking kan ga akur wkwk
yuliawafa,2020-11-28 09:39:12,@RizkyInsanK Aku
yuliawafa,2020-11-26 12:52:28,Gabisa apa ya kalo ngomong ga pake ngotot tuh. Kesel liatnya😏
yuliawafa,2020-11-25 12:51:44,@RizkyInsanK @Rhiriaaani Tabok lih
yuliawafa,2020-11-25 12:47:15,@Rhiriaaani Kuyyy @RizkyInsanK
yuliawafa,2020-11-25 12:41:51,@Rhiriaaani Dimana itu ri tempatnya?
yuliawafa,2020-11-24 07:11:35,"@RizkyInsanK @Nobitz_ @kelascintacom @hitmansystem Go home nak, you are drunk"
yuliawafa,2020-11-24 06:33:14,🤣 https://t.co/y4ZyWvtHcb
yuliawafa,2020-11-24 05:05:11,@abcdenjiii Kalo sama taehyung wapa gabisa milih🤣
yuliawafa,2020-11-23 17:00:29,Biasa minum teh manis sosoan ngopi si wap. Hadeuuu
yuliawafa,2020-11-23 16:59:51,"Emg ga cocok minum kopi dah. Perut kembung, kleyengan, mual eh skrg tenggorokannya gaenak😭"
yuliawafa,2020-11-23 16:57:25,"Dulu kalo ada yg baru deket terus ujug2 mau main ke rumah, langsung nyari2 alesan🤣 https://t.co/AM3kpn4NwS"
yuliawafa,2020-11-23 16:53:31,@abcdenjiii Ji chang wook💙
yuliawafa,2020-11-23 16:52:06,Tiba2 pengen chicken katsu🥺🥺
yuliawafa,2020-11-22 09:16:09,Nano nano sekali hari ini.
yuliawafa,2020-11-20 11:08:37,@sungdoksun Hayuu agehh🤣
yuliawafa,2020-11-20 11:03:53,@sungdoksun Ngakak🤣
yuliawafa,2020-11-19 17:47:35,@RizkyInsanK Hmm begitu
yuliawafa,2020-11-19 17:42:25,@RizkyInsanK Kelamaan mikir sih
yuliawafa,2020-11-19 16:36:41,@RizkyInsanK https://t.co/jFTQvYKVeb
yuliawafa,2020-11-18 15:51:03,@RizkyInsanK Iya. Ya jangan geratakan bae🙄
yuliawafa,2020-11-18 15:48:19,@RizkyInsanK Pernah yaaa🙄 tangannya gamau diem sih
yuliawafa,2020-11-18 15:44:55,@RizkyInsanK Jangan diotak atik nanti makin2😒
yuliawafa,2020-11-18 05:26:21,Ingin beli ini itu banyak sekaliiiii🥺🥺
yuliawafa,2020-11-17 16:26:39,Bersyukur banget. https://t.co/ASrAIZIuix
yuliawafa,2020-11-17 14:06:17,Orang sebel mah ga perlu alasan tertentu. Ngeliat doang juga bisa sebel padahal orangnya ga salah apa apa.
yuliawafa,2020-11-17 13:44:44,Tidur https://t.co/drH2XjqWKs
yuliawafa,2020-11-16 14:50:47,Kebanyakan mungkin langsung kasih bintang satu sambil ngomel2 kalo pesenannya ga sesuai🤣
