username,tweet
IndrasZLaila,kulkas bagus dingin
IndrasZLaila,baca tok kenyang taruh
IndrasZLaila,malu
IndrasZLaila,purapura gapaham kejam purapura
IndrasZLaila,sesuai mall
IndrasZLaila,semoga emotku wakil
IndrasZLaila,toxicnya finefinenya
IndrasZLaila,tawa sesi konseling
IndrasZLaila,indah indah deh
IndrasZLaila,marah puncak gemilang cahaya
IndrasZLaila,iya
IndrasZLaila,bajak asli hati
IndrasZLaila,sabar iya mif coba suasana
IndrasZLaila,coba ganti beli minum
IndrasZLaila,sapa nicch
IndrasZLaila,lho
IndrasZLaila,batal
IndrasZLaila,kewuh bilamana jumpa
IndrasZLaila,alhamdulillah sehat pelek kabar aman pelek sedia sabun
IndrasZLaila,tahun jumpa iya pelek
IndrasZLaila,selamat tua pelek
IndrasZLaila,mbas saudara wanita saudara laki
IndrasZLaila,saudara wanita iya obrolan
IndrasZLaila,gaji tinggal hitung kurleb
IndrasZLaila,suka wadah
IndrasZLaila,grogi mules mules malu
IndrasZLaila,tawa pikir muncul beli
IndrasZLaila,tawa iya iya iya
IndrasZLaila,snowman
IndrasZLaila,astaghfirullah al adzim astaghfirullah al adzim
IndrasZLaila,tutorial ngobatin hidung mampet umbelen
IndrasZLaila,emotnya lok lok ik
IndrasZLaila,bosan bahas ulang ulang
IndrasZLaila,kuritwit
IndrasZLaila,ninuninuninu
IndrasZLaila,dit selamatt akhire nganggo toga tawa
IndrasZLaila,selamatt gelar monn
IndrasZLaila,punggung
IndrasZLaila,mashok ndraa
IndrasZLaila,curhat teross
IndrasZLaila,bacut penasaran tawa
IndrasZLaila,terkadang teman teman sesantuy ketidakpahaman paham
IndrasZLaila,tiyetiyetiye
IndrasZLaila,hapus saudara wanita efektif
IndrasZLaila,jahat waktu skakmat sesal
IndrasZLaila,tawa eh dheva
IndrasZLaila,rindu sendu
IndrasZLaila,belikan mbakk
IndrasZLaila,tawangmangu mon
IndrasZLaila,benul
IndrasZLaila,sa mbakk
IndrasZLaila,iya tuhan isi hati pikir niat
IndrasZLaila,tabung piqniq
IndrasZLaila,menasihati mudah banding menasihati pikir pikir
IndrasZLaila,tawa haloo henii
IndrasZLaila,aneh sepert teman
IndrasZLaila,pura pura rumah brondong jagung rambak karak
IndrasZLaila,dasar cemilan cemilan pergi
IndrasZLaila,terimakasih informasi cikgu
IndrasZLaila,kisah
IndrasZLaila,tahun saudara
IndrasZLaila,suka uji sabar
IndrasZLaila,makane dikerjain revisi
IndrasZLaila,dasar
IndrasZLaila,percaya sabar keihklasan
IndrasZLaila,kuat sengaja
IndrasZLaila,buruk mudah
IndrasZLaila,bahaya buka dompet ancam
IndrasZLaila,ho oh
IndrasZLaila,batal
IndrasZLaila,maaf bantu baca abur tawa
IndrasZLaila,barangkali
IndrasZLaila,syukur ketemu kasur tidur tidur tidur tidur tidur muncul pikir pikir pikir
IndrasZLaila,tawa
IndrasZLaila,al
IndrasZLaila,keruh
IndrasZLaila,hening ramai pikir
IndrasZLaila,pilgan teman saudara
IndrasZLaila,lumayan karang motivasi
IndrasZLaila,mwantul
IndrasZLaila,sakit pikir
IndrasZLaila,es gelas isi saudara wanita manis cair
IndrasZLaila,sumuk ubah suasana hati
IndrasZLaila,racau
IndrasZLaila,ujian semester rencana libur cium
IndrasZLaila,batal
IndrasZLaila,pikir over pikir
IndrasZLaila,mwantul
IndrasZLaila,sedih sen teman
IndrasZLaila,pejal kaki iya em keren
IndrasZLaila,buka folder ulang bosan
IndrasZLaila,kantuk kantuk tidur
IndrasZLaila,besok ketemu begitukan iya
IndrasZLaila,batal
IndrasZLaila,ndapapa sengaja ngetes kilometer gagas tulis
IndrasZLaila,ginu
IndrasZLaila,al al
IndrasZLaila,bacanen al bacanen
IndrasZLaila,dampak negatif nafsu nafsu buka intajram
IndrasZLaila,kutip kuota tipis
IndrasZLaila,anu ih
IndrasZLaila,loh
IndrasZLaila,boros seru
IndrasZLaila,loh
IndrasZLaila,pajang foto
IndrasZLaila,mbok tanda saudara wanita maling hati
IndrasZLaila,pacar jual mahal
IndrasZLaila,batal
IndrasZLaila,anu al iya makna
IndrasZLaila,bagus paksa
IndrasZLaila,anggep pengirim
IndrasZLaila,batal
IndrasZLaila,kode bicara gayeng
IndrasZLaila,online solo kotak
IndrasZLaila,arep buka nengdi nggar
IndrasZLaila,iya saudara
IndrasZLaila,tertawa oke dik
IndrasZLaila,sampun saudara wanita
IndrasZLaila,senang ulang tahun syifa jindra saudara
IndrasZLaila,ngopo ayo an misi
IndrasZLaila,kejut
IndrasZLaila,rapopo riuh rapopo misi
IndrasZLaila,halah misi
IndrasZLaila,pura pura cinta
IndrasZLaila,tertawa oke sahabat
IndrasZLaila,admin talkshow solo daftar
IndrasZLaila,hauwah jelmon unggah foto sepatu anyar kih saudara
IndrasZLaila,karaoke
IndrasZLaila,sih iya dikit
IndrasZLaila,oh critanya rindu misi
IndrasZLaila,haai
IndrasZLaila,tertawa iya sih saudara
IndrasZLaila,ngopo lho iya
IndrasZLaila,tertawa iya
IndrasZLaila,bhineka tunggal ika iya saudara
IndrasZLaila,beda
IndrasZLaila,ah saudara
IndrasZLaila,oke sahabat
IndrasZLaila,dilema
IndrasZLaila,iya saudara
IndrasZLaila,rapopo
IndrasZLaila,sih acuh tertawa
IndrasZLaila,tertawa ajar alam loh saudara
IndrasZLaila,emotnya palsu saudara
IndrasZLaila,barangkali diam lelah butuh istirahat
IndrasZLaila,iyes saudara
IndrasZLaila,ojolah
IndrasZLaila,amin
IndrasZLaila,owalah nenek tertawa sombongsitik
IndrasZLaila,hauwah ganti foto profil
IndrasZLaila,tertawa suwe les
IndrasZLaila,tertawa ajar situ
IndrasZLaila,biarkan mantan saudara wanita saudara wanita
IndrasZLaila,owalah iya
IndrasZLaila,yayayaya
IndrasZLaila,sepuluhduabanget
IndrasZLaila,ndra
IndrasZLaila,bagus thinks bagus bagus malam
IndrasZLaila,doa semoga besok ketemu gereja saudara
IndrasZLaila,dilema tingkat
IndrasZLaila,maksude alam nggo saudara
IndrasZLaila,rapopolah fir lumayan hitung hitung alam saudara
IndrasZLaila,tertawa curhat saudara
IndrasZLaila,mendem sih selamat ledak saudara
IndrasZLaila,bilang
IndrasZLaila,batal
IndrasZLaila,anggep enek
IndrasZLaila,iya karepmu ming ijik iso pikir
IndrasZLaila,sabar ming sabar
IndrasZLaila,yoweslah iyoni
IndrasZLaila,tawa tuan misi gadis lho
IndrasZLaila,tolong jul tolong
