username,tweet
Strybycy,tonton gaberani
Strybycy,tawa sial
Strybycy,bos guah
Strybycy,si favorit
Strybycy,tawa heboh
Strybycy,duduk rokok pandang pam lemesh ayah habis nganter minum eh bicara malas ah tikung pam tawa gemas amaat
Strybycy,iya tampan dage
Strybycy,saudara laki ayah utama cepat pamit pulang tumben bilang cinta menengok cinta cinta iya kos ah gemas
Strybycy,yaallah cemil ramen
Strybycy,saudara laki tampan pacar bela allahuakbar
Strybycy,yoiko geser takut usus buntu nge mie makan malam
Strybycy,rumah sakit jepang cabang fatmawati ngeramen kejar kejar mrt nyaring needed utama kesini sih kawa juarak obat anak mengetik
Strybycy,setuju
Strybycy,sih saudara wanita ngeramen ramen enaq polim asing ruame pol sih mika ramen lapang keranjang ypk ribu ramennya aneh aneh nagih buka sakit til midnite coba
Strybycy,kebun binatang
Strybycy,tawa gemas
Strybycy,toilet cepat kaca senandung kadang harap telepon ranjau toilet gangga malu sih pacar bicara teman teman menyanyikan lagu toilet
Strybycy,dims dipijetin bim bicara sih bi habis eh disautin dims bel pijitkan apaansi dims dih mengajari sih lucu
Strybycy,ampun jejepangan fatmawati cipete polim blok
Strybycy,pacar sagiq
Strybycy,tawa dibacain
Strybycy,pasang tanggal bunda
Strybycy,tangis temu coffeeshop errday musik makan minum reng ramai pol musicnya sembuh
Strybycy,sederhana segapenting ingetnya
Strybycy,lucu tolong
Strybycy,sadar username
Strybycy,terush
Strybycy,jail ah
Strybycy,besok polim tolong pagi
Strybycy,cepat segar sambat ngadepin tamu aneh aneh
Strybycy,loove butuh mudah kaos kemeja iya
Strybycy,bicara basbisbus wasweswos mempan dengar diam melihati iyaiyaiya oke deh sobad
Strybycy,harap orgorg pacar coba coba bingung
Strybycy,tawa sabar
Strybycy,saudara laki lemas iya pacar
Strybycy,temenin sih iya besok buka kedai kopi cinta bahasa
Strybycy,mentok kecepetan iya abim tahun pagi warung kopi
Strybycy,saudara laki selai cemil mie ayam iya pergi bareng manusia ter ontime cepat kawan kawan mie ayam total buah ampera lumayan antre
Strybycy,wan bicara
Strybycy,eh rumah bekas
Strybycy,daftar putar tim lelah lelah mangat kawan kawan
Strybycy,dimodusin pendekatan teks manis manis ngalus iya anak kesal yaelah beel
Strybycy,cepat pagi juta gila
Strybycy,tahun lebaran sakit tahun sakit lebaran meriang bersin bersin total ayo sehat cepat ramai ayo
Strybycy,teman canda utama utama piso bilang suka canda bahaya habis anak nyamperin memaafi iya bel bingung maaf pikir sadar salah
Strybycy,saudara dit
Strybycy,bom cemil baso kemarin lebaran bom afdal
Strybycy,suka alis tebal kumis tipis bonus bulu lentik habis kalah
Strybycy,saudara laki titip iya saudara wanita jaga abimanyu pemuda abim kasih anak inceran tante tante lelaki
Strybycy,aslik
Strybycy,sih sial
Strybycy,anak piatwo saudara
Strybycy,yuhu
Strybycy,awoakakakak
Strybycy,sih mewah
Strybycy,ayo ayo ayo butuh
Strybycy,hati hati malam obrolan iya cinta bahasa
Strybycy,samping lawless guyz
Strybycy,anak coba
Strybycy,pisang djakarta tolong
Strybycy,chilli minyak sih
Strybycy,yaallah tangan pam sayang
Strybycy,mati lelah liatnyah
Strybycy,pilih iya
Strybycy,sayang pam
Strybycy,biadab janji ketemu iya vc
Strybycy,privasi sopan ketemuin
Strybycy,lucu sygku aduh
Strybycy,cing gacocok ji debat
Strybycy,gaberani ngehargain bos bilang beda beda sih pacar umbar umbar coba
Strybycy,cui garela pria sih ji coba
Strybycy,gila gadis ajak vc kenal bom cing ji gadis gedek hati
Strybycy,idih bangga laki kenal bom
Strybycy,yaelah bom pacar cerita cerita saudara laki
Strybycy,mengumbar sih putus malu
Strybycy,sok
Strybycy,bagus laki
Strybycy,cahyono
Strybycy,malas
Strybycy,cinta yaelah
Strybycy,sok kotoran
Strybycy,bingung iya kontrol suasana hati dilema cinta cinta bawa ramai alir sepi sih oke deh
Strybycy,pinteran brodi
Strybycy,hahhaha biadab
Strybycy,curhat cuy baca
Strybycy,geli
Strybycy,pulang ayo buru
Strybycy,tawa sial tawa
Strybycy,asli percaya
Strybycy,ndy pacar pam
Strybycy,malam bicara ngobrol tawa sih aneh cewenya ajak vc bosan pacar muka sepik sahur iya teman teman telepon angkat angkat telpnya
Strybycy,yamasa pamerin sih ji
Strybycy,pacar putus sih
Strybycy,sih teman ajak vc cewenya biadab aneh
Strybycy,selamat ulang tahun sih sayang lantai
Strybycy,cari pacar
Strybycy,sih salah tingkah
Strybycy,iya
Strybycy,putusin
Strybycy,yaallah murah jual depokk
Strybycy,definisi keras tetangga ngira sugih
Strybycy,omelin
Strybycy,gila iya pam
Strybycy,didnt cinta havent maaf
Strybycy,mendengarkan
Strybycy,saudara laki anggara iya ampun
Strybycy,depok ulang tahun babi
Strybycy,gemas adoehh
Strybycy,lucu tamu kasir pesan pacar menu kasir non kopi kopi saudara pacar diam eh ketawa bilang sial puasa lupa maaf iya saudara laki pergi
Strybycy,anak cepat tawa
Strybycy,tawa sial carikan
Strybycy,dusel dusel sial ngefreeze
Strybycy,pria iya suka menyandar sih kenal bos
Strybycy,misi
Strybycy,hee
Strybycy,closing saudara
Strybycy,iya saksi
Strybycy,alah
Strybycy,saudara tawa iya
Strybycy,mangkas
Strybycy,sesal cecen maaf iya cen
Strybycy,pergi iya iya
Strybycy,cen sih cen yaelah
Strybycy,candid jakarta iya hahahahahaha
Strybycy,deh bingung deh
Strybycy,beli volume sih
Strybycy,waktu paham doa
Strybycy,bingung tulis
Strybycy,iya suka gila senyum
Strybycy,selai tidur eh dimasuki closing
Strybycy,gila iya
Strybycy,sih tampan
Strybycy,asli
Strybycy,beranda
Strybycy,aneh aneh
Strybycy,gapikir bicara putusin gila pacar bilang lili pesan watsap habis ribut selingkuh gosip pop bengong sayang
Strybycy,tingkat buncinnya ngewajarin cewenya marah marah foto pacar instagram tamu ngetag instagram direpost gasengaja anak nyala cam sih gila sih gamasuk otak
Strybycy,ngobrol pasu hore simpan teman bilang asli budak cinta cui yagapapa pacar
Strybycy,lantai
Strybycy,bangun tidur selai iya
Strybycy,oiya
Strybycy,bau beda
Strybycy,bambina tatjana gadis cinta alexa kanina cantik larasati mahal pasir khadija natalie adjani natasha delisha pasir bella
Strybycy,pria wuangi pol iya
Strybycy,pasuk menu sahur kaepci suwir pedas besok iya
Strybycy,pangeran cemil iya
Strybycy,iya aduh niat hati tidur beberes
Strybycy,keujanan rumah banjir bom buka puasa nikmatnyah
Strybycy,ayah temannya pam teman teman habis batang batang meja
Strybycy,yaelah diladeni anak gapenting gasengaja baca obrolan saudara gosip eug delete blok akun foto video pacar delete ketemu anak salah alias pura pura bodoh
Strybycy,ho vaksin
Strybycy,ganjen laki
Strybycy,rorotan
Strybycy,tawa pamungkas batas kursi saudara cepat cepatan mahal tawa
Strybycy,aduh tidur kebanyang pam nyebut nama faseh geser pagi
Strybycy,sih saudara
Strybycy,cheers nite temu someday kapten
Strybycy,offline gigs muka kusut acara buruk sih tawa lucu sakit hati bareng ketemu iya pam iya bagus waktu
Strybycy,paham sih sakit hati habis putus cinta aduh pam ayo ketemu tolong
Strybycy,beli kuota goceng urus payudara diurusi cepat cepat kuota kesal iya
Strybycy,cepat ngeroaster kopi iya teman bicara kencang tukang layan mesin menengok spechless
Strybycy,maghrib puasa
Strybycy,malu maluin golong manusia
Strybycy,terkejoet futu pam
Strybycy,bel ngobrol salah kalimat tunggu ngeshift bareng senang mendengarkan pacar cerita anak saudara wanita dongengin sih kadang gapaham paham
Strybycy,baca
Strybycy,yuhu
Strybycy,sayang
Strybycy,ayo
Strybycy,iya kacau bandung
Strybycy,cinta ayah cerita pikir tahun takjub sakit hati anak
Strybycy,bagus
Strybycy,depok sih
