username,tweet
baksopangsitnya,wakakakkaka kandani abot yoh berat teman teman nenek liyane nenek bimbing mudah ayo
baksopangsitnya,abot abot
baksopangsitnya,wakakakakkaka rindu ghibah
baksopangsitnya,ikhlas baca kuat iya tuhan
baksopangsitnya,bagus sih takut vertigo kumat tinggi iya
baksopangsitnya,curiga sih wakakakkaak pikir tolak adeknya calon saudara ipar calon istri
baksopangsitnya,puas utama jajan menikah mental curah anak suami lamar duluan jodoh mati
baksopangsitnya,tetiba pikir instagram alesannya adeknya mencet bersuudon wanita adeknya iya rak popo insyaallah ikhlas saudara laki
baksopangsitnya,gadis terap iya terap klien hubung
baksopangsitnya,duet mawut
baksopangsitnya,ken misuh weruh semoga nyicipi vertigo duet asam lambung
baksopangsitnya,lahir premium
baksopangsitnya,hilang indra cium minggu minggu hallodok resep obat rhinos curiga sinus sih kopid alhamdulillah habis kapsul cium bau bau
baksopangsitnya,choco frappe terlove pokok
baksopangsitnya,dangkal saudara paham
baksopangsitnya,besok vaksin candid takut baca bismillah sehat sehat sehat
baksopangsitnya,kota pilih cari aman cemil nyantumin harga cemil nama niat ngirit cemil warung tegal ngorot mahal cemil
baksopangsitnya,duet maut tengah senja hujan mie rebus
baksopangsitnya,kalah duet maut hujan mie rebus
baksopangsitnya,setuju
baksopangsitnya,kesiap ojo menikah nenek perkoro umur ojo menikah nenek mergo konco konco menikah ojo menikah mergo omongane seng sergep nakoni koe menikah seng nglakoni kui koe bojomu susah senenge liyo cerewet tok
baksopangsitnya,saudara wanita saudara wanita cemil santen pedas sebentar napas eh mencret
baksopangsitnya,semarang dokter
baksopangsitnya,suka masak kasih hampers wajan
baksopangsitnya,batagor fik
baksopangsitnya,setuju wakakakakaka
baksopangsitnya,tuhan maha kawan
baksopangsitnya,saudara laki saudara rak sido nesu akhire
baksopangsitnya,iya iya wakakakaka
baksopangsitnya,sih kadang saudara laki pacar sibuk ngegame kadang tidur tidur kebo susah ngebanguninnya
baksopangsitnya,guru pai misuh untung puasa
baksopangsitnya,mati ayah layap iya ken nabok buka puasa
baksopangsitnya,opini pribadi bawa bawa fisika branding
baksopangsitnya,kutip fakta fisika teori dasar cetus ajar fisika tahun tahun kelas bodoh iya teori
baksopangsitnya,spam soyang sayang soyang sayang mengko balas wakakakakakaka
