username,tweet
fitriindy,efek saudara laki
fitriindy,jalan menyakiti bahagia banding status menyakiti benci
fitriindy,orglain paham patah hati membully
fitriindy,usia rap sadar menusuk
fitriindy,tahap usaha maksimal sisa serahin tuhan
fitriindy,baris muak tertawa mudah menang giveaway
fitriindy,iya fokus ujung sakit deh sesuai ekspetasi
fitriindy,saking percaya dimafaatin an busuk nyerah memutuskan pergi sesal sayang dengar nama muak
fitriindy,memaafi mudah melupakan susah ngulang
fitriindy,remaja kurir judes muka dibegitukan langgan kasih pokok amin saudara
fitriindy,ih menyebalkan saudara penjara rugiin
fitriindy,iya saudara pesan paket bayar ikan kod rumah anak iya bayar emgsih kurir lelah kurir marah bilang ganti orgnya beda nama untung paket tetangga
fitriindy,alhamdulillah saudara laki
fitriindy,nama
fitriindy,saudara laki ikan kod salah kirim cepat deh kasih kurir lelah dimarahi
fitriindy,sih estimasi cepat memegang uang kasih sih kurir dimarahi diviralin
fitriindy,lazada ikan kod titip uang rumah aman kurir kenal suka bilang keburu suruh kasih hujan
fitriindy,semangat saudara laki semoga lelah berkah
fitriindy,nafas
fitriindy,diruqyah stad
fitriindy,yadong imut imut tawa
fitriindy,iya saudara wanita kadang si gaji ngalamin gaji ribu syukur berat iya salahkan bos cuci diperhatiin hidup karyawannya mbaknya gaji
fitriindy,suka kasih kurir kenal waktu cuaca ketemu cust menyebalkan lelah dimarahi ayo harga ikan kod diusahain uang disiapin rumah tolong titipin sikap ramah kasih tips
fitriindy,alas paket kurir dikit semangat saudara semoga
fitriindy,kurir gaji saudara tetangga kurir lazada lazada ikan kod tetangga ikan kod uang marahin kurir kasih kurir lelah dimarahi
fitriindy,keluh dimana nyetrika ribu tinggal desa tukang setrika selesai rumah bayar ribu iya kasih cemilan kurir kenal waktu cuaca loh saudara wanita konsumen butuh semoga
fitriindy,kadang cinta logika jalan pasang sahabat suka gosip sayang ujung kecewa
fitriindy,dimanfaatin boros ajar tuhan
fitriindy,turun sih jebak pikir omong gila nyikapinnya bilang doa menikah ajang lomba menikah muda awet bahagia doa tuhan
fitriindy,anak tertawa
fitriindy,keren pacar suka muka percaya
fitriindy,nama mantan
fitriindy,seru sayang tidur
fitriindy,ciwidey libur macet nyebrangpun susah corona halang libur
fitriindy,semoga khayal harap sesuai ekspetasi tuhan lancar
fitriindy,suka koleksi piring lusin saudara ipar kasih
fitriindy,gadis sayang budak cinta disakitin memutuskan pergi harap nyebut nama malas
fitriindy,ketemu jodoh lancar yaww
fitriindy,butuh buang
fitriindy,sah sih teman tampan suka mandi jorok
fitriindy,nyaman sayang peduli budak cinta peduli bodoh
fitriindy,tahun kemarin tarawehan masjid tahun apakabar
fitriindy,iya cemil rem takut bom area kafir muslim
fitriindy,kejut nang sih dibebasin
fitriindy,anak guru pendiem pokok samping guru guru kaji polisi grebek kontra rakit bom situ ngebom area kontra rumah kenal guru galak
fitriindy,mendengarkan habis bahagia turun serahin tuhan kasih waktu sayang
fitriindy,anak guru pendiem kontrak rumah temannya digrebek polisi rakit bom ngebom desa alas kafir ajar buku sedih sih islam benci guru
fitriindy,abu abu
fitriindy,semangat cae inshaallah sebentar menikah muda jamin bahagia menikah ajang lomba
fitriindy,lagak kasih
fitriindy,foto bugil muka korban kadang minjem data disalahgunain
fitriindy,rem sih mahasiswa bundir lilit pinjol dc kasar ancam kuat
fitriindy,memaafi sikap bodoh
fitriindy,tahan ngabisin waktu
fitriindy,kadang brengsek ubah tutup brutal
fitriindy,anak tetangga bayi dibiasain gadget umur tahun lancar mengomongnya rabun pokok kembang lambat tuanya acuh kasih gadget
fitriindy,bandana lepas takut silau
fitriindy,lucu cium
fitriindy,kenang jaman sekolah siang tunggu hujan reda diam eh hantu
fitriindy,mantan suka kpop suka ngeracunin lagu kpop suka marah
fitriindy,korban usaha eh kalah ketemu dasar
fitriindy,buaya bohong
fitriindy,mengharapakan banci
fitriindy,putih mulus kuku pakai kutek
fitriindy,jodoh tolong revisi iya
fitriindy,teman hitam gara dibully gebetannya suntik putih cerah cantik gebetannya suka
fitriindy,rindu
fitriindy,coba kasih alas benci susah
fitriindy,teman pria suka nyontek belikan cemil
fitriindy,suka menyakiti
fitriindy,coba pakai rawat kulit mulus dikit sesak pakai obat iya sembuh iya lulus jabat butuh proses menikah anak kalah saudara kelas menikah ajang lomba
fitriindy,syukur muka muka
fitriindy,uang
fitriindy,gelisah sih dilangkahin saudara tetangga diomongin
fitriindy,tetangga coba pakai rawat kulit cantik lulus jabat menikah temannya menikah anak menikah muda anak kalah menikah ounya anak mati
fitriindy,setia gmnpun kalah ketemu
fitriindy,hubung status banding status nyeseknya keubun
fitriindy,pacaran tahun keluarga menemani nol biayain hidupnya janjiin menikah diselingkuhin eh menikah bilang tingkat rendah
fitriindy,tunggu tahun menemani nol biayain dijanjiin menikah diselingkuhin dimaafkan eh sial menikah
fitriindy,susah nebak
fitriindy,mantan tahajud bagus sih ajak ibadah topeng dekati ciwi sangka ajak muka
fitriindy,ngalamin budak cinta sadar waktu
fitriindy,kasih janji manis eh ingkar waktu semoga feli
fitriindy,pacar ngeroko alkohol lari drama korea belanja
fitriindy,disakitin dijahatin dimanfaatin
fitriindy,anak anjing minggu pusing mual demam bilang bagus nimbun sampah bagus bayang deh anak anjing sakit keras anak suka cemil sayur dukung sayur
fitriindy,anak jaman bicara seks lancar umum malu
fitriindy,eh doa loh dilecehin hamil nang utas
fitriindy,tawa malesin eh menang
fitriindy,dokter
fitriindy,tenang sesat
fitriindy,admin aktifin kartu
fitriindy,inisial fakboi
fitriindy,kesal atuhda tawa
fitriindy,goodlooking kalah doa yagasih
fitriindy,tawa iya ngebet tahan sedih ih sepupu menikah umur pria kumpul keluarga diomongin modalin menikah mengomentari tawa
fitriindy,tawa
fitriindy,sahabat pacar putus musuh sahabat pacar putus sahabatn
fitriindy,ayo tular
fitriindy,teman lamar romantis cewenya putus minggu cewenya cowonya sakit hati cewenya menikah coba hubungin mantan
fitriindy,khilaf dimaafkan janji ngulang memaafi janji ngulang upinipin lulus tinggal sadar tahan terima
fitriindy,suka dimaafkan ubah brengsek
fitriindy,terimakasih saudara waktu suami saudara gerd pingsan
fitriindy,selingkuh niat salah sih kuat iman
fitriindy,cuekin bosan merendahkan malu buktikan
fitriindy,gelisah nama kasih tua harap doa iya syukur
fitriindy,coba relax fokus cae cae semoga cepat selesai eca bahagia semangat sayang
fitriindy,waktu ulang menyakiti putus bahagia hidup doa
fitriindy,ih serius kemarin
fitriindy,susah nolak butuh waktu
fitriindy,angin jahat
fitriindy,cae
fitriindy,omong omong tawa
fitriindy,duka cita saudara laki kuat
fitriindy,dorokdok
fitriindy,valentine budaya budaya sayang juang habis an eh diselingkuhin
fitriindy,bgtlah anti paksa gila eh tengah jalan burit
fitriindy,fase pergi takut salah pilih
fitriindy,tahan bukti selip nama doa
fitriindy,loncat
fitriindy,sayang
fitriindy,butuh satnight butuh halal
fitriindy,aman jer
fitriindy,bagus
fitriindy,pesan kuat ibadah
fitriindy,tahan brengsek budak cinta waktu harap ubah menyakiti bodoh iya pertahanin menyakiti sesal doa pasang cepat sadar
fitriindy,ken nabrak ken culik ken nyantet dosa niat
fitriindy,insial cepatan tobat
fitriindy,mengatur putus
fitriindy,jngkan unggah foto cerita jarang cerita pesan tumben nyaman dp makan media sosial kosong jarang cerita
fitriindy,sayang hubung antem udara hubung dewasa ribetin
fitriindy,pakai flip bajing va
fitriindy,pakai dp media sosial cerita makan media sosial kosong jarang nongol grup jarang rumah iya nyaman kurangim deh julidnya
fitriindy,iya saudara laki alhamdulillah lepas sih bodoh bicara terimakasih saudara laki
fitriindy,mudah lingkung oranglain berontak cari aman coba depresi pilih
fitriindy,semangat saudara jebak hasil bebas bahagia bilang bodoh pertahanin budak cinta tulus dimanfaatin semoga ganti bahagia
fitriindy,admin ngatasin akun palsu mengatasnamakan mandiri komentar diig kasih suka tipu
fitriindy,teman tulus
fitriindy,aduk campur bubur
fitriindy,setuju debat
fitriindy,pasang kasih eh menyakiti pasang pergi an cari harap dimaafkan juta salah sadar dikecewain muak
fitriindy,menjalani ujung pelamin ujung musuh tawa
fitriindy,budak cinta waktu ujung indah luka
fitriindy,iya admin mandiri antre selai antre diutamain bantu
fitriindy,menyebalkan
fitriindy,admin rek mandiri via online bank selai kasih antre
fitriindy,percaya cerita tuhan sekira menyakiti ywda melepas drama bahagia bebanin usaha berhenti menyakiti
