username,tweet
kissst__,hadir tawa
kissst__,ajar sih iya ajar
kissst__,rahang bicara susah ngeremnya zz
kissst__,bilang
kissst__,sungguh
kissst__,tonton drakornya coba
kissst__,kesal ah
kissst__,sakit hati taneman dimakanin ayam
kissst__,waktu pangandaran gila ih
kissst__,ishh
kissst__,tawa
kissst__,putus asa
kissst__,pulang
kissst__,kasih buntut
kissst__,ken mengintil nangor
kissst__,ayo
kissst__,mari jadwal
kissst__,awas kopi
kissst__,ayo
kissst__,ayo ih kapa
kissst__,nangor
kissst__,yuhu
kissst__,mangga
kissst__,baca baca dik juang
kissst__,periksa obrolan
kissst__,doa ah semoga iya semoga
kissst__,tawa
kissst__,diam kaum menyebalkan
kissst__,batal
kissst__,dibantuin kating sampul buku orientasi studi pengenalan kampus mikirnya gila kenal pacar
kissst__,kemarin mimpi acak tawa
kissst__,iya tangis
kissst__,sih jne iya ampun kesal
kissst__,batal
kissst__,ekspektasi ih sial
kissst__,sabar bawa mimpi
kissst__,selamat ulang tahun saudara laki
kissst__,balas rsud daftar putar camellia blooms
kissst__,beda
kissst__,susah sih
kissst__,batal
kissst__,batal
kissst__,aneh
kissst__,tawa tawa
kissst__,jahat sih dit
kissst__,gampangin gampangin
kissst__,nang ih
kissst__,batal
kissst__,bahagia
kissst__,saudara wanita parah
kissst__,putus
kissst__,gadis parah sih
kissst__,asli horor tangis
kissst__,raa
kissst__,iya sg
kissst__,gila pesan
kissst__,dit
kissst__,iya tangis
kissst__,iya tangis
kissst__,jarang sih jarang sg
kissst__,horor sih asli diamkan
kissst__,deh
kissst__,tawa gila akun ngedm aneh aneh
kissst__,batal
kissst__,perkara ijazah transkrip susah iya tuhan cari tertanda
kissst__,nerbener anak pafet saudara wanita
kissst__,batal
kissst__,aduh
kissst__,lookism
kissst__,habis pikir sih
kissst__,ken tonton
kissst__,runtuh
kissst__,parah
kissst__,hft cewa
kissst__,gilir ajak pergi bareng
kissst__,malas ah ngegampangin
kissst__,ah solutif
kissst__,saudara wanita
kissst__,ken
kissst__,sakit hati dikatai tangis
kissst__,ngadepin lelah iya tuhan
kissst__,batal
kissst__,alhamdulillah sybuk syekalih
kissst__,cie
kissst__,pusing ah selamat tinggal
kissst__,daya
kissst__,jual nama syateh saudara wanita kesal
kissst__,batal
kissst__,tawa
kissst__,uhuy terimakasih
kissst__,semangat semangat dikit
kissst__,tawa sistur
kissst__,asli ih
kissst__,malas iya sebentar keringetan
kissst__,betah nangor panas
kissst__,rindu ajar tawa
kissst__,sih
kissst__,oiya anak jalan
kissst__,jail buka buka dekil iya tuhan
kissst__,ah sih sibuk
kissst__,ayo
kissst__,lelah tolong tolong butuh utama
kissst__,tertawa
kissst__,jijik
kissst__,gabutnya tawa
kissst__,lucu iya tweet tawa
kissst__,bis nang misi
kissst__,alim ah misi
kissst__,seru loh tertawa saudara
kissst__,selamat cerita tunggu besok saudara
kissst__,amin terimakasih elsydut
kissst__,terimakasih iya belaga pesan
kissst__,amin terimakasih aji
kissst__,amin terimakasih iya
kissst__,amin terimakasih
kissst__,amin terimakasih ki saudara
kissst__,mie foto
kissst__,pom tanjung
kissst__,jas
kissst__,ayo ti
kissst__,sal elsy
kissst__,anjas
kissst__,selamat ulang tahun genyeng traktir lupa
kissst__,cewenya sih elsydut
kissst__,periksa pesan
kissst__,undang
kissst__,besok ti
kissst__,internat budugz daritadi
kissst__,penasaran
kissst__,iya
kissst__,almarhum
kissst__,sih meh mehan
kissst__,meh
kissst__,meheheh
kissst__,hih rem
kissst__,dekan homoseksual meh
kissst__,meh
kissst__,miripin
kissst__,cari nick name lucu tawa
kissst__,usum ngapalin tawa
kissst__,musim segel tawa
kissst__,jumat iya
kissst__,ayo instalin ih
kissst__,dekan instalan segel tolong instalin tawa
