username,tweet
liawrdhani,percaya wkkw
liawrdhani,replynya wkwkk
liawrdhani,asik kantor sepeda
liawrdhani,pikir beli sepeda
liawrdhani,ayo paman hisda
liawrdhani,cari waktu tidur
liawrdhani,tahap
liawrdhani,batal
liawrdhani,curiga pacar kemarin pulang berekspetasi takut kecewa pulang ekspetasi sesuai realita
liawrdhani,selesai obat bius habis bolak cemil lapar puasa malam sakit
liawrdhani,batal
liawrdhani,geli pakai pasangan
liawrdhani,bengong kantor ngobrol pakai bahasa sunda serang paham coyy
liawrdhani,pasuk umur abad ngerasanya
liawrdhani,diam batu
liawrdhani,malas gerak cicil rumah malas gerak dikerjain
liawrdhani,rapunzel rumit iya keramas
liawrdhani,rambut malas gerak keramas
liawrdhani,rewel ujung diam
liawrdhani,lekas pulih saudara naj
liawrdhani,pikir pakai otak pikir program pikir tugas apj abrek kesal diomongin
liawrdhani,singgung sih coyy bilang ih komputer
liawrdhani,suasana hati masker sensi
liawrdhani,pacar romantis harap romantis
liawrdhani,kurir barang pikir beli iya kemarin lebaran po kado
liawrdhani,li
liawrdhani,imbang iya erti erti
liawrdhani,diam ledak
liawrdhani,oh
liawrdhani,suka sedih kadang kantor teman jawat ajak diskusi alamin
liawrdhani,gemas jerawat dahi gunung letus
liawrdhani,sih tunggu chatnya tunggu coyy
liawrdhani,gumush
liawrdhani,tengah debat ayo syahadat ayo marah
liawrdhani,motif coba unggah video foto korban celaka sensor
liawrdhani,ujung pikir
liawrdhani,libur bawa lapar
liawrdhani,latih hubungan jarak beda waktu selai tidur sibuk
liawrdhani,terlambat tutup yaudhlah dijulidin
liawrdhani,mie
liawrdhani,jail coba cangkir mi korea tekstur mienya lumayan suka bau selera
liawrdhani,bilang malas olahraga li
liawrdhani,olahraga cemil siang pakai sambal minum saudara wanita panas lumayan lari
liawrdhani,thr online
liawrdhani,giat lebaran tidur kamar ruang tamu ngabisin nastar opor siklus rindu lebaran rumah mbah
liawrdhani,rela libur cepat
liawrdhani,malam gelisah asik jiwa
liawrdhani,umur muda badan jompo tawa
liawrdhani,rindu bothoke simbah
liawrdhani,rindu ketemu lek
liawrdhani,amal polos paham
liawrdhani,tan mengomongnya ajar
liawrdhani,lapar kantuk lapar lelah dasar manusia
liawrdhani,ayo ekspetasinya tinggi yuk
liawrdhani,motor
liawrdhani,boneka berbie deh menang tawa
liawrdhani,semangat ulil
liawrdhani,kucing takut
liawrdhani,batal
liawrdhani,ih seru
liawrdhani,pacar pakai kemeja budak cinta astaga
liawrdhani,malam mimpi lari iya badan sakit
liawrdhani,rewel lupa pacar besok uji
liawrdhani,gemas malam mimpi gendong freya bayi
liawrdhani,dikatai sakit guru anjir
liawrdhani,teman temenquu kasurqu
liawrdhani,unggah temannya sedih teman wkwkkwk
liawrdhani,gorden kamar rumah nenek
liawrdhani,sahur gelisah ran
liawrdhani,kantuk pikir isi meja
liawrdhani,waktu damar berkas temannya
liawrdhani,ayo ayo hubungan jarak
liawrdhani,batal
liawrdhani,kadang diskusiin takut ekspetasi
liawrdhani,sedih malu ngebayangin temu keluarga
liawrdhani,utama bingung
liawrdhani,sapa tuh
