username,tweet
micinsassae,renti susah
micinsassae,ken unggah foto pacar kalo pacar
micinsassae,mung ternyta bedoa
micinsassae,cinta pacar pacar iya sebentar pacar kalo tolong doa kabulin deh
micinsassae,ahahahahha beljar bom lulus ayo ayo ajar
micinsassae,tidur eh kebelet berak aah otomatis bangun
micinsassae,sepupu wibu saudara beradek semuaa
micinsassae,rindu kertas parkir
micinsassae,iya nama jakarta alamat tangsel jaksel
micinsassae,otomatis periksa
micinsassae,astaghfirullah butuh
micinsassae,rindu iib keluh balas iya ncin sabar bicara sejuk sayang obrolan tlfn doa iya tuhan iib kasih iib surga iya tuhan
micinsassae,bodoh
micinsassae,otomatis periksa
micinsassae,kalo dimsum temu nyoy kalo dingin berubh sedkit keras
micinsassae,resep bunda dimsum lembut nyoy
micinsassae,cucu tetangga usia tahun saudara cicin mas bingung mas gu loh mas saudara laki koli anak saudara saudara
micinsassae,ayo keren
micinsassae,lipat combo kalo
micinsassae,jurus kamera arah layar laptop
micinsassae,doa iya
micinsassae,bimbing uji semuaa hormat pengaruh fakultas gila
micinsassae,otomatis periksa
micinsassae,saudara pagi pagi heboh saudara bbri minus beli gih
micinsassae,lali kyo sono fitur obrolan
micinsassae,pernh sih kasih sidutin ahhaahha nih syirik jdinya malas lelah iya nasib bagus
micinsassae,mundur alon alon mergo sadar lagu putar tetangga kumpul-kumpul teman temannya
micinsassae,bingung
micinsassae,hilang kacamata oh oke tarik
micinsassae,otomatis periksa
micinsassae,bagus praktik hidup telh ajar
micinsassae,ngnter menikah mobil lecet ngeterke menikah kayane nenek mobile sirik
micinsassae,semoga nasib apik paringono kulo sabar tabah lan ulet ben gek endang ra nyusahke tuo
micinsassae,undang sih cemil kmbing aqiqah
micinsassae,piwe sih carane turu awan gel pusing tidur siang
micinsassae,krisis aspek
micinsassae,kabel internet putus gais ketiban blarak sayap udan ayo melas
micinsassae,tidur tetangga nyetel lagu yatoiba sulis dosa
micinsassae,yoi maksa nilai anggep teman itubhak yodh iya ctm
micinsassae,trnyta anggep teman bom
micinsassae,anak smk susah blog mengetik angka semangat pkok
micinsassae,ruqyah pliss bgnii
micinsassae,sial ovo puncak
micinsassae,sumpah benci nada alarm notif telepon tidur maki maki
micinsassae,asw
micinsassae,ngunu tunggu ben penak
micinsassae,njok kon piwe
micinsassae,mbojo mbojo mbojo mbojo pacar
micinsassae,kasih suka nasi padang
micinsassae,cemil nasi padang sih ayo tolong argh
micinsassae,otomatis periksa
micinsassae,kemarin lagu pesona lagu jatah mantan daftar putar otak
micinsassae,mandi
micinsassae,yasudah tel
micinsassae,ken selebgram mengirimi cemil
micinsassae,mie mie aceh ngobatin ken mie aceh
micinsassae,kenpa malas sih
micinsassae,unfollowed otomatis periksa
micinsassae,argh sulit
micinsassae,ngiang lagu pesona
micinsassae,seru iya tongkrong belajar smbl tertawa iya beljar hidup uang cinta ketawa
micinsassae,bagus wooy
micinsassae,iya gila
micinsassae,tawa jelek iya
micinsassae,tiati pengirim kalo memperkenalkan tua sebentar putusin sakit malu lipat
micinsassae,tawa iya lubang pkir pkir iya susah iya
micinsassae,lingkar cahaya teman seperjuangankuu kuat kuat iya
micinsassae,kasih judul arah corona loh
micinsassae,bimbing super sibuk gubes neebitin jurnal sciencedirect minimal scopus buah anugerah semoga anughrah
micinsassae,gila
micinsassae,selesai bom gila gila
micinsassae,temu kon saudara wanita ayo jenenge tunggu tinggal
micinsassae,siang kantuk malam kantuk
micinsassae,acak tibatiba pikir ken pempek kapal lem pernh dri
micinsassae,tekan becandaan babeh pikir terusterusan kalo tinggalkan teman gmnaa jadinyaa juang kalem sndrian
micinsassae,bff eh dressnya polka
micinsassae,butuh cercah cahaya insiprasi
micinsassae,tunggu kabar rusa organ saudara
micinsassae,bede semoga restu
micinsassae,gelisah
micinsassae,matapelajaran pkn ganti didik anti korupsi
micinsassae,tidur pikir rumah bom kalender tahun
micinsassae,suka sate bumbu kacang
micinsassae,otomatis periksa
micinsassae,batal
micinsassae,semoga al quran iib hafalin dunia tolong iib akhirat
micinsassae,iib lulus duluan cinta tinggalkan terimakasih mengajari ketemu deh menyimak murojaah iib tuhan sayang iib
micinsassae,pakai duluan bong sebentar kalo brhsl
micinsassae,besok kalo mnjem duet saudara kasih
micinsassae,malas pasang cerita iya sebentar loncat
micinsassae,ken usaha catering jurgan kontra iya tuhan
micinsassae,unfollowed otomatis periksa
micinsassae,smst depat pkl iya satusatunya angkat pkl selamat tinggal rumah sakit fatmawati
micinsassae,nikmat dusta teman mengerti
micinsassae,renti cemil lelah ngunyah
micinsassae,cemil kenyang
micinsassae,materi kuliah depresi ajar depresi
micinsassae,bom beli honda yodah beli toyota
micinsassae,tawa
micinsassae,sakut pliss tanggal
micinsassae,kepala sakit
micinsassae,lumba lumba sirkus mlehoy
micinsassae,senam suka
micinsassae,hujan cemil manis sih cemil ken manis
micinsassae,ajar banding pdm padang pacar desa
micinsassae,cerita museum buya hamka laah rindu sakit muterin danau maninjau pakai motor
micinsassae,alarm tubuh kantuk banding bangun pagi selai kantuk tengah bangun
micinsassae,temenin mendengarkan
micinsassae,tawa
micinsassae,sih
micinsassae,ayo tri hormat monggo duluan loh prioritas loh
micinsassae,teman tonton beda blass webtoon saudara webtoonnyaa
micinsassae,ktinggalan bilang beli sih tengah malam
micinsassae,eh salah rabu tanggal
micinsassae,dimana saudara rumah jalan pusing
micinsassae,saudara wanita ezra tanggal kondangan saudara laki yorii ngkk
micinsassae,meriyang gais iya minum obat
micinsassae,meriyang gais
micinsassae,iya tuhan ken juragan kos anak kos kos an comfy keren
micinsassae,unfollowed otomatis periksa
micinsassae,maaf kondisi
micinsassae,malas bayarin
micinsassae,minggu pikir bangun gcr unggah tugas allahu eh badai ah
micinsassae,sebentar pusing deadline pusing mboh mboh
micinsassae,pitalis cepat hilang wangi saudara mending parfum isi ulang
micinsassae,iya selai ken cemil geprek
micinsassae,bodoh iya
micinsassae,tawa tawa tawa tawa argh
micinsassae,tim hambali asli saos kecap sambal
micinsassae,link suhu
micinsassae,kasih dri kalo lembah harau kejut cengang aneh buang
micinsassae,gudang obat gudang obat pintu ajar sih oo sakti ilang
micinsassae,kuah pedas hujan
micinsassae,dosen kalo gila pjj gila smpek poni suka poni nih dibeginikan kalo beginikan lapang golf bicara smbl ngebelakangin poni curhat iya iya
micinsassae,habis minum matcha latte sush tidur payah payah
micinsassae,kacang tanah
micinsassae,kejut
micinsassae,sebentar iya
micinsassae,besok kamis iya oh oke
micinsassae,teman praktek rumah sakit pacar awat anastesi eh panggil sruh cepat curiga hasil reaktif lemah besok kepel kasih liburin
micinsassae,sengaja putar lagu resah luka ah
micinsassae,hampa bingung
micinsassae,iya suka hati tidur
micinsassae,duduk postur tubuh ancoor
micinsassae,hidup iya kuat ngehadepin berat deh sukses taat agama takut
micinsassae,sayang yai
micinsassae,garuk
micinsassae,hallu saudara tiati iya nackal
micinsassae,olahraga deh badan aneh
micinsassae,malas baca
micinsassae,pahit
micinsassae,otomatis periksa
micinsassae,perkara amoxiclav degdegan melek kantuk
micinsassae,apakabar sks penuh iya
micinsassae,lidah padang kualat nenek suka ejek kalo cemil nenek asin
micinsassae,sehat pengaruh faktor eksternal tingkat pendididakan ekonomi letak geografis bayang tinggal gunung susah kalo keluh sehat
micinsassae,kuliah saudara laki suara dri dosen ulang sirine ambul
micinsassae,uang beli cemil pikir
micinsassae,kalo kumpul gibah
micinsassae,kecoa hebat hancur
micinsassae,otomatis periksa
micinsassae,hehehehee
micinsassae,fokus hilang udara minum situ tmpatnya bisaanya senggol basah kasur elah
micinsassae,sush pyah jelasin pribadi jelasin
micinsassae,dosen aju nanocurcumin perintah alhamdulillah ganyang transfer raya ketawa beril beliau bicara logat sundanya salah dosen kagum
micinsassae,iya uang
micinsassae,ken marah kesal lapar sial
micinsassae,selamat hasil uji
micinsassae,sayang dokter
micinsassae,hurung ki
micinsassae,unfollowed otomatis periksa
micinsassae,kasih
micinsassae,smpek bom temu nih sebentar kalo iya saudara laki
micinsassae,saudara kelas tahun saudara menikah guru ahahahahha pernh dengar cerewet tolong aminin takut wkwkkwkwkw
micinsassae,malam tidur tetangga cucu tengh malam nang keras
micinsassae,tidur tidur tidur meriyang
micinsassae,cuciin motor malas saudara laki cuci motor dsnii
micinsassae,heboh aduk saudara aduk loh bubur kacang sruh awas kacang
micinsassae,iya pakai lipbalm jilatin smpek klopek
micinsassae,ngantook ngantok
micinsassae,sih sheila dara aisha cantik definisi cewek cantik
micinsassae,isone bocor dri atep
micinsassae,tim hambali saudara laki
micinsassae,ketek kecut
micinsassae,bazeng
micinsassae,koyo urip saiki
micinsassae,cpek pengirim tawa
micinsassae,hebat pakai
micinsassae,saudara aneh sarjana dusun tinggal
micinsassae,otomatis periksa
micinsassae,berdua pikir syirik iya padaa
micinsassae,welkam gula welkam kalori welkaam
micinsassae,pria
micinsassae,tht
micinsassae,tuh gila mie tapiu kalo cemil mie mikirnya sedih sih
micinsassae,ken survei anak hafal sumpah pemuda
micinsassae,oke doa jujur
micinsassae,batal
micinsassae,otomatis periksa
micinsassae,mentertawakan hidup
micinsassae,kasih tawa bayang tahan nafas
micinsassae,setahub cemil richees rumah jaoh
micinsassae,kejut buka dompet isi tawa iya tuhan amaat uang
micinsassae,drummer arah bagus iya bnerbner cewek bagus
micinsassae,pakai masker sih oke misi
micinsassae,temannya has
micinsassae,bentar habis
micinsassae,batal
micinsassae,butuh gelas matcha latte dingin aseme umahku mblusuk
micinsassae,bosan
micinsassae,sabtu minggu santai bertumpuk tuh deadline
micinsassae,nyala kalo pesan
micinsassae,lubang kalo sebentar kasih es
micinsassae,jauhjauh pikir diskusi eh simpul ibuprofen byee celecoxib meloxicam
micinsassae,sim puncak
micinsassae,sayang
micinsassae,ken pakai baju shincan pkej
micinsassae,lubang tolong listan tugas
micinsassae,ajar pingsan
micinsassae,besok kalo salah diagnosa salah obat salah tangan salahkan mesti ranah
micinsassae,iya kuliah farter smpek jilid kuliah farmakologi jilid ujung
micinsassae,kesal musim ngungkap warna cewek ah elah
micinsassae,tiati saudara tams
micinsassae,tugas saudara wanita
micinsassae,lapor smpek sebentar ujung buka endorse
micinsassae,dosen senja sosok doyan treveling rambut gondrong kaos ite ajar kopi
micinsassae,seru libur senen
micinsassae,malas
micinsassae,iya laprak besok tulu
micinsassae,asfar listan tugas dri
micinsassae,sayang rindu tlfn eh besok rumah iya bawain iya cerita deh iya kalo pacar
micinsassae,kimed
micinsassae,tugas iya iya
micinsassae,sabtu minggu ken tidur kuliah kamar
micinsassae,capai tahun allahu
micinsassae,bakteri lupa kuat lemah hati iya iya pikir
micinsassae,dosen pastika tahan tangan selesai doa vaksin semoga cepat beli gratis remeh gayagayaan kumpul-kumpul tahan
micinsassae,misi celana pramuka
micinsassae,terimakasih saudara wanita
micinsassae,tawa
micinsassae,kantuk pernh kalah
micinsassae,stok saudara rumah santai
micinsassae,ayo ayo
micinsassae,shongong kotoran
micinsassae,ayo main
micinsassae,cari pasang bosan bosan benaran
micinsassae,ayo semangat ayo ayo
micinsassae,tetiba pikir menikah anak gedein anak takut
micinsassae,saudara wanita
micinsassae,kopi sbntr sepi jaga siang sktr selai tan sih omelin nih nongky aman nih cemil gen cemil ken santai iya kumpul-kumpul ramai ramai
micinsassae,sabar saudara wanita semester gila
micinsassae,malam minggu tugas haahaha mimpi nth kalo malam minggu niatin nugasnya
micinsassae,ken bilang terimakasih seengknya ngehilangin kebosenan tawa
micinsassae,warna bodoh malu
micinsassae,teman waktu cinta saudara rumah jalan ayo balam balang
micinsassae,tonton tengah malam
micinsassae,korban malam minggu
micinsassae,pagi stresa
micinsassae,tugas deadline selasa kalo pitri bangun tidur diketawain hidup
micinsassae,fiks sesak
micinsassae,uncim baikbaik semoga lekas
micinsassae,sapaa sih ken main kumpul-kumpul hahahihi ngabisin duet aneh ken
micinsassae,iya rada bosan
micinsassae,waduuh iya kantuk iya hedeh
micinsassae,cowok ganteng emaang
micinsassae,tugas kalo malam minggu sentuh beda malam minggu waktu istirahat
micinsassae,tiatii lu haahahah
micinsassae,teman gosip drakrok baca pikir
micinsassae,praktikum sabtu minggu sita lapor suka canda
micinsassae,sen milkshake popice saudara wanita saudara wanita
micinsassae,undur gilir mash
micinsassae,bicara kejut
micinsassae,menggantikan posisi botol yakult
micinsassae,saudara wanita obrolan cinta rumah sakit pikir neraka iya tuhan
micinsassae,titip ngamuk arek ngamuk nang jnt ki
micinsassae,pakai jnt selesai
micinsassae,otomatis periksa
