username,tweet
munawaroh_mona,unfollowed otomatis periksa
munawaroh_mona,pasrah lelah kalah
munawaroh_mona,serah deh blokir iya serah
munawaroh_mona,okee an iya lelah nang
munawaroh_mona,salah emaknya ain suruh kalah suruh terima ngebantah nurut
munawaroh_mona,ken nangiiss lelah
munawaroh_mona,otomatis periksa
munawaroh_mona,otomatis periksa
munawaroh_mona,cashback beli kode munaw ayo unduh aplikasi shopee
munawaroh_mona,alhamdulillah tahun tahun cinta bangga berkarir
munawaroh_mona,twibbon karyawan smk an nurmaniyah
munawaroh_mona,luvly sinar matahari
munawaroh_mona,support emaknya pamrih suka duka
munawaroh_mona,curhat anak gadis lega
munawaroh_mona,senin aktivitas bjasa doa pulih doa bertumpuk cepat selesai amin
munawaroh_mona,duli pisah tahun
munawaroh_mona,alhamdulillah emaknya ain sehat insya tuhan umur anak gadis
munawaroh_mona,emaknya ain ken anak gadis sukses sesuai keinginnannya ketemu jodoh sesuai impi
munawaroh_mona,emaknya ain pikir anak gadis wayang kuliah tegak kaki mungil
munawaroh_mona,emaknya ain takut mati tiktok tinggal corona
munawaroh_mona,emaknya takutin isolasi mandiri
munawaroh_mona,jaga sehat jaga protokol sehat anggap remeh loh positif corona
munawaroh_mona,alhamdulillah tes antigen negatif insya tuhan senin besok aktivitas
munawaroh_mona,terimakasih saudara teman support doa emaknya ain isolasi mandiri
munawaroh_mona,saudara teman perhati
munawaroh_mona,sakit saudara teman tulus loh
munawaroh_mona,sakit bayangkan anak menikah kefikiran sel
munawaroh_mona,ngerengek anak gadis emaknya takut anak tular iya nikmat sakit
munawaroh_mona,rindu menemani rindu almarhumah sakit emaknya ain cerewet
munawaroh_mona,iya emaknya ain isolasi mandiri ngirimin cemil
munawaroh_mona,cemil bareng anak gadis ken mewek anak gadis rindu sih saudara laki
munawaroh_mona,habis cepat tes alhamdulillah negatif rumah cemil betawi langgan waktu sih saudara laki almarhum
munawaroh_mona,cemil mewek mariyah saudara wanita alfatihah
