username,tweet
putriyuniardi,imbas tunda container
putriyuniardi,batal
putriyuniardi,gumuuy
putriyuniardi,indah beudh
putriyuniardi,wondering angin kencang nutup jalur
putriyuniardi,syukur kecewa alhamdulillah tangis kenapasih
putriyuniardi,has sailed tunda
putriyuniardi,unfollowed otomatis periksa
putriyuniardi,hadiah
putriyuniardi,harap tawa longer peduli
putriyuniardi,ujung tidur jelang subuh tawa gilagila parah asli kenapadah
putriyuniardi,minggu isi marah kesal kecewa sedih nang malam buka media sosial cari ketawa hibur tidur ovethinking nang tawa miris
putriyuniardi,susah iya wujudin impi niat eh kalah tertawa kapansih bahagia bahagia
putriyuniardi,gemey jeykey
putriyuniardi,si nyala twitter tahun via
putriyuniardi,ulang tahun kemarin iya
putriyuniardi,nyala ulang seesaw admin suga lagu sembuh ngerap vocalnya sih iya mengademkan lagu lirik tahap yawla saudara laki asdfghjkl keren beudh senyum kuat
putriyuniardi,tidur selai an malam habis hadir pulang rumah bangun selai diusahain buka laptop periksa bangun pagi dhuardhuardhuar panik tawa
putriyuniardi,yasudahlah karma
putriyuniardi,rindu marah waktu
putriyuniardi,batal
putriyuniardi,temu
putriyuniardi,tidur buruk suasana hati sedih kecewa marah tertawa kapansih tidur ovethinking
putriyuniardi,ken
putriyuniardi,batal
putriyuniardi,percaya isu uang parah wajar sih uang
putriyuniardi,batal
putriyuniardi,otomatis periksa
putriyuniardi,yeontan
putriyuniardi,batal
putriyuniardi,lucu
putriyuniardi,wajib nanggung beban
putriyuniardi,bahagia
putriyuniardi,tawa
putriyuniardi,tolong balasan tawa
putriyuniardi,kunci ikhlas sabar
putriyuniardi,pasrah ganti telepon uras atm
putriyuniardi,batal
putriyuniardi,bingung gaya kemarin tawa iya pingoo
putriyuniardi,suasana hati
putriyuniardi,iya esok bwang
putriyuniardi,batal
putriyuniardi,berflower flower habis siram
putriyuniardi,seru baca repliesnya
putriyuniardi,batal
putriyuniardi,congratulation
putriyuniardi,yaampun sih saudara laki amin
putriyuniardi,isokey
putriyuniardi,batal
putriyuniardi,batal
putriyuniardi,tahun rencana buyar beranta tawa trauma alir deh
putriyuniardi,malam telepon saudara laki bassist habis dufan eh acak temenin laut dunia candid pacar sih
putriyuniardi,kejut pesona utama bas
putriyuniardi,bubur kantor yaampun rindu cemil bubur sakit hangat saking rumah
putriyuniardi,tawa beban hidup berat
putriyuniardi,batal
putriyuniardi,happiest ulang tahun saudara laki admin suga getah smilenya manis leleh sehat karya ciptakan lagu keren
putriyuniardi,yoongi wants yoongi gets ulang tahun hadiah admin milik lagu
putriyuniardi,batal
putriyuniardi,terima kasih repliesnya tawa
putriyuniardi,fanboynya rapline pakai sangar ngerap gemas
putriyuniardi,saudara wanita aktif nyanyi joget suasana hati
putriyuniardi,bantu saudara
putriyuniardi,asli suka ikan saudara laki pecel lele soto beli ikan iya
putriyuniardi,batal
putriyuniardi,kejut
putriyuniardi,iya tuhan jeon jung kook
putriyuniardi,kemarin malam tidur bawa melow parah pikir super puncak
putriyuniardi,kuasa
putriyuniardi,batal
putriyuniardi,asli afirmasi harap harap asli harap salah salah
putriyuniardi,terimakasih via
putriyuniardi,tuhan berkehandak
putriyuniardi,daftar putar rumah
putriyuniardi,batal
putriyuniardi,batal
putriyuniardi,salah sih
putriyuniardi,bestfriend soulmate sungguh
putriyuniardi,batal
putriyuniardi,batal
putriyuniardi,batal
putriyuniardi,batal
putriyuniardi,habis ketemu teman kenal cerita dilakuin asli beban
putriyuniardi,iya nyaman suka ulang hakim asli nyaman ken jaga jarak teman aselik
putriyuniardi,otomatis periksa
putriyuniardi,batal
putriyuniardi,suka bts tengah tahun video suka bts
putriyuniardi,tawa rambut teori kookie cepat selca nyaring
putriyuniardi,batal
putriyuniardi,kiyowo
putriyuniardi,suasana hati saudara laki jin saudara laki yoongi
putriyuniardi,saudara laki admin foto swagnya hilang
putriyuniardi,kemarin blonde perak biru omagaah kuota iya apdet twitter
putriyuniardi,batal
putriyuniardi,ampuh sih bidang cuti
putriyuniardi,wkwkwkwkwkwk lawaq
putriyuniardi,terimakasih helping
putriyuniardi,batal
putriyuniardi,pagi pagi kasih asupan fangirling iya tuhan suasana hati
putriyuniardi,pandemi
putriyuniardi,aura ketua iya
putriyuniardi,drama korea tonton suka ostnya otomatis penggemar hujan saudara wanita lagu hye kyo
putriyuniardi,batal
putriyuniardi,ngeunfoll selebgram yutuber storiesnya iya pamer sih suka konten
putriyuniardi,batal
putriyuniardi,tunggu perbarui
putriyuniardi,senang ulang tahun saudara laki hobie
putriyuniardi,palsu maknae
putriyuniardi,kompak maknae garis
putriyuniardi,malam malam gulir dasbor semu tugas kolam ah mhanthaabzz
putriyuniardi,batal
putriyuniardi,otomatis periksa
putriyuniardi,repliesnya
putriyuniardi,batal
putriyuniardi,semangat rya mudah mudah cepat sembuh sehat amin
putriyuniardi,batal
putriyuniardi,batal
putriyuniardi,batal
putriyuniardi,takut iya dipikirkan safetynya
putriyuniardi,napas foto imut tahap barang curi
putriyuniardi,batal
putriyuniardi,kejut tulis serapih
