username,tweet
semesta_human,seru grup
semesta_human,ganemu
semesta_human,sih pacar cocok putus waktu putus waktu ngalamin sakit
semesta_human,ngerjainnya selai brainstormingnya
semesta_human,tugas isi mengarang sudi baca ulang kumpul pokok bodoamat ngumpulin dasar mahasiswa semester mahasiswa
semesta_human,bileh lambat resp
semesta_human,jujur pacar orgnya gantung berat mengajari pisah lempar fakta buruk
semesta_human,suka pacar mendengarkan ngeinterupsi bain percaya mimpi teman diskusi asik pokok seru pacar
semesta_human,suka tonton alur cerita film youtube tular suka lagu lagu mendengarkan suka rambutan rambutan tawa
semesta_human,suka tonton film tular suka aliran drama romantis sikat suka cemil telur tular mudah eneg cemil telur
semesta_human,marah marah cari ribut ti cari ribut deh salah tawa suka lucu pasrah tingkah aneh
semesta_human,anak super duper manja clingy suasana hati jelek suka marah tenang tenang heran
semesta_human,anak anak pintar sih sabar tenang bagus hidup skenario ketemu pacar babak senang saudara wanita pacar ngebebanin bahagiain
semesta_human,ngambek malam kirim audio whatsapp lagu tawa gacuma jaket dingin jalan malam otomatis
semesta_human,saudara laki pacar jalan kaki pakai sendal pinggir keras sakit tukar sendal jepit sendal tenteng pakai gamuat nyeker
semesta_human,iya teman ngefollow second instagram suka takut risiko dishare konsumsi publik
semesta_human,kerudung juta umat sih tawa
semesta_human,serius kuliah semester cari wacana ahli variasi bahasa ahli metode deskriptif analis ahli bla bla bla ahli
semesta_human,batal
semesta_human,sumpah kejut rakaat baca al fatihah pakai surat jamaah baca al fatihah imam selesai baca al fatihah
semesta_human,nunjukkin foto saudara pacar bilang teletubbies
semesta_human,lelah
semesta_human,gmz sayang nichol
semesta_human,budak cinta ikat cinta saudara wanita reyna gemas nang otomatis nangid
semesta_human,retweet
semesta_human,guru waktu istirahat tidur selai selai waktu waktu efektif tubuh racun serap tubuh selai bbo
semesta_human,tawa hadiah daia piring favorito
semesta_human,ngiang ngiang otak sih pesona
semesta_human,selamat tinggal kuliah offline
semesta_human,batal
semesta_human,batal
semesta_human,batal
semesta_human,rumah kamar sembab diintrogasi nang sembuh lelah
semesta_human,kamar holang holang
semesta_human,ulang ganti semester
semesta_human,kejut proses roket darah darah odong odong anjg lagu
semesta_human,ketemu saudara laki pacar kejut marah seru pundung pundung cekcok ribut selesai
semesta_human,cari pria yatim piatu
semesta_human,kenapasih ti bodoh
semesta_human,jauhi telepon tugas telinga sensitif dengar suara notif
semesta_human,lelah iya
semesta_human,tampol
semesta_human,tahun hajar habis habis tugas
semesta_human,saudara kelas
semesta_human,imut
semesta_human,malas buka instagram isi paid maju
semesta_human,candu video baju barca nyanyi lagu tiktok sahabat pale sahabat pale
semesta_human,desember iya tahun cepat desember tahun
semesta_human,ngebayangin ulang tahun seru dirayain bareng pacar eh kado sakit tipes terima kasih dunia
semesta_human,bilang beli byebye demam panas reda daritadi panas belikan obat beli beli mengomongnya saudara laki nang sesal marah
semesta_human,iya pergi
semesta_human,yeay balon
semesta_human,yaallah
semesta_human,sih hukum kuantitas derita
semesta_human,saking gagal kalah nenangin pakai kalimat tenang jodoh muak pakai kalimat situasi
semesta_human,akrab kalah gagal lupa hasil menang
semesta_human,tiara serius deh ikuti tekan sih hidup
semesta_human,biadab biadab biadab biadab biadab
