username,tweet
stephanieayuu,wkwkkww iya bunda
stephanieayuu,selai bangun berat kantuk libur ken bangun siang selai bangun
stephanieayuu,malu jatah
stephanieayuu,kyke duwe videone
stephanieayuu,oyo tawa brillie matane manajemen data
stephanieayuu,ina matane kemuhamadiyahan kae jenenge
stephanieayuu,ndsmu sherly wi matane dar
stephanieayuu,tawa anjim model kui guru
stephanieayuu,sial kiro nyanyi harap kampus kae nenek kae larang
stephanieayuu,tenang molen jual tampan harga kantong mahasiswa
stephanieayuu,romantis milik kepala hil
stephanieayuu,sitsuit
stephanieayuu,habis foto nyemplung jurang
stephanieayuu,gelut ajak foto
stephanieayuu,hahahhaha tim
stephanieayuu,selera pacar saiki pokmen
stephanieayuu,muka garangan asli alim
stephanieayuu,wkwkwkk lawan malas gerak mandiiy
stephanieayuu,jalan berangan angan rumah mandi rumah malas gerak mandi
stephanieayuu,ayo ayo
stephanieayuu,makane ki meh tidur fren
stephanieayuu,lelah nang mari tidur
stephanieayuu,siang gaena ken nang
stephanieayuu,ulet bulu celana otomatis lari kamar pakai celana kesandung darimana coba ulet bulu celana
stephanieayuu,tolong jijik ulet
stephanieayuu,ncen panggone salah salah
stephanieayuu,aww senang brngkat matahari langit cerah
stephanieayuu,libur magernya saudara laki
stephanieayuu,ambigu ngene iya
stephanieayuu,siang siang iso isone mimpi pacar lupa mimpine iya
stephanieayuu,suka pacar
stephanieayuu,batal
stephanieayuu,aduh iya
stephanieayuu,pisang karamel suka
stephanieayuu,ndamau takut balas diselingkuhin ndaenak
stephanieayuu,suka belikan suka uang ding
stephanieayuu,syukur suka hujan
stephanieayuu,ik
stephanieayuu,nenek pamer harta karun iya
stephanieayuu,aww hoo iya pamer harta eh
stephanieayuu,iya yol imbu tahun pamerin
stephanieayuu,tinggal kilometer
stephanieayuu,dibantuin
stephanieayuu,aww
stephanieayuu,terimakasih snapseed
stephanieayuu,goals
stephanieayuu,uwes len
stephanieayuu,cie yolan
stephanieayuu,pasang gendut
