username,tweet
virraaa_,suruh pose foto kaku beton boro video
virraaa_,ditanyain lupa
virraaa_,berkat samar
virraaa_,tawa nyadarr
virraaa_,hidup
virraaa_,ngogey
virraaa_,ajar suhu
virraaa_,aneh
virraaa_,gerd friends surga baca baca
virraaa_,nyala tahun months freaks every tunggal waktu kait telepon rd parties
virraaa_,sako bukit lepas pasang jas hujan
virraaa_,tim pesan kotak senja kotak cemil senja gila
virraaa_,martabak sayur timbang
virraaa_,rindu cemil layo heu
virraaa_,nida nafsul kerudung blonde zigzag suka pacar
virraaa_,anak link
virraaa_,si tiring bagus
virraaa_,pikir tengah si tiring
virraaa_,tawa
virraaa_,titik harap pergi once tinggal si lambat memakai belok baca jalan simpang jalan
virraaa_,ve gerak nyala pikir might temu someplace grander serakah terbaik ourselves jalan nyala nyala nyala nyala
virraaa_,titik
virraaa_,iya ngambek esensi teksnyo konteks ewkwkwk
virraaa_,klasik perkara cinta bersemi
virraaa_,senang tell happier
virraaa_,ayo nian
virraaa_,drama pacar sebentar tayang juni
virraaa_,malas bengkel rela duduk ngerokok tahan hati gaberani suruh matiin rokok
virraaa_,tanda candu ngantor
virraaa_,sekolah ketemu idak
virraaa_,candu such kejam dunia
virraaa_,cak
virraaa_,menit simpang blk borang
virraaa_,obsesi roka
virraaa_,senang eid sayang twitter folks tuhan hibah kati penuh bahagia eid wherever
virraaa_,menyimak
virraaa_,cinta rindu tepi
virraaa_,juta nida
virraaa_,heran loh saudara laki
virraaa_,ayo
virraaa_,sabar iya saudara wanita mudik
virraaa_,karya unggah simantu sebentar periksa adminnya diapprove terbit deh
virraaa_,ayo kidep kontributor
virraaa_,mudik tahun
virraaa_,hasil karya hiatus pikir
virraaa_,tonton film thailand kemarin temu netflix tarik tonton sesal
virraaa_,kantor samo rumah tinggal ngesot tanggo
virraaa_,pulang kuliah malam cemil pecel lele ramai duduk acak meja cemil cemil diajakin ngobrol tipikal eh dibayarin cemil gara saudara wanita berani duduk
virraaa_,payo wak angin kagek
virraaa_,ve
virraaa_,cemil pizza periksa
virraaa_,kito ngapoi iya wkwkwkk
virraaa_,mati seringkali peduli bangun besok pagi
virraaa_,kolom baris habis gaji ayo saudara laki
virraaa_,awkowkokwokwok
virraaa_,dosa badan habis buka puasa pakai mie instan goreng
virraaa_,days ramadhan menu buka puasa rumah pempek alhamdulillah
virraaa_,lalamo kuraso wuakk
virraaa_,iya tuhan dekade cubo mano
virraaa_,tawa
virraaa_,batal
virraaa_,quotes bangga tanah saudara laki ribu absori
virraaa_,tonton ceramah iya nid tiktok
virraaa_,kati hidup alhamdulillah
virraaa_,kasihan sepi
virraaa_,ayo anak mundur
virraaa_,anak kukirimin fotonyo dev
virraaa_,beli
virraaa_,fase survei pasar muncul iklan
virraaa_,inti sesal
