username,tweet
yuaaayy,tengah sakit wib
yuaaayy,batal
yuaaayy,selai
yuaaayy,tengah sakit wib
yuaaayy,saudara name
yuaaayy,tentara virtual
yuaaayy,batal
yuaaayy,ajak kenal
yuaaayy,ajak nonton bareng ang
yuaaayy,iya anggii
yuaaayy,udaah
yuaaayy,istirahat terimakasih saudara
yuaaayy,laptop
yuaaayy,semoga lolos iya eca
yuaaayy,istirahat
yuaaayy,pagi
yuaaayy,hii buruk hbu
yuaaayy,ayangie
yuaaayy,batal
yuaaayy,si
yuaaayy,batal
yuaaayy,cdm ang
yuaaayy,lupa istirahat lalaa
yuaaayy,hayii
yuaaayy,gemas
yuaaayy,hayii
yuaaayy,batal
yuaaayy,yyass
yuaaayy,deketan cerita pesan iya
yuaaayy,berteman ayo
yuaaayy,lapar saudara
yuaaayy,ayo obrolan saudara saudara
yuaaayy,tulis buram misi
yuaaayy,cemil ndaa
yuaaayy,selimut yanc
yuaaayy,si okeey tyaa ambil peduli urself lupa cemil istirahat semangat
yuaaayy,hii
yuaaayy,aloow saudara tugas suasana hati malu saudara makan malam iya
yuaaayy,selamat pii
yuaaayy,ambil peduli urself hv hebat
yuaaayy,ayo teman ayo iya ang
yuaaayy,batal
yuaaayy,sayang
yuaaayy,jeje
yuaaayy,congratulation milik wisuda bangga sedih ayo pesan ayo butuh selamat semangat tempuh didik tinggi
yuaaayy,iya
yuaaayy,selamat nalaa
yuaaayy,foto profil
yuaaayy,besok selai private message kst private message kst
yuaaayy,malam
yuaaayy,bagus
yuaaayy,anytime
yuaaayy,notif memori penuh
yuaaayy,iya
yuaaayy,cerita pesan
yuaaayy,bilang iya sedih sih
yuaaayy,oke
yuaaayy,suka
yuaaayy,buruk hbu caa
yuaaayy,ayo pulang
yuaaayy,lingkar cahaya
yuaaayy,dek
yuaaayy,reaksi ll later
yuaaayy,oke dicatat ll bookmark bestie
yuaaayy,tidur semangat puasa
yuaaayy,kasih hobi
yuaaayy,tawa lucu mimpi lolipop lala terima
yuaaayy,sial cemil ayam hidup
yuaaayy,pagi hebat bestie
yuaaayy,hv hebat
yuaaayy,pagi
yuaaayy,lupa istirahat lintang
yuaaayy,oke zrii hv hebat
yuaaayy,pagi zrii semangat kerjanyaa
yuaaayy,pengirim kasih apreciate beda tolong harga asin hargain diam
yuaaayy,senang ulang tahun nay wishing filled bahagia tahun filled gembira
yuaaayy,terimakasih
yuaaayy,ayo serius
yuaaayy,masiih
yuaaayy,sakit zaa
yuaaayy,terimakasih
yuaaayy,louder bombs
yuaaayy,iya
yuaaayy,syf
yuaaayy,sakit
yuaaayy,okee
yuaaayy,sakit
yuaaayy,lingkar cahaya
yuaaayy,dot
yuaaayy,wii ayo emot beruang kah
yuaaayy,napsu cemil
yuaaayy,tonton gih
yuaaayy,batal
yuaaayy,batal
yuaaayy,batal
yuaaayy,twt bangtan hapus
yuaaayy,batal
yuaaayy,batal
yuaaayy,batal
yuaaayy,batal
yuaaayy,batal
yuaaayy,batal
yuaaayy,bantu tanda
yuaaayy,batal
yuaaayy,batal
yuaaayy,iya
yuaaayy,batal
yuaaayy,terimakasih anggi
yuaaayy,semangat zrii sayang
yuaaayy,iya halal
yuaaayy,setuju lindung bangtan
yuaaayy,malas gerak
yuaaayy,buruk hbu jee
yuaaayy,hasil tyaa usaha maksimal semangat tyaa
yuaaayy,lingkar cahaya
yuaaayy,lingkar cahaya jeje
yuaaayy,astaga ang
yuaaayy,haloo
yuaaayy,batal
yuaaayy,saudara wanita
yuaaayy,ah ayo cantik ayo diam tawa
yuaaayy,ayo obrolan whatsapp saudara
yuaaayy,nafsu cemil ang
yuaaayy,ayo
yuaaayy,buruk hbu lara
yuaaayy,malas cemil malu
yuaaayy,ily
yuaaayy,haloo
yuaaayy,sayang
yuaaayy,ayo nadh lupa istirahat virtual hugs
yuaaayy,lingkar cahaya nala
yuaaayy,wih sabar
yuaaayy,okee
yuaaayy,sakit taa
yuaaayy,jimin
yuaaayy,sayang pii
yuaaayy,ambil peduli dyn lupa istirahat
yuaaayy,masiih
yuaaayy,iya
yuaaayy,lingkar cahaya
yuaaayy,zaa
yuaaayy,iya
yuaaayy,sakit
yuaaayy,iya janji kak malu
yuaaayy,kasih lambung anggi
yuaaayy,kantuk
yuaaayy,kepedesan
yuaaayy,juang virtual peluk
yuaaayy,saudara pril cantik
yuaaayy,sehat saudara naa sayang
yuaaayy,anytime malu
yuaaayy,rahmat cantik
yuaaayy,ily senang
yuaaayy,kiw cantik suka biru biru
yuaaayy,ayo istirahat
yuaaayy,kiw anak cantik
