term,weight
abadi,0.002
abai,0.007
abdee,0.002
abrasi,0.002
acara,0.002
actionaid,0.002
acuh,0.002
adab,0.002
adakan,0.007
adat,0.002
adha,0.005
adhyaksa,0.002
adi,0.002
adil,0.009
adrianus,0.002
adrudin,0.002
aduh,0.012
aduk,0.002
advokasi,0.002
advokat,0.002
aegean,0.002
agama,0.012
agenda,0.005
agraria,0.007
agro,0.002
agrovaria,0.002
agung,0.009
agustus,0.007
ahmad,0.007
ahy,0.007
airlines,0.002
ajak,0.021
ajang,0.002
ajar,0.037
aji,0.002
aju,0.007
akbp,0.002
akhirat,0.002
akibat,0.023
akitivis,0.002
aklamasi,0.005
akpol,0.002
aksara,0.002
akses,0.005
aksi,0.03
akta,0.002
akte,0.002
aktif,0.002
aktifitas,0.012
aktivis,0.002
aktivitas,0.005
al,0.012
alam,0.007
alami,0.002
alas,0.007
alat,0.005
aldi,0.002
alesandro,0.002
alfamidi,0.002
alfres,0.002
ali,0.016
aliansi,0.005
alih,0.007
alitupu,0.002
aljufri,0.007
alkes,0.002
alkhairaat,0.002
alkohol,0.002
alokasi,0.005
alpukat,0.002
alsih,0.002
alumni,0.007
alumunium,0.002
amal,0.005
aman,0.077
ambang,0.002
ambil,0.002
ambruk,0.002
american,0.002
amir,0.002
amjad,0.002
amm,0.002
among,0.002
ampana,0.007
ampibabo,0.002
anak,0.051
ancam,0.012
ancyra,0.005
andi,0.005
anggap,0.005
anggar,0.009
anggota,0.04
angin,0.005
angka,0.007
angkat,0.009
angkut,0.002
aniaya,0.002
anies,0.002
anindya,0.002
anjlok,0.005
anleg,0.002
anniversary,0.002
anomali,0.002
anti,0.009
antigen,0.002
antikorupsi,0.002
antisipasi,0.005
antre,0.002
antuke,0.002
antusias,0.002
anutapura,0.002
anwar,0.021
aparat,0.016
apbd,0.012
apbn,0.002
apd,0.005
apel,0.007
apfi,0.002
api,0.007
apk,0.005
apkowil,0.002
aplikasi,0.005
april,0.002
arak,0.002
ardi,0.002
ardillah,0.002
area,0.028
aristan,0.007
arkom,0.002
armada,0.002
armin,0.002
ars,0.002
arsjad,0.002
arteria,0.002
aset,0.002
ashar,0.002
asik,0.002
asisten,0.002
askar,0.002
asn,0.016
aspirasi,0.007
asrianti,0.002
astra,0.005
asuh,0.007
asyik,0.002
atlet,0.005
atur,0.007
awas,0.007
awat,0.009
ayam,0.007
ayo,0.007
babinsa,0.005
baca,0.009
badai,0.002
badminton,0.002
badrun,0.005
bagus,0.002
bahan,0.023
bahas,0.009
bahasa,0.002
bahaya,0.005
bahodopi,0.023
bahomakmur,0.005
baiturrahman,0.002
bakar,0.023
bakrie,0.002
bakso,0.002
baksos,0.002
bakti,0.005
balaesang,0.007
balai,0.005
balap,0.002
balaroa,0.002
balesang,0.002
balon,0.002
balut,0.002
ban,0.005
banawa,0.002
bandang,0.012
bandara,0.009
bande,0.002
banding,0.002
bandung,0.005
bangga,0.047
banggar,0.002
bangkai,0.002
bangkep,0.002
bangkit,0.002
bangsa,0.005
bangun,0.051
banjir,0.033
bank,0.026
banking,0.005
bansos,0.005
bantah,0.009
bantal,0.005
bantaran,0.002
banten,0.002
bantilan,0.002
bantu,0.063
banyuwangi,0.002
bapaslon,0.005
bapilu,0.002
barang,0.007
barat,0.016
barcelona,0.002
bareng,0.005
bartho,0.005
bartholomeus,0.007
bas,0.005
basarnas,0.005
basma,0.002
batal,0.007
batalyon,0.002
batang,0.002
batara,0.002
batas,0.03
batu,0.007
bawa,0.009
bawang,0.005
bawaslu,0.014
baya,0.005
bayar,0.007
bayi,0.002
bbm,0.002
bcpm,0.002
bea,0.005
beasiswa,0.007
bebas,0.019
becus,0.002
bedah,0.002
beijing,0.002
beka,0.005
bekal,0.002
bekas,0.002
beku,0.002
bekuk,0.023
belas,0.002
beli,0.007
beliung,0.007
bem,0.007
benah,0.005
bencana,0.037
bendera,0.002
bendung,0.002
bengkulu,0.002
bentuk,0.014
berani,0.009
berantas,0.007
beras,0.007
berat,0.002
berhenti,0.002
berita,0.005
berkah,0.002
bermotor,0.009
bersih,0.009
berunjukrasa,0.002
besok,0.012
besusu,0.002
bhabinkamtibmas,0.002
bhayangkara,0.005
bhayangkari,0.002
bi,0.002
bias,0.002
biaya,0.014
bibit,0.005
bicara,0.007
bidang,0.005
bijak,0.005
biliard,0.002
bimtek,0.007
bina,0.002
binamarga,0.002
bintang,0.002
bintara,0.005
bioskop,0.002
birobuli,0.005
biru,0.002
bisu,0.002
bitung,0.002
bk,0.002
bkf,0.002
bko,0.005
bkpm,0.002
bkpsdm,0.002
bksda,0.005
bkt,0.002
blbi,0.002
blok,0.002
bmh,0.002
bni,0.007
bnn,0.023
bnnp,0.005
bnpt,0.002
bobby,0.002
bobol,0.005
boeing,0.002
bogar,0.002
bohong,0.005
bolano,0.002
bolong,0.002
bom,0.007
bongkar,0.002
bos,0.005
botol,0.007
bpbd,0.007
bpc,0.002
bpjs,0.002
bpom,0.002
bps,0.002
brasil,0.002
breaking,0.002
brendi,0.002
bri,0.009
brigjen,0.002
brimob,0.005
brosur,0.002
btn,0.002
buah,0.005
buaya,0.007
bubar,0.005
budi,0.002
budianto,0.007
buka,0.035
bukit,0.002
bukopin,0.002
bukti,0.016
bulog,0.005
bulukumba,0.002
bulutangkis,0.002
bumi,0.005
bunga,0.007
bunta,0.002
buntu,0.002
buntut,0.002
bunuh,0.012
