term,weight
absensi,0.003
acak,0.007
acara,0.003
aci,0.01
adele,0.003
adil,0.003
adminnya,0.003
adorablehome,0.003
aduh,0.038
aduk,0.01
adulting,0.003
ah,0.014
ahahaahaa,0.003
ai,0.003
aiesec,0.007
air,0.007
ais,0.003
aisya,0.003
ajaib,0.003
ajak,0.007
ajar,0.021
aji,0.003
aju,0.003
akademi,0.003
akhlak,0.003
aktifin,0.003
akuarium,0.007
akumah,0.007
akun,0.014
akutuu,0.003
al,0.003
alam,0.003
alas,0.017
album,0.007
alfamart,0.003
alhamdulillah,0.017
alhasil,0.003
ali,0.007
alias,0.007
alice,0.003
alon,0.007
along,0.003
aman,0.007
amazed,0.003
ambil,0.01
ambokcing,0.003
ambyar,0.003
amin,0.014
among,0.01
amongus,0.003
ampun,0.003
an,0.042
anak,0.066
analis,0.003
anarki,0.003
andhika,0.003
aneet,0.003
aneh,0.003
anet,0.003
anggap,0.003
angin,0.003
angka,0.01
angkat,0.007
anjal,0.003
anji,0.007
antem,0.007
antisosial,0.003
antivirus,0.003
any,0.003
anyone,0.003
apel,0.003
api,0.003
aplikasi,0.003
april,0.003
area,0.003
ariana,0.003
arisan,0.003
armuh,0.003
arsip,0.003
asa,0.024
asik,0.003
asing,0.003
asiyap,0.003
ask,0.01
askfm,0.003
asli,0.014
assalamualaikum,0.007
astaga,0.01
asteej,0.003
asuh,0.003
asupan,0.003
atur,0.007
auk,0.003
aurel,0.003
aurora,0.003
awa,0.003
aware,0.003
awas,0.007
ay,0.014
ayah,0.01
ayam,0.024
ayo,0.049
ayudia,0.003
ayunda,0.003
baca,0.066
backyard,0.003
bacok,0.007
badai,0.007
badan,0.017
bagikan,0.007
bagos,0.003
bagus,0.049
bahagia,0.035
bahan,0.003
bahana,0.003
bahas,0.01
bahaya,0.007
bahu,0.003
baiq,0.003
baique,0.01
bajing,0.007
baju,0.014
bakar,0.003
bakat,0.007
baked,0.003
bakso,0.007
balada,0.003
balam,0.003
balas,0.042
baleek,0.003
balek,0.003
balesnya,0.003
balikin,0.003
bambang,0.01
bambnah,0.003
bandar,0.003
banget,0.024
bangga,0.014
bangka,0.003
bangun,0.024
banjir,0.003
banting,0.003
bantu,0.017
banya,0.007
baperan,0.003
barang,0.003
barbar,0.007
bareng,0.021
basa,0.007
basi,0.007
baso,0.01
batal,0.087
batas,0.003
batik,0.003
batu,0.007
bau,0.028
baur,0.003
bawa,0.028
bawang,0.003
bayang,0.007
bayangkan,0.01
bayar,0.01
bayi,0.007
bayu,0.003
bbw,0.003
bebaluran,0.003
bebelian,0.003
beberes,0.007
beda,0.014
beguna,0.003
beguyur,0.003
bekal,0.01
belaga,0.01
belah,0.003
beli,0.038
belok,0.003
benarr,0.003
bencana,0.003
benci,0.01
bencik,0.007
bengep,0.003
bengkak,0.003
bentar,0.024
bento,0.01
bentr,0.003
bentuk,0.007
beranda,0.003
berani,0.003
berantemin,0.003
berdua,0.014
berisik,0.003
berita,0.007
berkat,0.003
berkumpul,0.003
berlian,0.007
bersih,0.01
bersiin,0.003
bersin,0.007
bertemu,0.003
besok,0.042
beulah,0.003
beutss,0.003
biadab,0.007
biaya,0.003
bibir,0.087
bicara,0.024
bieber,0.007
bijak,0.014
bilang,0.014
bingung,0.014
biru,0.007
bisikin,0.007
biskop,0.003
bismillah,0.01
bleeds,0.003
blok,0.01
boba,0.007
bodoh,0.014
bodong,0.003
bohong,0.003
bolak,0.007
bolehin,0.003
bolu,0.003
bom,0.007
bonus,0.003
boom,0.007
booming,0.003
boril,0.003
bos,0.01
bosan,0.003
bossman,0.003
botak,0.003
breaks,0.007
bright,0.003
brody,0.003
bty,0.042
buah,0.028
bual,0.007
buang,0.003
buatjn,0.003
buatkan,0.003
buay,0.003
bubar,0.014
bubur,0.003
budaya,0.007
buka,0.028
bukittinggi,0.003
buku,0.003
bumi,0.01
bundel,0.003
bunuh,0.007
bunyi,0.003
buru,0.003
buruk,0.007
buseet,0.003
buta,0.003
butuh,0.024
butut,0.003
bwa,0.003
cahaya,0.007
cair,0.003
cakap,0.003
calonin,0.003
campervan,0.003
campur,0.007
cangkir,0.003
cantik,0.003
capai,0.007
capeq,0.003
cari,0.024
cc,0.007
cedera,0.003
cedi,0.003
cedih,0.003
ceklis,0.003
celengan,0.007
cemil,0.077
cemilan,0.003
cemungut,0.003
cengang,0.003
cepat,0.035
ceramah,0.003
cerita,0.028
cetar,0.003
cewek,0.007
cha,0.003
chalkzone,0.003
chandra,0.003
charged,0.007
children,0.003
chulsan,0.007
cih,0.003
cilaka,0.003
cilok,0.003
cinta,0.07
cium,0.003
ciwi,0.007
cliche,0.003
cliquers,0.003
closer,0.003
coba,0.028
cocok,0.003
coklat,0.003
colorful,0.003
comeback,0.007
comes,0.007
condong,0.003
confusing,0.003
congratulatiion,0.003
congratulation,0.003
corners,0.003
corona,0.028
cosplay,0.003
couldn,0.01
cowok,0.003
craig,0.003
cuci,0.01
cueek,0.003
cumunguud,0.003
cupang,0.017
cuplik,0.003
currently,0.003
cutest,0.003
cuti,0.007
cutie,0.003
cuy,0.01
daftar,0.01
dang,0.007
daniel,0.003
daritadi,0.003
dasar,0.007
data,0.003
datengin,0.003
daya,0.007
days,0.003
deadline,0.007
debu,0.003
december,0.003
deep,0.003
definitely,0.003
deh,0.038
deketan,0.003
deketannya,0.003
dekor,0.007
dela,0.003
demide,0.003
demo,0.01
demons,0.003
dengar,0.01
dengernya,0.007
derby,0.017
desa,0.007
deserves,0.003
desim,0.003
detik,0.003
devi,0.003
dewa,0.003
dewek,0.003
diam,0.024
diapusin,0.003
diarrhea,0.003
dibaikin,0.003
dibantuin,0.003
dibecandain,0.003
dibeginikan,0.003
dibenerin,0.003
dibolehin,0.003
dicuekin,0.003
did,0.003
didengarkan,0.007
didn,0.003
diet,0.007
dih,0.003
diih,0.003
dijolimi,0.003
dik,0.003
dikatai,0.003
dikelilingin,0.003
dikit,0.003
diklat,0.003
dikosan,0.003
diksh,0.007
dilema,0.01
dimples,0.003
dinding,0.003
dingin,0.01
diomongin,0.003
dipecahin,0.003
direndem,0.003
dirometin,0.003
disalahgunain,0.003
disalahin,0.003
disimpulin,0.003
disko,0.003
disney,0.003
disuruh,0.007
dit,0.003
ditanggapin,0.003
ditinggalin,0.003
dito,0.003
diudahin,0.003
doc,0.003
documenternya,0.003
doesn,0.003
doing,0.003
doktor,0.003
dongwook,0.003
dos,0.003
dosa,0.003
dosen,0.003
dotski,0.01
dpr,0.003
drama,0.049
drive,0.003
drowning,0.003
duduk,0.014
duhai,0.003
dukung,0.003
duluan,0.017
dulunya,0.003
dunia,0.014
durian,0.003
dusun,0.003
egok,0.003
eh,0.024
ehehe,0.003
ehehee,0.003
ejek,0.003
ekonomi,0.003
ekor,0.003
elegan,0.003
em,0.003
emgnya,0.003
emily,0.003
emma,0.003
emosi,0.014
emote,0.003
emotenya,0.003
en,0.007
endng,0.003
endut,0.007
energi,0.003
enough,0.007
epik,0.003
episode,0.038
erti,0.003
es,0.003
esok,0.003
etdah,0.003
eun,0.003
ev,0.028
every,0.003
everytime,0.003
evv,0.007
exact,0.003
exo,0.003
ey,0.003
eyep,0.003
ezpzy,0.003
fail,0.003
fakta,0.003
far,0.003
favorit,0.007
februari,0.003
feminism,0.003
feshyun,0.003
film,0.021
finland,0.003
fisip,0.003
flash,0.003
flexing,0.003
flu,0.003
flyover,0.003
fokus,0.007
foto,0.014
fresh,0.003
friday,0.003
frustasi,0.003
gabung,0.01
gadis,0.003
gado,0.007
gaji,0.003
galeri,0.003
gamenya,0.014
gamer,0.003
gamo,0.003
gampar,0.003
ganggu,0.003
ganteng,0.003
ganti,0.01
gapok,0.003
gara,0.007
garam,0.003
garda,0.003
garuda,0.003
gary,0.003
gatal,0.003
gawat,0.003
gb,0.003
gd,0.003
ge,0.007
gede,0.003
gejala,0.003
gelap,0.007
gelep,0.01
gelisah,0.003
gemar,0.003
gemas,0.014
gembira,0.003
gembok,0.003
gendut,0.007
geng,0.003
geprek,0.01
gerak,0.017
gercep,0.003
gesper,0.003
getok,0.003
getting,0.007
giat,0.003
gih,0.003
gila,0.031
gilir,0.007
gilo,0.003
gojek,0.003
google,0.003
goreng,0.003
gores,0.003
gosip,0.01
gosok,0.003
goyah,0.007
grafik,0.003
gratis,0.003
graut,0.007
greget,0.021
grup,0.007
gtv,0.003
guests,0.003
gugup,0.049
gulir,0.007
gulung,0.003
gumush,0.003
guncang,0.007
gunung,0.003
gupek,0.007
habis,0.133
habisin,0.003
had,0.003
hadiah,0.003
hadir,0.007
hae,0.003
hafal,0.003
hahahaaha,0.003
hahahahahaha,0.007
hahahahahahaha,0.01
hahahahahahahahaha,0.003
hahahahahahahahahahahahhaa,0.003
hahahahahanjir,0.003
hahahaharapanku,0.003
haid,0.01
haitsam,0.003
hakiki,0.003
halah,0.003
halaman,0.01
halmeoni,0.003
halusinasi,0.003
hamidun,0.003
han,0.003
hancur,0.003
hangat,0.007
hantu,0.007
hapal,0.003
happier,0.003
hapus,0.003
harap,0.024
harfiah,0.003
harga,0.003
harimau,0.003
harpot,0.003
harry,0.003
harrypotter,0.003
hasil,0.007
hati,0.08
hayday,0.003
hayo,0.003
hebat,0.003
hemat,0.003
heran,0.003
herjunot,0.007
hewp,0.003
hibur,0.007
hidup,0.045
hih,0.017
hijau,0.014
hilang,0.014
hilap,0.003
hilih,0.014
hitung,0.007
hitungan,0.003
hiu,0.003
ho,0.003
hodo,0.003
holds,0.007
holmes,0.003
hore,0.007
hormat,0.01
host,0.003
hotel,0.003
hotstar,0.003
hqq,0.003
huda,0.021
hujan,0.024
hukum,0.01
hulu,0.003
humidifier,0.003
humor,0.003
huruf,0.017
hustling,0.003
hutang,0.003
hv,0.003
hylos,0.003
hylosnya,0.003
hyukoh,0.003
ibadah,0.003
iblis,0.003
icup,0.007
id,0.003
ide,0.007
identifikasi,0.003
ikan,0.024
iklan,0.003
iknowright,0.003
ilang,0.003
ilmu,0.003
impor,0.003
imut,0.003
