term,weight
abai,0.002
abgi,0.002
ac,0.002
acara,0.002
acu,0.002
acuh,0.005
adas,0.002
adeknya,0.002
adeqqu,0.002
adil,0.005
adista,0.002
admin,0.014
adududu,0.002
aduh,0.021
afea,0.002
agama,0.005
agnezmo,0.002
agung,0.002
agustus,0.002
ah,0.019
ahok,0.002
ai,0.005
ajada,0.002
ajadah,0.005
ajak,0.002
ajani,0.005
ajar,0.007
ajasi,0.007
ajee,0.009
ajew,0.002
akademik,0.002
akal,0.002
akhlak,0.002
akses,0.002
akting,0.002
aktor,0.005
akuma,0.002
akumaa,0.002
akunii,0.002
al,0.002
album,0.031
aley,0.002
alfa,0.002
alfia,0.002
alhamdulillah,0.002
aliran,0.005
aluun,0.002
ambil,0.014
ambyar,0.002
amin,0.009
aminamin,0.002
amis,0.005
among,0.002
ampun,0.002
an,0.019
anak,0.043
analisis,0.002
ancam,0.002
aneh,0.002
anggoro,0.002
anggot,0.002
anggota,0.012
angkat,0.005
angkutan,0.002
anime,0.002
anjayy,0.002
anjeer,0.002
anjeng,0.014
anjenglah,0.002
anjerlu,0.002
anjing,0.002
anjink,0.002
anjir,0.002
anjirlaa,0.002
anniv,0.002
antarakita,0.002
antartika,0.002
antem,0.002
antre,0.007
aok,0.007
aokaoakok,0.002
aokaok,0.036
aokaokaok,0.002
aoks,0.002
apaandah,0.005
apaansi,0.002
apada,0.005
apadund,0.002
apalu,0.002
apas,0.014
apaseh,0.002
apayak,0.002
apdet,0.007
apdetannya,0.002
apeeni,0.002
apel,0.002
apeni,0.002
apenii,0.002
aplikasi,0.002
apresiasi,0.002
april,0.005
aqua,0.002
ari,0.002
artis,0.002
asa,0.002
asga,0.002
asik,0.002
asix,0.002
asli,0.002
astaga,0.002
astagfir,0.009
astagfirullah,0.014
auul,0.002
avanya,0.002
awam,0.002
awas,0.002
ayam,0.007
ayi,0.005
ayo,0.019
az,0.002
azab,0.005
ba,0.002
babeh,0.002
babysitters,0.002
baca,0.038
back,0.009
badan,0.002
badut,0.002
baekyung,0.005
bagus,0.028
bahagia,0.017
bahasa,0.002
bahaya,0.002
bajing,0.033
baju,0.007
bal,0.005
balas,0.005
balesnya,0.002
bambang,0.007
bambwang,0.007
bambwangg,0.002
ban,0.002
bangga,0.002
bangsuy,0.047
bangun,0.031
bareng,0.002
baseball,0.002
batal,0.019
batas,0.002
bau,0.009
bawa,0.024
bayar,0.005
bayi,0.005
bb,0.007
beasiswa,0.002
bebi,0.002
beda,0.014
begituan,0.002
beh,0.002
behel,0.005
bela,0.002
belaga,0.002
belah,0.002
beli,0.033
belikan,0.005
beluum,0.002
benci,0.002
bendera,0.002
benersii,0.002
beng,0.005
bentar,0.005
bentuk,0.005
berat,0.017
berdosaa,0.002
berisik,0.002
berkumpul,0.007
berlian,0.002
bersihin,0.002
besok,0.036
betah,0.002
betapa,0.002
betesi,0.002
bett,0.002
beybeh,0.002
bez,0.002
biadab,0.009
biarkan,0.002
bibit,0.002
bicara,0.007
bil,0.007
bilang,0.038
bils,0.017
bingung,0.017
bio,0.005
birhday,0.007
birtnday,0.002
biru,0.002
bisabisaan,0.002
bismillah,0.002
bisq,0.002
bisul,0.002
blacklist,0.002
blok,0.002
bmkg,0.002
bocor,0.002
bodoh,0.036
bohong,0.005
bokqp,0.002
bola,0.002
bolak,0.002
bon,0.04
bona,0.005
boneka,0.005
bonn,0.009
book,0.002
borang,0.002
bos,0.002
bosan,0.005
bpr,0.002
bram,0.002
breng,0.002
brengsek,0.005
bringharjo,0.002
bsgi,0.005
bts,0.002
buah,0.002
buang,0.005
bubar,0.002
bubur,0.005
budak,0.005
buka,0.007
buku,0.009
bunuh,0.002
buram,0.005
burjo,0.002
buru,0.002
buruk,0.005
busett,0.002
busuk,0.007
butuh,0.012
cacat,0.007
cacing,0.005
cahaya,0.009
cair,0.007
cakap,0.002
camila,0.002
camo,0.002
canda,0.005
candid,0.002
candiroto,0.002
cantik,0.002
capeo,0.002
capung,0.002
carbut,0.002
cari,0.012
catat,0.002
cekcok,0.002
celuv,0.002
cemil,0.021
cepat,0.019
cerewet,0.005
cerita,0.007
ceritain,0.002
cerna,0.002
cgv,0.002
chan,0.005
chargeran,0.005
chatnya,0.002
chenji,0.002
chenle,0.002
chikinya,0.002
children,0.005
chinanya,0.002
chuba,0.005
cici,0.002
cie,0.012
cinta,0.017
cipa,0.002
ciputat,0.002
ciyus,0.002
ciyusla,0.002
ckckck,0.005
cl,0.002
cloy,0.002
coba,0.036
com,0.002
comeback,0.002
comebacknya,0.002
cont,0.002
covidnya,0.002
cowok,0.024
cuci,0.002
cui,0.026
cuii,0.024
culik,0.007
curcolku,0.002
curhat,0.002
curhatan,0.002
cyrus,0.002
