term,weight
aak,0.004
abisnyaa,0.004
acara,0.004
acia,0.011
acuh,0.008
adam,0.004
adegan,0.015
adekmu,0.004
adil,0.004
admin,0.004
adminnya,0.004
aduh,0.008
aduk,0.008
afiat,0.004
afui,0.004
agama,0.008
ah,0.011
ahahaa,0.004
ahahahahahaha,0.004
air,0.008
ajak,0.045
ajala,0.004
ajar,0.034
ajarane,0.004
ajasih,0.008
aju,0.011
akademik,0.004
akrab,0.011
akting,0.004
aktor,0.004
akun,0.015
akuntansi,0.008
akusi,0.008
ala,0.008
alam,0.011
alamat,0.004
albino,0.004
albus,0.004
ale,0.008
alergi,0.011
alfatihah,0.004
alhamdulillah,0.038
alias,0.019
alih,0.004
alis,0.004
alkohol,0.004
alphard,0.004
alquran,0.004
alumni,0.004
alvin,0.004
amal,0.004
aman,0.011
ambil,0.023
ambruk,0.008
amin,0.026
ampuh,0.004
anah,0.004
anak,0.169
ancen,0.004
aneh,0.038
anggota,0.004
angka,0.004
angkat,0.023
angkring,0.011
angkringane,0.004
anjing,0.004
anshel,0.008
antem,0.011
anteng,0.008
antre,0.004
apartement,0.004
apas,0.004
aplikasi,0.004
apresiasi,0.011
area,0.004
arep,0.008
arief,0.004
arlisa,0.004
aroma,0.004
arsip,0.004
artikel,0.004
asa,0.004
asdfghjkl,0.008
asdos,0.008
asi,0.004
asik,0.008
asin,0.004
asing,0.004
asisten,0.004
asked,0.004
asli,0.026
aslik,0.004
asline,0.004
asri,0.004
astagfirullah,0.011
astronot,0.004
athirah,0.004
aulion,0.004
aura,0.004
avril,0.004
awak,0.008
awarenessnya,0.004
awas,0.004
awat,0.004
awet,0.008
ayah,0.008
ayam,0.015
ayem,0.008
ayo,0.169
babah,0.004
babe,0.004
babi,0.008
babik,0.004
babu,0.008
baca,0.124
badan,0.023
badmood,0.008
bagas,0.004
bagus,0.109
bah,0.004
bahagia,0.034
bahan,0.004
bahas,0.023
bahasa,0.008
bahu,0.004
baju,0.026
bakar,0.008
baku,0.004
bakul,0.004
bakule,0.004
bala,0.004
balada,0.004
balas,0.041
balesnya,0.008
balikam,0.004
balon,0.004
ban,0.004
banding,0.004
bando,0.004
banget,0.008
bangetsih,0.004
bangsuy,0.004
bangun,0.023
bangunin,0.004
banjar,0.004
bank,0.004
bantal,0.004
bantu,0.034
banyakk,0.008
bapack,0.008
bar,0.011
barang,0.011
bareng,0.023
baronang,0.004
barongsai,0.008
bas,0.011
basi,0.004
batal,0.064
batas,0.004
batin,0.004
batu,0.004
bau,0.03
baur,0.004
bawa,0.023
bawaanya,0.004
bawang,0.008
bayang,0.015
bayangkan,0.015
bayar,0.011
bayi,0.004
bct,0.004
beban,0.008
bebas,0.004
beberes,0.004
become,0.008
beda,0.041
bedah,0.004
beduaan,0.004
bekas,0.004
belaga,0.03
belah,0.03
belander,0.004
belanja,0.008
beli,0.06
beliau,0.004
belikan,0.008
bembi,0.004
ben,0.004
benam,0.004
benda,0.004
bendino,0.004
bengkak,0.004
bengong,0.004
bentar,0.008
bentuk,0.008
beranda,0.008
berani,0.008
beranta,0.004
beras,0.004
berat,0.015
berhenti,0.004
berisik,0.004
berita,0.004
berkarir,0.004
berkumpul,0.004
bersih,0.011
bersihin,0.004
berteman,0.019
besan,0.004
besok,0.004
betah,0.004
biadab,0.008
biarkan,0.011
biarpun,0.019
biasane,0.004
biaya,0.004
bibi,0.004
bibir,0.011
bicara,0.03
bilang,0.06
bindo,0.004
bing,0.004
bingung,0.034
bintang,0.004
bintik,0.015
biografi,0.004
bisane,0.004
bismillah,0.008
blass,0.004
boba,0.004
bobby,0.008
bodoh,0.019
bohong,0.019
