term,weight
aa,0.009
acara,0.009
aceh,0.013
achilles,0.004
acit,0.013
adab,0.009
adalagi,0.004
adaptasi,0.009
adek,0.009
adil,0.013
admin,0.217
administrasu,0.004
adminnya,0.004
adnya,0.004
aduh,0.074
adzra,0.009
agenda,0.004
aguen,0.004
ah,0.004
ahsan,0.004
aihh,0.004
aiissh,0.004
ajak,0.026
ajar,0.052
ajeg,0.004
aji,0.009
aju,0.004
akal,0.009
akar,0.004
akrab,0.004
aksi,0.009
aktivitas,0.03
akuakultur,0.004
akun,0.013
alah,0.004
alas,0.004
alasan,0.009
album,0.009
alhamdulillah,0.013
alhasil,0.004
alih,0.009
alternatif,0.009
alur,0.004
aman,0.026
ambil,0.017
ambon,0.061
ambyar,0.009
amin,0.022
ampuh,0.004
ampun,0.035
an,0.113
anak,0.091
ananta,0.009
ancoor,0.004
aneh,0.026
anggap,0.004
anggar,0.004
angin,0.017
angka,0.004
angkat,0.013
angkatanny,0.004
angkut,0.013
angkutan,0.004
anime,0.013
anita,0.004
anjak,0.004
anjur,0.004
anoa,0.004
anti,0.004
antigen,0.004
antiklimaks,0.004
antiklimask,0.004
antisipias,0.004
antusiasme,0.004
anyir,0.004
apajadinya,0.004
apeluu,0.004
api,0.004
aplikasi,0.004
apps,0.004
apresiasi,0.004
aptx,0.004
aqua,0.004
arah,0.004
area,0.013
arok,0.004
asap,0.009
asha,0.004
asik,0.009
asin,0.004
asing,0.004
asli,0.017
aspirasi,0.004
asrama,0.048
atap,0.004
atr,0.004
atur,0.009
awas,0.009
ayah,0.004
ayo,0.043
azizah,0.004
babirusa,0.004
baca,0.078
badai,0.009
badan,0.035
badminton,0.009
badmintontalk,0.004
bagagia,0.004
bagasi,0.026
bagikan,0.004
bagus,0.043
bahan,0.013
bahas,0.017
bahasa,0.004
bahaya,0.017
bajalang,0.009
bajing,0.004
baju,0.013
bak,0.004
bakat,0.013
bakso,0.004
baku,0.004
bal,0.013
balanda,0.004
balas,0.017
balek,0.004
balitbang,0.009
bambu,0.009
bameti,0.004
ban,0.004
banda,0.022
bandanaira,0.004
bandara,0.004
banding,0.004
bangka,0.004
bangkai,0.004
bangrut,0.004
bangun,0.017
banjir,0.004
banking,0.009
bantal,0.004
banten,0.009
bantu,0.017
bar,0.004
bara,0.004
barakallah,0.004
barang,0.013
barat,0.056
barca,0.013
bareng,0.013
batak,0.004
batal,0.035
batalin,0.004
batang,0.004
batas,0.009
batu,0.009
batul,0.004
bau,0.013
baur,0.004
bawa,0.03
bawaanya,0.004
bayang,0.017
bayar,0.009
