term,weight
aah,0.004
abu,0.002
ac,0.008
acak,0.01
acara,0.03
acuh,0.002
adegan,0.002
adeknya,0.004
aduh,0.03
aeonnyaa,0.002
agama,0.002
aging,0.004
agung,0.004
agustus,0.002
ah,0.01
ahirnya,0.002
ahli,0.002
ahmad,0.002
aio,0.002
ajaib,0.006
ajak,0.028
ajar,0.043
ajee,0.006
akademis,0.004
akrab,0.004
aksen,0.002
aktif,0.006
aktifitas,0.002
aktiva,0.004
akumaah,0.002
akun,0.02
akung,0.002
akupadamu,0.002
akupuun,0.002
akutuuh,0.004
al,0.002
ala,0.012
alam,0.006
alamat,0.004
alas,0.002
alat,0.006
album,0.002
alergi,0.004
alhamdulillaah,0.002
alhamdulillah,0.043
alhasil,0.002
alias,0.002
alisha,0.002
aloe,0.002
alpukat,0.002
alternatif,0.002
alumni,0.002
amal,0.002
aman,0.028
amanda,0.004
ambarawa,0.002
ambil,0.035
ambisius,0.004
amin,0.024
ampuh,0.008
ampun,0.002
amunisi,0.002
an,0.114
anaak,0.002
anak,0.222
anaknyaa,0.002
andai,0.004
aneh,0.008
anemon,0.002
anggar,0.012
anggep,0.002
anggota,0.002
angin,0.01
angkat,0.016
angkutan,0.002
anniversary,0.002
annya,0.012
anti,0.004
antre,0.004
anywhere,0.002
api,0.006
apki,0.002
aplikasi,0.008
apresiasi,0.002
april,0.002
aqua,0.008
arab,0.002
arah,0.01
ardina,0.002
area,0.018
aren,0.002
arisan,0.002
artikel,0.002
artis,0.006
as,0.002
asap,0.002
asesor,0.01
aset,0.004
ashar,0.002
asi,0.002
asik,0.002
asin,0.004
asing,0.002
asli,0.028
astaga,0.006
astra,0.002
asuransi,0.002
asus,0.002
atihnya,0.004
atm,0.008
atur,0.006
auk,0.002
aura,0.004
avoskin,0.002
awak,0.002
awas,0.002
awet,0.006
ayah,0.01
ayam,0.026
ayana,0.002
ayo,0.03
azab,0.002
bablas,0.004
baca,0.075
bacaim,0.002
backup,0.002
badan,0.053
bagikan,0.006
bagun,0.002
bagus,0.026
baguus,0.002
bahagia,0.028
bahagianyaa,0.002
bahan,0.014
bahas,0.004
bahasa,0.008
baju,0.035
bajunyaa,0.002
bakar,0.01
bakso,0.002
bakul,0.002
bakwan,0.002
bal,0.002
balai,0.002
balas,0.018
balesan,0.002
balikin,0.002
balsamic,0.002
balut,0.006
banding,0.012
bandingkan,0.006
banget,0.02
bangga,0.01
banggaa,0.002
bangun,0.026
banjir,0.004
bank,0.006
banking,0.002
banting,0.004
bantu,0.028
bapernya,0.002
baranangsiang,0.002
barang,0.008
bareng,0.02
basa,0.008
basah,0.002
basi,0.014
batal,0.053
batas,0.008
batch,0.002
batik,0.002
batin,0.008
batu,0.002
bau,0.008
bawa,0.026
bawang,0.004
bayang,0.014
bayar,0.045
bayi,0.002
bbw,0.004
beban,0.004
bebas,0.012
bebek,0.002
beberes,0.002
beda,0.02
begadang,0.018
bejejer,0.002
bekas,0.004
belaga,0.014
belah,0.004
belanda,0.002
belanja,0.012
belepotan,0.002
beli,0.159
beliau,0.004
belikan,0.002
beliung,0.006
belok,0.008
beluum,0.002
bencana,0.002
benci,0.002
benderang,0.002
bengkak,0.002
bengong,0.004
bensu,0.006
bentuk,0.006
ber,0.006
beranda,0.012
berani,0.012
beranta,0.004
beras,0.002
berat,0.026
berbelanjaa,0.002
berita,0.033
berlian,0.002
bersih,0.004
berteman,0.002
beruang,0.002
besok,0.03
betah,0.002
beterai,0.002
bi,0.002
biadab,0.004
bianglala,0.002
biawak,0.002
biaya,0.008
bicara,0.02
bijak,0.002
biji,0.008
bilah,0.002
bilang,0.051
billnya,0.002
