term,weight
abad,0.003
abadi,0.003
aboyishot,0.003
absolutely,0.003
abu,0.003
acak,0.006
acara,0.006
accompaby,0.003
achola,0.003
adb,0.003
addict,0.003
addictive,0.003
adek,0.003
adk,0.003
admin,0.009
adonyo,0.003
adoo,0.003
aduh,0.003
aduk,0.003
adyt,0.003
ah,0.024
ahay,0.009
ahli,0.003
aib,0.003
ain,0.009
air,0.006
aizdin,0.003
aizin,0.003
ajadngmbk,0.003
ajaib,0.003
ajak,0.003
ajar,0.018
aji,0.003
aju,0.003
akal,0.003
akhirnyaa,0.003
akhlak,0.003
akmrndknkmygdlu,0.003
akrab,0.003
aktif,0.003
akun,0.006
akustik,0.003
ala,0.003
alam,0.003
alamiah,0.003
alas,0.003
alasan,0.003
album,0.003
aldi,0.003
alfabet,0.003
alhamdullillah,0.006
alias,0.003
allahumma,0.003
aloha,0.003
alright,0.009
alternatif,0.003
alur,0.003
amal,0.003
aman,0.003
ambil,0.009
ambyar,0.006
amin,0.018
ampun,0.006
an,0.015
anak,0.064
andai,0.003
anggota,0.003
anggur,0.003
angk,0.003
angkat,0.003
annabelle,0.003
anniv,0.003
anti,0.003
anybody,0.003
api,0.009
aplikasi,0.003
appreciate,0.003
aquh,0.003
arah,0.046
aren,0.003
arrived,0.009
artis,0.006
asa,0.015
ashe,0.003
asik,0.003
asikk,0.003
askdnhfjwkdjduejdnjsks,0.003
asked,0.003
asking,0.003
assessments,0.003
astaga,0.003
atlet,0.003
atur,0.003
aunty,0.003
aussie,0.003
avengers,0.003
awalny,0.003
awam,0.003
awas,0.006
awesome,0.006
awokwokwkw,0.003
awowkw,0.003
awowkwk,0.003
awowkwkwk,0.006
ay,0.003
ayah,0.003
ayam,0.003
ayk,0.006
ayo,0.076
ayuj,0.003
bab,0.003
baca,0.061
baco,0.003
bacylin,0.003
badarudin,0.003
badut,0.006
baejzzpdmn,0.003
bagikan,0.003
bagus,0.055
bahagia,0.006
bahasa,0.015
bahasanny,0.003
bajak,0.003
bajing,0.012
baju,0.003
bakat,0.006
bakpia,0.003
bakso,0.003
bal,0.003
balas,0.015
balek,0.006
bandara,0.003
banget,0.003
bangga,0.018
bangun,0.006
banjir,0.003
bank,0.003
bantu,0.003
barang,0.012
bareng,0.003
batal,0.021
batas,0.003
batin,0.003
baut,0.003
bawa,0.018
bayar,0.006
bayi,0.015
bct,0.003
bcz,0.003
becabang,0.003
beda,0.006
beh,0.003
beib,0.006
bek,0.003
bekawan,0.006
belaga,0.003
belajar,0.006
belasungkawa,0.003
beli,0.009
beliau,0.006
belikan,0.003
belike,0.006
belok,0.003
benarkan,0.003
benci,0.003
bengawan,0.003
bensin,0.003
bentar,0.003
bentii,0.003
berduaa,0.003
berhenti,0.015
berijolah,0.003
berita,0.003
bertemu,0.003
besak,0.003
besides,0.003
besok,0.024
besties,0.003
bgeozs,0.003
bhening,0.003
bias,0.003
biaya,0.003
bicara,0.027
bigsis,0.006
bijih,0.003
billboard,0.003
bimbing,0.006
bingung,0.006
biru,0.003
biso,0.015
bisu,0.003
bji,0.003
blocking,0.003
blok,0.006
bodoh,0.015
bodyguart,0.003
bohong,0.015
bola,0.006
booksigning,0.003
born,0.003
bornday,0.003
borobudur,0.003
bosan,0.012
bot,0.006
both,0.006
bought,0.003
brenti,0.003
brought,0.003
brthdy,0.003
buah,0.003
buang,0.003
budak,0.006
budaya,0.003
buk,0.006
buka,0.021
bukannyo,0.003
buku,0.012
bungkam,0.003
buntu,0.003
bunuh,0.006
bunyi,0.003
buru,0.006
buruk,0.009
bussinessman,0.003
buta,0.006
butuh,0.033
bwak,0.003
byrnyo,0.003
bzz,0.003
cadika,0.003
caellah,0.003
caffeine,0.003
cak,0.003
caknyo,0.003
called,0.003
calming,0.003
calon,0.003
cam,0.003
campingg,0.003
canadian,0.003
cancerian,0.003
candi,0.003
cang,0.003
cantik,0.006
capai,0.006
captured,0.003
cari,0.009
carly,0.003
catat,0.003
cause,0.009
cawa,0.003
ceklis,0.003
cemburu,0.006
cemerlang,0.003
cemil,0.012
cepat,0.009
cerah,0.003
cerita,0.015
ceritony,0.003
ceroboh,0.003
cetak,0.003
challenges,0.003
changes,0.009
cheese,0.003
chronicles,0.003
ci,0.003
cie,0.006
cik,0.003
cinta,0.064
cita,0.003
cius,0.003
ck,0.015
clarified,0.003
closer,0.003
cmon,0.003
coba,0.009
cocok,0.012
cokelat,0.003
colour,0.003
comate,0.003
comin,0.003
commuphoria,0.006
complete,0.003
conan,0.003
confessed,0.003
confusing,0.006
consider,0.006
considered,0.003
contacts,0.003
corona,0.003
cosplay,0.003
couldn,0.009
cowok,0.328
cozy,0.003
crito,0.003
crowdfire,0.006
crowds,0.003
crtianbautista,0.003
crunching,0.012
cubit,0.003
cubo,0.015
curhat,0.003
curi,0.006
