term,weight
aa,0.01
abad,0.003
abai,0.003
abangomjin,0.003
abangudaajib,0.003
abgny,0.003
abu,0.013
adek,0.007
adiak,0.007
adikny,0.003
admin,0.059
ads,0.003
afif,0.007
agam,0.003
agama,0.003
agen,0.007
agenda,0.003
ah,0.01
ahli,0.003
ainun,0.003
aish,0.003
aisyah,0.003
ajak,0.01
ajar,0.053
aji,0.003
akad,0.003
akademik,0.003
akademisi,0.003
akak,0.013
akbar,0.003
akh,0.016
akhwat,0.003
akpol,0.003
akreditasiny,0.003
aksesnyo,0.003
aksi,0.003
aktif,0.003
akun,0.003
akurapopo,0.003
alahh,0.003
alam,0.023
alamak,0.003
alami,0.003
alan,0.003
alas,0.02
algoritma,0.01
alhamdulillah,0.02
alir,0.003
allahu,0.003
almamater,0.003
alum,0.003
alun,0.007
alur,0.003
alva,0.003
amakk,0.003
amal,0.007
aman,0.01
amanda,0.003
ambil,0.02
amin,0.023
amit,0.007
amnesia,0.007
ampun,0.003
an,0.007
anak,0.096
analogi,0.003
anck,0.003
andai,0.003
andal,0.003
aneh,0.013
angan,0.007
anggap,0.007
anggota,0.003
anggun,0.007
angin,0.003
angkat,0.003
anniv,0.003
antah,0.003
antonie,0.003
antre,0.003
antusias,0.003
anu,0.003
apeel,0.003
apel,0.003
api,0.003
aplikasi,0.007
apresiasi,0.003
arah,0.013
aroma,0.003
asa,0.007
asalkn,0.003
aset,0.003
ashiap,0.003
asiap,0.003
asik,0.003
asking,0.003
asli,0.01
asmara,0.003
asrama,0.013
assalamualaikum,0.003
asyik,0.003
ateh,0.003
atik,0.003
atlantiis,0.003
atlantis,0.003
atm,0.003
atran,0.003
attaki,0.003
atur,0.026
awam,0.003
awlny,0.003
ayah,0.026
ayo,0.053
ayoayo,0.003
azek,0.003
baa,0.016
bab,0.003
babi,0.003
baca,0.033
badan,0.003
badfeeling,0.003
bagus,0.049
bahagia,0.026
bahan,0.007
bahas,0.016
bahasa,0.016
bahaya,0.007
baiq,0.003
bajak,0.003
baju,0.003
bakat,0.01
bakso,0.003
balada,0.003
baliak,0.003
balok,0.003
bandara,0.003
banding,0.003
banget,0.007
bangga,0.007
bangkit,0.007
bangsa,0.003
bangun,0.016
bantu,0.013
banyumasan,0.003
bapack,0.013
barakallah,0.003
baralek,0.003
barang,0.003
barbie,0.007
barbiee,0.003
bareng,0.003
basa,0.007
basalamah,0.003
batal,0.079
batas,0.01
batin,0.007
batsa,0.016
batsanya,0.003
batuk,0.003
batusangkar,0.003
bau,0.02
baun,0.007
baunnyo,0.003
bawa,0.007
bawain,0.003
bayang,0.01
bayi,0.003
bda,0.003
beasiswa,0.003
bebas,0.016
beda,0.043
begadang,0.003
begituan,0.003
bekal,0.003
bekas,0.003
bela,0.007
belah,0.003
belaka,0.003
beli,0.003
bem,0.01
benaran,0.003
benci,0.01
bengkel,0.003
bentar,0.01
bentrok,0.003
bentuk,0.01
bentur,0.03
berang,0.003
berangkat,0.003
berani,0.01
berasa,0.003
berat,0.01
berdbar,0.003
berita,0.003
berkta,0.003
berontak,0.007
bersih,0.003
bertemu,0.007
berterimakasih,0.003
berthan,0.003
besok,0.03
bgadang,0.007
bgian,0.003
bi,0.007
bia,0.003
biasain,0.003
biasony,0.003
biaya,0.003
bibit,0.013
bicara,0.033
bidang,0.003
bilang,0.016
billy,0.003
bina,0.007
bingung,0.016
bio,0.003
biru,0.01
bis,0.003
bisik,0.003
bismillah,0.026
bisnis,0.007
bisu,0.003
bisul,0.003
bjak,0.003
bko,0.01
bkotek,0.003
blanjo,0.003
bliak,0.003
blo,0.003
bna,0.007
bnar,0.007
bnus,0.007
bnyakin,0.003
bnykin,0.003
bnykny,0.003
bodoh,0.003
bohong,0.003
bolu,0.003
bonaparte,0.003
bosan,0.007
branding,0.007
brangkat,0.003
bratt,0.003
bron,0.003
brondong,0.016
brubh,0.003
btalua,0.003
bterai,0.003
btu,0.003
buah,0.03
bubar,0.007
bubr,0.007
budak,0.003
budaya,0.003
buek,0.003
buk,0.01
buka,0.033
bukti,0.01
buku,0.01
bukuny,0.003
buliah,0.003
bullshitai,0.003
buncit,0.003
bunda,0.01
bundo,0.02
bunga,0.003
buntu,0.003
buru,0.003
buruk,0.023
busung,0.003
buta,0.003
butuh,0.046
buya,0.01
bwa,0.007
byee,0.003
cabecabean,0.003
cacat,0.003
cadeel,0.003
cahaya,0.007
cakap,0.003
calon,0.04
camera,0.007
canda,0.003
candid,0.016
candu,0.007
canggung,0.003
cantik,0.023
capai,0.007
carenya,0.003
cari,0.043
catat,0.003
cegah,0.003
cela,0.003
ceman,0.003
cemburu,0.007
cemerlang,0.003
cemil,0.023
cenayang,0.003
cendkia,0.007
cendrung,0.003
cepat,0.016
cerita,0.043
cetak,0.003
cewek,0.02
cewenya,0.003
changes,0.007
chanta,0.003
choices,0.003
chu,0.007
chua,0.003
chubby,0.003
ciat,0.003
cie,0.016
ciek,0.003
cinta,0.046
cipta,0.007
cir,0.003
cita,0.026
clana,0.003
clear,0.01
coba,0.056
cocok,0.01
coklat,0.003
comeback,0.003
comm,0.003
congrat,0.003
consistence,0.003
consultant,0.003
coreldraw,0.003
correct,0.003
covey,0.003
cox,0.003
cpat,0.01
cpek,0.003
cstudio,0.003
ctb,0.003
cubo,0.003
cupcupcup,0.01
curang,0.003
curcul,0.003
curhat,0.007
curhatan,0.003
cuteecutee,0.003
daerah,0.003
daftar,0.01
dagu,0.007
dahlan,0.003
daksa,0.003
damai,0.02
dar,0.036
dasbor,0.007
data,0.003
datar,0.007
daya,0.007
days,0.007
deadline,0.01
debat,0.007
dedikasi,0.003
deh,0.033
dek,0.01
dekade,0.003
demam,0.007
demo,0.003
dempet,0.003
denda,0.007
dengar,0.01
dengerny,0.003
depok,0.003
derita,0.003
desa,0.01
desain,0.007
desak,0.003
detail,0.003
detektif,0.003
determines,0.003
detik,0.003
dewasa,0.04
dewi,0.003
dewirahmi,0.003
diajakin,0.003
diam,0.023
diamny,0.003
diany,0.003
dicatat,0.007
didik,0.007
didownload,0.003
diet,0.003
digital,0.003
digunain,0.003
dih,0.003
dikerjain,0.01
dikit,0.007
dilema,0.013
dimaltak,0.003
dimasuki,0.003
dinding,0.016
dipaksain,0.003
dipatahin,0.003
