term,weight
aa,0.006
aaminn,0.006
abu,0.012
abut,0.006
accepted,0.012
adajalo,0.006
adeknya,0.006
adel,0.012
ading,0.006
admin,0.012
aduh,0.03
ags,0.006
ah,0.012
ahiru,0.006
ahmad,0.006
aingg,0.006
air,0.006
ajadahh,0.006
ajak,0.018
ajalo,0.006
ajanihh,0.006
ajar,0.036
ajgg,0.006
aju,0.006
akal,0.012
akh,0.006
akhwan,0.006
akut,0.006
al,0.006
alam,0.024
alat,0.03
aldo,0.006
alf,0.012
alfamart,0.006
ali,0.006
aliass,0.006
alif,0.006
alis,0.006
alternatif,0.012
aman,0.018
amann,0.006
ambe,0.03
american,0.006
amin,0.018
ampo,0.006
ampran,0.006
ampun,0.03
amri,0.018
amuza,0.018
an,0.018
anak,0.024
ancen,0.006
andai,0.006
andal,0.024
andra,0.006
aneh,0.006
anggap,0.012
angker,0.006
angkuh,0.006
anime,0.03
anjengg,0.006
anjim,0.006
anjing,0.006
anjingg,0.006
anjir,0.018
anjngg,0.006
antisosial,0.006
anton,0.006
antum,0.012
anyingg,0.006
apaansih,0.006
apakabar,0.006
apart,0.006
appreciates,0.006
arab,0.006
arap,0.012
area,0.006
arek,0.006
arturo,0.012
as,0.012
asa,0.036
asik,0.006
asisten,0.006
asistensi,0.012
aslab,0.006
asli,0.09
astaga,0.006
asuw,0.006
asw,0.006
atapers,0.006
atiati,0.006
atlet,0.006
atm,0.006
avatar,0.006
awak,0.006
awam,0.012
awas,0.006
axiss,0.006
ayam,0.006
ayo,0.138
ayy,0.006
az,0.006
azab,0.006
babak,0.006
baca,0.06
bacott,0.006
bagus,0.018
bahagia,0.012
bahar,0.006
bahasa,0.012
bahaya,0.006
bahayaa,0.006
baim,0.006
bajing,0.144
baju,0.006
bakar,0.024
bakat,0.012
bakso,0.006
bal,0.006
balap,0.018
balas,0.018
balikk,0.006
banar,0.006
bancir,0.006
bandel,0.006
banding,0.006
bandung,0.006
bang,0.006
banget,0.006
bangga,0.006
bangkit,0.006
bangsatt,0.018
bangun,0.024
