term,weight
aah,0.003
aak,0.006
aaminn,0.003
aan,0.003
aba,0.003
acak,0.003
acara,0.003
acls,0.006
adeknya,0.01
admin,0.006
aduh,0.026
afi,0.087
afifah,0.003
afii,0.006
ah,0.01
ahaay,0.003
ai,0.003
aisa,0.003
ajak,0.019
ajar,0.026
ajeeng,0.006
ajeengg,0.003
ajeng,0.01
ajudan,0.003
ajyar,0.003
akhirnyaa,0.006
akuarium,0.003
akun,0.01
akupuunn,0.003
akur,0.003
akurnyaa,0.003
akutuu,0.003
al,0.003
alas,0.006
album,0.006
aldi,0.006
alergi,0.003
alhamdulillah,0.077
ali,0.003
alisha,0.003
allah,0.003
allahumma,0.013
allday,0.003
alright,0.003
aman,0.01
ambil,0.016
ambis,0.003
ambruk,0.006
amin,0.068
ampun,0.026
an,0.013
anak,0.113
ancol,0.013
andal,0.003
aneh,0.026
anehh,0.003
anes,0.003
anestesi,0.003
anet,0.003
anggur,0.003
angkat,0.003
angkutan,0.006
anjing,0.003
anti,0.006
antre,0.016
anyar,0.006
anyeest,0.003
anyesst,0.006
anyest,0.003
anyestt,0.003
apakabar,0.003
apaneh,0.003
apanehh,0.003
apd,0.003
apdet,0.006
api,0.003
aplikasi,0.003
apresiasi,0.003
apri,0.003
arah,0.026
aresaresan,0.003
arsyan,0.003
arsyi,0.003
asa,0.003
asik,0.003
asikk,0.006
ask,0.003
astaghfirullaah,0.006
astaghfirullahaladzim,0.01
asuh,0.003
athaya,0.003
atlet,0.01
atuhlaahh,0.003
atuhlah,0.003
atur,0.006
atut,0.003
aufa,0.006
aufaa,0.006
auk,0.003
awat,0.013
awhile,0.003
ayem,0.003
ayo,0.081
ayook,0.003
bablas,0.003
baca,0.071
badan,0.016
badmin,0.019
badminton,0.016
bagus,0.01
bahagia,0.019
bahas,0.003
bahasa,0.003
bahaya,0.003
baiik,0.003
baiqqhh,0.003
bal,0.003
bandara,0.003
banget,0.006
bangey,0.003
bangga,0.026
bangkrut,0.003
bangsa,0.003
bangsal,0.013
bangun,0.023
bangunn,0.003
banking,0.003
bantal,0.003
bantu,0.01
baperan,0.003
barat,0.003
bareng,0.006
baris,0.003
batal,0.087
batas,0.006
batman,0.023
batu,0.003
batuk,0.01
bau,0.003
bawa,0.045
bayang,0.026
bayanginnya,0.003
bayangkan,0.006
bayar,0.006
bayi,0.003
bayik,0.003
bbw,0.003
beban,0.003
bebas,0.013
bebishark,0.003
beda,0.019
begadang,0.01
begimane,0.003
bekal,0.019
bela,0.006
belaga,0.006
belanja,0.01
beli,0.016
bella,0.003
belok,0.003
belu,0.003
bengek,0.003
bentar,0.013
bentuk,0.003
ber,0.006
beranda,0.016
berani,0.003
berat,0.016
berduaa,0.003
berekspektasi,0.003
berfikiran,0.003
berhubungan,0.003
berisik,0.006
berita,0.019
berkarir,0.003
berkumpul,0.003
berpikir,0.006
bersih,0.003
bersihin,0.003
bersin,0.01
bertumpuk,0.003
besok,0.023
betapa,0.006
bhaiqq,0.003
bhay,0.006
bhd,0.035
biawak,0.003
bibil,0.003
bibir,0.003
bicara,0.016
bidan,0.003
bidang,0.003
bijak,0.003
bikin,0.006
bil,0.016
bilang,0.019
billss,0.003
bils,0.003
bilskii,0.003
bingung,0.029
bintaro,0.006
biru,0.003
bis,0.029
bismillaah,0.003
bismillah,0.013
blablabala,0.003
blablablabla,0.003
blackpink,0.003
blighted,0.003
bloopers,0.003
bobby,0.003
boboable,0.003
bobok,0.045
bodoh,0.006
bogor,0.003
bola,0.003
bolak,0.003
bolong,0.003
bom,0.058
bong,0.003
borang,0.023
bosan,0.003
boys,0.003
bpjs,0.003
brutal,0.01
bts,0.003
buah,0.01
buang,0.003
buaya,0.003
bubar,0.003
budak,0.013
buka,0.039
bukti,0.006
buku,0.006
bulu,0.003
buluk,0.006
bumi,0.003
bungkus,0.003
bunuh,0.003
bupati,0.003
buram,0.003
buru,0.003
buruk,0.003
busa,0.003
butet,0.003
butuh,0.003
buuk,0.003
buyung,0.003
bwf,0.006
cabs,0.003
cacing,0.01
cahaya,0.013
calon,0.006
camera,0.003
camernya,0.003
campur,0.003
cancik,0.003
candu,0.003
cantik,0.01
capai,0.003
cardiac,0.003
cari,0.023
cashless,0.003
catat,0.003
cc,0.019
cemburu,0.006
cemil,0.061
cepat,0.013
cerdas,0.003
cerewet,0.003
cerita,0.019
cetak,0.003
channelnya,0.003
chatnya,0.003
chemistrynyaa,0.003
chockles,0.003
chong,0.003
cia,0.003
cibubur,0.01
cicak,0.003
cidihh,0.003
cidiih,0.003
cie,0.006
cikyen,0.003
cileungsi,0.003
cinta,0.052
cita,0.006
cium,0.003
ciuum,0.003
ckckcck,0.003
ckckck,0.003
ckckckcckk,0.003
ckckckck,0.006
coaster,0.003
coba,0.035
cogaan,0.003
cokelat,0.003
contek,0.003
corona,0.019
correct,0.003
couldn,0.003
coyy,0.003
crosbys,0.003
cuaca,0.01
cuci,0.006
cuddleable,0.003
cuna,0.003
cus,0.003
cuy,0.003
dadak,0.006
daddies,0.01
daftar,0.006
damai,0.003
dana,0.003
dapetnya,0.003
dar,0.003
darimana,0.003
dasar,0.013
dasi,0.01
dato,0.003
datok,0.003
defisiensi,0.003
deh,0.026
dekeet,0.003
delete,0.003
demo,0.003
dengar,0.023
dengen,0.003
dengernya,0.003
depa,0.003
dept,0.003
derajat,0.003
derita,0.003
desa,0.006
desek,0.003
desember,0.003
diagnosa,0.003
diajari,0.006
diam,0.006
diaminkaan,0.003
diantar,0.006
dibeliin,0.006
dibilangin,0.003
dibucinin,0.003
dicepetin,0.006
dicheck,0.003
dicurhatin,0.003
did,0.003
dies,0.003
digodain,0.003
digombalin,0.003
diikutin,0.003
diinterview,0.003
diizinin,0.003
dikiira,0.003
dikit,0.01
dilema,0.01
dilock,0.003
dimanaa,0.003
dimarahi,0.006
dimentiin,0.003
dimimpiin,0.003
diomelin,0.006
diongkooss,0.003
dipanasin,0.003
diperhatiin,0.003
dipikirkan,0.003
diributin,0.003
disimpen,0.003
diskon,0.006
disuapin,0.01
ditambahin,0.003
ditelfon,0.006
ditulisin,0.003
djarum,0.003
doa,0.029
doanyaa,0.003
dokter,0.045
dokumentasi,0.003
domisili,0.003
dorong,0.003
dosa,0.01
dosen,0.003
dot,0.006
doyan,0.01
drama,0.019
duaduanya,0.003
duduk,0.035
dufan,0.003
duku,0.006
dukung,0.01
dulcolax,0.003
duli,0.003
duluan,0.006
dululah,0.003
dunia,0.016
dx,0.003
dysmenorrhea,0.003
dzuhur,0.003
edgar,0.006
edukasi,0.006
efek,0.01
eh,0.013
ehe,0.003
ehehehe,0.006
eheheheh,0.003
ehehehehe,0.003
ehehehehehe,0.003
ehehhe,0.003
ehem,0.003
eja,0.003
ekg,0.003
eko,0.003
ekspresi,0.003
elus,0.003
emaang,0.003
emangg,0.003
emas,0.003
ember,0.003
emosi,0.01
emosyii,0.003
emot,0.003
engaap,0.003
enyak,0.003
errornya,0.003
ethes,0.003
etika,0.003
euuyy,0.003
everytime,0.003
extension,0.003
eyang,0.006
fa,0.003
faedah,0.006
fahsa,0.003
fajri,0.003
fakta,0.003
faktor,0.003
fast,0.01
fatihah,0.003
favorit,0.01
feelnya,0.003
feen,0.003
feer,0.003
fer,0.029
ferr,0.003
fii,0.003
fik,0.003
