term,weight
aa,0.005
aanv,0.005
abai,0.01
abon,0.01
absolutely,0.01
ac,0.005
academia,0.005
acara,0.01
acepp,0.005
activ,0.005
acts,0.005
addictions,0.005
adi,0.005
adil,0.005
admin,0.029
administrasi,0.005
aduh,0.029
afganistan,0.005
africa,0.01
against,0.005
agenda,0.005
agung,0.005
agus,0.005
ah,0.019
ahahahahah,0.005
ahahahahaha,0.005
ahli,0.01
aimed,0.005
air,0.01
airbender,0.005
ajak,0.005
ajar,0.029
akal,0.01
akamsi,0.005
akibat,0.005
aktif,0.005
aktivitas,0.01
akun,0.019
akur,0.005
al,0.005
ala,0.014
alam,0.029
alamat,0.005
alas,0.014
alasan,0.005
alat,0.005
album,0.005
alex,0.005
alghani,0.005
alhamdulillah,0.019
alhasil,0.005
alias,0.005
alip,0.014
alkohol,0.01
along,0.005
amal,0.01
amalia,0.01
aman,0.029
amazon,0.005
ambil,0.038
americans,0.005
amerika,0.005
amfibi,0.005
amin,0.005
amit,0.01
an,0.043
anak,0.125
analis,0.005
anawr,0.005
ancam,0.01
aneh,0.005
anesthesia,0.005
anggar,0.005
angge,0.005
angin,0.01
angkring,0.005
angkutan,0.005
anime,0.01
anjing,0.01
antepin,0.005
antropologi,0.005
anyone,0.01
anyong,0.01
aot,0.005
apartemen,0.005
aphaneramma,0.005
apollonia,0.005
apresiasi,0.005
arah,0.01
area,0.01
aren,0.005
argumen,0.005
arif,0.005
arteri,0.005
arthur,0.005
artikel,0.01
artis,0.014
artwork,0.005
asa,0.005
asi,0.005
asia,0.01
asik,0.005
asing,0.01
asisten,0.01
ask,0.005
asked,0.005
asking,0.005
asli,0.01
asmr,0.005
assalamualaikum,0.005
astaga,0.01
asyik,0.005
asyu,0.005
atawa,0.005
ate,0.005
atur,0.01
aubameyang,0.005
avatar,0.005
awak,0.005
awan,0.01
awas,0.005
awtotoon,0.005
awwe,0.01
ayah,0.005
ayam,0.019
ayo,0.048
ba,0.014
bab,0.005
baba,0.005
babarsari,0.005
baca,0.048
badai,0.005
badan,0.01
baginda,0.005
bagus,0.087
bahan,0.005
bahas,0.005
bahasa,0.038
bahaya,0.01
bajigur,0.01
bajing,0.072
bakaayaro,0.005
bakat,0.005
baksoo,0.005
bal,0.014
balado,0.005
balas,0.01
balbalan,0.005
baliem,0.005
balita,0.005
bambu,0.005
ban,0.005
bandara,0.005
bandung,0.005
banget,0.005
bangkrut,0.01
bangku,0.005
bangsa,0.005
bangun,0.024
bangunn,0.005
bani,0.005
bansos,0.005
bantai,0.005
bantu,0.029
bantuan,0.005
baon,0.005
baonan,0.005
bapack,0.005
bar,0.005
barang,0.014
barca,0.005
barcode,0.005
bareng,0.024
basah,0.005
batal,0.577
battling,0.005
batu,0.005
batuk,0.005
bawa,0.019
bawang,0.005
bayang,0.005
bayangkan,0.005
bayar,0.01
bayi,0.014
bcs,0.005
beasiswa,0.005
beats,0.005
beban,0.005
beberes,0.005
beberesnya,0.005
becandaannye,0.005
becandanye,0.005
beda,0.024
bef,0.005
bek,0.005
bekas,0.01
bela,0.005
belaga,0.014
belah,0.019
belanda,0.005
beli,0.053
beliau,0.01
belok,0.01
ben,0.005
bencana,0.005
bengek,0.005
bengok,0.005
bensin,0.005
benua,0.005
berabe,0.005
berak,0.01
berani,0.024
beras,0.005
berat,0.014
berhenti,0.014
beringin,0.005
berita,0.01
berizik,0.014
berkat,0.005
bersemi,0.005
bersih,0.01
bertu,0.005
beruang,0.005
besok,0.01
betrand,0.005
betull,0.005
between,0.005
bgstt,0.005
bhang,0.005
bhasany,0.005
biadab,0.005
biarawati,0.005
biasain,0.005
biasanye,0.005
biaya,0.01
bibib,0.005
bicara,0.024
bidang,0.005
biggest,0.005
bijaksana,0.005
bilang,0.038
bimbang,0.01
binatang,0.005
bingung,0.019
bio,0.01
biodata,0.005
biru,0.005
bjj,0.005
blancad,0.005
blastard,0.005
blinders,0.005
blockchain,0.005
bobot,0.005
bocor,0.005
bodies,0.005
bodoh,0.053
bogem,0.005
bohong,0.014
bokapnya,0.01
boks,0.005
bola,0.01
bom,0.034
bon,0.005
bonceng,0.005
boncos,0.005
boneka,0.005
booked,0.005
born,0.01
boro,0.01
bos,0.01
bosan,0.01
botak,0.005
both,0.01
boyfriend,0.005
brad,0.005
breaths,0.01
brewok,0.005
britania,0.005
brothers,0.005
bruh,0.005
bruno,0.005
btel,0.005
buah,0.019
buang,0.005
buddha,0.005
bugar,0.005
buka,0.024
bukti,0.01
buku,0.01
bullshito,0.005
bulu,0.005
bumbu,0.005
bunda,0.01
bundar,0.005
bunga,0.005
bungkus,0.005
bungsu,0.01
bunuh,0.01
bunyi,0.005
burma,0.005
buru,0.043
buruburu,0.005
burung,0.005
buset,0.005
busur,0.005
buta,0.005
butuh,0.014
cafu,0.014
cahaya,0.005
cak,0.005
cakap,0.005
cakwe,0.005
california,0.005
calon,0.005
campur,0.005
canda,0.029
candi,0.005
candid,0.005
candu,0.005
canids,0.005
carasco,0.005
cari,0.043
catat,0.01
cavani,0.005
caviar,0.005
cc,0.01
cck,0.005
ceguk,0.005
celaka,0.005
celana,0.005
cemas,0.005
cemil,0.082
cemplungkan,0.005
centang,0.005
cepat,0.01
cepu,0.005
ceramah,0.005
cerewet,0.01
cerita,0.038
ceritain,0.005
cewek,0.005
chamberlain,0.005
chancil,0.005
chanel,0.005
chased,0.005
chatnya,0.005
chechen,0.005
chernobyl,0.005
children,0.01
chile,0.005
chin,0.005
chip,0.005
chow,0.005
chris,0.005
ciek,0.005
cilik,0.005
cina,0.005
cine,0.005
cinta,0.038
circa,0.005
cisse,0.005
cita,0.01
cium,0.005
ckckck,0.005
classmates,0.005
cleaners,0.005
clicked,0.005
clubhouse,0.005
coba,0.077
coblos,0.005
cocok,0.005
cohen,0.005
cok,0.01
comes,0.005
comments,0.005
comot,0.005
concept,0.005
corleone,0.005
corona,0.019
corsican,0.005
couldnt,0.005
creates,0.005
creatures,0.005
credits,0.005
creepy,0.005
cris,0.005
cuacane,0.005
cucu,0.01
cukur,0.005
cultures,0.005
cuma,0.005
cundang,0.005
cupang,0.005
curiga,0.005
curug,0.005
cuti,0.005
cyberpunk,0.005
cyn,0.005
cyna,0.005
daendels,0.005
daftar,0.01
dagang,0.024
dah,0.005
damai,0.005
dapetnya,0.005
darah,0.014
data,0.005
datar,0.005
dating,0.005
daughters,0.005
daya,0.005
dayak,0.014
dayne,0.005
days,0.014
dduk,0.005
debat,0.005
deca,0.005
decide,0.005
declines,0.005
ded,0.005
dedikasi,0.005
dedy,0.005
default,0.005
deh,0.005
dekam,0.005
deleted,0.005
demba,0.005
demo,0.014
dendam,0.005
dengar,0.005
deras,0.01
deret,0.005
derita,0.01
des,0.005
desa,0.019
desah,0.005
desember,0.005
detail,0.005
dewa,0.014
dewasa,0.005
diajari,0.005
dialog,0.005
diam,0.005
diamon,0.005
dianggep,0.005
dibilangin,0.005
did,0.01
dida,0.005
didelete,0.005
didik,0.01
didn,0.005
didnt,0.005
didownload,0.005
diet,0.005
digeprek,0.005
digital,0.005
dih,0.005
dihadepin,0.005
diinget,0.005
dikick,0.005
dikit,0.01
dikomen,0.005
dikontek,0.005
dimana,0.005
dimilikin,0.005
dimonggoin,0.005
dingin,0.014
direct,0.005
diromantisasi,0.005
disakitin,0.005
disappeared,0.005
disekilingku,0.005
diselingkuhin,0.005
diskusi,0.01
ditaro,0.005
ditawarin,0.005
diterusin,0.005
dj,0.005
doctors,0.005
doel,0.005
does,0.005
doggy,0.005
doing,0.014
dokter,0.019
dom,0.005
domestik,0.005
domino,0.005
dompet,0.005
dongo,0.005
dorong,0.005
dos,0.005
dosen,0.005
dota,0.024
dotanya,0.005
dragoon,0.01
drama,0.005
dressed,0.005
dude,0.024
dudee,0.005
duduk,0.01
duh,0.005
duka,0.005
dukungnnya,0.005
duluan,0.005
dunia,0.024
during,0.014
dyrga,0.005
each,0.005
eaten,0.005
edar,0.005
eddward,0.005
edisi,0.005
editing,0.005
edm,0.005
eduard,0.005
efek,0.01
efisien,0.005
egois,0.005
eh,0.024
eiger,0.005
ejek,0.005
eksperimen,0.005
elektronik,0.005
eli,0.005
elif,0.005
elite,0.005
else,0.005
emangg,0.005
emas,0.005
emma,0.005
emmg,0.005
emo,0.005
emyu,0.005
enchroma,0.005
engkong,0.005
english,0.005
ente,0.005
epicnya,0.005
epik,0.014
epilepsi,0.005
episode,0.005
equador,0.005
eropa,0.01
esemka,0.005
eskalator,0.005
eskul,0.005
every,0.01
fa,0.005
facebook,0.01
fail,0.014
famz,0.005
fanart,0.005
fansnya,0.01
fantastic,0.005
fanucci,0.01
far,0.005
fast,0.005
fastest,0.005
fatihah,0.005
fcc,0.005
feedback,0.005
fernandes,0.005
film,0.043
finances,0.005
fisik,0.005
fitnah,0.005
flag,0.005
flash,0.005
flickr,0.005
fokus,0.005
fooking,0.005
format,0.005
foto,0.038
fotografi,0.01
fotokopi,0.005
freaking,0.005
freestyle,0.005
fresh,0.005
frontlines,0.005
fu,0.005
fubar,0.005
fuckedup,0.005
fungsi,0.005
gaben,0.005
gading,0.005
gadis,0.024
gagal,0.005
gago,0.01
gaji,0.01
galer,0.005
gambar,0.005
gambit,0.01
gambreng,0.005
gamenya,0.019
gamparin,0.005
gang,0.005
ganggu,0.01
garang,0.005
garis,0.005
gatekeeping,0.005
gave,0.014
gawang,0.005
gel,0.005
gelang,0.005
gelas,0.005
gemar,0.005
gemas,0.005
gembira,0.005
gemuk,0.005
gen,0.01
genderless,0.005
generals,0.005
geng,0.005
gengg,0.005
genghis,0.005
gengs,0.005
genjutsu,0.005
georgia,0.005
geprek,0.01
gera,0.005
geraham,0.005
gerak,0.01
geram,0.005
gerombol,0.005
geser,0.005
getting,0.005
giat,0.01
gigit,0.005
gigu,0.005
gila,0.029
gim,0.005
gimane,0.005
ginjal,0.005
girlfriend,0.005
gitar,0.005
goal,0.005
godfather,0.014
goks,0.005
goreng,0.005
gores,0.005
goude,0.005
gourd,0.005
goyang,0.005
grafis,0.005
grail,0.005
gratis,0.024
gravitasi,0.005
greget,0.005
griner,0.005
grup,0.01
gryffindor,0.005
gu,0.005
guendouzis,0.005
guia,0.005
gumbs,0.005
gunting,0.005
guntur,0.005
gunung,0.01
guru,0.029
gwa,0.005
habib,0.005
habis,0.024
habisin,0.005
hack,0.005
had,0.005
hadir,0.014
hahahahahhahahaha,0.005
hahahha,0.005
hajat,0.005
hajj,0.005
haka,0.005
halang,0.005
halim,0.005
halloween,0.005
hancur,0.01
hangat,0.014
hantu,0.005
hao,0.005
hapus,0.01
harap,0.014
harga,0.024
harimau,0.005
hariono,0.005
harud,0.005
has,0.01
hasil,0.01
hasyim,0.005
hasyu,0.005
hati,0.024
havent,0.005
headbutt,0.005
heard,0.005
heaven,0.01
heavy,0.005
hebat,0.005
hedi,0.005
hella,0.005
henti,0.005
heran,0.014
hibur,0.005
hideko,0.005
hidung,0.014
hidup,0.082
hilang,0.014
hindia,0.005
his,0.034
historia,0.005
hitam,0.029
ho,0.005
hokage,0.005
hommies,0.005
honda,0.005
honggo,0.005
honorer,0.005
honour,0.005
hotel,0.005
hounds,0.005
hours,0.005
htt,0.005
https,0.005
hubung,0.005
hufflepuff,0.005
hujan,0.01
hukum,0.005
hutan,0.005
ib,0.005
iblis,0.005
ibra,0.01
ibukota,0.005
icu,0.005
id,0.005
identik,0.005
idiot,0.005
idola,0.005
ifrit,0.005
ignya,0.005
ii,0.01
ikal,0.005
ikan,0.01
iket,0.005
ilegal,0.005
ilham,0.01
ilmu,0.014
imaji,0.005
imajiner,0.005
iman,0.005
imbang,0.005
imigran,0.01
imigrasi,0.005
impresif,0.005
indak,0.005
indie,0.005
indone,0.005
indonesia,0.053
indonesian,0.005
indonesians,0.005
inetnya,0.005
informasi,0.024
inggris,0.014
inimah,0.005
inklusip,0.005
insisted,0.005
inspirasi,0.005
instan,0.01
instead,0.01
intelektual,0.005
intens,0.005
interact,0.005
internet,0.01
interogasi,0.005
inti,0.005
introduce,0.005
introduced,0.005
investasi,0.01
invited,0.005
iran,0.005
isap,0.005
isi,0.029
islam,0.005
isn,0.005
iso,0.005
ison,0.005
istanbuls,0.005
istiqlal,0.01
istirahat,0.005
istri,0.005
itikad,0.005
ito,0.005
ivakdalam,0.005
ive,0.005
iwan,0.01
iya,0.173
iyd,0.005
izin,0.005
jackson,0.005
jaga,0.024
jaguar,0.005
jahat,0.019
jaja,0.005
jajal,0.005
jajan,0.005
jakarta,0.048
jakartans,0.005
jaki,0.01
jaksel,0.005
jakub,0.005
jalan,0.072
jalur,0.005
jamaah,0.005
jamal,0.005
jaman,0.014
jamban,0.005
jambret,0.01
jangkrik,0.005
janji,0.019
jantung,0.005
januari,0.014
jarak,0.005
jarang,0.01
jaring,0.01
jas,0.01
jasa,0.01
jatuh,0.01
jawa,0.019
jawir,0.005
jay,0.005
jazz,0.005
jean,0.005
jebak,0.01
jebol,0.005
jebot,0.005
jegal,0.005
jelek,0.005
jemput,0.01
jenis,0.01
jepang,0.01
jerit,0.005
jeruk,0.01
jiah,0.005
jih,0.005
jin,0.005
jingkrak,0.01
jiran,0.005
jo,0.005
joget,0.005
johan,0.005
john,0.01
joins,0.005
joko,0.005
jon,0.014
jones,0.005
jual,0.029
juang,0.005
juara,0.005
judes,0.005
judo,0.01
judul,0.024
jujur,0.005
jumat,0.005
juru,0.005
juta,0.005
kabul,0.01
kabupaten,0.005
kacamata,0.005
kacang,0.01
kacau,0.024
kadang,0.019
kadie,0.005
kadieuu,0.005
kadituu,0.005
kafe,0.005
kah,0.024
kahfi,0.005
kahn,0.005
kaisar,0.005
kait,0.005
kaki,0.005
kaks,0.005
kalah,0.029
kaleng,0.005
kalideres,0.005
kalijati,0.005
kamar,0.01
kambing,0.005
kamp,0.005
kampus,0.005
kanan,0.005
kangkung,0.005
kangsual,0.005
kanker,0.005
kantuk,0.005
kanuragan,0.005
kaos,0.005
kapal,0.01
kapas,0.005
kapten,0.005
kara,0.005
karachi,0.005
karantina,0.01
karaoke,0.005
karier,0.01
karon,0.005
kartu,0.01
kartun,0.005
karya,0.005
kashmir,0.005
kasih,0.038
kaum,0.005
kawan,0.034
kawi,0.005
kayamba,0.005
kcg,0.005
kecewa,0.01
kedai,0.005
kedetec,0.005
kedip,0.005
keith,0.005
kejar,0.014
kejut,0.029
kekal,0.005
kelamin,0.005
kelanj,0.005
kelapa,0.005
kelas,0.014
kelompok,0.005
keluarga,0.019
keluh,0.005
kemal,0.005
kemari,0.005
kemarin,0.019
kembar,0.01
kemeja,0.005
kemensos,0.005
kemung,0.005
ken,0.029
kenal,0.014
kenaoa,0.005
kencrotawn,0.005
kendara,0.014
kendedes,0.005
kenyang,0.005
kepala,0.01
kepsir,0.005
kepung,0.005
keras,0.024
keren,0.019
keringetan,0.005
kertas,0.005
kesan,0.005
ketangkep,0.005
ketela,0.005
ketemu,0.024
ketewak,0.005
ketok,0.005
ketrampilan,0.005
keyboard,0.005
keys,0.005
keyword,0.005
khawatir,0.005
kilab,0.005
kilogram,0.019
kilometer,0.005
kinda,0.005
kings,0.005
kippur,0.005
kipuw,0.005
kiri,0.024
kirim,0.01
kisah,0.01
klaim,0.005
klarifikasi,0.01
klasik,0.01
klien,0.005
klub,0.01
kmzway,0.005
knalpot,0.005
kocok,0.005
kode,0.005
kodkod,0.005
koh,0.005
koloni,0.005
kolonial,0.005
komennya,0.005
komentar,0.019
komisi,0.005
komodo,0.005
kompleks,0.005
komst,0.005
kondisi,0.014
konferensi,0.005
konfirm,0.005
konoha,0.005
konoyaroo,0.005
konsul,0.005
konsumsi,0.005
konten,0.019
kontra,0.005
kontrak,0.019
konyol,0.01
kopi,0.024
koran,0.01
korban,0.01
korea,0.005
korek,0.005
koreksi,0.005
koruptur,0.01
kosong,0.014
kota,0.005
kotak,0.01
kotor,0.014
kotoran,0.014
koyok,0.005
krangar,0.005
kribo,0.005
kristen,0.005
krs,0.005
ksatria,0.005
kuantum,0.005
kuasa,0.005
kuat,0.019
kucing,0.01
kuda,0.014
kudeta,0.005
kue,0.005
kuli,0.005
kuliah,0.01
kultus,0.005
kumbang,0.005
kumpul,0.019
kunci,0.01
kung,0.005
kuning,0.005
kuno,0.005
kunyah,0.005
kusut,0.005
laba,0.01
lacoste,0.005
lagu,0.01
laguny,0.005
lahir,0.024
lain,0.019
laju,0.005
lakad,0.005
laki,0.274
laksana,0.005
lampu,0.014
laney,0.005
langgan,0.01
langit,0.005
lantai,0.005
lapak,0.005
lapor,0.014
laptop,0.005
larang,0.01
lari,0.005
laris,0.005
latar,0.005
latih,0.01
laura,0.005
laut,0.014
lawak,0.005
lawan,0.034
layan,0.005
layang,0.005
least,0.01
lebar,0.005
lek,0.005
lelah,0.019
lelucon,0.005
leluhur,0.005
lembab,0.005
lembah,0.01
lembata,0.005
len,0.005
lengkap,0.01
lenguh,0.005
lennon,0.005
lensa,0.005
ler,0.005
les,0.005
letak,0.005
liar,0.01
libat,0.005
libur,0.01
lilin,0.005
lindung,0.005
lingkar,0.005
lingkung,0.005
link,0.005
lipat,0.019
listrik,0.005
literasi,0.005
liye,0.005
ll,0.005
lmaoo,0.005
loak,0.005
lobang,0.005
logam,0.01
logat,0.01
loh,0.005
lokal,0.005
lomba,0.005
loncat,0.005
london,0.005
londoner,0.005
longer,0.005
lontar,0.005
look,0.01
loose,0.005
loves,0.005
lowered,0.005
lubang,0.005
lucu,0.029
luka,0.019
lukis,0.019
lumayan,0.01
lumpuh,0.005
lupa,0.034
luput,0.005
lur,0.005
lusa,0.005
maaf,0.038
mabuk,0.005
macan,0.01
made,0.005
madura,0.01
mahal,0.005
mahasiswa,0.005
mahir,0.01
maicibai,0.005
main,0.024
majid,0.01
majidi,0.01
majikan,0.005
makan,0.01
makhluk,0.005
makna,0.005
maksimal,0.005
maku,0.005
malaikat,0.005
malam,0.043
malang,0.005
malas,0.005
malaysia,0.01
maling,0.005
malu,0.019
mampir,0.005
manchester,0.005
mandang,0.01
mandarin,0.01
mangkany,0.005
manis,0.005
mantau,0.005
manual,0.005
manusia,0.005
maori,0.005
marah,0.019
maret,0.005
mari,0.005
mas,0.01
masak,0.01
masjid,0.01
masker,0.005
masyaallah,0.01
masyarakat,0.019
matahari,0.005
matatag,0.005
materi,0.005
matgaler,0.005
mati,0.029
matiin,0.005
maulana,0.005
mawar,0.005
mazzini,0.01
mber,0.005
mcflurry,0.005
med,0.005
media,0.005
meditating,0.005
meer,0.005
mehmed,0.005
meja,0.005
melanistic,0.005
melarat,0.005
melati,0.005
melayu,0.005
melek,0.01
mem,0.005
memakai,0.005
membantu,0.005
meminimalisir,0.005
memver,0.005
menang,0.019
mendengarkan,0.005
menelepon,0.01
menemani,0.005
mengaji,0.01
mengecek,0.005
menginjak,0.005
menit,0.014
mental,0.01
merah,0.01
merek,0.005
merem,0.005
meriah,0.005
merinding,0.005
mesra,0.005
metallica,0.005
mewah,0.005
michael,0.01
mie,0.014
mikiran,0.005
miles,0.005
milik,0.063
milo,0.005
mimpi,0.014
ming,0.005
minggu,0.029
minimal,0.005
minum,0.029
minyak,0.005
mirzani,0.005
miscall,0.005
misi,0.01
misionaris,0.005
miskin,0.01
misteri,0.005
mitokondria,0.005
ml,0.005
mngatasi,0.005
mobil,0.01
mock,0.005
modal,0.005
mode,0.005
model,0.014
moderator,0.005
mola,0.005
monggo,0.005
mongol,0.005
mongolia,0.005
monyet,0.014
moodboard,0.005
moro,0.005
moscow,0.005
motor,0.034
motorbreath,0.005
mouse,0.005
msg,0.005
mtdna,0.005
muda,0.029
mudah,0.014
muhammadiyah,0.005
muka,0.014
mullet,0.005
mungking,0.005
murah,0.01
murung,0.005
musik,0.005
musim,0.024
mut,0.005
mutan,0.005
muthu,0.005
mutiara,0.005
mutualan,0.005
mutualnya,0.005
myanmar,0.005
myfren,0.005
nadin,0.01
nakama,0.005
nama,0.034
nanggap,0.005
nanking,0.005
narasi,0.005
narkotika,0.005
nasi,0.005
nasib,0.005
nayamul,0.01
nayato,0.005
ndaki,0.01
ndakik,0.005
near,0.005
ned,0.005
nedved,0.005
needs,0.005
neg,0.005
negara,0.01
negatif,0.005
negeri,0.005
nellie,0.005
neo,0.005
neohistoria,0.005
netflix,0.01
netflixmy,0.005
netflux,0.005
newcastle,0.005
ngab,0.019
ngaglik,0.005
nganteri,0.005
ngarit,0.01
nge,0.01
ngeautis,0.005
ngebayangin,0.005
ngecas,0.005
ngehargain,0.005
ngejarah,0.005
ngekick,0.005
ngeladenin,0.005
ngelangar,0.005
ngeleave,0.005
ngeledek,0.005
ngemtot,0.005
ngene,0.005
ngerekrut,0.005
ngeri,0.005
ngerush,0.005
ngeshare,0.005
ngetrollnya,0.005
ngetweet,0.005
ngetwit,0.005
ngeyel,0.005
nggih,0.005
ngiang,0.01
ngobrol,0.01
ngomongke,0.005
ngopinya,0.005
ngotot,0.005
ngtwit,0.005
ngungsi,0.005
ngunyah,0.005
niat,0.01
nigerian,0.005
nikita,0.005
nikmat,0.01
nilai,0.005
ning,0.005
nisan,0.01
noche,0.005
noicer,0.005
nolak,0.005
nomernya,0.005
nomor,0.014
non,0.005
nongs,0.005
nontonin,0.005
normal,0.014
nov,0.005
nu,0.005
nube,0.005
nukang,0.005
nunjukin,0.005
nurut,0.01
nusa,0.005
nusantara,0.005
nutrisi,0.005
nyala,0.053
nyalah,0.005
nyantai,0.005
nyanyi,0.005
nyaring,0.01
nyarkub,0.005
nyebut,0.005
nyelip,0.005
nyetir,0.005
nyinyi,0.01
nyonya,0.014
obat,0.024
obrolan,0.005
officials,0.005
og,0.005
oh,0.019
oi,0.005
ojek,0.005
oke,0.067
okee,0.005
olahraga,0.01
old,0.014
omong,0.014
once,0.01
onizuka,0.01
online,0.005
onlinenya,0.005
onok,0.005
onto,0.005
oomfs,0.005
opa,0.01
operasi,0.01
operator,0.005
opiates,0.005
opini,0.005
opprass,0.005
organizing,0.005
osbourne,0.005
otak,0.005
oth,0.005
otomatis,0.005
ourselves,0.005
outs,0.005
over,0.005
ovj,0.005
oxlade,0.005
ozzy,0.005
pacar,0.005
padat,0.01
padepokanjmbtgosong,0.005
pagi,0.029
pah,0.005
paham,0.034
pahit,0.005
pahlawan,0.005
pahlevi,0.005
pai,0.005
paintings,0.005
pakai,0.101
paksa,0.01
paleoantro,0.005
paleolithic,0.005
palorant,0.005
palsu,0.01
paman,0.014
pamer,0.005
pamungkas,0.01
panas,0.014
panda,0.005
pandemi,0.005
panen,0.005
panera,0.005
panggil,0.029
pangkat,0.005
pangsit,0.005
panik,0.005
pantai,0.005
pantat,0.005
papis,0.005
parade,0.005
parah,0.014
parasitic,0.005
parents,0.01
paris,0.01
partai,0.005
paru,0.005
pas,0.01
pasang,0.005
pasangan,0.005
pasar,0.014
pasien,0.005
pasir,0.005
paskem,0.005
paspor,0.005
passed,0.01
pasu,0.005
patroli,0.005
paul,0.005
payudara,0.005
pb,0.005
pc,0.005
