term,weight
abadi,0.003
abai,0.003
ac,0.003
aca,0.005
acara,0.026
aci,0.003
acuh,0.003
adek,0.034
admin,0.024
adminya,0.003
adon,0.003
aduh,0.048
aduk,0.011
ah,0.037
ain,0.003
ajak,0.018
ajar,0.034
ajasih,0.003
aju,0.003
akang,0.003
akhirny,0.003
akrab,0.003
aksi,0.008
akte,0.003
aktif,0.003
akun,0.011
ala,0.011
alam,0.013
alamat,0.003
alami,0.003
alas,0.016
alat,0.003
alesannya,0.003
alhamdulillah,0.016
alias,0.005
alih,0.003
aliran,0.003
alis,0.011
alumni,0.003
aman,0.008
ambil,0.042
ambyar,0.018
amin,0.058
amplop,0.003
ampuh,0.003
an,0.008
anak,0.129
android,0.003
aneh,0.016
anggep,0.005
anggur,0.003
angin,0.008
angka,0.008
angkat,0.005
anis,0.003
anjur,0.003
anteemak,0.003
antem,0.003
anteng,0.003
anti,0.003
antre,0.003
anty,0.005
antynya,0.003
apasik,0.003
apel,0.003
aplikasi,0.008
apriani,0.003
aqua,0.005
arah,0.013
arang,0.003
area,0.016
areng,0.003
arisan,0.008
asam,0.011
asih,0.008
asik,0.011
asin,0.005
asing,0.003
ask,0.005
astaghfirullah,0.003
asuh,0.003
asyik,0.003
atikuy,0.005
atlet,0.003
atm,0.003
atur,0.003
aura,0.003
autoreplynya,0.003
awas,0.003
awawaw,0.003
aww,0.003
ayah,0.008
ayam,0.066
ayo,0.082
baca,0.024
badai,0.003
baee,0.003
bagus,0.016
bahagia,0.034
bahan,0.008
bahas,0.003
bahasa,0.003
bahaya,0.003
bain,0.003
bajing,0.003
baju,0.005
bakmi,0.003
bakso,0.016
bakteri,0.003
bakti,0.003
bakwan,0.003
balas,0.024
balurin,0.005
balut,0.003
bandel,0.003
banding,0.003
bandingkan,0.003
bandung,0.003
bangga,0.003
bangkrut,0.003
bangun,0.021
bangunin,0.003
banjir,0.037
bantu,0.021
banyk,0.003
barang,0.029
bareng,0.034
baris,0.003
basrenh,0.003
batal,0.026
batas,0.003
batin,0.005
batu,0.011
bau,0.005
baut,0.008
bawa,0.042
bawain,0.005
bawang,0.026
bayam,0.003
bayang,0.011
bayar,0.045
bayarin,0.003
bayi,0.013
bazar,0.005
bbnya,0.003
bebek,0.021
beberes,0.003
beda,0.04
bedak,0.003
bedug,0.003
begadang,0.011
beginikan,0.003
begituan,0.005
begitukan,0.003
bekas,0.069
bekase,0.003
bekaseh,0.008
bekel,0.013
beku,0.011
bela,0.003
belaga,0.003
belah,0.008
belanda,0.003
belanja,0.005
beli,0.116
beliau,0.005
belikan,0.003
belit,0.003
benarkan,0.005
benerapa,0.003
bengbeng,0.003
bening,0.003
bensu,0.003
bentar,0.008
berani,0.013
beranta,0.003
