term,weight
ab,0.004
abai,0.008
acara,0.004
acuh,0.008
adat,0.004
adek,0.004
adeknya,0.004
adha,0.004
adil,0.004
adine,0.004
admin,0.004
administrasi,0.008
aduh,0.025
aduk,0.004
adus,0.004
aerobics,0.004
affects,0.004
afifsapta,0.004
agam,0.004
agama,0.025
ah,0.008
ahli,0.008
ahmad,0.004
aib,0.008
air,0.008
ajak,0.03
ajala,0.004
ajar,0.093
akhlak,0.013
akibat,0.004
akrab,0.004
akun,0.013
akwkakwkw,0.004
al,0.021
ala,0.008
alam,0.021
alat,0.004
aldi,0.008
aldiriz,0.004
alfabet,0.004
alha,0.004
alhamdulillah,0.017
alhasil,0.004
ali,0.004
alias,0.004
alih,0.008
allahuakbar,0.004
almarhum,0.004
alpukat,0.004
alternatif,0.008
aman,0.008
ambil,0.013
ambis,0.008
ambyar,0.008
amin,0.008
ampun,0.013
amputasi,0.008
an,0.042
anabulku,0.004
anak,0.14
ancen,0.008
andong,0.004
aneh,0.047
anggap,0.008
anggar,0.004
anggota,0.004
angin,0.008
angkasa,0.004
angkat,0.008
angkutan,0.004
angy,0.004
animasi,0.008
anjak,0.004
anjim,0.004
anjing,0.004
anniversary,0.004
annual,0.004
antam,0.004
antigen,0.004
anya,0.004
anyone,0.004
aparat,0.004
ar,0.004
aras,0.004
arasen,0.004
archieve,0.004
arcif,0.004
arek,0.004
arep,0.004
arik,0.004
arte,0.004
artha,0.004
arwah,0.004
asa,0.008
ashanty,0.004
ashar,0.004
ashiap,0.004
asik,0.013
asin,0.004
askrl,0.004
asli,0.004
assalamualaikum,0.008
astaga,0.008
astagfirullah,0.004
astaghfirullah,0.008
asw,0.004
asy,0.004
ata,0.004
atta,0.013
attractive,0.004
atur,0.008
aurat,0.004
aurel,0.017
avatar,0.004
awareness,0.004
awas,0.004
awasin,0.004
awat,0.008
awkarin,0.008
ay,0.004
ayah,0.004
ayam,0.03
ayo,0.081
ayus,0.004
az,0.004
ba,0.004
babied,0.004
baca,0.021
backgroundku,0.004
bada,0.004
badan,0.008
baday,0.004
bagus,0.042
bahagia,0.034
bahan,0.008
bahas,0.013
bahasa,0.008
bahaya,0.004
bahu,0.008
bajing,0.017
baju,0.013
bak,0.004
bakar,0.004
bakat,0.004
bakrie,0.004
bakso,0.013
baku,0.004
balas,0.068
balasan,0.004
balerame,0.004
balesen,0.004
balitanya,0.004
banding,0.008
banget,0.004
bangga,0.025
bangkrut,0.004
bangsa,0.008
bangun,0.013
banjir,0.021
banned,0.004
bansos,0.004
bant,0.004
banting,0.008
bantu,0.008
banyaakk,0.004
bapakn,0.004
baperin,0.004
baqarah,0.008
bara,0.004
barang,0.021
barcode,0.004
bareng,0.008
barista,0.004
basa,0.004
basah,0.004
based,0.004
basic,0.004
basoaciw,0.004
batal,0.242
batas,0.013
batavia,0.004
batin,0.004
batu,0.008
bau,0.008
bawa,0.021
bayangkan,0.004
bayar,0.013
bayi,0.021
bb,0.004
bcerai,0.004
beban,0.013
bebas,0.008
becomes,0.004
becus,0.004
beda,0.025
begadang,0.004
behind,0.004
bekas,0.004
belaga,0.013
belah,0.004
belajar,0.004
beli,0.064
beliau,0.008
belikan,0.004
ben,0.004
benci,0.004
bendung,0.004
bengi,0.004
bengok,0.004
bengong,0.004
bensin,0.004
bentar,0.008
bentuk,0.008
berani,0.008
beranta,0.004
berat,0.038
berdo,0.004
berhenti,0.021
berita,0.013
beritahu,0.004
berkahwin,0.004
berkat,0.004
bersih,0.004
berteman,0.004
bertumpuk,0.004
besok,0.03
bhay,0.004
bi,0.004
biadab,0.013
biarkan,0.008
biaya,0.008
bicara,0.064
bijak,0.008
bijaksana,0.008
biji,0.004
bilang,0.072
bills,0.004
binatang,0.055
bingung,0.021
bis,0.004
bisikin,0.004
bismillah,0.004
bo,0.004
boba,0.004
bocor,0.004
bodoh,0.034
bolak,0.004
bom,0.008
bonceng,0.004
bondo,0.004
bongkar,0.004
bonjol,0.004
boros,0.013
bosan,0.025
bosok,0.004
both,0.004
boyfriend,0.004
boys,0.004
brand,0.004
breaking,0.004
brilian,0.004
brought,0.004
buah,0.008
buang,0.017
bubur,0.013
bucks,0.004
budak,0.034
budal,0.004
budaya,0.013
bude,0.004
bujuk,0.008
bujukin,0.004
buka,0.038
bukti,0.013
buku,0.013
bulu,0.008
buluh,0.004
bumi,0.008
bunda,0.008
bundir,0.004
bungkam,0.004
bungkus,0.008
bunuh,0.004
bunyi,0.004
buruk,0.008
buset,0.004
buta,0.008
buttercream,0.004
butuh,0.059
bwahahahaha,0.004
cahaya,0.013
cakap,0.013
cakes,0.004
calon,0.008
cam,0.004
campur,0.008
canda,0.013
candi,0.004
candid,0.008
canggih,0.004
cangkem,0.004
cangkruk,0.004
cantik,0.03
canva,0.004
carane,0.004
cares,0.008
cari,0.098
