term,weight
aakk,0.004
abai,0.004
abot,0.004
abrasi,0.004
absolutely,0.004
abur,0.004
abzt,0.004
acak,0.013
accepted,0.004
adele,0.004
adil,0.004
admin,0.008
adon,0.004
adores,0.004
adulting,0.004
adventures,0.004
afdal,0.004
agustus,0.004
ah,0.008
ahad,0.004
ahahha,0.004
ahjussi,0.004
ahli,0.013
ain,0.004
ajak,0.017
ajar,0.088
ajee,0.004
aji,0.004
akad,0.004
akal,0.004
aktivitas,0.004
akubutuhkepastian,0.004
akun,0.008
akut,0.004
akuuh,0.004
alam,0.013
alamaak,0.004
alami,0.004
alas,0.013
alfamart,0.004
alhamdulillah,0.038
alhasil,0.004
ali,0.004
along,0.004
although,0.004
alus,0.004
aman,0.004
ambang,0.004
amben,0.004
ambil,0.025
ambisi,0.004
ambyar,0.008
amet,0.004
amin,0.038
amplop,0.004
ampun,0.008
an,0.042
anabulnya,0.004
anak,0.113
andai,0.004
aneh,0.008
anggap,0.008
angin,0.017
angka,0.004
ani,0.004
annabele,0.004
annabelle,0.004
anonim,0.004
anonym,0.004
antagonis,0.004
anti,0.004
antimo,0.004
any,0.004
anyar,0.004
anyes,0.004
anymore,0.004
apakabar,0.017
apakareba,0.004
apalan,0.004
apaqaa,0.004
api,0.013
apik,0.013
aplikasi,0.004
appreciate,0.004
arab,0.004
arah,0.004
aren,0.017
arogan,0.004
arsitek,0.004
artine,0.004
asa,0.029
asam,0.004
asap,0.004
asik,0.008
asing,0.004
asistensi,0.004
ask,0.008
asn,0.004
astaghfirullah,0.004
ateng,0.004
atinaa,0.004
atm,0.004
attracts,0.004
atuk,0.004
atur,0.008
aturane,0.004
audite,0.004
awan,0.004
awas,0.013
awesome,0.013
awkarin,0.004
aww,0.013
ayah,0.004
ayam,0.008
ayo,0.125
azab,0.004
bab,0.013
babe,0.004
babybus,0.004
baca,0.05
badan,0.021
badminton,0.004
bagikan,0.004
baguette,0.004
bagus,0.054
bahagia,0.054
bahan,0.025
bahas,0.021
baheula,0.004
baiik,0.004
baju,0.013
bakar,0.004
bakat,0.004
bal,0.008
balap,0.004
balas,0.017
balasan,0.004
banding,0.004
bandingkan,0.004
banget,0.004
bangetss,0.004
bangjo,0.004
bangkrut,0.004
bangku,0.004
bangsa,0.004
bangun,0.025
bank,0.004
bantal,0.008
banting,0.008
bantu,0.008
bar,0.013
barang,0.017
bareng,0.021
barokahh,0.004
basabasi,0.004
basah,0.004
bata,0.008
batal,0.067
batang,0.004
batas,0.008
batch,0.004
batin,0.017
battles,0.004
batu,0.008
bawa,0.021
bayang,0.008
bayar,0.008
bayi,0.004
bayik,0.004
bbm,0.013
beats,0.004
beban,0.004
bebas,0.004
bebs,0.004
beda,0.017
bedo,0.004
begadang,0.008
beibs,0.004
bekel,0.004
bel,0.004
bela,0.013
belaga,0.004
belah,0.013
belai,0.008
belanja,0.004
belas,0.004
beli,0.013
beliau,0.004
belicik,0.004
belok,0.013
belongs,0.008
ben,0.029
benam,0.004
benci,0.013
beneer,0.004
bengi,0.004
bengkalai,0.004
bengkok,0.004
bentuk,0.008
beranda,0.017
berani,0.004
berapaa,0.004
berat,0.025
berbie,0.013
berbukaa,0.004
bergetarr,0.004
berhenti,0.008
berikann,0.004
berita,0.013
berkah,0.004
berkat,0.004
berkumpul,0.013
bersih,0.017
bersihin,0.013
berteman,0.004
bertemu,0.004
berterimakasih,0.004
besok,0.025
betek,0.004
betol,0.004
between,0.004
bhayy,0.004
bianget,0.004
biasane,0.004
bibir,0.004
bicara,0.038
bidan,0.004
bien,0.004
bijak,0.017
bijake,0.004
bilang,0.013
bimbing,0.004
bintang,0.004
bir,0.004
biru,0.004
bismillah,0.013
biso,0.004
bisu,0.004
bla,0.013
blanja,0.004
bo,0.008
bobot,0.004
bodene,0.004
bodoh,0.017
bodyku,0.004
bodynya,0.004
bohong,0.004
bolakbalik,0.004
bom,0.021
bonceng,0.004
bonus,0.004
book,0.004
booming,0.004
bos,0.017
bosan,0.013
both,0.004
braver,0.004
brbr,0.004
bredel,0.004
brighter,0.004
brings,0.004
broo,0.004
brooke,0.004
brotha,0.008
brought,0.008
bsd,0.008
buah,0.008
buang,0.008
bubar,0.004
budak,0.004
buddies,0.008
bugulu,0.004
buguru,0.008
buguruu,0.004
buk,0.008
buka,0.063
bukit,0.004
buko,0.004
buku,0.017
bulu,0.008
bumbu,0.008
bumi,0.008
bumils,0.008
bumilss,0.004
bumped,0.004
bumpy,0.004
bunda,0.008
bundet,0.004
bungkuskan,0.004
buntel,0.004
bur,0.017
burned,0.004
buru,0.013
buruk,0.017
butuh,0.008
cabai,0.008
cabang,0.004
cabs,0.004
cacing,0.004
cahaya,0.021
cahh,0.004
cair,0.008
cakap,0.017
calon,0.004
cam,0.004
cammana,0.004
cancle,0.004
canda,0.004
candid,0.004
canggung,0.008
cangking,0.004
cangkir,0.004
cantik,0.029
capaya,0.004
capcin,0.004
capres,0.004
capricorn,0.004
cares,0.004
cari,0.021
carma,0.008
cases,0.004
cat,0.008
caten,0.004
catering,0.004
cause,0.008
cc,0.004
cedak,0.004
cekarang,0.004
cekel,0.008
cekot,0.004
cemar,0.004
cemas,0.004
cemil,0.063
cenderung,0.004
cepat,0.046
cepatan,0.004
cepetke,0.004
cerah,0.004
cerdas,0.004
cerewet,0.004
cerita,0.021
ceritake,0.004
cetak,0.004
challenged,0.004
cie,0.025
cilacap,0.004
cilik,0.004
cilok,0.004
cincah,0.004
cincin,0.004
cinggu,0.004
cinta,0.088
cipaa,0.004
cipta,0.004
circles,0.004
citra,0.004
ciwi,0.004
classroom,0.004
clearly,0.004
cnblue,0.004
coba,0.029
cobaanya,0.004
cocok,0.008
coelho,0.004
cok,0.004
coklat,0.013
colleagues,0.004
colouring,0.004
comes,0.021
condong,0.004
confusing,0.004
conspires,0.008
cont,0.004
cookies,0.008
copot,0.004
couldn,0.004
counting,0.004
coupleane,0.004
cowok,0.042
crashing,0.004
crita,0.004
critani,0.004
cuaca,0.004
cuci,0.013
cucuw,0.004
cuka,0.004
cullen,0.004
cupcupcup,0.004
curaang,0.004
curhat,0.004
curi,0.008
curiga,0.004
cus,0.004
cuteness,0.004
cyiin,0.008
dadah,0.008
dadak,0.021
dadi,0.008
dadike,0.004
dadine,0.004
daebak,0.004
daerah,0.008
daftar,0.008
dagdigdug,0.004
dai,0.004
daki,0.004
dalmi,0.004
damai,0.017
damar,0.004
darkest,0.008
dasar,0.017
data,0.008
datar,0.004
dateline,0.008
days,0.013
dbawain,0.004
dc,0.004
ddi,0.004
deadline,0.013
debat,0.008
december,0.004
decided,0.004
dedew,0.004
deelel,0.004
deep,0.021
deeply,0.004
deh,0.038
dekne,0.004
del,0.004
delima,0.004
deliv,0.004
dendam,0.004
dengar,0.004
depresses,0.004
derita,0.004
desa,0.013
deserves,0.004
despite,0.004
dewe,0.004
diajakin,0.004
diajari,0.004
dialfamart,0.004
diam,0.008
dianggep,0.004
dibaleke,0.004
dibangunin,0.004
dibeginikan,0.004
dicurhatin,0.004
did,0.008
didik,0.004
didn,0.004
dieman,0.004
dien,0.008
dieng,0.004
dies,0.004
digalauni,0.004
dih,0.008
dijulidin,0.004
dikemanakan,0.004
dikit,0.004
dikosnya,0.004
dilairin,0.004
dilanjutin,0.004
dilema,0.042
dilewatin,0.004
dilulusin,0.004
dimana,0.021
dingin,0.013
dino,0.004
diomongin,0.004
diomongke,0.004
dipungkiri,0.004
diracikin,0.004
direct,0.004
directions,0.004
disemangatin,0.004
diskon,0.004
diskusi,0.013
