term,weight
aa,0.007
aah,0.007
aaii,0.004
aameen,0.004
abad,0.004
abadi,0.004
abbey,0.004
abot,0.004
absolutely,0.004
abud,0.004
acapella,0.007
acara,0.082
aceh,0.007
acis,0.004
acleng,0.004
acquittal,0.004
addie,0.011
adians,0.004
adib,0.014
adil,0.014
admin,0.004
adopter,0.004
aduh,0.043
against,0.007
agama,0.007
agung,0.004
agustus,0.018
ah,0.068
ahaa,0.004
ahahaa,0.007
ahok,0.032
aibon,0.004
aip,0.007
air,0.004
airism,0.004
ajaah,0.004
ajaib,0.004
ajak,0.018
ajar,0.025
akal,0.004
akang,0.004
akar,0.004
akh,0.004
akhirat,0.004
akibat,0.004
akses,0.007
aktor,0.004
akun,0.007
akur,0.004
akurat,0.007
akut,0.004
alaikum,0.004
alam,0.014
alamat,0.007
alas,0.007
alat,0.004
album,0.007
albums,0.004
alex,0.004
alhamduliah,0.004
alhamdulillah,0.004
alinea,0.004
alkisah,0.004
alligiance,0.004
almarhum,0.011
almarhumah,0.007
almasih,0.004
alright,0.004
alumni,0.004
alun,0.004
aman,0.036
amanat,0.007
amar,0.004
amare,0.004
amazed,0.004
ambil,0.032
ambon,0.007
amd,0.004
americans,0.004
amin,0.125
ampun,0.007
an,0.061
anak,0.086
anata,0.004
andai,0.007
aneh,0.004
angels,0.004
anggap,0.004
anggar,0.004
anggota,0.004
anggur,0.011
angkat,0.007
angkutan,0.007
anies,0.004
anji,0.004
anniversary,0.004
anti,0.004
antik,0.004
anyar,0.007
anybody,0.004
aom,0.004
apadaya,0.004
apanan,0.004
aparat,0.014
api,0.007
appreciate,0.011
appreciated,0.004
apresiasi,0.011
april,0.011
aquaman,0.004
argumen,0.004
arief,0.014
arigatou,0.007
arrangements,0.004
arransemen,0.004
arsitek,0.004
artefacts,0.004
artis,0.007
arya,0.004
asa,0.004
asap,0.004
aselik,0.004
aselina,0.004
asia,0.007
asih,0.004
asik,0.018
asked,0.004
asli,0.032
aspek,0.004
assalamu,0.004
asumsi,0.004
asupan,0.004
asyik,0.004
ateuh,0.004
atlas,0.004
