term,weight
aah,0.01
aai,0.003
abad,0.003
abah,0.003
abe,0.007
abelina,0.003
abrek,0.003
acara,0.007
acing,0.003
adaakk,0.003
adakk,0.007
adegan,0.003
adekk,0.003
adeknya,0.003
adil,0.003
adit,0.003
aduh,0.024
aduk,0.007
aerobik,0.003
ah,0.035
ai,0.003
ain,0.003
air,0.003
airfrayer,0.003
ajadeeh,0.003
ajak,0.014
ajar,0.014
akademi,0.003
akakkwkw,0.003
akhirat,0.003
akibat,0.003
akir,0.003
akrab,0.007
akumah,0.003
akun,0.003
akuuh,0.003
ala,0.003
alam,0.014
alamat,0.003
alami,0.003
alas,0.017
alasan,0.003
alat,0.003
alden,0.007
alergi,0.003
alfa,0.003
alfamart,0.003
alhamdulillaah,0.017
alhamdulillah,0.014
alias,0.01
aling,0.01
alla,0.003
allahs,0.003
allergic,0.003
alon,0.007
alpukat,0.007
alsanya,0.003
amaat,0.003
amal,0.003
aman,0.007
amazon,0.003
ambil,0.014
ambyar,0.003
amin,0.003
ampas,0.003
an,0.003
anak,0.031
ancyur,0.003
andey,0.007
aneh,0.01
anggar,0.003
anggep,0.003
angin,0.003
angka,0.003
angot,0.003
antem,0.007
anti,0.003
antigen,0.003
any,0.003
anyone,0.007
anyones,0.003
anytime,0.003
apaacobaa,0.003
apaah,0.003
apaam,0.003
apaasih,0.003
apai,0.003
apanehh,0.003
apani,0.003
apart,0.003
apas,0.007
apasiun,0.003
apattu,0.003
apaya,0.007
arah,0.007
area,0.003
areenn,0.003
arne,0.003
arnold,0.007
arrives,0.003
asa,0.003
asam,0.014
asik,0.003
asli,0.01
asmr,0.003
assalamualaikum,0.003
astagah,0.01
astaghpirulloh,0.003
attractive,0.003
atur,0.003
audio,0.003
ay,0.014
ayah,0.007
ayam,0.028
ayo,0.098
ayunda,0.003
azza,0.003
azzahra,0.003
ba,0.007
baca,0.042
bacok,0.003
badan,0.017
badanqu,0.003
bagikan,0.007
bagus,0.031
bahagia,0.035
bahagya,0.003
bahan,0.017
bahasa,0.021
bajak,0.003
bajing,0.003
baju,0.024
bakar,0.007
bakarat,0.007
bakat,0.003
bakso,0.003
bakung,0.003
bakwan,0.003
balado,0.003
balas,0.01
bandar,0.003
bandara,0.007
banding,0.007
bandung,0.003
banget,0.014
bangkrut,0.003
bangun,0.028
banjir,0.007
banking,0.003
bantai,0.003
bantu,0.003
banya,0.003
bar,0.007
barang,0.01
barbie,0.007
baris,0.003
barley,0.003
basa,0.003
basah,0.007
basi,0.003
basic,0.003
basmi,0.003
batal,0.056
batas,0.01
batin,0.007
batuk,0.01
bau,0.031
baur,0.007
baut,0.003
bawa,0.028
bawaanya,0.01
bawang,0.014
bayang,0.007
bayar,0.003
baygon,0.003
beautifully,0.003
beban,0.003
bebas,0.003
bebek,0.003
beberes,0.003
bebi,0.003
becomes,0.003
becoming,0.003
beda,0.024
begadang,0.007
bekal,0.003
belaga,0.007
belah,0.01
belanja,0.007
belas,0.003
beli,0.08
belik,0.003
belok,0.003
benaran,0.007
benci,0.01
bendung,0.003
benedict,0.003
beneranntul,0.003
bengek,0.003
bengkel,0.007
benih,0.007
benihh,0.003
bentar,0.003
ber,0.007
beranda,0.007
berani,0.003
beras,0.003
berasa,0.007
berat,0.028
berb,0.003
berdua,0.003
berhenti,0.007
berhentiin,0.003
berisik,0.003
berita,0.01
berkilah,0.003
berkitty,0.003
berlian,0.003
bersiin,0.003
bersin,0.017
berterimakasih,0.003
besok,0.063
bestfriend,0.003
betis,0.003
betmen,0.007
betrayals,0.003
bggt,0.003
bhay,0.003
biarkan,0.007
bibir,0.003
bicara,0.021
bilang,0.014
bimbel,0.003
binatang,0.003
bingkai,0.003
bingung,0.01
bintan,0.003
bintang,0.003
bintit,0.003
bioskop,0.003
bisagasi,0.003
bisak,0.003
bismillah,0.003
bisnis,0.007
bj,0.003
bkp,0.003
blacklist,0.003
blender,0.003
blocked,0.003
boba,0.003
bocen,0.003
bodoamat,0.003
bodoh,0.007
bodong,0.003
bohong,0.014
bola,0.003
bolu,0.003
bom,0.021
bon,0.003
boossterr,0.003
boros,0.003
bosan,0.014
botol,0.017
boys,0.003
bram,0.003
bramas,0.003
bramm,0.003
brangkat,0.003
breast,0.003
breathing,0.003
brenang,0.003
brenti,0.01
brokoli,0.007
brosur,0.003
brulee,0.003
bruntung,0.003
buaat,0.003
buah,0.003
buang,0.014
buatkan,0.003
buaya,0.003
bubs,0.003
budak,0.007
budaya,0.003
bugar,0.003
buka,0.031
bukti,0.007
buku,0.014
bula,0.003
bumilsku,0.003
bunda,0.024
bundd,0.007
bunga,0.003
bunndd,0.003
buns,0.003
buntu,0.003
bunuh,0.003
bunyi,0.003
buram,0.01
burgushi,0.003
buru,0.014
buruk,0.01
burung,0.003
buset,0.007
butuh,0.014
ca,0.014
cabai,0.003
caca,0.021
cacaenak,0.003
cacul,0.003
cahaya,0.003
cakue,0.007
cakuee,0.003
calon,0.003
camer,0.003
campur,0.003
campursari,0.003
canai,0.003
candid,0.01
candu,0.003
cangkeme,0.003
cantik,0.017
capai,0.007
carbonara,0.01
cardio,0.003
cari,0.031
cas,0.003
casanya,0.003
cashless,0.003
cavill,0.003
cef,0.007
celana,0.003
celuller,0.003
cemerlang,0.003
cemil,0.164
cencel,0.003
cep,0.003
cepat,0.031
ceplok,0.003
cepp,0.003
cerewet,0.003
ceri,0.003
ceria,0.003
cerita,0.014
cerite,0.003
certain,0.003
cewek,0.007
chandra,0.003
changes,0.003
chatan,0.003
chec,0.003
chef,0.003
chooses,0.007
chrisye,0.003
cici,0.003
cie,0.01
cilok,0.01
cina,0.007
cincang,0.003
cing,0.003
cinlok,0.003
cinta,0.073
cipta,0.003
cita,0.014
citra,0.003
cium,0.01
ciwi,0.007
clubb,0.003
clvb,0.003
coba,0.045
coblos,0.003
coboy,0.003
cocok,0.01
cofee,0.003
cokelat,0.007
coklat,0.003
colins,0.003
comes,0.003
commandnya,0.003
commitment,0.003
continues,0.003
contoh,0.003
cony,0.003
cookies,0.003
coret,0.003
corona,0.014
cosplay,0.003
crii,0.003
cuci,0.01
cuih,0.003
cul,0.003
cunceett,0.003
curah,0.003
curhaat,0.003
dadak,0.003
dadi,0.003
daftaar,0.003
daging,0.014
dahan,0.003
dahi,0.007
dahsi,0.003
damai,0.007
dangdut,0.003
dann,0.003
dapur,0.01
dasar,0.003
data,0.007
daun,0.007
daya,0.007
debat,0.003
debu,0.021
deehh,0.003
deek,0.003
deekk,0.003
deeper,0.003
deh,0.105
dekan,0.003
dekdekan,0.007
dekeekan,0.003
delete,0.003
demam,0.003
demo,0.007
dendeng,0.003
dengar,0.031
dengki,0.003
denpasar,0.003
desember,0.007
destroy,0.003
detergen,0.003
detik,0.01
dewasa,0.014
dgrin,0.003
diam,0.017
dianjurin,0.003
dibandingin,0.003
dibanggakan,0.003
dibawain,0.003
dibiarkan,0.003
dicuba,0.003
did,0.003
didatangi,0.003
didnt,0.003
dieman,0.003
diferensial,0.003
digangguin,0.003
diinjek,0.003
dijutekin,0.003
dik,0.003
dikabarin,0.003
dikasitau,0.003
dikenalin,0.003
dikirimin,0.003
dikit,0.038
dikta,0.003
dikunciin,0.003
dilema,0.01
diluar,0.007
dimaenin,0.003
dimana,0.003
dimanaah,0.003
dimasupin,0.003
dimsum,0.003
dinda,0.014
dingin,0.003
dinyanyikan,0.003
dipakek,0.003
dipaksaain,0.003
diracunin,0.003
disalahk,0.003
diskon,0.003
disney,0.003
dispenser,0.003
disuruh,0.003
ditamhin,0.003
ditelfon,0.003
ditransferin,0.003
ditul,0.003
diuwuin,0.003
dizinin,0.003
doa,0.021
doainn,0.003
does,0.003
doesn,0.003
doesnt,0.007
dokk,0.003
dokter,0.003
doktor,0.003
dokumen,0.007
dokumentasi,0.003
donggqq,0.003
doorprize,0.003
dopamin,0.003
dosa,0.014
drama,0.01
dress,0.003
dresscode,0.003
dringking,0.003
duet,0.007
duh,0.003
duka,0.007
dukung,0.01
dunia,0.024
dunya,0.003
dur,0.007
durian,0.01
each,0.01
easier,0.003
edyann,0.003
eemm,0.003
eeum,0.003
efron,0.003
egois,0.003
eh,0.028
ehehehehk,0.003
ehm,0.003
eja,0.003
ekspresi,0.003
ekwkwk,0.003
elak,0.003
else,0.003
email,0.003
emem,0.003
emm,0.003
emoji,0.003
emosi,0.007
emosionel,0.003
emozi,0.003
enakk,0.007
endchat,0.003
endi,0.003
endonesa,0.003
endorphin,0.003
endul,0.003
energi,0.003
enola,0.007
episode,0.007
er,0.003
erti,0.003
es,0.007
eum,0.003
every,0.01
explained,0.003
fakta,0.003
fast,0.003
favorit,0.007
feelings,0.007
fenty,0.003
fillter,0.003
film,0.017
fine,0.003
five,0.003
flu,0.003
fo,0.003
fokus,0.007
foto,0.021
frayer,0.003
frekuensi,0.01
freya,0.003
fu,0.003
fungsi,0.007
fusilli,0.014
gaak,0.007
gabs,0.003
gabungin,0.003
gacocok,0.003
gadak,0.003
gademen,0.003
gadeng,0.003
gadis,0.017
gaenak,0.014
gagal,0.003
gajah,0.003
galak,0.003
gamungkin,0.003
ganggu,0.003
ganti,0.01
gaora,0.007
gaperlu,0.007
gaperna,0.007
gara,0.007
gareem,0.003
garis,0.007
gasabar,0.003
gasiwkwkwk,0.003
gasukak,0.003
gatahan,0.003
gaya,0.003
ge,0.007
geger,0.003
gelang,0.003
gelap,0.007
geli,0.003
gelik,0.003
gelisah,0.003
