term,weight
abai,0.006
abenk,0.003
abiezzh,0.003
abitch,0.003
abses,0.006
acuh,0.003
adek,0.025
adhyaksa,0.003
adinda,0.003
aditya,0.003
adityarozzaq,0.003
aduh,0.013
aeon,0.01
afgan,0.006
agama,0.003
agi,0.003
agnezmo,0.013
agung,0.003
agustus,0.003
ah,0.016
ahak,0.003
ahgila,0.003
aih,0.003
ajala,0.01
ajar,0.006
akhirnyaa,0.003
akhirrnyaa,0.003
akhlak,0.003
akhmad,0.003
aki,0.003
akibat,0.003
aktivitas,0.006
akumah,0.003
akun,0.01
al,0.006
ala,0.006
alam,0.003
alan,0.01
alas,0.006
alayy,0.003
alesso,0.006
alfa,0.003
alfamidi,0.006
alhamdulillaahh,0.003
alhamdulillah,0.035
alhamdulillahh,0.003
alhasil,0.003
alih,0.003
alumni,0.003
alunageorge,0.003
aman,0.003
ame,0.006
amel,0.003
america,0.003
amin,0.016
ampera,0.003
ampun,0.006
an,0.01
anak,0.114
anas,0.003
andal,0.003
aneh,0.006
anestesi,0.006
anet,0.013
angeline,0.003
angga,0.003
anggota,0.003
anggur,0.003
angkat,0.003
angsa,0.003
anjayy,0.003
annive,0.003
antebellum,0.003
antiskeptic,0.003
antoine,0.006
anugerah,0.003
anyen,0.006
anymore,0.003
anzeng,0.003
apas,0.003
apasikk,0.003
apatuu,0.006
apelagi,0.003
api,0.01
apl,0.003
aplikasi,0.006
apotek,0.003
aqua,0.013
arah,0.006
aren,0.003
argh,0.006
ariana,0.006
aries,0.003
ariosurya,0.01
armada,0.003
arthur,0.006
arya,0.003
asah,0.003
asik,0.006
asin,0.003
asing,0.01
asli,0.006
asyik,0.003
atb,0.003
atit,0.006
atm,0.006
atuhlah,0.003
autis,0.003
avatar,0.003
avicii,0.003
avril,0.003
awakening,0.003
awakens,0.003
awam,0.003
awan,0.003
ayah,0.01
ayam,0.006
ayangan,0.003
ayer,0.003
ayo,0.063
ayunda,0.003
baangg,0.003
bab,0.006
baca,0.01
badan,0.019
bagus,0.029
bahagia,0.003
bahagiain,0.003
bahas,0.006
bahasa,0.003
bahaya,0.01
baju,0.016
bakar,0.013
bakti,0.003
bala,0.006
balancing,0.006
balas,0.013
balon,0.006
ban,0.006
banci,0.003
bandel,0.003
banding,0.006
bangkai,0.003
bangun,0.019
bantu,0.003
bap,0.003
baperan,0.003
baperann,0.003
bar,0.003
barang,0.003
barbie,0.019
bareng,0.016
barokah,0.003
bas,0.003
batal,0.063
batang,0.003
bats,0.006
batu,0.003
batuk,0.003
bawa,0.022
bawain,0.003
baya,0.003
bayang,0.003
bayar,0.006
bayi,0.019
bayu,0.003
bbf,0.003
bbm,0.013
bbman,0.003
bebas,0.003
bebusa,0.003
beca,0.003
beda,0.013
bedah,0.003
bedrest,0.003
beduaan,0.003
beem,0.003
begor,0.003
behind,0.003
bekas,0.006
beku,0.003
bel,0.003
belaga,0.003
belah,0.003
belaka,0.003
belanja,0.01
belenjong,0.003
beli,0.041
belumm,0.003
benci,0.01
benel,0.003
bengkel,0.003
benjol,0.006
bentar,0.013
bentuk,0.003
berani,0.003
beranta,0.006
berantemm,0.003
berduaa,0.003
berkumpul,0.006
berontak,0.003
bertumpuk,0.003
besek,0.003
besok,0.013
beteww,0.003
bggdh,0.003
bh,0.003
bhak,0.013
biadab,0.003
biarkan,0.003
biaya,0.006
bibir,0.003
bicara,0.035
bidadari,0.003
bidan,0.006
bieber,0.003
bilang,0.006
bincang,0.003
bingung,0.006
bintang,0.006
bintara,0.013
bintaro,0.041
bintik,0.01
bio,0.006
bis,0.003
bisaanya,0.003
bismillah,0.01
bius,0.003
blackberry,0.006
blanja,0.003
blok,0.006
blup,0.003
bobonya,0.003
bobot,0.003
boci,0.006
bodoh,0.013
bogor,0.003
bohong,0.006
boikot,0.003
bolak,0.006
bom,0.003
bong,0.032
bontot,0.003
bonus,0.003
borgeous,0.006
boro,0.01
bos,0.01
bosan,0.035
bosyen,0.006
bosyenn,0.003
botak,0.003
bouuz,0.003
boys,0.003
brebes,0.006
brknrbtz,0.006
brngsek,0.003
brojol,0.003
browsing,0.003
bsd,0.003
btww,0.003
buah,0.003
buang,0.006
bubl,0.01
bubur,0.006
bubut,0.003
budak,0.006
budi,0.003
budok,0.003
budokter,0.003
buka,0.025
bukaa,0.003
bukann,0.003
bukber,0.003
bukti,0.006
bulu,0.003
bulus,0.003
bumerang,0.003
bumi,0.006
bunga,0.003
bunuh,0.003
bunyi,0.003
burger,0.006
buru,0.006
buruan,0.003
buruk,0.006
butuh,0.022
cabai,0.003
cabang,0.003
cabekuww,0.003
caela,0.003
cahaya,0.003
cakram,0.003
cakrawala,0.003
calum,0.003
campur,0.01
canda,0.003
candu,0.003
cantik,0.022
cari,0.013
carrefour,0.003
catalina,0.013
cause,0.01
cctv,0.003
cebet,0.003
cegitunyaa,0.003
cekrek,0.003
cemburu,0.003
cemil,0.048
centil,0.006
centre,0.003
cepat,0.016
cepuluuh,0.003
cerewet,0.003
cerita,0.016
cetlung,0.006
chainsmokers,0.003
charlie,0.006
cheese,0.003
cibu,0.003
cicil,0.003
cie,0.006
cikokol,0.003
cikopo,0.003
cinta,0.041
cip,0.003
cipali,0.003
cirebon,0.003
ciri,0.006
cium,0.003
cjxjt,0.003
ckckck,0.003
clarkson,0.003
closer,0.006
closing,0.006
coba,0.022
cocoo,0.003
confused,0.003
corona,0.019
corp,0.003
cowok,0.003
cro,0.006
cs,0.003
ct,0.003
cuanan,0.003
cuann,0.003
cubetsszz,0.003
cuci,0.019
curi,0.003
curiga,0.003
cyn,0.006
daan,0.003
dada,0.003
daerah,0.003
dah,0.003
dakyung,0.003
dandan,0.003
dasar,0.006
daya,0.006
ddeh,0.003
debat,0.003
dec,0.003
deep,0.01
deh,0.038
deketan,0.003
demam,0.006
deng,0.003
dengar,0.013
dentum,0.003
deppen,0.003
dewa,0.003
dhong,0.003
dhongss,0.003
diagnosa,0.003
diam,0.013
diapakan,0.003
dibalikin,0.003
dibangunin,0.003
dibasement,0.003
dibeliin,0.003
dibolehin,0.003
dibotakin,0.003
dibully,0.003
diceritain,0.003
dichat,0.003
diddy,0.003
dih,0.003
diintilin,0.003
dijagain,0.003
dijengukin,0.003
dijengukkin,0.003
dijogja,0.003
dikirain,0.003
dikit,0.006
dilema,0.006
dimana,0.029
dimintain,0.003
dimsum,0.006
dingin,0.003
diomongin,0.006
dipelakorin,0.003
dipercayain,0.003
dipikirkan,0.003
dipinjemin,0.003
dirasain,0.003
direcokim,0.003
disamperin,0.003
diskon,0.003
dissuruh,0.003
ditangisin,0.003
ditemenin,0.003
ditendangin,0.003
ditidurin,0.003
ditinggalin,0.003
ditungguin,0.003
diva,0.003
dj,0.013
doa,0.013
dokter,0.01
dolo,0.003
dompet,0.003
dongkrak,0.003
dosa,0.006
drama,0.01
du,0.003
dudududu,0.003
duduk,0.006
duh,0.003
duka,0.006
dumpangdungdungjoz,0.003
dun,0.003
dunia,0.016
duuh,0.003
duwa,0.003
dvbbs,0.01
dwi,0.013
dzolimin,0.003
ebuseh,0.003
echosmith,0.003
edisi,0.025
edit,0.003
egha,0.044
eh,0.076
eks,0.003
eksplor,0.003
ekstra,0.003
ella,0.003
emaknya,0.003
embul,0.003
emh,0.003
emm,0.003
emozi,0.003
en,0.003
encyook,0.003
endah,0.029
enek,0.003
engkau,0.003
enough,0.006
entertaiment,0.003
episode,0.01
ericko,0.003
erri,0.003
erti,0.003
ervic,0.124
es,0.006
esde,0.01
esemmah,0.003
esempe,0.006
esempeh,0.003
essentials,0.003
everyting,0.003
eww,0.003
fallawers,0.003
fanny,0.003
faras,0.003
farasya,0.003
faris,0.003
favorit,0.003
feelings,0.003
ferdiansyah,0.003
fifth,0.003
fikiir,0.003
fikiranku,0.003
fikiranyaah,0.003
film,0.013
firebeatz,0.003
fit,0.003
fitria,0.054
five,0.003
flbckk,0.003
flu,0.003
fokus,0.003
foreats,0.003
forsir,0.003
foto,0.06
fr,0.003
fried,0.003
fries,0.003
futsaal,0.003
futsal,0.006
gaabis,0.003
gabsa,0.003
gabuut,0.003
gading,0.003
gadis,0.016
gaenak,0.006
gaga,0.003
gagal,0.003
gaica,0.003
gakebayang,0.003
gaketauann,0.003
galon,0.01
ganti,0.01
gapaham,0.003
gaperlu,0.003
gara,0.013
garap,0.003
garing,0.003
garis,0.006
garrix,0.003
garuda,0.003
gatahann,0.003
gaul,0.044
gawat,0.003
gaya,0.003
gedek,0.003
gel,0.006
gelap,0.003
gelembung,0.006
gemuk,0.003
gendong,0.003
gendudh,0.003
gerak,0.006
gerbang,0.006
gerhana,0.003
gertak,0.006
gerumit,0.003
getting,0.003
giduu,0.003
giduw,0.003
gigil,0.003
gila,0.035
ginih,0.003
gipipi,0.003
gofood,0.01
gogogo,0.003
gojek,0.022
gomez,0.003
gondrong,0.006
gone,0.003
gosip,0.006
goyang,0.006
grande,0.006
grandma,0.003
gratis,0.01
greget,0.003
griya,0.006
gubrakk,0.003
gudang,0.003
guemah,0.003
gugur,0.006
gula,0.006
gumoh,0.003
gumuush,0.003
gunung,0.006
haai,0.003
habis,0.022
haci,0.003
hacim,0.003
hacimm,0.003
hadehh,0.003
hadeu,0.013
hadeuu,0.003
hadir,0.003
haduh,0.003
hae,0.003
hahaa,0.006
hahahaa,0.003
hahahahahaa,0.003
hahahhaha,0.003
hahhaa,0.006
hahhaaha,0.003
hahhahaa,0.003
haid,0.003
haim,0.003
halal,0.003
halsey,0.003
hamil,0.019
hancur,0.006
hangat,0.003
hangs,0.003
hantar,0.003
harap,0.006
harmoni,0.006
harta,0.006
has,0.006
hasfa,0.003
hasil,0.003
hati,0.038
hayati,0.01
hehehehe,0.006
helaw,0.003
helicopter,0.003
helisna,0.003
helloww,0.003
heran,0.01
hercules,0.006
heroes,0.006
heu,0.006
heuu,0.003
hidang,0.003
hidup,0.013
hidupp,0.003
hilang,0.01
hilih,0.003
hindar,0.003
hipnotis,0.003
hiu,0.003
hivi,0.006
hiyah,0.003
homey,0.003
horor,0.006
http,0.003
huahahaha,0.006
huek,0.003
huf,0.01
huha,0.003
huhah,0.003
hujan,0.013
humm,0.003
huuh,0.003
huuhu,0.003
hwa,0.003
hwek,0.01
hwwaa,0.003
iba,0.003
ida,0.003
idi,0.003
idris,0.003
iew,0.003
iflix,0.003
ih,0.016
ii,0.003
ikhlas,0.006
ikuti,0.003
ilaang,0.003
ilah,0.003
imunisasi,0.003
indah,0.038
indi,0.003
indira,0.003
indomar,0.003
indonesia,0.01
informasi,0.003
inima,0.003
inimah,0.003
injak,0.003
insekyur,0.003
instagram,0.006
instan,0.003
insya,0.003
insyaallah,0.006
interviw,0.003
io,0.003
ira,0.003
irfan,0.01
isam,0.003
ishyam,0.003
isi,0.003
islam,0.003
islamic,0.003
istirahat,0.041
istora,0.003
istri,0.013
isyana,0.003
itumaah,0.003
iuh,0.003
iya,0.276
izin,0.003
jadhul,0.003
jadwal,0.003
jaga,0.006
jahat,0.01
jahit,0.006
jail,0.003
jajan,0.003
jakarta,0.006
jaksa,0.003
jaktim,0.003
jalan,0.054
jalar,0.003
jalur,0.003
jaman,0.01
james,0.006
janda,0.003
jangkau,0.006
janji,0.003
jansoon,0.003
jatohin,0.006
jatuh,0.022
jawa,0.01
jaya,0.003
jco,0.003
jeans,0.003
jebak,0.006
jedak,0.003
jeduk,0.003
jelang,0.003
jelek,0.003
jemput,0.01
jenggot,0.003
jenguk,0.003
jenuh,0.003
jepit,0.003
jessie,0.003
jesus,0.003
ji,0.006
jiakh,0.003
jibang,0.003
jidat,0.006
jijik,0.003
jleb,0.003
jodoh,0.003
joglo,0.003
john,0.003
jomblo,0.003
jonez,0.003
jorokin,0.003
jos,0.003
jta,0.003
jual,0.006
juang,0.003
jujur,0.003
jul,0.003
juliana,0.003
jurang,0.003
jus,0.003
justin,0.003
juta,0.003
jwu,0.003
kabar,0.003
kaca,0.01
kacau,0.016
kadang,0.013
kagaa,0.003
kah,0.006
kahitna,0.003
kakek,0.01
kalah,0.006
kalista,0.003
kalo,0.006
kalong,0.003
kamar,0.013
kanaya,0.003
kanida,0.003
kanidanf,0.003
kantor,0.01
kantuk,0.013
kapaann,0.003
kapal,0.003
kapar,0.003
karakter,0.003
karang,0.006
karaokee,0.003
karma,0.003
kas,0.003
kasih,0.032
kasur,0.006
kati,0.013
kayu,0.003
kb,0.003
keburu,0.003
keinjek,0.003
kejadiaan,0.003
kejap,0.003
keju,0.003
kekwkww,0.003
kelas,0.016
kelaz,0.003
keliyengan,0.006
kelly,0.003
kelompok,0.003
keluaar,0.003
keluarga,0.003
kemana,0.013
kemanaa,0.003
kemane,0.003
kemari,0.003
kemarin,0.016
kembang,0.003
ken,0.022
kenal,0.006
kencang,0.003
keras,0.016
keren,0.003
kerudung,0.003
kesal,0.044
kesana,0.003
kesini,0.013
kesuggest,0.003
ketat,0.006
ketawa,0.013
ketemu,0.022
ketjehh,0.003
keubun,0.003
kholil,0.003
