term,weight
aa,0.002
abadi,0.002
abdurrahman,0.005
abu,0.01
acak,0.002
acara,0.007
acaranyo,0.002
adab,0.005
adam,0.002
adeek,0.002
adegan,0.007
adek,0.002
adil,0.005
adit,0.002
admin,0.02
adminnya,0.002
adoo,0.002
aduh,0.02
aduk,0.002
affan,0.005
agama,0.025
agek,0.002
agenda,0.002
agens,0.002
ah,0.025
ahli,0.002
aib,0.002
ain,0.002
ajaib,0.002
ajak,0.005
ajar,0.049
akal,0.007
akang,0.002
akh,0.002
akhirat,0.005
akhlak,0.01
akrab,0.002
akses,0.002
akting,0.005
aktivitas,0.005
aktualisasi,0.002
akun,0.015
al,0.022
ala,0.002
alaah,0.002
alaina,0.002
alas,0.025
alat,0.01
album,0.005
alhamdulillah,0.044
ali,0.01
alias,0.005
aliran,0.005
allahuakbar,0.002
alternatif,0.002
alur,0.005
amal,0.002
amalia,0.002
aman,0.012
ambil,0.025
ambulans,0.005
amerika,0.005
amin,0.027
among,0.002
ampoen,0.017
ampun,0.002
amuk,0.005
an,0.059
anak,0.131
analogi,0.002
ancam,0.005
aneh,0.035
anggap,0.012
anggota,0.007
angguk,0.002
angka,0.002
angkat,0.005
angsa,0.002
anime,0.002
anis,0.005
anomali,0.002
anta,0.002
antagonis,0.007
antak,0.002
antem,0.002
aoa,0.005
apaqa,0.002
aparat,0.002
apartemen,0.002
apel,0.007
aplikasi,0.005
apresiasi,0.002
arah,0.02
area,0.005
arisan,0.002
arizona,0.002
arwah,0.002
asa,0.002
asing,0.002
asiyah,0.002
asli,0.035
asn,0.005
aspirasi,0.002
asrama,0.002
assalamu,0.002
astagfirullah,0.027
astaghfirullah,0.002
asyik,0.02
asyique,0.002
atur,0.025
audiens,0.002
audit,0.002
auf,0.005
aun,0.005
aura,0.002
aurat,0.007
awak,0.005
aware,0.002
ayah,0.027
ayam,0.002
ayo,0.094
ayun,0.007
ayuu,0.002
azeek,0.002
baca,0.067
baco,0.02
baeqla,0.002
bagikan,0.007
bagus,0.079
bahagia,0.022
bahas,0.044
bahasa,0.02
bahasannyaa,0.002
bahaya,0.002
baiqla,0.002
bajak,0.002
bajet,0.002
bajing,0.002
baju,0.012
bakar,0.002
bakat,0.002
bakr,0.002
baku,0.012
balairung,0.002
balas,0.007
balek,0.005
balikin,0.002
bandel,0.005
banding,0.012
banget,0.002
bangga,0.017
bangkai,0.002
bangko,0.002
bangun,0.002
bani,0.002
bantu,0.025
bapack,0.002
bar,0.002
barakallahu,0.005
barang,0.01
barbar,0.002
bareng,0.012
bas,0.007
basenglah,0.002
baso,0.002
batal,0.114
batas,0.012
bats,0.002
batu,0.005
bawa,0.025
bawang,0.002
bayang,0.012
bayangkan,0.005
bayar,0.01
bayi,0.007
beasiswa,0.007
beats,0.002
bebas,0.01
bebasin,0.002
beda,0.044
bedak,0.005
beet,0.002
beginiin,0.002
beibeh,0.002
bekal,0.002
bela,0.007
belaga,0.005
belah,0.002
beli,0.017
beliau,0.012
belio,0.002
beludru,0.002
benah,0.002
benci,0.007
beneer,0.002
benefiko,0.002
bengong,0.002
bening,0.002
bentak,0.002
bentar,0.005
bentuk,0.005
berani,0.017
berat,0.035
bercando,0.002
beril,0.002
berita,0.005
berkah,0.002
berkumpul,0.002
berprasangko,0.002
bertanggungjawab,0.005
berwudhu,0.002
besak,0.002
besok,0.005
betah,0.002
betapa,0.02
betawi,0.002
betoeel,0.002
betoel,0.002
betoels,0.002
betoelss,0.005
bhakti,0.002
biarkan,0.01
bias,0.007
biaso,0.005
biaya,0.002
bicara,0.03
bijak,0.002
bikin,0.002
bilang,0.064
bimbel,0.002
binasa,0.002
bincang,0.002
bingung,0.01
bintang,0.007
bioskop,0.002
biru,0.01
bismillah,0.007
bisnis,0.007
biso,0.017
bla,0.007
blackpink,0.002
blekping,0.002
blio,0.005
blog,0.002
bodoh,0.01
bohong,0.002
bola,0.002
bolee,0.005
bollywood,0.005
bom,0.02
bombay,0.002
boneka,0.007
bong,0.005
born,0.002
borong,0.002
bos,0.002
