term,weight
aaminn,0.002
abai,0.002
abc,0.002
abu,0.002
adaada,0.002
adaptasi,0.003
adil,0.002
admin,0.024
adri,0.003
aduh,0.021
agama,0.007
ah,0.159
ai,0.035
ain,0.021
ainn,0.005
ajak,0.005
ajar,0.005
ajeng,0.003
akhrnya,0.002
aktif,0.002
akun,0.002
al,0.002
alam,0.002
alami,0.002
alarm,0.002
alhamdulillah,0.005
alhamdullilah,0.002
alir,0.005
alis,0.002
allah,0.002
alya,0.005
aman,0.002
ambil,0.002
amin,0.035
amur,0.002
an,0.005
anak,0.014
aneh,0.007
anekdot,0.002
anfa,0.002
anggap,0.005
angger,0.003
angin,0.003
angkutan,0.003
ani,0.002
anisa,0.003
anjirfifigeleh,0.002
anniv,0.005
antem,0.002
anteng,0.002
antepin,0.01
api,0.002
april,0.002
aquarius,0.002
arial,0.002
arisandi,0.003
arsan,0.003
arsnd,0.002
asa,0.002
asam,0.003
aseelii,0.002
asik,0.002
asli,0.016
asmaul,0.003
astagfirullah,0.007
astagfirulloh,0.002
astagfiulloh,0.002
asyik,0.003
ateuh,0.002
athh,0.003
atuc,0.002
atucrt,0.002
atuh,0.007
atulah,0.002
awas,0.007
awon,0.003
ayah,0.002
ayo,0.016
ba,0.002
bab,0.003
babeh,0.007
baca,0.003
badan,0.003
baeud,0.012
bagikan,0.002
bagus,0.035
bahagia,0.009
bahan,0.003
bajak,0.005
bajing,0.003
bakat,0.007
bakeshoppe,0.002
bal,0.002
balas,0.005
baleg,0.002
bamboe,0.002
banding,0.002
bandung,0.033
bangeetrt,0.002
banget,0.005
bantal,0.002
bantu,0.005
barang,0.003
bareng,0.01
batal,0.012
bau,0.003
bawa,0.01
bawain,0.002
bawel,0.003
bayang,0.01
bbm,0.003
bebas,0.009
beda,0.01
beginikan,0.002
begituan,0.002
belaga,0.055
belajar,0.005
belanja,0.002
beli,0.012
belikan,0.003
benci,0.007
benda,0.002
benget,0.005
bening,0.002
bensin,0.002
bentar,0.002
bento,0.002
ber,0.014
berani,0.002
berhenti,0.002
berprilaku,0.002
bersih,0.002
beso,0.002
besok,0.073
betah,0.003
betein,0.002
beton,0.014
betull,0.003
bgtyaa,0.002
biarian,0.002
biarinn,0.003
biarkan,0.022
biasain,0.003
bicara,0.002
bigger,0.002
bijak,0.002
bikin,0.002
bilang,0.019
bingung,0.017
bio,0.009
biologi,0.01
bis,0.019
bising,0.002
bismilahirohmanirohim,0.002
blmm,0.002
blokir,0.003
bohong,0.055
bojongloa,0.002
bolehh,0.003
bolos,0.003
bonus,0.002
boongin,0.002
bos,0.005
bosan,0.016
brgkat,0.002
brosur,0.007
brsn,0.003
buah,0.003
buang,0.007
buk,0.002
buka,0.002
bunga,0.002
buru,0.002
butuh,0.021
bvpg,0.002
ca,0.003
cabai,0.003
cair,0.003
camat,0.002
campur,0.003
canda,0.005
cantik,0.021
capai,0.002
capaska,0.002
capruk,0.005
cari,0.022
carikan,0.002
catat,0.005
cc,0.002
cece,0.005
cecep,0.002
celetot,0.003
cemberut,0.005
cemil,0.007
cep,0.003
cepat,0.024
ceramah,0.002
cerita,0.019
ceritaa,0.003
cetak,0.002
cetar,0.003
chocodot,0.002
cicil,0.002
cie,0.002
cik,0.005
cilaki,0.002
cinta,0.01
citylink,0.002
classy,0.002
coba,0.043
cocok,0.003
contoh,0.014
coreldraw,0.002
cowok,0.045
cubit,0.002
cuezof,0.002
cuman,0.019
curhat,0.003
cuss,0.002
cuy,0.002
dame,0.003
das,0.002
dasar,0.019
dealt,0.002
deh,0.024
deih,0.007
dekati,0.002
deng,0.005
desa,0.002
desain,0.003
deskripsi,0.002
dewasa,0.009
dewiyulinar,0.009
diam,0.005
dian,0.003
diannurulsr,0.002
diapakan,0.002
dibangunin,0.002
dibegitukan,0.003
diboongin,0.002
dicuekin,0.003
digentii,0.002
digentiin,0.002
digimanain,0.002
diinget,0.007
dijln,0.002
dijmptnya,0.002
dikabarin,0.002
dikasihin,0.002
dikerjain,0.002
diket,0.002
dikit,0.007
dikmr,0.002
dilema,0.002
dilgsgin,0.002
dilupain,0.002
dimensi,0.002
dimn,0.009
dimungkinnin,0.003
dingin,0.005
dipaksain,0.002
dipatiukur,0.002
dipermasalahin,0.002
dipke,0.003
diremed,0.009
dirumah,0.002
disuka,0.002
disuruh,0.002
dit,0.002
ditambahin,0.002
ditanyain,0.003
ditemenin,0.007
dksh,0.002
dmnya,0.002
dmnyaa,0.002
doa,0.017
doang,0.003
dojgh,0.002
domba,0.002
dompet,0.002
dongrt,0.003
donh,0.002
doraemon,0.014
doraemoners,0.003
doraemoniact,0.002
dorayaki,0.003
dosa,0.017
drama,0.005
dri,0.003
dtntfwrjg,0.002
duduk,0.003
duh,0.01
duka,0.002
duluan,0.002
dunia,0.007
dydpwln,0.002
edeh,0.002
edehh,0.002
edit,0.003
ee,0.002
ego,0.002
eh,0.021
ehq,0.002
ejj,0.002
eka,0.002
eko,0.002
elektronik,0.002
elus,0.002
em,0.012
emberss,0.002
embun,0.007
emil,0.002
emm,0.005
emon,0.005
emot,0.005
emus,0.005
en,0.002
enggaa,0.003
eoh,0.003
ergh,0.003
eri,0.002
erika,0.002
es,0.022
eteh,0.003
etis,0.002
eu,0.002
euh,0.005
euy,0.009
evolusi,0.002
ey,0.002
eyax,0.002
eyje,0.005
fabulous,0.002
fakta,0.005
faktor,0.002
farmasi,0.002
fauzi,0.002
faya,0.007
fd,0.002
febiratnaas,0.002
fermipannya,0.002
festival,0.002
fifi,0.041
fina,0.002
fine,0.002
firasat,0.002
fit,0.003
fitri,0.002
flashdisk,0.002
flu,0.003
flwd,0.002
followan,0.002
followd,0.002
folwd,0.002
foto,0.029
ftv,0.003
fungsi,0.002
fy,0.002
gabnr,0.005
gadis,0.005
gaditurutin,0.002
gaenak,0.002
gagal,0.002
gaikt,0.003
gais,0.002
gajah,0.002
galaksi,0.002
gambar,0.003
ganteng,0.002
ganti,0.005
gantung,0.002
gapaham,0.002
gaprnh,0.002
gara,0.002
gaya,0.009
ge,0.002
gel,0.009
geleh,0.029
geletakin,0.002
gemas,0.002
gendut,0.002
gening,0.01
gentiin,0.002
gera,0.01
geraa,0.002
gerak,0.005
gerbang,0.003
giat,0.003
gil,0.002
gila,0.014
gilir,0.002
gleh,0.002
gocengeun,0.003
gojek,0.002
google,0.003
googlegak,0.002
gope,0.014
gopeeun,0.003
gopeun,0.005
gosip,0.002
gpplah,0.002
graha,0.002
gratis,0.012
grt,0.002
gula,0.003
gunta,0.002
gunung,0.002
guru,0.019
habis,0.009
haduh,0.033
hafalin,0.002
hahaa,0.009
hahahaa,0.003
hahart,0.002
hahartnidakarina,0.002
hajar,0.005
halaman,0.002
hamster,0.002
hancur,0.005
hantu,0.003
harap,0.009
hareudang,0.002
harga,0.003
harkos,0.003
hasil,0.002
hati,0.026
hbh,0.002
hdl,0.002
heey,0.003
hellokitty,0.002
herlina,0.003
hermansyah,0.009
heu,0.002
heuh,0.002
hewan,0.002
hha,0.002
hhaa,0.002
hhii,0.003
hias,0.002
hidup,0.003
hihii,0.003
hijau,0.003
hikmah,0.002
hilang,0.007
hina,0.003
hinyai,0.002
hitam,0.007
hitung,0.002
hitut,0.002
ho,0.002
hoam,0.005
hoka,0.003
hoki,0.002
hoodie,0.002
hoorre,0.002
hotel,0.002
http,0.045
huah,0.002
hujan,0.002
hungkul,0.003
huni,0.002
husna,0.003
ica,0.005
id,0.003
idr,0.002
ih,0.143
imas,0.002
impi,0.002
indah,0.009
indak,0.002
indonesia,0.019
inggris,0.017
ingkar,0.009
ingus,0.003
innez,0.003
insyaallah,0.016
insyallah,0.003
invertebrata,0.003
iri,0.002
ish,0.003
isi,0.003
istigfar,0.005
istirahat,0.003
isyana,0.002
iwan,0.002
iya,0.814
iyahaha,0.002
iyaiya,0.002
iyasih,0.002
iyoo,0.002
iywhh,0.003
jaga,0.003
jahad,0.003
jahadd,0.005
jahat,0.01
jail,0.002
jajan,0.002
jaket,0.002
jalan,0.007
jaman,0.003
jamber,0.003
jamur,0.002
janji,0.024
jantung,0.002
jarang,0.002
jari,0.005
jas,0.002
jatiluhur,0.002
jatuh,0.005
jel,0.007
jelasinnya,0.003
jemput,0.009
jemur,0.002
jeng,0.005
jepret,0.002
jeruk,0.002
jet,0.003
jht,0.009
jih,0.002
jiwa,0.002
jnyqkjo,0.002
jorok,0.009
jual,0.002
juang,0.007
judul,0.002
juji,0.007
jum,0.007
jungkook,0.002
jurus,0.002
juta,0.003
jwny,0.002
kabar,0.002
kabul,0.002
kaca,0.003
kacang,0.012
kacau,0.002
kadang,0.003
kakak,0.007
kakenya,0.003
kalah,0.007
kaler,0.002
kalikali,0.002
kamar,0.002
kamil,0.002
kamis,0.005
kamseu,0.003
kamseuu,0.003
kantor,0.002
kantuk,0.002
kapok,0.002
kariin,0.002
karina,0.002
kartoon,0.002
kartu,0.01
kasih,0.038
kasur,0.002
kbm,0.002
kbzrvxxhn,0.002
keba,0.002
keburu,0.005
kecewa,0.005
keiptek,0.002
kejap,0.003
kelapa,0.005
kelas,0.01
kelesrt,0.002
keless,0.002
kellessrtnidakarina,0.002
keluarga,0.007
kelud,0.002
keluh,0.002
kelurahan,0.002
kemana,0.002
kemarin,0.009
kembang,0.005
kembar,0.007
kemenkes,0.002
ken,0.031
kenang,0.002
kental,0.003
kenyang,0.002
keprok,0.003
keras,0.005
keren,0.005
kerkom,0.005
kermh,0.002
kerubunin,0.003
kesal,0.017
kesini,0.002
ketang,0.002
ketawa,0.007
ketemu,0.009
ketik,0.009
kgnabg,0.002
khoirun,0.002
khususyangbelumdapet,0.002
ki,0.002
kiamat,0.007
kilometer,0.18
kimia,0.002
kirim,0.003
klm,0.002
klmpk,0.009
kmbb,0.002
kmplnnya,0.002
kode,0.002
kolam,0.002
komputer,0.002
kosong,0.005
kostum,0.002
kota,0.002
kredit,0.002
krim,0.005
