term,weight
aa,0.003
aau,0.003
abcdefghijklmnopqrstuvwxyz,0.003
ac,0.003
acak,0.003
adan,0.003
adek,0.006
adha,0.003
adil,0.003
aduh,0.003
agik,0.006
aglonema,0.003
agustus,0.013
ajaib,0.016
ajak,0.022
ajar,0.048
aju,0.01
akal,0.003
akhlak,0.003
alaah,0.01
alaahh,0.003
alamat,0.003
alarm,0.022
alas,0.006
alhamdulillah,0.035
alias,0.003
allahumalakasumtu,0.003
aman,0.016
ambil,0.016
ambyar,0.013
amin,0.038
ampun,0.006
an,0.01
anak,0.073
andai,0.003
aneh,0.003
aneka,0.006
anggap,0.013
anggur,0.003
angin,0.003
anjur,0.003
antarin,0.003
antu,0.003
antuk,0.003
anugerah,0.003
aok,0.003
aokk,0.003
apadaya,0.003
api,0.003
april,0.013
asik,0.003
asin,0.003
asli,0.032
astaghfirullah,0.013
astrid,0.003
asupan,0.006
atlet,0.003
audisi,0.003
awat,0.003
ay,0.013
ayam,0.003
ayo,0.048
ba,0.003
babi,0.003
baca,0.013
back,0.003
badak,0.003
badan,0.025
badboy,0.003
badmood,0.003
bagindas,0.003
bagus,0.165
bah,0.048
bahagia,0.099
bahagiia,0.003
bahasa,0.003
baju,0.003
bakso,0.006
balas,0.051
banding,0.025
bangga,0.006
bangge,0.006
bangkrut,0.003
bangku,0.006
bangun,0.051
bantu,0.006
baperan,0.01
barang,0.003
bareng,0.01
basa,0.003
basi,0.016
batal,0.08
batas,0.003
bathin,0.01
batin,0.003
batrai,0.01
batuk,0.003
bawa,0.025
bawain,0.006
bawel,0.003
bayang,0.01
bayangkan,0.003
bayar,0.003
bayi,0.003
bce,0.003
beban,0.006
bebas,0.003
becerita,0.003
beda,0.019
behel,0.003
beibeh,0.003
beibh,0.003
bekawan,0.003
bela,0.013
belaga,0.013
belanja,0.006
belanjain,0.003
beli,0.016
benci,0.006
benda,0.003
bentar,0.006
bepikir,0.003
beranda,0.006
berat,0.006
berdua,0.003
berita,0.006
berkah,0.01
berkas,0.003
bersemedi,0.003
bersin,0.016
bertumpuk,0.003
besak,0.003
besok,0.022
betah,0.006
betol,0.003
biarkan,0.003
biaya,0.006
bicara,0.013
bilang,0.032
binatang,0.003
binder,0.003
bingung,0.016
biro,0.003
bis,0.003
bise,0.003
bismillah,0.016
blablabla,0.003
