term,weight
aadoh,0.004
abad,0.004
abadi,0.004
abon,0.004
abu,0.008
ac,0.008
accoustic,0.004
acer,0.004
adat,0.004
adekku,0.004
adele,0.004
adiks,0.004
admin,0.065
adminnya,0.004
adobe,0.012
adsense,0.004
aduh,0.008
agana,0.004
agnezmo,0.004
ah,0.02
ahli,0.004
aib,0.004
aiihh,0.004
airmin,0.004
ajaib,0.028
ajal,0.004
ajar,0.028
aji,0.004
aju,0.004
akad,0.004
akhirat,0.004
akhirqu,0.004
akibat,0.004
aksi,0.008
aktif,0.004
aktipis,0.004
aktor,0.004
akun,0.012
akustik,0.004
al,0.02
ala,0.016
alam,0.016
alamin,0.004
alas,0.008
alhamdulillah,0.032
alhasil,0.004
alibi,0.004
alih,0.008
alir,0.016
almarhum,0.008
alt,0.004
alternatif,0.004
alumni,0.008
aman,0.016
ambil,0.012
americano,0.004
amin,0.037
ampas,0.004
ampuh,0.004
ampun,0.004
amuk,0.004
amvas,0.004
an,0.049
anabata,0.004
anak,0.089
anakn,0.004
analog,0.004
andal,0.008
andalancu,0.004
andalas,0.004
andre,0.004
aneka,0.004
angels,0.004
anggar,0.004
angin,0.012
angka,0.008
angkasa,0.008
angkat,0.008
angus,0.004
anime,0.004
anjay,0.004
anji,0.004
anjir,0.004
anjung,0.004
anna,0.004
annemi,0.004
antariksa,0.004
antek,0.004
anti,0.008
anto,0.004
anu,0.016
apapi,0.004
aplikasi,0.012
appetizing,0.004
apps,0.004
april,0.008
arah,0.004
arap,0.004
arbol,0.004
archdaily,0.004
archi,0.004
archilovers,0.004
area,0.004
ariel,0.004
aroma,0.016
aromaterapi,0.004
arsitek,0.057
arsitektur,0.041
artis,0.012
arung,0.004
asap,0.008
asik,0.004
asing,0.004
ask,0.004
asking,0.004
asl,0.004
asli,0.008
asosiasi,0.004
astaga,0.008
astronomi,0.004
asyik,0.004
atk,0.004
attending,0.004
audio,0.004
audit,0.004
aura,0.008
autocad,0.004
avengers,0.004
aves,0.008
awan,0.004
awas,0.008
awat,0.004
awesome,0.004
awkoarin,0.004
axel,0.004
ayah,0.008
ayam,0.008
ayo,0.02
baah,0.008
babang,0.004
baca,0.061
back,0.004
backsound,0.004
bacod,0.004
badan,0.012
badmood,0.004
bagikan,0.004
bagus,0.053
bahagia,0.004
bahan,0.016
bahas,0.012
bahasa,0.004
baiq,0.004
baja,0.008
bajaj,0.004
bajing,0.004
bakar,0.008
bakso,0.004
baku,0.004
bal,0.008
balas,0.008
baliho,0.004
ballassi,0.004
ballassii,0.004
bambu,0.004
bandar,0.028
banding,0.008
bandnya,0.004
bandung,0.004
bang,0.004
banget,0.004
bangga,0.004
bangkai,0.004
bango,0.004
bangun,0.053
banjir,0.004
banking,0.004
bantu,0.008
baperan,0.004
bar,0.004
barakallah,0.004
barang,0.008
barat,0.004
bareng,0.012
barongki,0.004
bas,0.004
basic,0.004
bata,0.004
batal,0.11
batas,0.016
batin,0.008
batu,0.008
batuk,0.004
bau,0.008
bawa,0.024
bawain,0.004
bayang,0.008
bayar,0.008
bayi,0.004
bbm,0.004
bd,0.004
bde,0.008
beban,0.004
bebas,0.004
become,0.004
beda,0.012
beeh,0.004
beh,0.004
behind,0.004
bei,0.008
bekas,0.004
bekraf,0.004
beku,0.008
belah,0.008
belaka,0.004
belanga,0.004
belanja,0.004
beli,0.012
beliau,0.008
benah,0.004
bencana,0.008
benci,0.004
benih,0.004
bentar,0.004
bentuk,0.004
beranda,0.012
berat,0.012
berhenti,0.004
berry,0.004
besi,0.008
besok,0.012
betapa,0.004
beter,0.004
betina,0.004
bgemana,0.004
bgemna,0.004
biasyah,0.004
biaya,0.008
bibir,0.004
bicara,0.032
biji,0.004
billionaires,0.004
binasa,0.012
binatang,0.004
bingung,0.008
bioskop,0.004
bipolar,0.004
bira,0.004
biro,0.004
biru,0.028
birunyaa,0.004
bismillah,0.016
bisnis,0.004
bissu,0.008
bist,0.004
bitcoin,0.004
bkrja,0.004
blablabla,0.004
blackhawk,0.004
blams,0.004
blume,0.004
bluprin,0.004
bni,0.004
bnyaknya,0.008
boba,0.004
bocor,0.016
bodoh,0.016
bohemian,0.004
bohong,0.004
bola,0.012
bolu,0.004
bom,0.004
boneng,0.004
bonus,0.004
bookmarks,0.004
boro,0.008
boruto,0.004
bos,0.02
bosan,0.004
bossku,0.004
bp,0.004
brapaan,0.004
bravo,0.008
breathe,0.004
brt,0.004
buah,0.016
buang,0.004
bubaar,0.004
bubar,0.008
bugis,0.016
buka,0.032
bukti,0.004
bullsh,0.004
bulu,0.004
bulukumba,0.004
bumi,0.012
bunga,0.004
bungkus,0.004
bungkuus,0.004
buntut,0.004
bunuh,0.016
bunyi,0.004
burj,0.004
bursa,0.004
buru,0.004
buruh,0.004
