term,weight
abadi,0.016
acara,0.005
aceh,0.005
acuh,0.005
adab,0.005
adhyastrini,0.005
adil,0.016
admin,0.057
aduh,0.047
aduk,0.01
aerobic,0.005
ah,0.036
ahay,0.016
ahelah,0.01
ahlan,0.01
aih,0.01
aihh,0.01
ainy,0.005
aish,0.005
aishh,0.005
ajar,0.016
aji,0.016
akh,0.01
akhlak,0.005
akua,0.01
akun,0.021
akuntansi,0.005
al,0.01
alam,0.01
alamak,0.005
alana,0.005
alas,0.005
alih,0.005
alsiano,0.005
alumni,0.005
alur,0.005
aman,0.005
ambon,0.005
ambulans,0.005
amburadul,0.005
ambyar,0.031
amin,0.016
ampun,0.005
amr,0.005
an,0.021
anak,0.072
anatara,0.005
andai,0.01
andal,0.005
angin,0.01
anjing,0.005
anteng,0.005
antre,0.005
anu,0.005
anugrahkanlah,0.005
api,0.005
arang,0.005
arapal,0.005
area,0.01
ari,0.01
aruf,0.005
arya,0.005
asik,0.021
ask,0.005
asli,0.005
asyik,0.005
atur,0.016
aus,0.016
awam,0.005
ayah,0.005
ayam,0.01
ayeuna,0.01
ayeyy,0.005
ayo,0.109
ayuena,0.005
baca,0.062
backgroundnya,0.005
badag,0.005
badak,0.005
badan,0.021
bageur,0.01
bagus,0.098
bahagia,0.047
bahagiain,0.005
baharu,0.005
bahas,0.021
bahasa,0.005
bahaya,0.016
baiks,0.005
baju,0.016
bakar,0.01
bakteri,0.005
balian,0.005
banding,0.005
bandung,0.031
bangga,0.005
banggan,0.005
bangkai,0.005
bangun,0.01
bantal,0.005
bareng,0.026
basicnya,0.005
batal,0.171
batas,0.005
bau,0.01
bawa,0.057
bawain,0.005
bawang,0.005
bayangkan,0.005
bayar,0.01
bayi,0.031
bayik,0.005
bberapa,0.005
bebas,0.01
bebeja,0.005
becca,0.005
beda,0.036
bedaken,0.005
bedebah,0.005
beku,0.005
belaga,0.041
belah,0.021
belanja,0.01
beli,0.005
belut,0.01
benang,0.005
benarkan,0.005
bencana,0.005
bentuk,0.01
beraharap,0.005
beraktifitas,0.005
beranda,0.005
berani,0.021
berat,0.005
berbi,0.005
berhenti,0.005
berita,0.005
berkah,0.005
berkas,0.005
bersendah,0.005
bersyucure,0.005
bersyukur,0.005
berubah,0.005
besi,0.005
besok,0.026
bicara,0.01
bijaksana,0.01
bijaksini,0.005
bik,0.005
bilang,0.031
biru,0.01
bis,0.01
bissmillah,0.005
bisul,0.005
bisyaa,0.005
blackberry,0.005
blender,0.005
bodoh,0.01
bogor,0.005
bohong,0.016
bolong,0.01
bombastis,0.005
bosan,0.021
bpa,0.005
branda,0.005
brangakat,0.005
brewok,0.005
brharga,0.005
bri,0.01
brjuang,0.005
brkeliaran,0.005
buah,0.01
buang,0.005
budak,0.016
bude,0.005
buibu,0.005
buka,0.01
bukber,0.005
buku,0.062
bunga,0.005
bungkus,0.005
bungo,0.005
bungski,0.005
burik,0.005
buru,0.005
busa,0.005
butuh,0.047
bwambang,0.01
bwank,0.005
