term,weight
aah,0.005
abistu,0.005
acara,0.019
adaptasi,0.005
adil,0.005
adit,0.005
aditt,0.005
admin,0.015
adopsi,0.005
adudu,0.005
aduh,0.015
afdal,0.005
agnezmo,0.005
ah,0.034
aish,0.01
ajak,0.01
ajalaa,0.005
ajar,0.005
akrab,0.005
akses,0.005
akumah,0.005
al,0.005
alamat,0.005
alas,0.005
alhamdulillah,0.01
alias,0.019
alis,0.005
allah,0.029
allahu,0.005
alula,0.005
alur,0.005
amaat,0.005
aman,0.01
amanda,0.005
ambil,0.005
amin,0.044
ampuh,0.005
ampun,0.005
an,0.01
anak,0.039
andin,0.01
ang,0.005
anggap,0.005
anggep,0.005
anggota,0.005
angin,0.005
angkutan,0.005
antem,0.01
anu,0.005
anya,0.005
apaansi,0.01
apaka,0.005
apasiyaa,0.005
apaya,0.015
aplikasi,0.005
ardit,0.01
arip,0.005
arisan,0.005
arne,0.01
asam,0.019
asik,0.005
asikk,0.005
asing,0.01
asli,0.015
aspal,0.005
assalamualaikum,0.015
astaghfirullah,0.005
asupan,0.005
atid,0.005
atm,0.005
atur,0.015
aturann,0.005
auriga,0.005
awan,0.005
ayam,0.01
ayey,0.005
ayo,0.097
babel,0.005
baca,0.044
badan,0.034
badut,0.01
baginda,0.005
bagus,0.039
bahagia,0.058
bahagiain,0.005
bahan,0.005
bahas,0.01
bahaya,0.005
bain,0.005
baju,0.029
bala,0.005
balesan,0.005
balesnya,0.005
balim,0.005
balon,0.005
banding,0.01
bandingkan,0.005
bandul,0.005
banget,0.019
bangkit,0.005
bangsa,0.005
bangun,0.005
banjir,0.01
bantu,0.01
barang,0.015
bareng,0.015
baris,0.005
baruww,0.005
baso,0.01
batal,0.073
batas,0.005
batuk,0.019
bawa,0.024
bawaanya,0.015
bayang,0.01
bayangkan,0.01
bayar,0.005
bayee,0.01
bayi,0.01
bayik,0.01
bebas,0.005
beda,0.058
begoin,0.005
begtu,0.005
begubed,0.005
bekas,0.005
bel,0.005
belah,0.005
beli,0.058
belikan,0.01
benarkan,0.005
benci,0.01
benda,0.01
bendera,0.005
bentar,0.01
beras,0.01
berat,0.005
berendem,0.01
berkalikali,0.005
bersih,0.005
besok,0.015
betah,0.005
betulaan,0.005
biadab,0.01
biarkan,0.01
bias,0.005
bibir,0.019
bibit,0.01
bicara,0.015
bigboss,0.005
biiw,0.005
biji,0.005
bikoz,0.005
bilang,0.019
bilijir,0.005
bingung,0.024
bintang,0.005
bisabisanya,0.01
bismillah,0.005
bocor,0.01
bodoh,0.015
bohong,0.005
bola,0.005
bolak,0.015
bom,0.01
bonceng,0.01
boro,0.005
boros,0.005
boruto,0.005
bos,0.01
bosan,0.005
bossy,0.005
brengsek,0.005
bsknya,0.005
bts,0.005
buang,0.019
bubur,0.01
bucinnya,0.005
budak,0.01
buka,0.015
bukber,0.005
buku,0.01
bulat,0.005
bulu,0.005
bunda,0.024
bunuh,0.005
buru,0.019
buruk,0.005
butuh,0.01
cakue,0.005
calon,0.01
camat,0.005
cameo,0.005
campur,0.01
cancik,0.005
canda,0.005
candid,0.005
canteng,0.005
cantik,0.019
capai,0.005
capeng,0.01
captionnya,0.005
cari,0.024
celah,0.005
cemil,0.092
cengap,0.01
cepat,0.039
cerah,0.015
cerewet,0.005
cerita,0.049
ceroboh,0.005
cetusin,0.005
checkout,0.01
ci,0.005
cikarang,0.01
cilok,0.005
cincin,0.015
cinta,0.053
cipta,0.005
cium,0.005
coba,0.029
coboy,0.005
cocok,0.005
cokelat,0.005
coklat,0.01
colekin,0.005
collab,0.01
contoh,0.005
copot,0.005
cosplay,0.005
cowonya,0.01
cuaca,0.01
cuamat,0.005
cubangett,0.005
cuci,0.015
curang,0.005
curhat,0.029
cuy,0.005
daa,0.015
dadak,0.005
