term,weight
aan,0.004
abar,0.004
abdul,0.004
abekani,0.004
abu,0.004
abundantly,0.004
ac,0.004
acak,0.007
acara,0.011
adalima,0.004
adaptasi,0.004
adek,0.007
adhimu,0.004
adhya,0.054
adhyakara,0.004
adi,0.007
adil,0.029
adisucipto,0.004
admin,0.014
adobe,0.004
aduh,0.004
adults,0.004
afdal,0.004
agama,0.007
agen,0.004
ageng,0.004
agensi,0.004
agung,0.018
ah,0.011
ahhahahaha,0.004
ahmad,0.004
aih,0.004
air,0.004
ajaib,0.004
ajak,0.018
ajar,0.065
ajudan,0.032
akh,0.004
akibat,0.004
akronim,0.004
akses,0.011
aktif,0.007
akun,0.022
alam,0.011
alamat,0.004
alami,0.007
alas,0.018
alhamdulillah,0.007
alhasil,0.004
alias,0.007
alir,0.004
aliran,0.004
alleluia,0.004
allergies,0.004
allowing,0.004
almarhum,0.004
alumni,0.004
alun,0.004
alur,0.004
alvin,0.004
aman,0.032
amazon,0.004
ambil,0.025
amin,0.014
amit,0.011
among,0.007
ampera,0.004
ampuh,0.004
an,0.032
anak,0.198
analisa,0.007
analisis,0.011
ananta,0.004
ancam,0.004
andal,0.004
andhake,0.004
andong,0.004
andorra,0.004
andrew,0.004
android,0.004
aneh,0.007
anggap,0.007
anggota,0.004
anggur,0.004
angin,0.011
angkasa,0.004
angkat,0.007
angkring,0.004
angkutan,0.004
ani,0.004
animasi,0.004
anin,0.004
anji,0.004
anjing,0.007
anniversary,0.004
anshel,0.004
antasida,0.011
anth,0.004
anthalogy,0.004
anthony,0.004
antiseptik,0.004
anto,0.004
antologi,0.004
anton,0.004
anu,0.004
any,0.004
anyar,0.004
anymore,0.004
apbn,0.004
api,0.011
aplikasi,0.004
apolitical,0.004
appreciate,0.004
apr,0.004
aqua,0.004
arah,0.011
ardern,0.004
area,0.011
arent,0.004
arep,0.011
argumen,0.004
arogan,0.004
arsitek,0.004
artikel,0.007
artis,0.004
artwork,0.004
arus,0.007
asa,0.004
asap,0.022
asas,0.004
asi,0.007
asia,0.004
aside,0.004
asik,0.004
asing,0.004
asisten,0.004
asistenin,0.004
asked,0.004
asli,0.011
asline,0.004
astaga,0.007
asuh,0.004
asyik,0.022
atlas,0.004
atlet,0.004
atm,0.007
attacker,0.004
atung,0.004
atur,0.011
australia,0.004
austria,0.004
avengers,0.007
awan,0.007
awareness,0.004
awas,0.007
awesome,0.004
awet,0.007
axn,0.004
ayam,0.011
ayhd,0.004
ayo,0.086
azs,0.004
baba,0.004
babs,0.007
babyproofing,0.004
babyshop,0.004
baca,0.108
badak,0.004
badarawuhi,0.004
badass,0.004
badhe,0.004
badut,0.014
baeklah,0.004
bagikan,0.022
bagus,0.065
baguse,0.004
bahagia,0.036
bahahaha,0.004
bahan,0.007
bahas,0.022
bahasa,0.007
bahaya,0.004
baja,0.004
bajing,0.018
baju,0.004
bakar,0.018
bakat,0.007
bakes,0.004
bakmi,0.007
baksos,0.007
bal,0.007
balap,0.004
balas,0.018
balita,0.004
balon,0.004
bandara,0.014
banding,0.004
bangau,0.004
banget,0.007
bangga,0.007
bangkok,0.004
bangkrut,0.004
bangsa,0.011
bangun,0.011
banjir,0.022
banking,0.018
banting,0.004
bantu,0.068
banyu,0.004
bapake,0.004
bar,0.007
barang,0.011
barangkali,0.007
bareng,0.007
barnes,0.004
barongsay,0.004
baso,0.004
batal,0.136
batam,0.004
batas,0.007
batik,0.004
batin,0.004
batman,0.004
bau,0.004
bawa,0.047
bayang,0.014
bayangkan,0.004
bayar,0.014
bayarin,0.004
bayi,0.061
bayitembem,0.004
bayu,0.004
bbc,0.007
bbl,0.004
bbm,0.007
bbrtevafzq,0.004
bco,0.004
bcu,0.004
bd,0.004
beaten,0.004
beban,0.004
bebas,0.014
bebe,0.004
bebek,0.004
beberes,0.004
becak,0.007
became,0.004
become,0.004
beda,0.007
bees,0.004
begadang,0.004
behind,0.004
bej,0.004
bekal,0.004
beksan,0.004
beku,0.004
bel,0.004
belaga,0.007
belah,0.011
belak,0.004
belanda,0.004
belanja,0.025
beli,0.022
beliau,0.011
belive,0.004
belok,0.007
belting,0.004
benci,0.014
benda,0.004
bengkel,0.004
bengkok,0.007
bentar,0.004
bentuk,0.007
benua,0.004
beolbeol,0.004
ber,0.007
beranda,0.025
berani,0.007
berat,0.014
berhenti,0.011
berita,0.032
berju,0.004
berkas,0.004
berkat,0.004
berkumpul,0.004
bersih,0.004
berterimakasih,0.011
bertha,0.004
bes,0.004
besok,0.018
beta,0.004
betapa,0.004
betebaran,0.004
betrayed,0.004
beyond,0.007
bgica,0.004
bhihihihik,0.004
bhin,0.007
bhutan,0.004
biadab,0.007
biaya,0.011
bibir,0.007
bicara,0.011
bigg,0.004
biggest,0.004
biker,0.004
bilang,0.018
bilih,0.004
bima,0.004
binatang,0.007
bing,0.004
bingewatching,0.004
bingung,0.004
bintang,0.018
bintara,0.007
bioremediasi,0.004
bioskop,0.011
birds,0.004
biru,0.011
bis,0.004
bisnis,0.011
blaik,0.004
blaming,0.004
blangsak,0.004
blokir,0.004
blsan,0.004
bluetooth,0.004
bni,0.004
bnpb,0.004
boars,0.004
bobdnes,0.004
bobok,0.007
bocor,0.011
