term,weight
abad,0.003
abah,0.003
abege,0.003
abistu,0.003
aborsi,0.003
abu,0.005
abur,0.003
acab,0.003
acak,0.005
acara,0.016
adegan,0.005
adek,0.003
admin,0.008
administrasi,0.003
adohh,0.003
aduh,0.011
aftertaste,0.003
against,0.003
agama,0.008
ah,0.011
ahli,0.005
ain,0.003
air,0.008
ajadah,0.003
ajaib,0.003
ajak,0.014
ajar,0.038
ajatuh,0.003
ajelu,0.005
aji,0.003
ajig,0.003
akal,0.003
akhirat,0.003
akhirin,0.003
akhlak,0.005
aktor,0.003
akun,0.027
al,0.003
alah,0.003
alam,0.016
alamat,0.003
alamin,0.003
alas,0.003
alasan,0.005
album,0.003
alergi,0.003
alesana,0.003
alhamdulillah,0.003
alhasil,0.003
alias,0.008
aling,0.005
aliran,0.003
alkohol,0.005
almarhum,0.003
almarhumah,0.003
alot,0.003
alquran,0.003
alsut,0.003
alur,0.003
alus,0.003
aman,0.005
ambal,0.003
amber,0.003
ambil,0.016
amin,0.005
amit,0.005
amjinc,0.003
among,0.008
ampir,0.003
ampun,0.005
an,0.03
anak,0.187
anaknye,0.003
analogi,0.003
anastasia,0.003
anatomi,0.003
andal,0.003
andromache,0.003
aneh,0.024
anggap,0.003
anggar,0.003
anggota,0.011
angin,0.005
angka,0.003
angkat,0.005
anime,0.011
anjeng,0.011
anji,0.003
anjim,0.005
anjir,0.003
anker,0.003
anniversary,0.005
anonim,0.005
antek,0.011
antem,0.008
anti,0.003
antre,0.005
anyinc,0.003
aokwowkok,0.003
aokwowkowkok,0.003
aokwowkwok,0.003
aowkowkwok,0.003
aowkwok,0.003
aowkwowkok,0.005
apaansi,0.014
apaansih,0.011
apaka,0.003
apaqa,0.003
aparat,0.003
apartemen,0.003
apatuh,0.003
apdnya,0.003
aplikasi,0.005
april,0.003
apsih,0.003
arang,0.003
area,0.005
argumen,0.003
arie,0.003
arogan,0.003
arsip,0.003
artikel,0.003
artis,0.003
artnya,0.003
asam,0.008
asar,0.003
asep,0.011
ashraf,0.003
asing,0.008
asli,0.008
asosial,0.003
aspek,0.003
asset,0.003
astaga,0.003
asumsi,0.003
asuransi,0.003
asw,0.005
atap,0.003
atensi,0.003
atheis,0.003
atmnya,0.003
atoga,0.003
atot,0.003
atur,0.005
audioslave,0.003
awas,0.003
awat,0.003
ayah,0.003
ayam,0.008
aym,0.003
ayo,0.016
ayom,0.005
ba,0.003
babi,0.005
babyblues,0.003
baca,0.065
bacod,0.003
badan,0.008
badanqu,0.003
bader,0.003
bagemana,0.003
bagikan,0.005
bagus,0.046
bahagia,0.024
bahan,0.008
bahasa,0.019
bain,0.005
bajing,0.081
baju,0.049
bajuqu,0.003
bakar,0.005
bakat,0.008
bakayaro,0.003
bakti,0.003
bakung,0.003
balas,0.014
balita,0.005
balut,0.003
bam,0.003
banci,0.003
banding,0.003
banget,0.005
bangga,0.008
bangka,0.003
bangkroot,0.003
bangkrut,0.003
bangku,0.003
bangun,0.019
banjir,0.008
bank,0.003
banting,0.003
bantu,0.019
baperan,0.003
barang,0.019
bareilles,0.003
bareng,0.016
barzah,0.003
bas,0.008
basa,0.005
basi,0.003
baskara,0.003
bastards,0.003
batagor,0.003
batal,0.146
batang,0.005
batas,0.005
batita,0.003
batu,0.003
batuk,0.008
bau,0.016
bawa,0.038
bawang,0.005
bayang,0.005
bayar,0.019
bayarin,0.005
bayi,0.008
bayik,0.003
bayiknya,0.005
bcl,0.003
bebas,0.008
beberes,0.003
beberesnya,0.003
beda,0.03
bedarah,0.003
bedug,0.003
beefnya,0.003
begerak,0.003
beginikan,0.003
begituan,0.003
bekas,0.008
belaga,0.011
belah,0.005
beli,0.062
belikan,0.003
benak,0.003
benang,0.003
benarkan,0.005
benci,0.014
bengek,0.011
bengong,0.003
bening,0.003
bentar,0.014
bentuk,0.003
berani,0.014
beranta,0.003
berat,0.008
berbohong,0.003
berekspektasi,0.003
bergosip,0.003
berisik,0.003
berita,0.008
berkah,0.003
berkat,0.003
berkilah,0.003
berkumpul,0.003
berontak,0.003
bersih,0.011
bersihin,0.003
bertumpuk,0.005
besok,0.019
betah,0.005
betapa,0.003
bgmnpun,0.003
bh,0.003
bi,0.003
biadab,0.051
biarkan,0.005
biasanye,0.003
biaya,0.011
bicara,0.032
bijak,0.003
biji,0.008
bikin,0.005
bikos,0.003
bilang,0.049
bilek,0.003
binatang,0.005
bingung,0.014
bini,0.024
bintang,0.003
biru,0.008
bisnis,0.003
bitlife,0.005
bla,0.014
blackpink,0.003
blanko,0.003
blecetan,0.003
blio,0.003
blogspot,0.003
blok,0.005
bmth,0.003
bobi,0.003
bobok,0.005
bocor,0.003
bodoh,0.097
bohong,0.005
bola,0.008
bom,0.027
boncos,0.003
bondingnya,0.003
boneka,0.003
bong,0.003
boro,0.003
bos,0.011
bosan,0.024
botak,0.003
botaki,0.003
botol,0.003
bousz,0.003
bp,0.003
bpan,0.003
bpd,0.003
brajamusti,0.003
brengsek,0.008
brisket,0.003
brosing,0.003
browsing,0.003
bsb,0.003
buah,0.005
buai,0.003
buang,0.016
bubar,0.003
budak,0.003
budeg,0.003
budgetnya,0.003
bujang,0.003
bujukin,0.003
buka,0.014
bukti,0.003
bunda,0.003
bundir,0.003
bunga,0.008
bungkus,0.003
bunuh,0.003
buram,0.005
burgernya,0.003
buruk,0.008
butir,0.003
butuh,0.014
cabai,0.014
cadang,0.003
cahaya,0.008
cakap,0.003
cakep,0.003
calistung,0.003
calon,0.005
cam,0.003
camat,0.005
campur,0.016
candid,0.016
canggung,0.003
cantik,0.011
canva,0.005
capunk,0.003
cares,0.005
cari,0.014
cat,0.003
cateringnya,0.003
cath,0.003
cebede,0.003
cecer,0.003
celana,0.005
celoteh,0.003
cemburu,0.003
cemil,0.106
cemilan,0.003
cengeng,0.005
cepat,0.027
ceplok,0.005
cerah,0.003
cerai,0.003
ceramah,0.003
cerca,0.005
cere,0.003
cerewet,0.011
cerita,0.038
cha,0.003
chanandler,0.003
chatnya,0.003
cheating,0.003
chinese,0.005
cibinong,0.003
cicil,0.003
cih,0.003
cilok,0.005
cina,0.003
cinta,0.016
cita,0.005
citra,0.005
ck,0.003
closing,0.003
coba,0.041
cocok,0.016
collab,0.003
congenya,0.003
consnya,0.003
consuella,0.003
cont,0.003
contoh,0.003
coolyeah,0.003
corona,0.008
creepy,0.003
crewmates,0.003
cries,0.003
cubles,0.003
cuci,0.022
cucu,0.003
culametan,0.003
culun,0.005
curhat,0.003
curi,0.008
cuti,0.003
dadah,0.003
daerah,0.003
daftar,0.003
dagang,0.008
daging,0.005
dahla,0.003
dajjal,0.003
daki,0.003
dalih,0.003
dalil,0.003
damagenya,0.005
damai,0.008
damar,0.003
dandan,0.003
dangdut,0.003
danshi,0.003
danta,0.003
dapur,0.011
dar,0.008
darah,0.003
darat,0.003
darimana,0.003
darurathiv,0.003
daruratkegoblokan,0.003
daruratlgbt,0.003
das,0.003
dasar,0.024
dat,0.003
daun,0.003
daya,0.003
dc,0.003
ddr,0.003
debat,0.014
degdegan,0.008
deh,0.046
dehate,0.003
delman,0.003
demam,0.011
demensia,0.003
demokrat,0.003
deng,0.005
dengar,0.019
dengkur,0.003
dentum,0.003
depresi,0.003
dept,0.003
deret,0.003
derita,0.003
desa,0.008
desain,0.003
dese,0.005
detroit,0.003
dewasa,0.003
diabisin,0.003
diagnose,0.003
diajakin,0.003
diam,0.014
diambilin,0.003
dian,0.003
dianggepnya,0.003
dibagiin,0.003
dibase,0.003
dibawain,0.008
dibejek,0.003
dibeliin,0.005
dibiasain,0.003
dibuangin,0.003
dicatat,0.003
diceramahin,0.003
dicuciin,0.003
didebatin,0.003
didengarkan,0.003
didenger,0.003
didi,0.003
didiagnosa,0.003
didiemin,0.005
didik,0.011
didoainnya,0.003
didramatisir,0.003
difollow,0.003
digabungin,0.003
digantungin,0.003
dighosting,0.003
digunain,0.003
dih,0.005
dihancurkan,0.003
diibaratin,0.003
diijinin,0.003
diinjek,0.005
dijadikan,0.005
dijanjiin,0.003
dijarakin,0.003
dik,0.003
dikabulin,0.003
dikatai,0.008
dikerasi,0.003
dikerumunin,0.003
dikirimin,0.003
dikit,0.022
dikumpulin,0.003
diladeni,0.003
dilakuin,0.005
dilalerin,0.003
dilariin,0.003
dimasuki,0.008
dimention,0.003
dinda,0.011
dinklage,0.003
dinyanyikan,0.003
diomelin,0.005
dipakenya,0.003
dipaksain,0.005
dipasangin,0.005
dipeperin,0.003
dipikirkan,0.005
dipost,0.003
diposting,0.003
dipusingin,0.003
direndahin,0.003
direpotin,0.003
direspon,0.003
diributin,0.003
dirilu,0.003
dirut,0.003
disalahin,0.005
disapuin,0.003
disemutin,0.003
disetting,0.003
dishare,0.003
disiapin,0.003
disiramin,0.003
disodorin,0.003
disorakin,0.003
dispill,0.003
disuka,0.003
diswab,0.003
ditanyaain,0.003
ditaroin,0.003
ditemenin,0.003
