term,weight
abadi,0.007
able,0.007
absolutely,0.007
abusive,0.007
acak,0.007
acara,0.02
adam,0.007
adil,0.033
admin,0.013
aduh,0.02
aembuh,0.007
african,0.007
agama,0.007
ahjumma,0.007
ahsudahlah,0.007
aight,0.007
ajak,0.013
ajar,0.013
ajib,0.007
akakakaka,0.007
akalin,0.007
akhlak,0.013
akun,0.013
akurat,0.007
alam,0.02
alamiah,0.007
alas,0.007
alcatraz,0.007
alergi,0.007
alias,0.02
alibi,0.007
almarhum,0.007
alonee,0.007
alquran,0.007
altar,0.007
ambe,0.013
ambil,0.02
amin,0.04
ampun,0.007
amsyong,0.007
an,0.007
anak,0.06
anake,0.013
ancen,0.02
ancene,0.007
anduk,0.007
angels,0.007
anggap,0.007
anggur,0.007
angin,0.02
angkasa,0.007
angkat,0.007
anjaynjing,0.007
anjdck,0.007
anjeng,0.007
antem,0.007
anti,0.027
anyak,0.013
anyone,0.013
aokwkwkwkwkwkw,0.007
aowkowkwowkwo,0.007
aowkwokwowkwowk,0.007
aowkwowkowkwowwk,0.007
aowkwowkwowkwok,0.007
api,0.013
aplikasi,0.013
apresiasi,0.007
arah,0.007
aregannya,0.007
aren,0.013
arggh,0.007
asap,0.013
asat,0.007
asf,0.007
asi,0.007
asik,0.013
asks,0.013
asli,0.02
asupan,0.007
asw,0.013
asyhadu,0.007
atek,0.007
atur,0.013
avatar,0.007
awas,0.007
awat,0.007
awewe,0.007
ayam,0.007
ayo,0.066
ayune,0.013
babi,0.013
baca,0.053
backsound,0.007
badak,0.007
badan,0.02
bagus,0.119
bahagia,0.013
bahan,0.007
bahasa,0.02
bahlul,0.007
bajing,0.126
baju,0.013
bakar,0.007
bakatnyanya,0.007
bakti,0.007
baku,0.013
balap,0.013
balas,0.027
bangan,0.007
bangkai,0.007
bangsa,0.007
bangun,0.02
bangunin,0.007
banjir,0.007
bantu,0.02
barang,0.013
batal,0.385
batang,0.007
batas,0.027
batin,0.007
bawa,0.027
bayang,0.007
bayar,0.033
bayi,0.013
beaut,0.007
beautifully,0.007
beban,0.013
become,0.007
beda,0.04
belek,0.007
beli,0.02
beliau,0.007
belikan,0.007
belok,0.007
ben,0.007
benci,0.013
benda,0.013
bendung,0.007
bentar,0.007
berak,0.007
beranda,0.013
beranta,0.007
berat,0.007
berhayal,0.007
berhenti,0.013
berita,0.02
bersin,0.007
besok,0.027
biadab,0.02
biarkan,0.007
biaya,0.007
bibir,0.007
bicara,0.04
bilang,0.046
binatang,0.007
bingung,0.007
bintang,0.013
bisnis,0.007
blok,0.027
blues,0.007
bo,0.007
bodoh,0.033
bohong,0.007
bolos,0.007
bong,0.007
boros,0.007
bosque,0.007
bothered,0.007
boyy,0.007
breathtaking,0.007
broo,0.007
brothers,0.007
buah,0.02
buaya,0.007
budaya,0.013
budidaya,0.007
buff,0.007
bujank,0.007
buka,0.013
buku,0.007
bule,0.007
bulu,0.007
buntu,0.007
bunuh,0.027
buru,0.007
buruk,0.027
buta,0.007
butuh,0.02
buurn,0.007
cahaya,0.033
cak,0.027
cakar,0.007
canda,0.007
cantik,0.02
cares,0.007
cari,0.033
cats,0.007
cause,0.013
celaka,0.007
cemas,0.007
cemil,0.02
centang,0.007
cepat,0.027
cerca,0.013
cerewet,0.007
cerita,0.007
cermin,0.007
charlie,0.007
cheater,0.007
chinese,0.007
chipnya,0.007
ci,0.007
cia,0.027
cibir,0.007
cie,0.007
cincin,0.007
cinta,0.093
cipta,0.007
cita,0.007
cium,0.007
ck,0.007
coba,0.06
cocok,0.007
cok,0.033
coklat,0.007
colai,0.007
combo,0.007
compared,0.007
complete,0.013
contemplating,0.007
cope,0.007
coret,0.007
corona,0.186
correct,0.007
cos,0.007
creaam,0.007
cuci,0.007
cuk,0.007
cupang,0.013
curiga,0.007
cutest,0.007
daftar,0.007
daging,0.007
dajjal,0.007
daki,0.007
dama,0.007
damai,0.007
damono,0.007
dar,0.007
darjo,0.007
dasar,0.007
datengin,0.007
daya,0.013
days,0.013
deadwoodnya,0.007
debu,0.013
debut,0.013
deciding,0.007
def,0.007
definitely,0.027
deh,0.02
delete,0.007
demit,0.007
demo,0.007
demokrasi,0.007
dengar,0.046
depresi,0.013
derita,0.007
desain,0.007
dewasa,0.007
dewi,0.007
dhania,0.007
diabikin,0.007
diam,0.013
diameter,0.007
dianggep,0.007
dicatat,0.007
did,0.013
didik,0.013
dijadikan,0.007
dikit,0.013
diladeni,0.007
dimana,0.033
dinding,0.007
diomongin,0.007
diskus,0.007
ditawarin,0.007
ditebengin,0.007
djoko,0.007
doa,0.02
doc,0.007
dodo,0.007
doesn,0.013
doing,0.007
dokter,0.007
dongkrak,0.007
dora,0.007
dosen,0.007
dp,0.007
drama,0.007
dreams,0.02
drivernya,0.007
driving,0.007
duck,0.007
dude,0.007
dukun,0.013
