term,weight
abadi,0.013
abai,0.007
abar,0.007
abu,0.01
acara,0.007
accaptance,0.003
acuh,0.023
adakalanya,0.003
adap,0.003
adegan,0.003
adil,0.016
adinnda,0.003
adinndaekka,0.003
admin,0.023
aduh,0.003
agama,0.007
agenda,0.003
aght,0.003
ah,0.023
ahli,0.003
air,0.003
ajak,0.016
ajar,0.085
akal,0.003
aksesoris,0.003
aktivitas,0.003
al,0.01
ala,0.003
alam,0.023
alangke,0.003
alas,0.029
alasan,0.003
aldi,0.003
allinone,0.003
alphard,0.003
alumni,0.003
aman,0.02
ambil,0.046
ambing,0.003
american,0.003
amizah,0.003
amoled,0.01
ampun,0.01
an,0.007
anak,0.049
ananta,0.007
ancam,0.003
ancang,0.013
ancare,0.003
andal,0.007
aneh,0.007
anggap,0.026
anggep,0.01
angin,0.01
angka,0.003
anjim,0.003
anonim,0.003
antioksidan,0.003
anya,0.003
anyways,0.003
api,0.003
aplikasi,0.007
april,0.007
aprilmop,0.003
arah,0.016
area,0.003
arogan,0.003
asak,0.003
asam,0.003
asap,0.003
aset,0.003
asik,0.003
asing,0.003
asli,0.003
aspek,0.007
assalamualaikum,0.003
astaga,0.01
astaghfirullahaladzim,0.003
asumsi,0.003
atur,0.02
aula,0.003
avanza,0.003
awam,0.003
awat,0.003
awet,0.003
ayah,0.003
ayam,0.003
ayo,0.104
ayoklah,0.003
ayun,0.007
bab,0.016
babu,0.003
baca,0.007
badan,0.016
bagadang,0.003
bagus,0.039
bahagi,0.003
bahagia,0.183
bahagiain,0.003
bahas,0.007
bahasa,0.013
bajar,0.007
bajing,0.016
baju,0.01
bakar,0.007
bakat,0.007
bakmi,0.003
bakso,0.003
bakteri,0.007
bakwan,0.007
bal,0.003
balas,0.036
ban,0.01
banding,0.016
bangga,0.01
bangkai,0.003
bangkit,0.013
bangsa,0.003
bangun,0.042
bangunin,0.003
banjir,0.007
bantai,0.003
bantu,0.007
bapack,0.007
baperan,0.003
bareng,0.049
basa,0.007
basah,0.01
basi,0.007
batal,0.046
batas,0.046
batch,0.007
baterai,0.01
batin,0.003
batu,0.007
bau,0.016
bawa,0.039
bawain,0.003
bawang,0.003
bayang,0.016
bayangkan,0.007
bayar,0.026
bayi,0.007
bb,0.003
beams,0.003
beautifull,0.003
beban,0.01
bebas,0.016
beda,0.101
begadang,0.003
begantung,0.003
begawelah,0.003
bekerjasama,0.003
bela,0.003
belaga,0.013
belah,0.003
belaka,0.007
belanja,0.003
beli,0.029
beliau,0.003
benci,0.007
bentar,0.01
bentuk,0.01
beranda,0.007
berani,0.016
beranta,0.007
berat,0.023
berbagia,0.003
berbuka,0.003
berekpektasi,0.003
berekspektasi,0.013
berengsek,0.003
berfikirkan,0.003
berhalu,0.003
berhenti,0.013
berita,0.003
berkah,0.003
berpikir,0.007
bersholawat,0.003
bersih,0.003
berteman,0.007
bertumpuk,0.007
berualang,0.003
besakkenyo,0.003
besok,0.01
betah,0.003
betapa,0.013
biadab,0.007
biarkan,0.003
biaya,0.003
bibir,0.007
bicara,0.065
bidadari,0.003
bidang,0.003
bijak,0.003
bik,0.003
bilang,0.069
bilik,0.003
bimbel,0.003
bincang,0.007
binggung,0.007
bingkai,0.003
bingung,0.013
bintang,0.01
biso,0.007
blok,0.003
blokir,0.003
bo,0.003
bodoh,0.062
bohong,0.02
bohongin,0.003
bom,0.003
bonus,0.003
boodoh,0.003
bos,0.007
bosan,0.033
bosenan,0.007
boyong,0.007
brand,0.007
brengsek,0.003
brownies,0.003
buah,0.075
buang,0.036
buatkela,0.003
buatnyo,0.003
buaya,0.003
bubuk,0.003
buka,0.072
bukberdirumahaja,0.003
bukti,0.007
buku,0.01
buluh,0.003
bumbu,0.003
bumdes,0.003
bumi,0.01
bunda,0.003
bunga,0.026
bunuh,0.013
buram,0.003
burik,0.003
bursa,0.003
buru,0.026
buruk,0.007
buta,0.01
butuh,0.082
cabang,0.007
cadang,0.003
cahari,0.003
cahaya,0.007
cair,0.003
cak,0.01
cakap,0.003
caknyo,0.003
calon,0.003
camera,0.007
canda,0.016
candid,0.016
candra,0.003
candu,0.003
canggih,0.016
cangkir,0.007
cantik,0.016
capai,0.003
cared,0.003
cari,0.088
catat,0.003
catur,0.003
cegah,0.003
cela,0.003
celaka,0.003
cemas,0.007
cemburu,0.016
cemil,0.075
cepat,0.033
ceplok,0.003
ceplos,0.003
cerdas,0.003
cerewet,0.023
ceria,0.003
cerita,0.049
chasing,0.003
chatan,0.003
chatingan,0.003
chattingnya,0.003
chimi,0.003
chipset,0.003
chococips,0.003
chusion,0.003
cicil,0.003
cicip,0.01
cicips,0.003
cicipsj,0.003
cinematic,0.007
cinta,0.189
cipta,0.013
ciptakan,0.003
climbing,0.003
coba,0.085
cocok,0.013
coklat,0.052
colok,0.003
comfortably,0.003
contoh,0.003
creates,0.003
crispy,0.003
cuaca,0.003
cubit,0.007
cuci,0.003
cucu,0.013
cuk,0.003
cultural,0.003
cuma,0.003
cundang,0.003
curang,0.003
curhat,0.003
curi,0.003
dadi,0.003
daebak,0.003
daging,0.007
damai,0.007
dampak,0.007
damping,0.007
dandan,0.003
dandelion,0.003
dang,0.003
dann,0.003
dapur,0.01
dar,0.01
darah,0.01
darat,0.003
darimana,0.003
darimna,0.003
dasar,0.016
datamh,0.003
datar,0.003
daulat,0.003
daya,0.01
debat,0.01
debu,0.007
decide,0.003
deep,0.003
deeptalk,0.003
defines,0.003
definisi,0.003
deforestasi,0.003
deh,0.013
dengar,0.046
depresi,0.003
derajat,0.003
deras,0.016
dermaga,0.003
desa,0.003
desain,0.007
detail,0.007
determinasi,0.003
devina,0.003
dewa,0.003
dewasa,0.023
dewek,0.003
dewi,0.003
diabetes,0.003
diam,0.046
dian,0.023
dianggep,0.003
dibaikin,0.003
dibandrol,0.003
dibecandain,0.003
dibilangin,0.003
dicelupin,0.003
dichat,0.003
didik,0.01
dighosting,0.003
digital,0.003
dijadikan,0.007
dijamindiskon,0.003
dijilad,0.003
dikatai,0.003
dilaunching,0.003
dilema,0.003
diliatin,0.003
dilupain,0.003
dimanfaatin,0.003
dinding,0.003
dingin,0.01
diomongin,0.003
dipendem,0.003
dipertahanin,0.003
direspon,0.003
disakitin,0.003
disinfektan,0.003
disk,0.003
diskon,0.007
diskusi,0.003
disuka,0.003
ditakhlukan,0.003
ditransferin,0.003
diujungin,0.003
diungkapin,0.003
diupgrade,0.003
doa,0.049
domestik,0.007
dominasi,0.003
dompet,0.007
dopping,0.003
dorong,0.003
dosen,0.003
drama,0.007
dreams,0.003
duhai,0.003
duka,0.003
dukung,0.013
duli,0.036
duluan,0.003
dunia,0.049
durunge,0.003
duty,0.003
eca,0.003
eckoshow,0.007
efek,0.003
ego,0.023
egois,0.007
eh,0.046
eka,0.003
ekka,0.003
ekonomi,0.007
ekspedisi,0.003
ekspektasi,0.003
ekspos,0.003
ekspresi,0.007
ekstrak,0.003
elegan,0.01
elsa,0.007
emis,0.01
emosi,0.036
emot,0.003
emoticon,0.003
empuk,0.003
energi,0.003
engkau,0.01
eperibadeh,0.003
epik,0.013
erat,0.007
ering,0.003
erti,0.026
es,0.007
esok,0.007
etika,0.003
every,0.003
fallin,0.003
far,0.003
fase,0.029
fastcharge,0.003
fatal,0.003
fatiha,0.003
fatmala,0.003
favorit,0.016
favourite,0.003
februari,0.003
