term,weight
aaminn,0.004
abieza,0.004
abigail,0.004
acara,0.004
adam,0.009
adek,0.038
adeknya,0.004
adha,0.004
admin,0.038
aduh,0.021
agatha,0.004
agil,0.009
agung,0.009
agustus,0.009
ah,0.017
ahmad,0.004
ajak,0.021
ajar,0.021
aji,0.004
aju,0.004
akademi,0.009
akai,0.004
akb,0.004
akses,0.004
akun,0.03
al,0.017
aladdin,0.004
alam,0.004
alda,0.009
aldiano,0.004
alergi,0.009
alia,0.004
alias,0.094
alih,0.009
alir,0.009
aliran,0.004
alma,0.004
alon,0.009
alumni,0.009
aman,0.013
amanda,0.009
ambil,0.026
amel,0.004
amin,0.021
amle,0.004
ampun,0.026
amuro,0.004
an,0.017
anagram,0.004
anak,0.072
anaknyaa,0.009
anal,0.004
ancol,0.004
andai,0.004
andelaa,0.004
aneh,0.017
anggota,0.034
angkat,0.009
anime,0.004
anin,0.004
anniv,0.004
annya,0.004
apai,0.004
apakabar,0.004
apanih,0.004
apatu,0.004
aplikasi,0.026
april,0.004
ara,0.013
arena,0.004
aries,0.004
armada,0.004
arus,0.004
asa,0.004
ashel,0.013
asisten,0.004
asli,0.017
atap,0.004
atin,0.004
atur,0.004
audisi,0.004
audrey,0.004
aurel,0.013
awan,0.009
awas,0.009
ayaba,0.004
ayana,0.038
ayanaon,0.004
ayangnya,0.004
ayaya,0.004
ayo,0.107
azz,0.009
babi,0.004
baca,0.051
badmood,0.004
badrunn,0.004
bagikan,0.009
bagus,0.047
bahagia,0.004
bahan,0.004
bahas,0.004
bahasa,0.004
bajak,0.004
baju,0.009
bakat,0.004
baki,0.004
bal,0.004
balada,0.004
balar,0.004
balas,0.009
balon,0.004
bandung,0.004
bang,0.004
bangsa,0.004
bangun,0.013
bansos,0.004
bantu,0.03
banyu,0.004
barang,0.004
barbie,0.009
bare,0.004
bareng,0.03
barengann,0.004
baris,0.004
basically,0.004
batal,0.209
batas,0.004
bats,0.004
batu,0.004
bawa,0.013
bawain,0.013
bawang,0.009
bawel,0.004
bayang,0.004
bayi,0.009
beasts,0.004
beban,0.004
beby,0.017
beda,0.021
begituu,0.004
bekas,0.004
bel,0.004
beli,0.03
