term,weight
aamiinn,0.006
abad,0.006
abadi,0.006
abbie,0.006
abc,0.006
abiku,0.006
according,0.006
achmad,0.006
aci,0.006
adab,0.006
adaptasi,0.006
adegan,0.006
adil,0.006
adipati,0.006
admin,0.006
aduh,0.018
aduk,0.012
aet,0.006
aftrr,0.006
agama,0.006
agen,0.006
agre,0.006
aguerro,0.006
agus,0.012
ahad,0.006
aizawa,0.006
ajar,0.03
akal,0.006
akang,0.012
akbar,0.006
akh,0.006
akhii,0.006
akibat,0.006
aks,0.006
akses,0.012
aksi,0.006
aktif,0.012
al,0.006
alabasta,0.006
alam,0.006
alarm,0.006
alas,0.006
aldi,0.006
alhamdulillah,0.036
ali,0.012
alih,0.006
almada,0.006
almarhum,0.006
alur,0.006
aman,0.024
ambul,0.006
amerika,0.006
amin,0.006
ampuh,0.006
ampun,0.006
amuk,0.006
an,0.036
anak,0.06
ananta,0.006
andaa,0.006
aneh,0.006
anggur,0.006
angin,0.006
angkat,0.018
angkut,0.006
angkutan,0.012
anime,0.018
anta,0.006
antem,0.006
anti,0.006
antre,0.006
aot,0.006
api,0.006
apl,0.006
aplikasi,0.006
april,0.006
arah,0.006
ardhito,0.006
arif,0.006
arisan,0.006
arl,0.006
arthur,0.006
artis,0.006
as,0.018
asam,0.006
asi,0.006
asih,0.006
asin,0.006
assane,0.006
assists,0.006
aston,0.006
aubrey,0.006
audio,0.006
awesome,0.006
ayah,0.006
ayam,0.036
ayat,0.006
ayo,0.042
azzam,0.006
bab,0.03
baca,0.066
backsound,0.006
badut,0.012
bagus,0.078
bahagia,0.018
bahas,0.006
bahasa,0.012
bahaya,0.006
bajak,0.012
bajing,0.018
baju,0.006
baka,0.012
bakar,0.018
balas,0.018
bambang,0.006
bamford,0.006
banding,0.006
bangsatt,0.006
bangun,0.012
bangunin,0.006
bantu,0.018
barang,0.018
barcode,0.006
bareng,0.018
bas,0.006
basmi,0.006
baso,0.006
batal,0.439
batang,0.006
batas,0.018
batman,0.006
batu,0.012
bawa,0.03
bawang,0.006
bayar,0.03
beda,0.054
bedak,0.006
behind,0.006
belanja,0.018
beli,0.078
belia,0.006
belikan,0.006
bellick,0.006
bem,0.006
bemer,0.006
bencana,0.006
bening,0.006
bensin,0.006
bentar,0.03
bentuk,0.018
berani,0.006
berat,0.018
berdukal,0.006
berhenti,0.006
berisik,0.006
berisitirahat,0.006
berita,0.012
berkah,0.006
bersih,0.018
bertolt,0.006
besok,0.054
beyond,0.006
biadab,0.006
biarkan,0.006
bicara,0.012
bilang,0.006
binge,0.006
bintang,0.006
bioskop,0.018
bisnis,0.006
bla,0.012
blio,0.006
blueberry,0.006
blueberrynya,0.006
bnib,0.006
bobol,0.006
bocor,0.006
bodoh,0.012
bogor,0.03
bolak,0.006
boruto,0.006
bos,0.024
bosan,0.006
botak,0.006
boys,0.006
brand,0.006
brewok,0.006
brodo,0.006
bruno,0.006
buah,0.03
bubur,0.018
budak,0.006
buka,0.024
buktikan,0.006
buku,0.012
bumi,0.012
bundesliga,0.006
bunuh,0.006
bunyi,0.006
bursa,0.006
burst,0.006
buru,0.012
buruk,0.006
burung,0.006
busur,0.018
butuh,0.054
cahaya,0.018
cair,0.006
calvert,0.006
canda,0.018
candid,0.006
candu,0.006
candyman,0.006
cantik,0.012
cari,0.042
cashback,0.006
cause,0.006
cavani,0.006
cedera,0.006
cegah,0.006
celaka,0.006
celana,0.006
celebrate,0.006
celia,0.006
cemil,0.036
cemilan,0.006
cenayang,0.006
centipede,0.006
cepat,0.042
cerdas,0.006
cerewet,0.006
cerita,0.03
chef,0.006
chinmi,0.006
chopper,0.006
christmas,0.006
ciawi,0.006
cil,0.024
cinta,0.018
cipta,0.018
cita,0.012
ck,0.018
ckckc,0.006
clickbait,0.006
closing,0.006
clubhouse,0.006
coba,0.042
cocok,0.012
combo,0.006
comments,0.006
contoh,0.006
corona,0.066
covernya,0.006
credits,0.006
css,0.006
cuaca,0.006
cuci,0.006
cuk,0.006
cupang,0.006
cure,0.006
curi,0.012
cuy,0.006
dadi,0.006
daftar,0.012
daging,0.012
dal,0.006
damar,0.006
danke,0.006
dante,0.006
