term,weight
aa,0.011
aahaha,0.003
aaja,0.003
aak,0.006
aayok,0.003
acak,0.008
acara,0.006
acha,0.003
aci,0.003
acik,0.003
acitnya,0.003
activorm,0.003
adakk,0.003
adek,0.006
adeknya,0.008
adenoid,0.003
adha,0.003
adit,0.006
admin,0.025
adnan,0.006
ads,0.003
aduh,0.011
aduhai,0.003
aezjwloqar,0.003
agen,0.003
agg,0.003
agi,0.003
ah,0.025
ahahaa,0.003
ahahha,0.003
ahahhaa,0.006
ahha,0.003
aih,0.028
ailovyutu,0.003
aimicutuh,0.003
aink,0.003
airasia,0.006
airbnb,0.006
ais,0.006
ajaah,0.003
ajak,0.028
ajar,0.03
ajo,0.003
akh,0.003
akhirat,0.006
akhirnyaa,0.003
akrab,0.003
aksa,0.003
akses,0.003
aktif,0.017
aktifitas,0.003
aktivitas,0.006
akun,0.003
akuntan,0.003
akuntansi,0.011
al,0.003
ala,0.011
alami,0.006
alan,0.006
alarm,0.006
aldiena,0.006
alergi,0.003
alfitria,0.003
alhamdullilaah,0.006
alhamdullilah,0.022
alhasil,0.003
alih,0.003
alin,0.008
alir,0.003
along,0.003
alpin,0.003
alpino,0.003
alsn,0.003
alun,0.006
alvin,0.003
amaat,0.003
aman,0.008
ambigu,0.003
ambil,0.017
ambing,0.003
ambon,0.003
ameng,0.003
amicu,0.011
amin,0.03
ampuh,0.003
ampun,0.033
an,0.028
anak,0.127
anake,0.006
anaknya,0.003
anaknyaa,0.008
ancang,0.003
andai,0.006
anday,0.003
andini,0.003
aneet,0.003
aneh,0.011
anen,0.003
anet,0.003
anggap,0.003
anggar,0.003
angin,0.017
angka,0.003
angkasa,0.003
angkat,0.006
angkut,0.006
angkutan,0.003
anie,0.003
animenyaa,0.003
anindita,0.003
anjeerr,0.003
anjing,0.003
anker,0.006
annisia,0.003
annya,0.003
anom,0.003
anpo,0.003
anteeng,0.003
anti,0.003
antre,0.008
anywhere,0.003
apakaabaar,0.003
apakaabar,0.003
apakabaar,0.006
apakabaarnyaa,0.003
apakabar,0.006
apakabare,0.006
apanyaa,0.003
api,0.003
apps,0.008
appsnya,0.006
aquarius,0.003
ar,0.003
arah,0.006
arang,0.003
arbud,0.003
archimedes,0.003
aren,0.003
arep,0.003
arisan,0.003
artikel,0.003
artis,0.003
arum,0.003
aruna,0.003
asam,0.008
aseem,0.003
asemka,0.003
asi,0.006
asik,0.025
asiknyo,0.003
asing,0.003
asked,0.003
aspal,0.003
asyik,0.003
atit,0.003
attila,0.003
attractions,0.003
atur,0.003
audit,0.003
auditee,0.003
auditeenya,0.003
aurel,0.003
aussi,0.003
aussie,0.003
aveshxr,0.003
awan,0.008
awat,0.003
awet,0.006
aww,0.003
ax,0.003
ayah,0.014
ayam,0.028
ayce,0.003
ayo,0.188
ayun,0.006
ayuu,0.003
azab,0.003
azka,0.006
azkaa,0.003
babang,0.003
babangnyaa,0.003
baca,0.011
bacaa,0.003
badai,0.003
badan,0.014
baday,0.003
badut,0.003
baeklaahh,0.003
bagus,0.047
baguus,0.003
baguuss,0.003
bah,0.008
bahagia,0.011
bahagiaa,0.003
bahas,0.003
bahasa,0.006
bahaya,0.006
bain,0.003
baique,0.003
bajing,0.003
bajo,0.006
baju,0.014
bak,0.003
bakaar,0.003
bakar,0.011
bakmoy,0.003
bakso,0.003
bakti,0.006
baku,0.003
bakwan,0.003
bal,0.008
balap,0.003
balas,0.011
balok,0.006
baluk,0.006
balung,0.003
ban,0.008
bananas,0.003
bandara,0.006
bandel,0.003
banding,0.014
bandung,0.003
bang,0.006
banget,0.028
bangetss,0.003
bangga,0.003
bangun,0.025
banjiir,0.003
banjir,0.006
bantet,0.003
bantu,0.008
bapake,0.006
barakallah,0.003
barang,0.003
bareng,0.044
baret,0.003
baris,0.003
baruuw,0.003
baruw,0.003
basah,0.008
basi,0.003
baso,0.003
batal,0.03
batas,0.003
batu,0.006
bau,0.008
bawa,0.03
bawaa,0.003
bawain,0.006
bawang,0.008
bayar,0.003
bayi,0.017
bbnya,0.003
bd,0.003
bdt,0.003
becek,0.006
beda,0.008
bedrest,0.003
begadang,0.006
begi,0.003
beh,0.011
beha,0.003
bejo,0.003
bek,0.003
bekal,0.003
bekas,0.025
bel,0.072
belaga,0.003
belah,0.008
belaka,0.008
belanja,0.011
beli,0.08
belicik,0.006
bella,0.003
beloved,0.003
bels,0.003
beludru,0.003
belut,0.003
ben,0.006
benaran,0.003
bencana,0.003
bendera,0.006
bengkel,0.006
benji,0.003
benjol,0.003
bentaar,0.003
bentar,0.011
bentuk,0.003
berangan,0.003
berangkats,0.003
berapaa,0.003
berasaa,0.003
berat,0.003
berdukaa,0.003
bergejolaak,0.003
bergo,0.003
berhenti,0.003
berita,0.008
berkat,0.003
bermaain,0.003
bersih,0.003
bertemu,0.006
beruang,0.003
besok,0.055
betah,0.003
betss,0.003
betuul,0.003
beuts,0.003
bfcl,0.003
bgg,0.003
bgn,0.003
bi,0.003
bianglala,0.003
biarawati,0.003
biarpun,0.003
biasamasukangin,0.003
biawak,0.003
biaya,0.003
bibit,0.006
bicara,0.011
bien,0.003
bighug,0.003
bii,0.006
bijak,0.003
biji,0.003
bika,0.003
bikiin,0.006
bilaang,0.003
bilang,0.028
bimbel,0.003
bina,0.003
binatang,0.006
bingung,0.014
birthdaay,0.003
biru,0.006
bis,0.008
bismillah,0.006
bjfu,0.003
ble,0.017
blee,0.003
blek,0.017
bleunya,0.003
blew,0.006
blitar,0.003
blkg,0.006
blossoms,0.003
bndra,0.006
bni,0.003
bns,0.003
boardnya,0.003
bobok,0.017
bodoh,0.006
bogor,0.003
bohong,0.006
bolak,0.003
bolanyaa,0.003
bolong,0.003
bom,0.006
bombing,0.003
boncabe,0.003
bonjour,0.003
bosan,0.014
boston,0.003
bot,0.006
botak,0.008
bottakuri,0.003
bowling,0.003
bram,0.006
brgpun,0.003
bri,0.003
brighter,0.003
brkt,0.008
broh,0.003
bromo,0.017
browsing,0.003
brsih,0.003
bsar,0.003
bsji,0.003
bsn,0.003
bsnya,0.003
buaat,0.003
buah,0.006
buar,0.003
buaya,0.003
bubud,0.003
bubuk,0.006
budds,0.003
bude,0.028
budeh,0.003
budhe,0.003
buds,0.017
budss,0.006
buibu,0.008
buibukk,0.003
buka,0.033
bukalapak,0.003
bukannyaa,0.003
bukpus,0.003
bukti,0.003
buku,0.003
bul,0.011
bulat,0.003
bule,0.003
bulss,0.003
bumi,0.008
bumilnya,0.003
bunga,0.028
bungkus,0.003
bungs,0.008
bunn,0.006
buongiorno,0.006
buru,0.008
buruk,0.006
burung,0.006
busui,0.003
butuh,0.014
buul,0.003
bykan,0.003
bykin,0.003
byy,0.003
ca,0.008
caa,0.003
cabai,0.011
caca,0.003
cacacuit,0.003
cacar,0.006
cahaya,0.039
cair,0.003
cakap,0.006
cakeup,0.003
cakeups,0.003
cakung,0.003
