term,weight
ab,0.003
abu,0.003
ac,0.007
according,0.003
actress,0.003
adg,0.003
adhigana,0.003
adis,0.003
admin,0.007
ads,0.003
aduh,0.059
afdal,0.003
affordable,0.007
afik,0.003
afiliasi,0.003
afina,0.003
agung,0.003
agust,0.007
ah,0.02
ahjussii,0.003
ahli,0.003
air,0.003
airlines,0.003
ajak,0.023
ajar,0.026
aju,0.007
akakak,0.003
akakakak,0.01
akakakakak,0.023
akibat,0.003
akrab,0.003
aksel,0.007
aksi,0.003
akun,0.026
alam,0.01
alas,0.01
album,0.04
alesannya,0.003
alhamdulillah,0.02
alias,0.013
aliran,0.01
almas,0.003
along,0.003
alternatif,0.003
although,0.003
aman,0.016
amas,0.003
ambarrukmo,0.003
ambience,0.003
amin,0.046
amoeba,0.003
amongst,0.003
ampuh,0.007
ampun,0.003
ampyun,0.003
an,0.013
anak,0.026
analisis,0.003
ancen,0.01
andal,0.007
aneh,0.007
angan,0.007
angelicnya,0.003
anggota,0.01
anggur,0.01
angin,0.003
angka,0.03
angkat,0.007
anis,0.003
anjir,0.007
ankep,0.003
anniversary,0.007
annyeong,0.003
antipeluru,0.003
antre,0.003
anu,0.003
any,0.007
anyone,0.007
anywhere,0.003
apanih,0.003
apel,0.003
api,0.01
aplikasi,0.007
approx,0.003
arah,0.003
area,0.003
arek,0.003
arigato,0.003
artis,0.007
arya,0.003
asa,0.007
asam,0.003
asdasdasd,0.003
asdfghjkl,0.01
ashabib,0.003
ashraf,0.003
asi,0.007
asik,0.003
asin,0.007
asing,0.003
asisten,0.003
ask,0.003
aslan,0.003
asli,0.053
asri,0.003
assalamualaikum,0.003
astagfirullah,0.003
astaghfirullah,0.013
asti,0.01
astikhairunnisa,0.003
asyik,0.003
atm,0.003
australia,0.003
autosavenya,0.003
available,0.003
awa,0.003
awam,0.003
aware,0.003
awet,0.003
awkwkwk,0.003
ayah,0.026
ayahnha,0.003
ayam,0.003
ayey,0.003
ayo,0.125
ayokk,0.003
ayres,0.003
bab,0.01
babat,0.003
baca,0.049
badan,0.003
badass,0.003
bagikan,0.003
bagus,0.049
bahagia,0.013
bahan,0.003
bahasa,0.02
bain,0.003
bajing,0.02
baju,0.007
bakar,0.01
bakso,0.003
bal,0.003
balas,0.076
balikin,0.007
banding,0.03
bandung,0.013
bangga,0.007
bangun,0.016
bantu,0.016
barang,0.01
barat,0.003
bareng,0.013
basa,0.003
based,0.003
basically,0.003
baskom,0.003
batal,0.158
batas,0.007
bau,0.003
baut,0.003
bawa,0.033
bayang,0.013
bayangkan,0.007
bayar,0.007
bayi,0.013
bb,0.013
bby,0.013
bcl,0.003
bcs,0.003
beasiswa,0.003
beban,0.007
bebb,0.003
beberes,0.003
become,0.003
becoming,0.003
beda,0.036
beku,0.007
bela,0.003
belah,0.003
belaka,0.003
belanda,0.01
belanja,0.003
belasungkawa,0.003
beli,0.046
belikan,0.007
beludru,0.003
beluum,0.003
bem,0.016
ben,0.003
benam,0.003
benchmarking,0.003
bensin,0.003
bentuk,0.007
benyek,0.003
beomgyu,0.003
beranda,0.003
berani,0.003
berhubungan,0.007
berita,0.01
berkas,0.003
bersin,0.007
bertumpuk,0.003
beryl,0.003
beside,0.003
besides,0.003
besit,0.003
besok,0.036
bestie,0.003
beta,0.003
betah,0.003
between,0.003
bhl,0.003
biadab,0.003
bias,0.043
bibb,0.003
bibir,0.003
