term,weight
abai,0.011
abot,0.008
acar,0.003
acara,0.017
accntnya,0.003
aci,0.006
acuh,0.014
adam,0.006
adegan,0.003
adekku,0.006
adekmu,0.003
adeknya,0.014
adil,0.003
admin,0.028
adminnya,0.006
aduh,0.017
agama,0.008
agenda,0.003
agung,0.011
agus,0.003
ah,0.025
ahhahaha,0.003
ahjushi,0.008
ai,0.003
aidzin,0.003
aigo,0.003
aigoo,0.008
aiss,0.003
ajaib,0.003
ajak,0.008
ajar,0.022
ajeg,0.003
aji,0.003
aju,0.003
ajushi,0.006
akad,0.006
ake,0.003
akhire,0.003
akhlak,0.006
akting,0.011
aktor,0.003
ala,0.003
alam,0.006
alamat,0.006
alami,0.003
alas,0.011
album,0.003
alesannya,0.003
alex,0.003
alhamdulillah,0.033
alhamdullillah,0.003
alih,0.003
aman,0.006
amarah,0.003
ambegan,0.008
ambek,0.003
ambil,0.011
ambyar,0.008
amin,0.019
amnesia,0.003
ampuh,0.003
amuk,0.003
anak,0.133
andwe,0.008
aneh,0.006
anemia,0.003
angels,0.003
anggap,0.008
anggep,0.003
anggota,0.003
angka,0.003
angkat,0.008
angket,0.003
angkuh,0.003
angler,0.003
anime,0.003
anis,0.006
anjlok,0.003
anteng,0.003
anti,0.003
apik,0.003
aplikasi,0.003
apoteker,0.003
april,0.003
aquarius,0.008
arah,0.006
ardi,0.003
argh,0.003
arnold,0.003
arnolrd,0.003
aro,0.003
artine,0.003
arum,0.003
asa,0.003
asam,0.008
asar,0.003
asik,0.006
asli,0.008
asma,0.006
asmara,0.003
astri,0.003
asuh,0.003
atm,0.003
attitudenya,0.003
atur,0.008
aura,0.003
awas,0.003
ayah,0.014
ayam,0.025
ayo,0.058
azab,0.006
aziz,0.006
bab,0.003
baca,0.047
badai,0.003
badan,0.008
bagus,0.025
bahagia,0.008
bahan,0.003
bahas,0.003
bahasa,0.011
bahaya,0.008
baju,0.008
bakar,0.006
bakpia,0.006
bakrie,0.003
bakso,0.022
balas,0.033
balikin,0.003
banding,0.006
bandingkan,0.003
bangga,0.008
bangun,0.008
bangunin,0.003
banjir,0.003
bantu,0.008
