term,weight
abiezz,0.005
abu,0.005
acara,0.01
actione,0.005
adat,0.005
adi,0.005
adil,0.01
admin,0.063
adsense,0.005
aduk,0.005
afiha,0.005
agama,0.005
agustina,0.01
agustus,0.005
ah,0.01
ahli,0.01
ahmad,0.005
ahnya,0.005
ai,0.005
ajaib,0.005
ajak,0.01
ajar,0.068
aju,0.016
akhii,0.005
akhlak,0.01
akibat,0.005
akrab,0.005
akses,0.01
aksi,0.005
aktif,0.01
aktifinnya,0.005
aktipitas,0.005
akun,0.052
al,0.005
alaikum,0.01
alam,0.005
alami,0.005
alas,0.005
alat,0.005
alfamart,0.005
alhamdulillah,0.047
allahummaghfirlaha,0.005
almarhum,0.005
aman,0.01
ambil,0.01
ame,0.005
amin,0.01
ampu,0.005
ampuh,0.005
ampun,0.005
an,0.005
anak,0.031
android,0.005
aneh,0.005
anggap,0.005
angkat,0.005
anime,0.005
anji,0.005
apai,0.005
apel,0.005
api,0.01
aplikasi,0.005
arbain,0.005
area,0.021
arep,0.005
artis,0.005
arumaruhumu,0.005
arya,0.005
asesmen,0.005
asik,0.01
asing,0.01
asli,0.01
asn,0.01
assalamu,0.01
assesment,0.005
astaghfirullah,0.016
atine,0.005
audrey,0.005
aurat,0.005
awas,0.005
awet,0.005
ayo,0.068
ba,0.005
baca,0.052
back,0.005
bagus,0.047
bahan,0.005
bahas,0.016
bahasa,0.068
bahtsul,0.01
baja,0.01
bal,0.005
balas,0.052
bandara,0.005
banding,0.005
bangun,0.005
bantu,0.031
bapake,0.005
bareng,0.01
batal,0.21
batas,0.026
baterai,0.01
bawa,0.042
bawaslu,0.005
bayar,0.016
beda,0.063
bel,0.005
bela,0.005
belaga,0.01
belah,0.01
belajar,0.016
beli,0.021
beliau,0.031
ben,0.005
bentar,0.005
bentuk,0.005
beranda,0.005
berani,0.005
beras,0.005
berat,0.016
berhenti,0.005
berita,0.026
bersin,0.005
bertoruto,0.005
bertumpuk,0.005
besok,0.031
biadab,0.016
biarkan,0.005
