term,weight
aa,0.004
aamiinn,0.004
abad,0.004
abadi,0.004
abai,0.023
acara,0.004
achan,0.004
acuh,0.004
adakalanya,0.004
adang,0.004
adek,0.004
adex,0.004
adil,0.004
adit,0.004
aditt,0.004
admin,0.011
aduh,0.008
against,0.008
agam,0.004
agama,0.008
agnez,0.004
agung,0.004
agus,0.004
agustus,0.004
ah,0.008
ahjussi,0.004
ai,0.004
aib,0.004
ajaib,0.004
ajak,0.004
ajar,0.034
ajib,0.004
ajigeun,0.004
akbar,0.004
akhirat,0.004
akmu,0.004
akrami,0.004
akun,0.008
al,0.019
ala,0.008
alam,0.011
alami,0.004
alarm,0.004
alas,0.038
albert,0.004
album,0.008
alhamdulillaahh,0.004
alhamdulillah,0.057
ali,0.004
alih,0.004
alir,0.004
aliran,0.004
allahu,0.004
along,0.004
ambil,0.027
ambisi,0.004
amin,0.015
ampuh,0.004
amudo,0.008
an,0.019
anak,0.049
andal,0.008
andra,0.004
aneh,0.008
anggap,0.015
anggit,0.008
anggota,0.008
angin,0.004
angka,0.004
angkat,0.004
anik,0.004
aniya,0.004
anjayy,0.004
anjir,0.004
anjirrt,0.004
anti,0.004
antre,0.004
anugerah,0.004
anyone,0.004
aot,0.004
aowkwokwokwk,0.004
apung,0.004
arek,0.004
arep,0.008
areumdawodeon,0.004
arigatou,0.004
arrggh,0.004
artificial,0.004
arum,0.004
ary,0.004
asam,0.004
astagfirullah,0.004
astronomi,0.004
atkinson,0.004
atur,0.011
awam,0.004
ayam,0.004
ayo,0.084
ayun,0.004
azizah,0.004
bab,0.004
babak,0.004
babeeh,0.004
babehh,0.004
babi,0.004
baca,0.03
bacok,0.004
badai,0.004
badan,0.004
badas,0.004
baex,0.004
bagus,0.027
bahagia,0.053
bahan,0.015
bahas,0.004
bahasa,0.008
bahu,0.004
baja,0.004
bajar,0.004
bajing,0.004
bakar,0.008
bakul,0.008
bakwan,0.008
balas,0.008
ballin,0.004
banar,0.004
banda,0.004
bandara,0.004
banding,0.011
bandung,0.004
bangau,0.004
banget,0.004
bangga,0.03
banghwangi,0.004
bangkai,0.004
bangkang,0.004
bangku,0.004
bangun,0.008
bank,0.008
bantu,0.027
bar,0.019
barang,0.008
bari,0.004
basa,0.004
basah,0.004
basi,0.004
batal,0.75
batang,0.004
batas,0.008
batass,0.004
bau,0.004
bawa,0.008
bayang,0.004
bayar,0.004
bayi,0.019
bb,0.023
beban,0.011
bebas,0.008
beda,0.042
bedak,0.004
beh,0.004
bekas,0.004
beku,0.004
bela,0.004
belaga,0.015
belah,0.004
belajaar,0.004
belehan,0.004
belek,0.008
beli,0.008
beliau,0.011
belurr,0.004
ben,0.004
bencana,0.004
benci,0.034
benda,0.004
bentak,0.004
bentar,0.004
bentuk,0.008
beoril,0.004
beorimyeon,0.004
ber,0.008
berak,0.004
beranda,0.008
berani,0.023
beras,0.004
berat,0.019
berhenti,0.004
berisik,0.004
berita,0.004
berkah,0.004
berpikir,0.004
bersangkutan,0.004
bersih,0.004
bertanggungjawab,0.004
berumahtangga,0.004
besok,0.03
betah,0.004
betapa,0.004
betull,0.004
betuul,0.004
beuiaipi,0.008
bewe,0.004
bgaimana,0.004
bhkan,0.008
biadab,0.008
biarawati,0.011
bias,0.004
bicara,0.015
bie,0.004
bigbang,0.019
bighit,0.004
bijak,0.011
bijaksana,0.008
bilang,0.015
bingung,0.008
biru,0.004
bismillah,0.034
bisnis,0.008
bisu,0.004
bjir,0.004
blek,0.004
bo,0.004
bobby,0.004
bobox,0.011
bodoh,0.019
bohong,0.004
bol,0.004
bom,0.004
bomat,0.004
bonae,0.004
bondowoso,0.004
book,0.004
boros,0.004
bos,0.004
bosan,0.004
bp,0.011
brhenti,0.004
buah,0.034
buanyaakk,0.004
budak,0.004
budheg,0.004
budi,0.004
bujel,0.004
buka,0.008
buku,0.004
bumi,0.011
bunga,0.019
bungsu,0.004
buntett,0.004
buntut,0.004
bunuh,0.008
bupati,0.004
buram,0.004
bureumyeo,0.004
buru,0.004
buruh,0.004
buruk,0.019
burung,0.004
butuh,0.023
bux,0.008
byeoldeurege,0.004
byeonhaetji,0.004
cabang,0.008
cacat,0.004
cak,0.004
cambuk,0.004
candid,0.011
cantik,0.011
cape,0.004
capeek,0.004
cari,0.034
catat,0.008
cause,0.008
cc,0.004
cemara,0.004
cemas,0.004
cemburu,0.008
cemil,0.019
cemungud,0.004
cepat,0.019
cepatt,0.004
cerah,0.008
ceriaa,0.004
cerita,0.023
cermin,0.008
cha,0.004
chaero,0.004
chakhaji,0.004
chan,0.004
cheokhaneun,0.004
chinamyeon,0.004
choi,0.004
chorahaeji,0.004
chul,0.004
chumeul,0.004
chyeo,0.008
cicil,0.004
cikampak,0.004
cilok,0.004
cimong,0.004
cinta,0.133
cipta,0.008
ciu,0.004
clear,0.004
closer,0.004
closing,0.019
closingan,0.004
coba,0.042
cocok,0.015
cocoklogi,0.004
cocote,0.004
collab,0.004
comel,0.004
commedia,0.004
congratulation,0.004
corona,0.015
couo,0.004
cuaca,0.004
cuci,0.004
curang,0.004
curhat,0.004
dadang,0.008
dadi,0.008
dae,0.015
daebak,0.011
daedabi,0.004
daerah,0.008
daeri,0.004
daftar,0.004
dahsyat,0.004
dalbiche,0.004
damai,0.008
dampak,0.004
dar,0.004
dasare,0.004
dasi,0.008
data,0.004
daun,0.004
daya,0.004
days,0.004
dbwa,0.004
dc,0.008
debar,0.008
debat,0.004
debut,0.008
deep,0.004
deh,0.004
dendam,0.008
dendang,0.004
dengar,0.011
deoreoun,0.004
desa,0.004
desc,0.004
desu,0.004
detected,0.004
detik,0.004
deureumyeo,0.004
deuriorida,0.004
dewa,0.008
dewasa,0.019
dewe,0.011
dhodhoku,0.004
dhuwit,0.011
diam,0.038
dibe,0.004
dibeliin,0.004
didit,0.004
digrenengi,0.004
diitung,0.004
dijadikan,0.004
dikasih,0.004
diladeni,0.004
dilungsurke,0.004
dimana,0.023
dina,0.004
dinaikkin,0.004
dinding,0.004
ding,0.008
dingin,0.004
dino,0.011
dipanggungin,0.004
diplomatis,0.004
dipunggungin,0.004
dispenser,0.004
diuyak,0.004
divina,0.004
dnl,0.011
dnp,0.004
doa,0.03
dolan,0.008
dolo,0.004
domba,0.004
dominic,0.004
doragal,0.004
dorawa,0.004
dp,0.004
drakoor,0.004
drama,0.011
dreams,0.004
dripd,0.004
ds,0.004
dsinilah,0.004
dsuruh,0.004
du,0.008
dudu,0.004
duka,0.004
dukung,0.027
dul,0.004
dunia,0.038
duniaa,0.004
duo,0.004
duri,0.004
duryeoun,0.004
duuh,0.004
duwe,0.008
edisi,0.004
ee,0.004
ego,0.004
egois,0.008
eh,0.008
einstein,0.004
ekhaningrum,0.004
ekor,0.004
ekso,0.004
el,0.004
else,0.004
embara,0.004
embel,0.004
embrio,0.004
emis,0.004
emosi,0.004
enam,0.004
energi,0.004
engkau,0.004
entut,0.004
eobseo,0.019
eochapi,0.004
eom,0.004
eonjekkajirado,0.004
eonni,0.004
eopseo,0.004
eopsneun,0.004
eopsso,0.004
eoy,0.004
epik,0.008
epikk,0.004
episode,0.008
erat,0.008
erti,0.015
esok,0.015
esteh,0.004
eti,0.004
etik,0.004
eun,0.004
evaluasi,0.004
exo,0.004
fakes,0.004
fallin,0.004
fals,0.008
fandom,0.008
fantastic,0.008
fao,0.008
far,0.008
farhan,0.004
fase,0.011
fast,0.004
favorit,0.008
fears,0.004
felix,0.004
fesbuk,0.004
fiersa,0.011
filasafa,0.004
filosofi,0.004
fired,0.004
fitri,0.004
flatearth,0.004
fleksibel,0.008
flower,0.004
fokus,0.004
foto,0.019
freshcare,0.004
friedrich,0.004
friends,0.004
fuah,0.008
fucek,0.004
futaba,0.004
gabung,0.004
gacukup,0.004
gadis,0.004
gagal,0.03
gagas,0.004
gaji,0.008
galak,0.004
galengkap,0.004
galibur,0.004
gambar,0.004
gameul,0.004
ganbatte,0.004
ganggu,0.011
gani,0.004
ganja,0.004
gantengya,0.004
ganti,0.008
gantung,0.008
gapai,0.004
gapercaya,0.004
gaperlu,0.015
gaperna,0.004
gapura,0.004
gara,0.011
garang,0.004
garap,0.004
gasabar,0.004
gasik,0.004
gasineun,0.004
gateun,0.004
gawean,0.004
gaya,0.004
gayeng,0.004
gd,0.004
gdragon,0.004
gedhe,0.004
gedumell,0.004
gegaraning,0.004
gek,0.008
gelar,0.004
gelisah,0.004
gemas,0.004
gembira,0.004
gempa,0.004
genduk,0.004
genit,0.004
genthongan,0.004
geogi,0.004
geon,0.004
geopjaengi,0.004
geoul,0.008
geoya,0.011
geperlu,0.004
geprek,0.004
gerak,0.011
geram,0.004
gering,0.004
geu,0.004
geudae,0.008
geudael,0.004
geugoseseo,0.004
geuriwojimyeon,0.004
geuttae,0.004
ghatzia,0.004
ghibah,0.004
gidaryeoyo,0.004
gieokhae,0.004
gil,0.004
gila,0.015
gire,0.004
girui,0.004
gitiil,0.004
gitil,0.004
gmbr,0.004
goblin,0.004
golek,0.008
gomawo,0.011
goreng,0.004
goyah,0.004
gozaimasu,0.004
gozaimuch,0.004
grup,0.019
gud,0.004
gugat,0.004
guling,0.004
guncang,0.011
guru,0.004
gusti,0.011
gusur,0.004
gwaenchana,0.008
gyeolguge,0.004
habis,0.046
hadiah,0.008
hadir,0.008
hadist,0.004
hago,0.008
hahahaa,0.004
hahahahahahahaha,0.004
hajar,0.004
hajim,0.004
hajima,0.004
hak,0.008
hakim,0.004
halaman,0.008
hamba,0.015
hamdalah,0.004
hanbin,0.008
hancur,0.011
hangat,0.015
hantu,0.004
hapus,0.004
haram,0.004
harap,0.049
harga,0.034
harmoni,0.004
harta,0.011
hashtag,0.004
hasil,0.027
hatake,0.004
hati,0.129
hatta,0.004
hebat,0.011
hening,0.008
henti,0.019
hhm,0.004
hhmm,0.004
hianat,0.004
hias,0.004
hiatus,0.004
hibernasi,0.004
hidup,0.11
hijau,0.008
hikmah,0.004
hilang,0.015
hindar,0.011
hipertensi,0.004
hipotensi,0.004
hiruk,0.004
hobi,0.008
hol,0.004
honjaga,0.004
honjayeotji,0.004
hoobastank,0.004
hore,0.004
hormat,0.004
horor,0.004
huhoe,0.004
hujan,0.008
husband,0.004
hutang,0.008
hye,0.004
hyun,0.015
ibadah,0.004
iblis,0.004
ibrahim,0.004
ibux,0.011
ichan,0.004
idamyeon,0.004
idola,0.004
ienakatta,0.004
ih,0.004
iikk,0.004
ikan,0.004
ikat,0.004
ikhlas,0.011
ikhtilat,0.004
ikii,0.004
ikon,0.011
ikonic,0.004
ikuti,0.004
ilah,0.004
illahi,0.004
illuminati,0.004
ilya,0.004
imam,0.004
iman,0.004
indaah,0.004
indah,0.034
indak,0.004
indallahi,0.004
indonesia,0.019
ingkar,0.004
injak,0.004
injil,0.004
input,0.004
insan,0.008
insekyur,0.008
inspirasi,0.004
instagram,0.004
insya,0.034
integritas,0.004
intelijen,0.004
inti,0.004
inyong,0.004
ireng,0.004
ireohke,0.004
iri,0.011
iring,0.011
isak,0.004
isi,0.004
isih,0.023
ismail,0.004
isnin,0.004
isnt,0.004
iso,0.008
isseo,0.004
issgil,0.004
istighfar,0.004
istikamah,0.008
istirahat,0.023
istri,0.008
isu,0.004
itachi,0.004
ittadakimasu,0.004
iwan,0.008
iya,0.16
iyudo,0.004
iz,0.004
izin,0.008
jae,0.004
jaga,0.008
jagiaa,0.004
jagung,0.008
jahat,0.015
jahatt,0.004
jajan,0.008
jal,0.004
jalan,0.069
jalur,0.004
jaman,0.042
jamber,0.004
jamrud,0.004
jamsi,0.004
janda,0.008
jang,0.008
janha,0.011
janji,0.004
jantung,0.004
jarak,0.004
jari,0.011
jariyah,0.004
jatah,0.011
jati,0.004
jatuh,0.042
jbjb,0.008
jelek,0.004
jempol,0.004
jemput,0.008
jenderal,0.004
jengkel,0.004
jenis,0.008
jenius,0.004
jenuh,0.004
jeoldae,0.004
jeon,0.004
jeongmal,0.004
jerawaat,0.004
ji,0.027
jibeo,0.008
jidi,0.004
jinsimi,0.004
jinsimiya,0.004
jiraiya,0.004
jitheng,0.004
jiwa,0.004
jo,0.004
joalarm,0.004
jobdesk,0.004
jodoh,0.004
jogeumeun,0.004
johahaeyo,0.004
jojo,0.004
joon,0.011
ju,0.004
juang,0.049
jueru,0.004
jugeobeoril,0.004
jum,0.004
jumat,0.004
jumpa,0.004
jung,0.011
juseyo,0.004
juta,0.008
jwoyo,0.004
kabeh,0.004
kadang,0.015
kah,0.011
kait,0.004
kajima,0.004
kakashi,0.004
kakek,0.004
kaki,0.004
kaku,0.004
kalah,0.034
kalem,0.008
kambek,0.015
kambekk,0.004
kambing,0.004
kamboja,0.004
kamsahamnida,0.004
kanae,0.004
kancane,0.004
kantor,0.004
kaos,0.004
kapten,0.004
karang,0.004
karantina,0.008
karepe,0.004
karepmu,0.004
karya,0.004
kasar,0.008
kasih,0.015
katalia,0.004
kaum,0.004
kawai,0.004
kebal,0.004
kebiri,0.004
kebut,0.004
kecewa,0.008
kecoaa,0.004
kecuali,0.004
kecut,0.011
kejam,0.011
kejar,0.011
keju,0.004
kejut,0.004
kekancan,0.004
kekang,0.004
kekuatankuu,0.004
kelak,0.023
kelapa,0.004
kelas,0.008
keliling,0.004
kelilipen,0.004
kelong,0.004
keluarga,0.034
keluh,0.004
kemah,0.008
kemarin,0.008
kemruyuk,0.004
ken,0.011
kenal,0.053
kenang,0.004
kendala,0.004
kendara,0.011
kene,0.008
kepala,0.019
kepruk,0.004
keras,0.038
keren,0.004
keri,0.008
kering,0.004
kerjo,0.004
keroyok,0.004
kersane,0.004
kerumun,0.008
kesah,0.004
kesal,0.004
kesan,0.004
kesiap,0.004
ketemu,0.008
ketua,0.011
keu,0.004
kgen,0.004
khabib,0.004
khawatir,0.015
khoir,0.004
khususon,0.004
ki,0.019
kiamat,0.004
kikuchi,0.004
kim,0.023
kimmy,0.004
kiri,0.004
kirim,0.004
kisah,0.004
kitty,0.004
kiyowo,0.004
kkeute,0.004
kkeutnamyeon,0.004
kkocc,0.004
kkocheul,0.004
klakon,0.004
klean,0.008
kodrat,0.004
komentar,0.011
kompetisi,0.004
kompetitif,0.004
komplain,0.004
konco,0.004
konon,0.004
konsekuensi,0.004
konsep,0.004
konspirasi,0.004
konten,0.004
kontra,0.004
kontrak,0.008
kontrol,0.008
korban,0.004
korea,0.008
koreografi,0.008
kosong,0.004
kota,0.008
kotoba,0.004
kotoran,0.008
kpop,0.004
krambil,0.004
krjo,0.004
krjsama,0.004
ku,0.004
kuadd,0.004
kualitas,0.004
kuasa,0.008
kuat,0.069
kuatt,0.004
kucing,0.008
kuliah,0.008
kulit,0.004
kumpul,0.004
kuning,0.004
kupat,0.004
kuping,0.004
kusir,0.004
kutuk,0.004
kwon,0.011
kyung,0.008
laah,0.004
lagu,0.03
lagune,0.004
lahir,0.011
lairan,0.004
lajang,0.008
laki,0.148
lakon,0.004
laksana,0.004
lambai,0.004
lambat,0.004
lambe,0.004
lancar,0.008
langit,0.004
langkah,0.008
lapar,0.004
laperr,0.004
lapor,0.004
lari,0.019
lawan,0.011
layak,0.004
