term,weight
abisin,0.004
abses,0.008
absesnyaa,0.004
abu,0.004
acak,0.004
acara,0.004
actingnya,0.004
adeknya,0.008
admin,0.011
adminnya,0.004
adrenaline,0.004
aduh,0.004
aeon,0.004
ah,0.004
ahjumma,0.004
ahok,0.004
aimm,0.004
airmata,0.004
ajar,0.034
ajs,0.004
aksi,0.004
aktif,0.004
akun,0.004
akutumah,0.004
ala,0.004
alami,0.004
alas,0.004
alat,0.008
alergi,0.004
aliran,0.008
alternatif,0.004
aman,0.008
amazed,0.004
ambil,0.019
america,0.004
amin,0.019
amininn,0.004
among,0.008
ampun,0.004
an,0.019
anaconda,0.004
anak,0.053
anakuicantik,0.004
ancurin,0.004
andre,0.004
aneh,0.004
anggota,0.004
angin,0.026
angkat,0.015
ani,0.004
anime,0.008
animenya,0.004
annabelle,0.004
antem,0.004
apadong,0.004
aparat,0.004
apas,0.004
apatu,0.004
apatuh,0.004
apikal,0.004
apps,0.004
appstore,0.004
area,0.004
arnold,0.004
artikel,0.004
artis,0.004
asa,0.004
asi,0.004
asia,0.004
asih,0.004
asing,0.004
asrama,0.004
atm,0.004
atoga,0.004
avatar,0.008
awas,0.004
awat,0.004
ayam,0.008
ayce,0.004
ayo,0.038
babak,0.004
babang,0.008
babi,0.004
babysitters,0.004
baca,0.015
backsound,0.004
badan,0.004
badass,0.004
bagikan,0.004
bagos,0.004
bagus,0.011
bahagia,0.004
bahan,0.008
bahasa,0.019
bajaj,0.004
baju,0.004
bajuri,0.004
bakso,0.004
bal,0.004
bala,0.004
balas,0.011
balasan,0.004
bambank,0.008
bamed,0.004
bana,0.008
bandung,0.004
banget,0.004
bangga,0.004
bangun,0.004
banjir,0.008
bantu,0.008
banyakk,0.008
bar,0.004
barang,0.008
bare,0.004
bareng,0.004
baris,0.004
batal,0.419
batas,0.015
bau,0.011
bawang,0.004
bayang,0.008
bayar,0.004
bayi,0.004
beasiswa,0.004
bebas,0.004
bece,0.004
beda,0.015
bekas,0.015
bel,0.008
bela,0.008
belaga,0.011
belah,0.004
belalak,0.004
beldin,0.004
belepotan,0.004
beli,0.015
bella,0.004
belladina,0.011
bening,0.008
bentar,0.03
benteng,0.008
bentuk,0.011
beranda,0.008
berani,0.008
berhembes,0.004
berita,0.004
berpikirkeras,0.004
berry,0.004
bersih,0.008
bertumpuk,0.004
besok,0.008
bh,0.004
bi,0.004
biadab,0.004
bias,0.008
biaya,0.004
bibir,0.004
bicara,0.008
biden,0.004
bilang,0.015
bima,0.004
bimbang,0.004
bingung,0.015
bintang,0.004
birthmark,0.004
biru,0.004
biskuit,0.004
bitsy,0.004
blmm,0.004
boba,0.008
bodoh,0.008
bohong,0.004
bom,0.004
boneka,0.004
bopb,0.004
bopp,0.004
bosan,0.004
bosko,0.004
bpjs,0.004
breaking,0.004
breathe,0.004
bright,0.004
brownies,0.004
bruh,0.004
bta,0.015
bts,0.011
buah,0.004
buaya,0.004
bubur,0.004
budaya,0.004
bujuk,0.004
buka,0.019
bukittinggi,0.004
buku,0.008
bumbu,0.004
bumi,0.004
bunda,0.004
bunga,0.004
bungkus,0.011
bunuh,0.004
bunuhin,0.004
bunyi,0.004
bur,0.004
