term,weight
aabidin,0.005
abadi,0.009
abrik,0.005
abu,0.005
aca,0.005
acara,0.014
acuh,0.014
adhi,0.005
admin,0.009
admine,0.005
aduh,0.009
aduk,0.005
agama,0.032
agung,0.005
agustus,0.005
ah,0.009
ajak,0.014
ajar,0.05
akbar,0.005
akhirat,0.005
akujugagiblikkokmasgapapa,0.005
akun,0.014
al,0.018
ala,0.009
alam,0.005
alas,0.014
alat,0.009
alfabet,0.005
alhamdulillah,0.023
ali,0.009
alias,0.005
allahu,0.005
allergic,0.005
alt,0.005
amaccho,0.005
amal,0.005
aman,0.014
ambil,0.032
ambisi,0.005
ambyar,0.005
amin,0.014
an,0.018
anafilaktik,0.005
anak,0.131
analyzing,0.005
ancam,0.005
andal,0.009
andong,0.005
angeel,0.005
anggap,0.009
angin,0.005
angka,0.005
angkat,0.005
angy,0.005
animals,0.009
anjing,0.009
anna,0.014
anniversary,0.005
antik,0.005
anton,0.005
antre,0.005
anut,0.005
anyar,0.005
anyone,0.005
apike,0.005
aplikasi,0.009
apreciated,0.005
apresias,0.005
arabs,0.005
arah,0.005
area,0.014
arep,0.009
arianaga,0.009
arifin,0.005
armrest,0.005
arsip,0.005
artis,0.005
asa,0.005
asam,0.005
aset,0.005
asik,0.005
asli,0.014
asliny,0.005
astagah,0.005
ate,0.005
atid,0.005
attended,0.005
atur,0.014
aura,0.009
awan,0.005
awanpanas,0.005
awas,0.009
awass,0.005
awat,0.005
awokwokwok,0.005
awokwokwowk,0.005
awowkwowkww,0.005
ayah,0.009
ayam,0.036
ayo,0.167
ayune,0.005
ba,0.005
babe,0.014
bablas,0.005
baca,0.081
bagas,0.005
bagus,0.05
bahagia,0.05
bahan,0.014
bahas,0.005
bahasa,0.005
bahu,0.005
baja,0.005
bajing,0.018
baju,0.023
bakat,0.005
bakso,0.009
bakti,0.005
bal,0.005
balas,0.027
baliho,0.005
bancakane,0.005
bandara,0.005
banding,0.027
banget,0.009
bangga,0.005
bangkit,0.005
bangsa,0.009
bangun,0.018
banjir,0.009
bantal,0.005
banting,0.005
bantu,0.032
banyune,0.005
baqoroh,0.005
barang,0.005
barangbukti,0.005
barangkali,0.014
barat,0.005
bareng,0.014
baris,0.005
barito,0.005
basah,0.009
