term,weight
abt,0.006
acak,0.003
acara,0.003
accepted,0.003
according,0.009
ackerman,0.003
activities,0.003
adil,0.003
admin,0.012
aduh,0.003
aespa,0.006
affairs,0.003
against,0.003
agenda,0.003
ah,0.006
ahli,0.003
ahmad,0.003
ai,0.003
ajar,0.003
ajeb,0.003
akibat,0.003
akses,0.006
aktif,0.006
aktor,0.006
akun,0.043
alam,0.009
alamak,0.003
alas,0.003
alat,0.006
album,0.04
alhamdulillah,0.016
alir,0.003
allu,0.003
alwa,0.003
amasat,0.003
ambil,0.012
amin,0.009
an,0.059
anak,0.037
aneh,0.012
anggota,0.022
angka,0.003
angkat,0.003
anjengk,0.003
anjenk,0.009
anniv,0.003
announced,0.003
announces,0.006
annya,0.003
any,0.003
anymore,0.003
anyone,0.012
anytime,0.003
apart,0.003
apartnya,0.006
apas,0.009
aplikasi,0.003
appear,0.006
appears,0.003
april,0.047
aqua,0.006
ar,0.043
arent,0.003
artikel,0.003
arus,0.003
as,0.028
asa,0.006
asap,0.006
asdffsgshsjsl,0.003
asdfghjkll,0.003
asdfghsjskldsk,0.003
asdfgshsjslsl,0.003
asdfgshsjslslsl,0.003
asdfsgsjskslsl,0.003
asdgsgdhlksfm,0.003
asffgshsjslsls,0.003
asin,0.009
ask,0.003
asked,0.003
asking,0.003
asks,0.003
asli,0.019
assum,0.003
assume,0.003
astaghfirullah,0.003
ata,0.003
attacked,0.003
attending,0.003
aunty,0.003
available,0.003
avatar,0.003
awkwjwkwkw,0.003
awkwkwk,0.003
awkwkwkwk,0.006
awkwkwkwkw,0.009
awkwkwkwkwjw,0.003
awkwkwkwkwkwk,0.003
awqwqwqwq,0.003
awwlnya,0.003
ayam,0.006
ayo,0.068
babywols,0.003
baca,0.034
bacok,0.003
baekhyun,0.003
bagikan,0.009
bagus,0.047
bahagia,0.003
bahan,0.003
bahasa,0.012
baiq,0.006
bajing,0.016
baju,0.012
bala,0.003
balas,0.009
balcon,0.003
balconnya,0.003
bam,0.003
bambi,0.003
banci,0.003
banding,0.003
banget,0.003
bangga,0.016
bangsa,0.003
banking,0.003
bantu,0.012
bar,0.003
barang,0.028
barangny,0.003
bareng,0.019
based,0.003
basically,0.003
bastar,0.003
batal,0.363
baur,0.003
bawa,0.009
bayang,0.003
bayar,0.031
bayarin,0.003
bayi,0.012
bayik,0.003
bb,0.009
bbch,0.006
bbl,0.006
beban,0.003
bec,0.003
became,0.003
become,0.003
beda,0.019
bedah,0.003
behaviour,0.003
behind,0.019
bel,0.003
bela,0.003
belaga,0.006
belai,0.003
belanja,0.003
beli,0.106
believes,0.003
belik,0.003
benci,0.009
benefitnya,0.003
bentar,0.003
ber,0.025
bera,0.003
beranda,0.009
berapakalipun,0.003
bercanda,0.003
berdua,0.003
berhenti,0.006
berisik,0.003
berita,0.006
berlian,0.003
berteman,0.003
beside,0.003
besok,0.012
betapa,0.003
betina,0.006
between,0.003
beyond,0.118
biadab,0.003
biarawati,0.003
bicara,0.009
biggest,0.006
bijaksana,0.003
bilang,0.009
bingung,0.012
bintang,0.009
biru,0.003
bismillah,0.016
bleaching,0.003
blonde,0.003
bloodbath,0.003
blows,0.003
blueish,0.003
bodoh,0.006
bolee,0.003
bom,0.016
bonus,0.003
bosan,0.012
botak,0.003
both,0.003
boyfriend,0.003
boys,0.016
boz,0.003
brand,0.003
brave,0.003
breathtakingly,0.003
brought,0.003
btob,0.003
bts,0.003
buka,0.05
bukti,0.006
bumi,0.003
bundling,0.009
bunny,0.003
bunuh,0.003
buru,0.003
buset,0.003
butuh,0.009
cacat,0.006
cahaya,0.003
cakap,0.003
cakefkfj,0.003
called,0.006
camera,0.003
cancik,0.003
candid,0.012
cantik,0.006
cardboard,0.003
cares,0.003
cari,0.056
cases,0.003
cat,0.006
cause,0.003
cc,0.006
cde,0.006
cekrek,0.006
cema,0.003
cemburu,0.003
cemil,0.016
cepat,0.003
cerewet,0.003
cerita,0.009
certain,0.003
certified,0.006
cetak,0.003
cham,0.003
champ,0.003
charisma,0.003
checkout,0.003
children,0.003
chinese,0.003
choi,0.025
choiminho,0.003
choimno,0.006
choipan,0.003
choom,0.003
choreo,0.003
chuther,0.003
cincang,0.003
cinta,0.019
circ,0.003
cities,0.003
cium,0.003
clear,0.009
clingy,0.003
closing,0.003
coba,0.031
cocoklogi,0.003
coklat,0.003
comeback,0.009
comes,0.003
commented,0.003
comments,0.003
concept,0.006
concerts,0.003
confiscated,0.003
confused,0.003
congratulate,0.003
congratulation,0.003
corona,0.016
couldnt,0.003
countries,0.006
cries,0.003
cs,0.003
cukur,0.003
curhatan,0.003
cussing,0.003
cutee,0.003
cutie,0.009
cuties,0.006
cutouts,0.003
cuy,0.003
dadak,0.006
daftar,0.003
dagang,0.019
dagila,0.003
damai,0.003
dana,0.003
dangdut,0.003
dapetnya,0.003
