term,weight
aa,0.015
abisin,0.001
abttjb,0.001
abu,0.002
ac,0.001
acep,0.001
acih,0.002
addicted,0.001
adeuy,0.002
adil,0.001
admin,0.001
aduh,0.006
ady,0.009
aet,0.015
aewv,0.001
agung,0.001
ah,0.025
ahonng,0.001
ahq,0.001
ai,0.005
aibon,0.001
aicgeb,0.001
aidp,0.001
aidzin,0.001
aiflyeiwxz,0.002
aih,0.002
ain,0.002
air,0.001
ajak,0.001
ajar,0.009
aji,0.001
akaka,0.001
akakak,0.001
akar,0.006
akod,0.001
aks,0.001
aktif,0.002
akuge,0.002
akumah,0.001
akun,0.002
akuntansi,0.002
akurium,0.001
akx,0.001
al,0.004
ala,0.002
alaikum,0.001
alaska,0.001
alayna,0.002
alba,0.001
alexis,0.001
alfa,0.002
alhamdulillah,0.012
alhasil,0.001
alias,0.001
alibi,0.001
alir,0.001
allah,0.005
alright,0.001
alumni,0.001
ambhara,0.002
ambil,0.001
amin,0.009
amit,0.001
ampan,0.001
ampun,0.009
an,0.002
anak,0.014
anang,0.001
angelina,0.002
anggap,0.001
anggora,0.002
anggur,0.005
angka,0.001
angkat,0.005
angpao,0.001
angsulan,0.002
angung,0.001
anji,0.002
anu,0.004
anyaak,0.001
anyer,0.001
apaleun,0.001
apel,0.001
apih,0.001
aplikasi,0.007
apose,0.002
april,0.001
arab,0.001
ariana,0.002
ariel,0.002
arlan,0.001
arogan,0.001
arrgh,0.001
arrived,0.001
artis,0.002
arus,0.001
asataga,0.002
asep,0.001
asiik,0.001
asli,0.002
assalamu,0.001
asseek,0.002
astaga,0.004
astagfirulloh,0.004
astral,0.001
astronot,0.002
ateul,0.004
atletico,0.001
atos,0.002
atuda,0.002
atulah,0.004
atuuh,0.002
awam,0.001
axe,0.004
ayam,0.001
ayena,0.002
ayo,0.025
babak,0.001
baca,0.01
back,0.004
badan,0.002
bagus,0.012
bahasa,0.002
bahu,0.004
bajing,0.002
baju,0.004
bakar,0.002
bakmi,0.001
bal,0.002
balabala,0.001
balaga,0.002
balas,0.001
balon,0.006
banding,0.006
banget,0.001
bangga,0.004
bangkai,0.001
bangkay,0.001
bangun,0.006
barca,0.02
barcanya,0.001
barcelona,0.001
bareng,0.005
barokah,0.001
barokallah,0.001
basah,0.001
basicnya,0.001
batal,0.007
batas,0.001
bathin,0.004
batuk,0.001
baturan,0.001
bau,0.005
bawa,0.002
bayar,0.001
bb,0.001
bd,0.002
bdug,0.002
beda,0.001
begadang,0.001
began,0.001
bego,0.001
bejakeun,0.005
bek,0.001
beku,0.001
bela,0.001
belaga,0.025
beli,0.004
benam,0.004
benci,0.002
bengkak,0.004
bentar,0.006
bep,0.001
beranda,0.002
berat,0.001
berkah,0.001
berkumpul,0.005
bersyukur,0.001
berterimakasih,0.004
berubah,0.001
besi,0.002
besok,0.005
bey,0.002
bhdzedr,0.001
biadab,0.001
biarkan,0.001
bibi,0.002
bibir,0.002
bikini,0.001
bilang,0.007
billy,0.004
bintit,0.001
birtday,0.001
biru,0.001
bis,0.001
bisik,0.001
bismillah,0.006
bkalan,0.002
bkannya,0.001
bkinin,0.002
blad,0.002
bliges,0.001
bloog,0.001
blusukan,0.001
bnar,0.002
bngkak,0.001
bnv,0.001
bnyakan,0.001
boarding,0.004
boboko,0.002
bocor,0.001
bodoh,0.012
bogeg,0.004
bohong,0.001
bola,0.007
bolong,0.007
bom,0.001
bon,0.001
bonjour,0.001
bonus,0.001
boro,0.002
bosan,0.002
both,0.001
boys,0.001
bpa,0.005
branches,0.001
braninya,0.001
brdoa,0.001
breng,0.001
brtahun,0.001
buah,0.001
buang,0.001
bubl,0.001
bubur,0.001
budug,0.004
buk,0.001
buka,0.002
bukit,0.001
bukti,0.001
bulak,0.004
buleud,0.004
bulu,0.001
buly,0.002
bumbu,0.001
bumi,0.001
bunda,0.001
bundad,0.001
bundadalina,0.001
bundadari,0.001
bundadarina,0.001
bunuh,0.002
buru,0.004
buruk,0.009
butuh,0.007
bwa,0.001
bx,0.043
cacing,0.002
cai,0.001
cair,0.001
cakep,0.001
cangkir,0.012
cantik,0.006
capruk,0.001
carekan,0.002
cari,0.005
cc,0.006
cedih,0.002
celaang,0.001
celana,0.005
celang,0.002
cemil,0.004
cemungutd,0.001
cepat,0.001
cerewet,0.001
cerita,0.005
cermin,0.001
ceudi,0.001
ceuu,0.001
cf,0.001
cgukfdi,0.001
ch,0.001
chaplin,0.001
charlie,0.001
chef,0.001
chiken,0.001
chiko,0.001
chit,0.001
christina,0.001
chuan,0.001
ciao,0.001
cibekok,0.001
cie,0.002
cikalong,0.005
ciklong,0.001
cing,0.004
cinta,0.029
cintah,0.002
cirata,0.001
cisomang,0.002
ciuss,0.002
ckalong,0.001
ckw,0.001
clq,0.001
clv,0.001
cnah,0.001
coba,0.002
cocok,0.005
cok,0.001
comes,0.001
congrate,0.001
cont,0.004
coplok,0.001
coratcoret,0.001
counting,0.001
cowok,0.452
crj,0.001
crnk,0.001
cuaca,0.001
cuanki,0.001
cuci,0.001
culeswati,0.001
cuman,0.001
cumungut,0.001
cupcup,0.001
curhat,0.001
cus,0.001
cuss,0.002
cvpgu,0.001
cvylzfisr,0.001
dadang,0.001
daftar,0.001
dagang,0.001
dahdir,0.001
dapatin,0.001
darl,0.002
daydreamin,0.001
dc,0.002
dde,0.001
dea,0.004
debat,0.001
debu,0.001
dedeh,0.001
deh,0.015
dek,0.004
deketlah,0.001
dekok,0.001
demam,0.001
demes,0.001
demo,0.001
denda,0.001
dengar,0.001
derigennan,0.002
det,0.017
detia,0.019
deui,0.005
df,0.001
dgjrjd,0.001
diam,0.002
diare,0.001
dibere,0.001
diet,0.001
digoblog,0.001
dih,0.006
diih,0.001
dijuldc,0.001
dikit,0.005
dilema,0.01
dimana,0.001
dinda,0.001
dinding,0.001
dingin,0.002
diskon,0.001
ditengokin,0.001
dk,0.001
dktan,0.001
dmw,0.001
dncustkn,0.001
doa,0.009
dodit,0.001
dolar,0.001
donat,0.005
dosa,0.001
doyok,0.001
dre,0.001
dri,0.017
dripd,0.002
drooling,0.002
du,0.001
duaar,0.001
dude,0.001
duka,0.002
duluan,0.001
dunia,0.002
duper,0.001
duta,0.001
dvjyhgxa,0.001
dwkm,0.001
eaa,0.004
eaks,0.002
eboni,0.004
ecw,0.001
edisi,0.002
eeh,0.001
efek,0.002
efektamubulanan,0.001
eforcfc,0.001
eh,0.024
ehyaya,0.001
eim,0.001
ek,0.002
ekeu,0.001
eks,0.001
el,0.002
elegan,0.001
elehan,0.002
elektronik,0.002
elves,0.001
elvis,0.001
ember,0.002
embung,0.001
emmberan,0.002
emung,0.005
encum,0.002
endah,0.001
endog,0.002
endogan,0.001
engke,0.005
enjing,0.002
enough,0.001
enya,0.006
era,0.001
erat,0.002
eropa,0.001
euy,0.006
every,0.001
ewwh,0.001
exclusive,0.004
exvuk,0.001
fa,0.001
facebook,0.001
fakyuh,0.004
fatufeiztm,0.001
fcfr,0.001
fdzvvtwgqn,0.001
feri,0.001
ferlii,0.002
fest,0.001
fisika,0.001
flamboyan,0.006
flas,0.001
flashack,0.001
flashbook,0.001
flashcare,0.001
flashdisk,0.001
flashmob,0.001
flashsetan,0.001
flashter,0.001
fllowd,0.001
fokus,0.005
folder,0.001
follow,0.004
followback,0.001
foto,0.026
friday,0.001
friends,0.001
frontal,0.001
fuckin,0.002
fuckn,0.001
gabsa,0.001
gabung,0.001
gadi,0.001
gadis,0.001
gadiwaro,0.002
gais,0.001
galak,0.002
galon,0.001
gandeng,0.001
ganggu,0.001
ganteeng,0.001
ganti,0.001
garis,0.001
gawang,0.001
gaya,0.006
ge,0.002
geg,0.002
gelembung,0.001
gembala,0.001
gemuk,0.002
gen,0.001
genaheun,0.006
gendut,0.004
gening,0.001
geplak,0.001
gera,0.009
gerah,0.001
gerak,0.004
gerasok,0.004
gerat,0.001
gertak,0.001
geuleuh,0.002
geulis,0.002
geus,0.005
gigit,0.001
gih,0.001
gila,0.002
gilir,0.001
gir,0.001
girang,0.002
gitar,0.002
gloupm,0.001
gma,0.001
gning,0.001
goals,0.001
goblogin,0.001
gogoda,0.001
gol,0.001
gombalin,0.002
gondrong,0.001
gong,0.002
goreng,0.002
gores,0.001
gosip,0.002
goyang,0.001
gracias,0.001
granada,0.001
grande,0.002
greget,0.001
gth,0.016
gudang,0.001
guetanyayuk,0.001
gung,0.011
gusi,0.001
gusti,0.001
gxowf,0.056
gxr,0.036
haa,0.002
haayy,0.002
hadir,0.001
haduh,0.002
hae,0.001
hahaa,0.001
hahaaduh,0.001
hahahha,0.002
haids,0.001
hajar,0.001
haji,0.002
halla,0.001
hamba,0.001
hamenah,0.007
hampura,0.001
hamster,0.006
happines,0.001
harap,0.002
hareeng,0.001
harmoni,0.002
hasil,0.001
hati,0.014
haus,0.001
hawa,0.001
hayang,0.004
hayati,0.002
hayoh,0.005
hebat,0.005
hee,0.002
heeh,0.004
hejo,0.002
hela,0.002
held,0.007
helicopter,0.001
helikopter,0.002
hening,0.001
heuh,0.012
heula,0.001
heureuy,0.001
hf,0.001
hha,0.014
hidung,0.005
hidup,0.006
hih,0.015
hijau,0.001
hilang,0.001
hinyai,0.001
hirau,0.001
hisab,0.002
hitam,0.001
hj,0.001
hnteu,0.001
hoaam,0.001
hoam,0.001
hoamz,0.001
hoamzz,0.005
holaa,0.001
homey,0.001
hooliwod,0.002
hore,0.002
hoream,0.001
hotel,0.002
hpnya,0.002
http,0.453
hudang,0.001
hujan,0.006
huleng,0.001
hulk,0.004
huruf,0.002
hutan,0.002
huufth,0.001
hve,0.001
hwit,0.001
hx,0.069
hyuh,0.002
ibadah,0.002
ida,0.004
ih,0.033
ij,0.001
ijazah,0.001
ijgirb,0.001
ikhtiar,0.002
iklan,0.006
imam,0.001
imel,0.001
inbox,0.001
incredible,0.001
indonesa,0.001
indonesia,0.005
infoin,0.002
inginya,0.001
inshaa,0.001
inshaallah,0.001
insya,0.001
insyaallah,0.002
insyaalloh,0.001
iraha,0.004
irawan,0.001
iri,0.002
isepin,0.001
isi,0.001
isin,0.001
islami,0.001
iso,0.001
istana,0.001
itikad,0.002
iya,0.177
iyaah,0.002
iyang,0.006
iyess,0.001
jabrig,0.001
jagjag,0.001
jahat,0.001
jahe,0.001
jajan,0.005
jajanin,0.002
jajankeun,0.001
jakarta,0.005
jalak,0.001
jalan,0.005
jalema,0.002
jalur,0.001
jaman,0.001
janda,0.001
jarak,0.002
jatilu,0.001
jatiluhur,0.001
jatuh,0.001
jauhi,0.002
java,0.001
jdlah,0.001
jebret,0.001
jembatan,0.001
jemput,0.001
jentul,0.001
jernih,0.001
jerona,0.002
jetleg,0.001
jiah,0.002
jiwa,0.001
jmzyovi,0.001
jodoh,0.001
joging,0.001
john,0.001
jomb,0.001
joulie,0.002
jowo,0.001
jqcagsnkcu,0.001
jqdx,0.001
jual,0.004
juang,0.002
jum,0.001
jumat,0.001
jumpa,0.002
jurus,0.004
jwbnya,0.001
jwddwx,0.001
jwrkrl,0.037
kaamaanaa,0.001
kabar,0.007
kabarin,0.001
kacang,0.001
kadal,0.002
kadang,0.006
kadituna,0.001
kakak,0.001
kakaks,0.001
kaki,0.001
kalah,0.004
kalem,0.001
kaleng,0.002
kalepasan,0.001
kalibata,0.004
kalimantan,0.001
kalong,0.001
kalung,0.001
kamar,0.004
kamarana,0.001
kamfang,0.001
kampany,0.001
kampanye,0.001
kancing,0.001
kantong,0.001
kantor,0.004
