term,weight
abad,0.004
abai,0.004
abdul,0.004
abk,0.004
abnegation,0.004
acak,0.007
accumulatively,0.004
aciq,0.007
actingnya,0.004
actornya,0.004
acu,0.004
adams,0.004
adeknya,0.004
adera,0.004
admin,0.019
adora,0.004
aduh,0.026
aerosmith,0.004
afterall,0.004
agen,0.011
agenda,0.004
aginst,0.004
aguilera,0.004
agustus,0.007
ah,0.03
ahjussi,0.019
ahli,0.007
aigo,0.007
ailee,0.004
aiman,0.004
air,0.004
airborne,0.004
ajaib,0.004
ajak,0.011
ajar,0.056
akal,0.007
akhirihi,0.004
akibat,0.015
aksis,0.004
aktif,0.004
akumulasi,0.004
akustik,0.004
al,0.015
aladdin,0.011
alam,0.004
alami,0.004
alarm,0.007
alas,0.026
alaykum,0.004
album,0.004
alfathihah,0.004
alfian,0.004
alhamdulillah,0.026
ali,0.004
alias,0.004
alim,0.004
almarhum,0.004
along,0.004
alternatif,0.004
amal,0.007
aman,0.026
amazed,0.004
ambal,0.004
amber,0.004
ambil,0.022
ambivert,0.004
ambulans,0.004
ambyar,0.011
american,0.004
amin,0.011
ampas,0.004
ampun,0.004
an,0.064
anak,0.108
anamnesis,0.004
ancam,0.004
andal,0.007
andalanq,0.004
andalanque,0.004
andmesh,0.004
anemia,0.011
anggap,0.007
anggep,0.004
anggota,0.004
anggur,0.004
angin,0.007
angina,0.004
angka,0.004
angkat,0.011
angsal,0.004
animasi,0.004
anjas,0.004
anjing,0.004
ann,0.004
anna,0.004
anniv,0.007
annyeong,0.004
anonim,0.004
anta,0.004
antebellum,0.004
antem,0.004
antipeluru,0.004
anu,0.004
any,0.011
anyone,0.004
apaqa,0.004
apart,0.004
apd,0.007
aplikasi,0.004
apocalypse,0.004
apps,0.007
apresiasi,0.004
arab,0.004
arasso,0.004
arep,0.007
ariana,0.007
aroma,0.004
artis,0.004
arus,0.004
asam,0.011
asap,0.004
asdgjjklsnam,0.004
asean,0.004
ashar,0.004
ashley,0.004
asia,0.004
asik,0.004
asing,0.004
asiyap,0.004
asked,0.011
asking,0.004
asli,0.019
asmr,0.004
asosiasi,0.004
assalamu,0.004
astaga,0.004
astaghfirullah,0.007
asystol,0.007
asystole,0.004
atrial,0.004
atribut,0.004
atur,0.007
audio,0.007
auditor,0.004
aurat,0.004
aurora,0.004
autopsi,0.004
autosave,0.004
av,0.004
awa,0.007
awak,0.004
awan,0.007
awas,0.004
awat,0.015
awesome,0.011
awin,0.004
ayah,0.019
ayam,0.011
ayo,0.067
azur,0.007
babah,0.004
babang,0.004
babies,0.004
baca,0.064
back,0.004
badan,0.007
baday,0.004
badminton,0.004
baeksang,0.004
bagikan,0.019
bagus,0.079
bah,0.004
bahagia,0.022
bahas,0.019
bahasa,0.026
bai,0.004
baju,0.011
bak,0.004
bakar,0.019
bala,0.007
balairung,0.004
balap,0.004
balas,0.019
bambank,0.007
banci,0.004
bandel,0.004
banding,0.011
bandingkan,0.004
bangga,0.004
bangkrut,0.004
bangsal,0.004
bangsul,0.011
bangtan,0.004
bangtantv,0.004
bangun,0.041
bantah,0.004
banting,0.004
bantu,0.022
bapaknya,0.004
bar,0.007
barakallah,0.011
barakallahu,0.004
barang,0.004
barbie,0.004
bare,0.007
bareng,0.019
basa,0.004
based,0.004
basi,0.004
basic,0.004
basically,0.004
baso,0.004
bassist,0.004
batal,0.105
batas,0.011
bathoknye,0.004
batin,0.004
batu,0.004
batuk,0.004
bau,0.011
bawa,0.022
bawang,0.007
bawel,0.004
bayar,0.004
bayarane,0.004
bayi,0.015
