term,weight
aapc,0.002
abdul,0.01
acara,0.005
achmad,0.015
adam,0.002
adera,0.005
adha,0.005
adil,0.007
admin,0.002
aduh,0.01
aerobic,0.002
afan,0.002
afgan,0.002
afifah,0.005
afrika,0.002
agnes,0.002
agung,0.005
ah,0.025
ahelu,0.002
ahkam,0.002
ahmad,0.005
ahong,0.012
ahtgw,0.002
aidzin,0.002
aisyah,0.015
aisyahal,0.005
ajadeh,0.002
ajak,0.007
ajar,0.035
ajayaa,0.002
ajeng,0.002
aji,0.002
ajzkh,0.012
akhirat,0.002
aktivitas,0.01
akun,0.007
alaina,0.002
alam,0.015
alas,0.002
alayku,0.002
alaynya,0.002
alf,0.057
alfaraku,0.002
alfarra,0.101
alfii,0.002
alfisa,0.01
alhamdulillah,0.035
alhasil,0.002
ali,0.002
alih,0.002
amelya,0.002
amin,0.012
aminamin,0.002
ampm,0.002
ampun,0.002
amunisi,0.002
an,0.01
anak,0.133
anas,0.005
ancol,0.005
andai,0.012
andra,0.002
andrians,0.002
anggoro,0.002
anggota,0.002
anggrek,0.007
angin,0.002
angka,0.005
angkat,0.002
angker,0.002
annisa,0.005
anyer,0.002
apanih,0.002
apdet,0.002
api,0.002
apkglku,0.002
aplg,0.002
apri,0.002
arah,0.007
aranzi,0.002
ardanna,0.005
area,0.002
ari,0.002
ariana,0.007
arif,0.03
arisan,0.002
aritmatika,0.002
arktik,0.002
arofah,0.005
artis,0.002
asam,0.002
asar,0.002
asia,0.002
asing,0.002
aslb,0.005
aspal,0.005
asrama,0.005
asri,0.002
astagfirulloh,0.002
aston,0.002
astri,0.002
atika,0.005
atur,0.002
aula,0.012
aulia,0.002
aum,0.002
avina,0.047
awas,0.002
awesome,0.002
ayah,0.002
ayam,0.005
aynho,0.002
ayo,0.027
ayoklah,0.002
ayunda,0.01
ayuri,0.002
ba,0.002
bab,0.002
babeh,0.002
baca,0.04
badan,0.015
bagikan,0.005
bagus,0.017
bahagia,0.01
bahasa,0.01
bakerzin,0.002
bal,0.002
balas,0.005
balesnya,0.002
bambu,0.002
bams,0.01
bandanaira,0.002
bandara,0.005
banget,0.002
bangga,0.005
bangun,0.017
bank,0.002
bantu,0.007
bapake,0.005
barakat,0.002
barat,0.007
bareilles,0.005
bareng,0.007
barokah,0.007
bas,0.005
basah,0.002
baswaden,0.005
batagor,0.002
batal,0.007
batik,0.007
batikday,0.002
batin,0.002
batu,0.007
batuk,0.002
baut,0.002
bawa,0.01
bawel,0.002
bayang,0.02
bayarin,0.005
bayi,0.002
bbm,0.002
bebek,0.005
beck,0.002
beda,0.005
begadang,0.002
behind,0.002
bekal,0.002
bekas,0.007
bekel,0.002
belagu,0.002
beli,0.007
beliau,0.005
beloved,0.007
benam,0.002
benci,0.005
bengkak,0.002
bengkel,0.002
beps,0.002
beranda,0.005
berangkat,0.005
berat,0.002
berbuka,0.002
berkah,0.005
berkat,0.002
berkliling,0.002
berkumpul,0.005
besok,0.027
betharia,0.002
betuul,0.002
biarawati,0.002
bicara,0.007
bieber,0.002
bilang,0.007
bilingualism,0.005
bim,0.002
bimbing,0.002
bina,0.002
binatang,0.002
bingung,0.005
bintaro,0.005
binti,0.005
biologi,0.005
bismillah,0.012
bkopm,0.002
bling,0.005
blog,0.002
bo,0.002
bocor,0.005
bodoh,0.005
bogor,0.002
bohong,0.002
bolong,0.002
bom,0.007
boneka,0.002
bontot,0.002
bonus,0.005
bos,0.01
bosan,0.007
brangkat,0.005
brave,0.005
brrz,0.002
bruno,0.002
buah,0.002
buana,0.005
buang,0.002
bubaar,0.002
bubbles,0.002
bubl,0.002
bubur,0.005
budi,0.002
bugulu,0.01
buka,0.017
bukber,0.01
bukbernya,0.002
bukit,0.002
buku,0.007
bumi,0.002
bunda,0.002
bunga,0.002
burger,0.002
burnham,0.002
buru,0.007
buruk,0.015
butuh,0.017
buuovcbr,0.002
buya,0.002
ca,0.002
cahaya,0.005
cakenya,0.002
calon,0.002
camat,0.005
camera,0.002
campur,0.002
candid,0.002
cangkeling,0.002
cantik,0.032
cari,0.015
carly,0.002
carnaval,0.002
cause,0.002
cemil,0.032
cenat,0.005
centre,0.002
cenut,0.005
cepat,0.017
cerah,0.002
cere,0.002
ceria,0.002
cerita,0.03
cermin,0.002
cetar,0.002
cgk,0.002
cgr,0.002
chainsmokers,0.002
changes,0.002
charlie,0.002
children,0.002
chocodot,0.002
choi,0.002
christina,0.005
chrisye,0.005
chyntia,0.035
cibubur,0.007
cie,0.015
ciganjur,0.005
cigombong,0.002
ciherang,0.002
cilandak,0.012
cilember,0.005
cileungsi,0.005
cimory,0.007
cina,0.002
cing,0.002
cinnamons,0.002
cinta,0.099
cinthya,0.005
cipageran,0.002
cipta,0.002
ciputra,0.002
cis,0.002
cita,0.012
citere,0.002
cium,0.002
ciumin,0.002
ciwi,0.007
cl,0.002
closer,0.002
cnr,0.002
coba,0.012
cobek,0.002
cocok,0.002
cokelat,0.002
coklat,0.007
condominium,0.002
cookies,0.002
copas,0.002
copast,0.002
copot,0.002
cottages,0.002
cowok,0.222
cozy,0.002
craig,0.002
cubit,0.005
cuci,0.002
cuih,0.002
culik,0.002
curi,0.007
curug,0.007
curves,0.002
cus,0.005
cvwinh,0.002
cwvkvnaan,0.002
daan,0.002
daay,0.002
dahlan,0.005
dangdut,0.002
dapur,0.002
darah,0.002
darajat,0.005
darmawan,0.035
dasar,0.002
datar,0.002
david,0.005
daya,0.005
daylight,0.002
days,0.002
deadline,0.005
debar,0.002
debu,0.002
december,0.002
deh,0.03
dek,0.002
dengar,0.012
departures,0.002
depok,0.015
deras,0.002
dering,0.002
desember,0.002
dessy,0.005
dev,0.007
devi,0.025
dewi,0.002
diabisin,0.002
diam,0.005
dianjuwitaa,0.002
diantar,0.002
dibekelin,0.002
dibeliin,0.002
didi,0.002
didik,0.069
dieng,0.005
dih,0.002
dijadikan,0.002
dik,0.005
dimaenin,0.002
dimana,0.007
dimandos,0.005
dingin,0.002
dino,0.002
directs,0.005
dirgah,0.002
distrik,0.002
dki,0.002
doa,0.025
does,0.007
dolo,0.002
doloe,0.002
donald,0.002
dongyeh,0.002
dora,0.002
dorgb,0.002
dosa,0.002
dosen,0.022
dp,0.002
dpcf,0.002
drinknya,0.002
duka,0.002
dunia,0.01
durian,0.002
dusun,0.002
duuh,0.005
duwioilv,0.002
dvd,0.002
dwi,0.01
echa,0.002
eco,0.002
ecpv,0.002
edar,0.002
edges,0.002
edisi,0.01
edit,0.002
eet,0.002
efectnya,0.002
ega,0.002
egha,0.002
eh,0.01
eid,0.002
eko,0.002
eks,0.002
ekspresi,0.002
enam,0.002
engkau,0.002
english,0.005
enhaii,0.002
enrique,0.005
erat,0.002
erti,0.005
esukmlleun,0.002
etdeh,0.005
every,0.002
evm,0.002
extsf,0.002
eyc,0.002
facebook,0.002
fairuz,0.015
fajar,0.005
fakta,0.002
fakultas,0.047
fallwater,0.002
fani,0.002
far,0.012
fast,0.002
fathur,0.005
fatmawati,0.005
favorit,0.005
favourite,0.002
fc,0.002
fdbme,0.002
febian,0.005
fehwgitt,0.002
festival,0.002
fg,0.002
fika,0.002
film,0.005
firdaus,0.002
fisa,0.002
fisika,0.002
fit,0.007
fitri,0.017
fitriyana,0.002
fitroh,0.002
five,0.012
fkip,0.002
fls,0.002
follbck,0.002
fortuna,0.002
foto,0.166
fp,0.002
fpgcbv,0.002
fredly,0.002
freeday,0.002
fresh,0.002
friday,0.002
friends,0.01
ftv,0.002
fudoh,0.002
gabiasa,0.002
gadis,0.032
gagal,0.005
gaib,0.002
gajah,0.002
gambar,0.01
gandaria,0.002
gandul,0.005
gang,0.002
gangerti,0.002
ganti,0.005
garagara,0.002
garis,0.007
garut,0.012
gaul,0.002
gaya,0.005
gaza,0.002
gede,0.005
gedung,0.005
geeng,0.005
gel,0.012
gelitik,0.002
gembira,0.002
gempur,0.002
gendut,0.002
generasi,0.002
geng,0.007
gengs,0.01
gerak,0.012
gerbang,0.005
gerhana,0.002
getting,0.002
gfyx,0.002
ggmq,0.002
gigi,0.002
gigil,0.002
ginjal,0.002
giselle,0.005
giyong,0.002
gladiresik,0.002
glenn,0.002
gm,0.002
gnash,0.002
goeslaw,0.002
gomez,0.002
gone,0.002
goreng,0.005
gores,0.002
gosip,0.005
goyang,0.002
gqv,0.002
grafika,0.002
granat,0.002
grande,0.007
grandwisata,0.002
gratis,0.005
greget,0.002
griya,0.002
grogol,0.007
gula,0.002
gumoh,0.002
gunung,0.002
guru,0.119
gv,0.002
gxs,0.002
gzkp,0.002
habis,0.012
hadepin,0.002
hadiah,0.002
hadir,0.005
hahaa,0.01
hajat,0.002
haji,0.002
halsey,0.002
hambat,0.002
hamka,0.022
han,0.002
hangat,0.002
hannah,0.002
hantu,0.005
hany,0.002
harapan,0.007
harga,0.002
has,0.002
hasil,0.005
hati,0.035
hatta,0.005
hawu,0.002
hebat,0.005
helah,0.002
hening,0.002
henti,0.005
heran,0.007
hfft,0.002
hidup,0.025
hihii,0.007
hijau,0.007
hijo,0.002
hikj,0.002
hilang,0.005
hirau,0.002
hitam,0.005
hitung,0.01
hiu,0.005
hivi,0.005
hjzypvj,0.002
horor,0.005
hotel,0.01
hotline,0.005
hpgkz,0.002
http,0.225
huah,0.002
hubungan,0.01
hufft,0.002
huhahuhanya,0.002
hujan,0.03
hukum,0.002
husband,0.002
hutang,0.002
huxmlgah,0.002
hvzvjo,0.002
hymne,0.002
hzo,0.002
ibadah,0.002
idam,0.002
idina,0.002
idola,0.005
idul,0.005
ify,0.002
ighel,0.002
iglesias,0.005
ih,0.005
ihda,0.082
ihiy,0.005
ihsan,0.015
ikt,0.002
il,0.002
ilmu,0.049
imuts,0.005
inap,0.002
indah,0.01
indonesia,0.017
informasi,0.002
inggris,0.005
innalillahi,0.002
insan,0.002
insomnia,0.002
instagram,0.005
instal,0.002
insyaallah,0.005
internasional,0.012
