term,weight
aa,0.007
aah,0.007
aapa,0.003
abai,0.003
aborsi,0.003
abu,0.01
abur,0.007
acak,0.017
acakucuk,0.003
acara,0.01
acel,0.003
adam,0.003
adegan,0.003
adek,0.003
adekk,0.003
adha,0.003
adil,0.003
adit,0.003
admin,0.066
adminnya,0.003
aduh,0.01
aduhai,0.003
aduhaihai,0.003
aduk,0.01
advisor,0.003
agama,0.003
aglonema,0.003
agregat,0.003
agustus,0.003
ah,0.01
ahjussi,0.003
aice,0.003
ain,0.003
air,0.01
aiueo,0.007
ajaib,0.003
ajak,0.01
ajar,0.027
aji,0.003
ajluk,0.003
akang,0.003
akses,0.003
aksi,0.007
aktif,0.003
aktivasi,0.003
aktivitas,0.003
akun,0.01
akur,0.003
ala,0.01
alam,0.003
alami,0.003
alarm,0.01
alas,0.01
alasankuu,0.003
alat,0.013
alhamdulillah,0.003
alias,0.003
alir,0.003
almamater,0.003
almond,0.007
alt,0.003
aman,0.027
ambil,0.023
ambyar,0.003
amin,0.017
ampela,0.003
ampun,0.003
amuk,0.007
an,0.027
anabulbul,0.003
anabulbulku,0.003
anak,0.089
analisis,0.003
ancam,0.003
andaah,0.003
aneh,0.007
anggep,0.003
angin,0.027
angka,0.007
angkat,0.017
anji,0.003
anjing,0.02
antam,0.003
antem,0.003
antre,0.02
anyam,0.007
apel,0.007
apotek,0.003
aqua,0.007
arah,0.01
arang,0.003
area,0.017
arisan,0.003
armada,0.003
artess,0.003
asam,0.01
asdos,0.003
asin,0.01
asing,0.007
asisten,0.01
aspirasi,0.003
astaga,0.003
astaghfirullah,0.003
asyik,0.01
atid,0.003
atiit,0.003
atlet,0.003
atur,0.007
audio,0.003
aura,0.003
awam,0.007
awas,0.003
awat,0.003
awawawaw,0.003
ayah,0.017
ayam,0.06
ayo,0.06
ayub,0.003
bab,0.003
babang,0.003
babi,0.003
babies,0.003
baca,0.086
bacang,0.003
bacanyaa,0.003
bacem,0.003
backsound,0.003
badan,0.013
bagikan,0.007
bagus,0.05
bahagia,0.003
bahan,0.01
bahas,0.01
bahasa,0.023
